ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
301129.SZ,20211102,55.66,88.2,55.66,64.91,55.66,9.25,16.6188,100726.05,675323.661
301129.SZ,20211103,61.48,63.1,58.05,58.72,64.91,-6.19,-9.5363,67525.77,403822.613
301129.SZ,20211104,59.0,61.52,57.89,59.66,58.72,0.94,1.6008,52076.41,309653.494
301129.SZ,20211105,58.33,61.43,57.51,60.68,59.66,1.02,1.7097,50787.5,301913.82
301129.SZ,20211108,60.98,62.84,58.35,59.83,60.68,-0.85,-1.4008,43178.71,259374.192
301129.SZ,20211109,60.99,61.21,57.8,58.01,59.83,-1.82,-3.042,44518.43,263593.698
301129.SZ,20211110,56.44,58.7,55.76,57.85,58.01,-0.16,-0.2758,42811.53,243119.375
301129.SZ,20211111,57.46,67.86,57.3,65.16,57.85,7.31,12.6361,72933.77,452072.375
301129.SZ,20211112,66.0,69.75,63.77,68.58,65.16,3.42,5.2486,71105.46,476956.803
301129.SZ,20211115,69.8,77.0,69.8,74.95,68.58,6.37,9.2884,68915.92,501929.197
301129.SZ,20211116,74.0,74.5,68.56,68.8,74.95,-6.15,-8.2055,51559.39,364431.525
301129.SZ,20211117,70.86,82.56,70.0,82.56,68.8,13.76,20.0,78734.42,609302.509
301129.SZ,20211118,80.0,85.82,77.6,82.5,82.56,-0.06,-0.0727,61601.68,504986.475
301129.SZ,20211119,80.0,84.89,77.13,80.76,82.5,-1.74,-2.1091,40755.72,328193.144
301129.SZ,20211122,81.33,87.0,79.51,82.0,80.76,1.24,1.5354,31833.57,264170.521
301129.SZ,20211123,80.0,81.0,75.7,78.65,82.0,-3.35,-4.0854,29680.97,232265.789
301129.SZ,20211124,79.78,80.29,76.72,79.22,78.65,0.57,0.7247,24021.63,188541.86
301129.SZ,20211125,80.02,85.97,80.0,83.01,79.22,3.79,4.7841,31450.1,261334.616
301129.SZ,20211126,81.01,92.3,81.0,88.0,83.01,4.99,6.0113,29685.76,260728.529
301129.SZ,20211129,87.3,94.38,86.0,92.0,88.0,4.0,4.5455,22623.17,206305.921
301129.SZ,20211130,92.48,93.65,88.88,90.8,92.0,-1.2,-1.3043,14168.04,128853.135
301129.SZ,20211201,90.09,94.01,89.46,90.2,90.8,-0.6,-0.6608,9763.57,89573.096
301129.SZ,20211202,89.8,89.88,86.18,86.9,90.2,-3.3,-3.6585,13022.0,113944.42
301129.SZ,20211203,86.92,90.87,82.38,90.3,86.9,3.4,3.9125,17025.0,147521.262
301129.SZ,20211206,89.0,90.0,82.0,82.0,90.3,-8.3,-9.1916,12672.03,107906.191
301129.SZ,20211207,82.0,84.19,72.74,74.29,82.0,-7.71,-9.4024,25539.32,196936.587
301129.SZ,20211208,74.69,78.75,74.69,76.89,74.29,2.6,3.4998,17172.83,132275.699
301129.SZ,20211209,75.96,77.95,75.04,75.73,76.89,-1.16,-1.5086,12726.0,96790.082
301129.SZ,20211210,76.1,76.31,73.05,75.75,75.73,0.02,0.0264,16467.52,123647.16
301129.SZ,20211213,75.72,77.77,74.62,76.73,75.75,0.98,1.2937,12958.32,98537.676
301129.SZ,20211214,77.2,81.65,77.2,78.55,76.73,1.82,2.372,23052.0,183442.062
301129.SZ,20211215,78.02,83.98,77.01,82.74,78.55,4.19,5.3342,18099.3,148233.609
301129.SZ,20211216,82.88,83.94,81.01,82.55,82.74,-0.19,-0.2296,8390.14,69142.162
301129.SZ,20211217,83.0,84.28,80.3,82.72,82.55,0.17,0.2059,9232.8,75824.954
301129.SZ,20211220,83.7,89.22,83.68,85.77,82.72,3.05,3.6871,14688.7,126750.027
301129.SZ,20211221,86.27,93.5,86.27,89.9,85.77,4.13,4.8152,14575.2,131110.042
301129.SZ,20211222,90.0,93.3,87.1,90.8,89.9,0.9,1.0011,13976.66,126872.707
301129.SZ,20211223,90.8,91.99,86.88,89.6,90.8,-1.2,-1.3216,11496.4,102534.969
301129.SZ,20211224,90.8,92.87,88.77,88.94,89.6,-0.66,-0.7366,9777.76,88631.026
301129.SZ,20211227,90.18,90.18,86.11,87.0,88.94,-1.94,-2.1812,7949.26,69687.352
301129.SZ,20211228,85.02,90.0,85.02,87.94,87.0,0.94,1.0805,8209.21,71940.427
301129.SZ,20211229,88.5,88.5,84.11,86.68,87.94,-1.26,-1.4328,8157.07,70436.433
301129.SZ,20211230,86.3,88.5,85.62,85.88,86.68,-0.8,-0.9229,6554.1,56826.294
301129.SZ,20211231,86.56,86.89,81.98,84.68,85.88,-1.2,-1.3973,14333.04,120075.834
301129.SZ,20220104,85.3,86.28,81.0,81.81,84.68,-2.87,-3.3892,5410.25,45127.345
301129.SZ,20220105,82.34,82.34,76.0,77.68,81.81,-4.13,-5.0483,10427.71,81895.86
301129.SZ,20220106,78.0,81.49,76.38,80.26,77.68,2.58,3.3213,5277.11,41872.239
301129.SZ,20220107,81.06,81.06,76.9,77.21,80.26,-3.05,-3.8001,5575.0,43659.496
301129.SZ,20220110,77.52,79.41,75.87,77.86,77.21,0.65,0.8419,4012.24,31143.866
301129.SZ,20220111,77.81,78.21,73.27,74.1,77.86,-3.76,-4.8292,6436.64,48459.488
301129.SZ,20220112,74.19,76.3,74.19,75.14,74.1,1.04,1.4035,4964.07,37367.911
301129.SZ,20220113,74.14,75.1,72.75,73.5,75.14,-1.64,-2.1826,6789.84,49845.297
301129.SZ,20220114,74.1,74.77,70.88,72.9,73.5,-0.6,-0.8163,6823.79,49576.024
301129.SZ,20220117,72.8,74.0,71.61,72.2,72.9,-0.7,-0.9602,8040.26,58234.773
301129.SZ,20220118,71.8,74.02,69.92,70.49,72.2,-1.71,-2.3684,11051.08,79392.001
301129.SZ,20220119,70.63,71.59,69.21,71.5,70.49,1.01,1.4328,6522.0,46063.685
301129.SZ,20220120,71.0,74.88,71.0,71.99,71.5,0.49,0.6853,7726.25,56240.711
301129.SZ,20220121,71.7,72.88,68.0,69.15,71.99,-2.84,-3.945,6298.53,44141.64
