ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
301131.SZ,20220314,76.01,88.03,75.08,77.3,30.0,47.3,157.6667,87977.4,694711.582
301131.SZ,20220315,68.0,69.97,59.88,60.0,77.3,-17.3,-22.3803,74389.52,483159.353
301131.SZ,20220316,60.0,63.22,57.06,62.29,60.0,2.29,3.8167,61568.26,372668.877
301131.SZ,20220317,65.0,67.0,59.59,61.79,62.29,-0.5,-0.8027,66693.78,426525.976
301131.SZ,20220318,58.74,63.03,57.78,59.77,61.79,-2.02,-3.2691,45641.95,273268.65
301131.SZ,20220321,57.97,61.16,57.33,60.99,59.77,1.22,2.0412,42876.03,256026.451
301131.SZ,20220322,60.98,60.98,54.86,54.86,60.99,-6.13,-10.0508,48970.12,279621.49
301131.SZ,20220323,53.98,54.5,52.44,52.49,54.86,-2.37,-4.3201,36867.34,196468.953
301131.SZ,20220324,51.74,53.0,51.6,52.61,52.49,0.12,0.2286,25395.14,132839.708
301131.SZ,20220325,52.66,53.29,50.12,50.25,52.61,-2.36,-4.4858,28044.49,145585.737
301131.SZ,20220328,50.0,50.43,49.0,50.43,50.25,0.18,0.3582,17965.35,89286.538
301131.SZ,20220329,50.48,50.95,47.94,48.37,50.43,-2.06,-4.0849,24538.04,121514.536
301131.SZ,20220330,48.78,49.56,47.88,49.45,48.37,1.08,2.2328,20006.95,97387.05
301131.SZ,20220331,49.27,49.56,47.7,47.89,49.45,-1.56,-3.1547,18256.31,88699.788
301131.SZ,20220401,47.8,48.09,46.0,46.13,47.89,-1.76,-3.6751,17335.32,80925.58
301131.SZ,20220406,45.99,47.47,45.9,46.99,46.13,0.86,1.8643,16046.34,75025.805
301131.SZ,20220407,46.9,50.94,46.4,50.15,46.99,3.16,6.7248,42879.16,212592.165
301131.SZ,20220408,48.96,49.32,45.68,45.73,50.15,-4.42,-8.8136,33330.47,156869.552
301131.SZ,20220411,44.87,44.87,42.8,43.25,45.73,-2.48,-5.4231,18663.41,81760.826
301131.SZ,20220412,43.2,43.88,42.69,43.82,43.25,0.57,1.3179,11026.98,47741.353
301131.SZ,20220413,43.35,44.25,42.86,43.12,43.82,-0.7,-1.5974,12217.86,53213.902
301131.SZ,20220414,43.31,43.6,42.96,43.0,43.12,-0.12,-0.2783,10016.75,43278.824
301131.SZ,20220415,42.4,43.37,41.38,42.5,43.0,-0.5,-1.1628,14995.18,63207.765
301131.SZ,20220418,42.1,44.7,42.1,44.3,42.5,1.8,4.2353,19014.71,83209.372
301131.SZ,20220419,44.54,45.68,44.01,45.12,44.3,0.82,1.851,24354.96,108839.751
301131.SZ,20220420,44.97,45.93,44.34,45.5,45.12,0.38,0.8422,20762.22,94315.812
301131.SZ,20220421,44.8,45.6,43.61,45.1,45.5,-0.4,-0.8791,17327.15,77410.66
301131.SZ,20220422,45.5,48.8,45.18,46.12,45.1,1.02,2.2616,41591.55,193583.263
301131.SZ,20220425,43.25,43.25,37.22,37.45,46.12,-8.67,-18.7988,33540.54,135675.087
301131.SZ,20220426,37.45,39.0,36.16,36.66,37.45,-0.79,-2.1095,21127.67,79152.037
301131.SZ,20220427,36.0,36.98,35.35,36.88,36.66,0.22,0.6001,15847.0,57510.293
301131.SZ,20220428,36.99,38.64,36.3,36.31,36.88,-0.57,-1.5456,21159.0,79474.434
301131.SZ,20220429,37.01,38.36,36.22,38.0,36.31,1.69,4.6544,19205.27,72092.774
301131.SZ,20220505,38.18,39.44,37.8,38.83,38.0,0.83,2.1842,16586.21,64305.158
301131.SZ,20220506,38.05,39.99,37.81,39.46,38.83,0.63,1.6225,18491.59,72816.617
301131.SZ,20220509,39.8,40.88,39.51,40.0,39.46,0.54,1.3685,12807.27,51283.476
