ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
301141.SZ,20230403,41.2,48.96,40.88,43.6,41.2,2.4,5.8252,126242.27,562725.677
301141.SZ,20230404,41.16,41.67,39.5,40.8,43.6,-2.8,-6.422,87548.53,352858.05
301141.SZ,20230406,39.97,44.99,39.18,43.46,40.8,2.66,6.5196,88343.27,368337.43
301141.SZ,20230407,42.58,45.98,41.92,42.13,43.46,-1.33,-3.0603,85139.69,373877.646
301141.SZ,20230410,40.49,42.55,39.39,40.55,42.13,-1.58,-3.7503,68360.49,277698.304
301141.SZ,20230411,39.91,41.6,39.41,41.07,40.55,0.52,1.2824,59006.73,237758.277
301141.SZ,20230412,40.32,43.55,40.3,42.89,41.07,1.82,4.4315,72463.42,303735.178
301141.SZ,20230413,42.25,43.9,41.08,41.29,42.89,-1.6,-3.7305,66108.35,281748.811
301141.SZ,20230414,40.91,47.6,40.91,46.0,41.29,4.71,11.4071,98092.21,432235.147
301141.SZ,20230417,45.16,46.46,44.3,45.0,46.0,-1.0,-2.1739,69186.42,312619.2
301141.SZ,20230418,44.65,48.09,44.51,47.13,45.0,2.13,4.7333,79179.3,366483.244
301141.SZ,20230419,46.1,46.5,44.01,44.45,47.13,-2.68,-5.6864,67106.44,303685.759
301141.SZ,20230420,43.8,44.73,42.6,43.05,44.45,-1.4,-3.1496,48342.08,209869.684
301141.SZ,20230421,42.82,43.31,40.5,40.57,43.05,-2.48,-5.7607,46381.84,192730.914
301141.SZ,20230424,39.98,41.19,39.78,40.94,40.57,0.37,0.912,27983.81,113622.23
301141.SZ,20230425,40.6,41.0,36.82,37.06,40.94,-3.88,-9.4773,43143.99,166698.718
301141.SZ,20230426,36.72,38.79,36.72,37.7,37.06,0.64,1.7269,29957.45,113510.523
301141.SZ,20230427,37.19,38.15,37.15,37.22,37.7,-0.48,-1.2732,22511.51,84726.474
301141.SZ,20230428,36.36,37.81,36.0,37.55,37.22,0.33,0.8866,22847.15,84864.518
301141.SZ,20230504,37.11,37.8,36.61,36.89,37.55,-0.66,-1.7577,18091.49,67225.517
301141.SZ,20230505,37.46,38.42,36.91,37.3,36.89,0.41,1.1114,26262.66,98711.185
301141.SZ,20230508,36.4,37.07,36.4,36.91,37.3,-0.39,-1.0456,19886.76,73053.291
301141.SZ,20230509,36.76,38.91,34.42,38.45,36.91,1.54,4.1723,53539.0,197729.553
301141.SZ,20230510,37.51,38.15,37.51,37.82,38.45,-0.63,-1.6385,27917.63,105595.008
301141.SZ,20230511,37.84,38.16,36.37,36.38,37.82,-1.44,-3.8075,22983.81,84790.991
301141.SZ,20230512,36.32,36.88,35.48,36.46,36.38,0.08,0.2199,20266.21,73317.963
301141.SZ,20230515,36.5,36.95,36.06,36.87,36.46,0.41,1.1245,15454.58,56523.099
301141.SZ,20230516,37.18,38.8,37.16,37.63,36.87,0.76,2.0613,29155.42,110765.514
301141.SZ,20230517,38.0,38.48,36.96,38.26,37.63,0.63,1.6742,25485.65,96807.289
301141.SZ,20230518,37.71,38.43,37.6,38.0,38.26,-0.26,-0.6796,20007.39,75854.011
301141.SZ,20230519,37.66,39.25,37.42,39.25,38.0,1.25,3.2895,32301.61,124626.371
301141.SZ,20230522,39.2,39.2,38.4,38.8,39.25,-0.45,-1.1465,23209.48,89852.067
301141.SZ,20230523,38.87,39.16,38.02,38.46,38.8,-0.34,-0.8763,22943.33,88515.064
301141.SZ,20230524,38.81,39.88,38.67,38.69,38.46,0.23,0.598,30769.08,120595.448
301141.SZ,20230525,38.5,41.65,38.28,40.51,38.69,1.82,4.7041,48362.29,193419.551
301141.SZ,20230526,39.81,40.34,38.78,39.19,40.51,-1.32,-3.2585,34942.92,137540.135
301141.SZ,20230529,39.02,39.38,38.06,38.27,39.19,-0.92,-2.3475,21772.42,83853.65
301141.SZ,20230530,38.29,38.79,37.4,38.13,38.27,-0.14,-0.3658,16977.66,64525.982
301141.SZ,20230531,37.71,38.21,37.5,37.68,38.13,-0.45,-1.1802,14353.99,54292.905
301141.SZ,20230601,37.99,38.98,37.99,38.77,37.68,1.09,2.8928,23571.6,90929.154
301141.SZ,20230602,38.5,39.47,38.4,39.15,38.77,0.38,0.9801,21999.6,85808.008
301141.SZ,20230605,39.07,39.5,38.75,39.25,39.15,0.1,0.2554,17444.1,68090.47
