ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
301173.SZ,20250303,80.0,83.8,68.88,70.59,28.33,42.26,149.1705,135170.54,1030621.562
301173.SZ,20250304,60.26,75.68,60.26,64.3,70.59,-6.29,-8.9106,106662.53,707122.232
301173.SZ,20250305,60.5,62.2,58.88,60.28,64.3,-4.02,-6.2519,78545.74,473531.972
301173.SZ,20250306,60.38,64.6,59.38,61.03,60.28,0.75,1.2442,81968.96,506079.151
301173.SZ,20250307,59.01,59.08,56.57,56.75,61.03,-4.28,-7.0129,65049.77,375301.137
301173.SZ,20250310,55.9,56.48,54.71,55.25,56.75,-1.5,-2.6432,38511.16,212704.754
301173.SZ,20250311,54.3,55.72,54.1,55.58,55.25,0.33,0.5973,29511.94,162356.262
301173.SZ,20250312,55.5,56.4,55.36,55.47,55.58,-0.11,-0.1979,30064.35,168071.079
301173.SZ,20250313,54.5,56.53,54.5,55.92,55.47,0.45,0.8112,31982.67,178169.822
301173.SZ,20250314,55.55,55.97,54.8,55.79,55.92,-0.13,-0.2325,28780.79,159287.151
301173.SZ,20250317,55.75,56.5,55.51,56.2,55.79,0.41,0.7349,26410.03,148195.565
301173.SZ,20250318,55.95,57.55,55.61,57.19,56.2,0.99,1.7616,37270.65,211670.435
301173.SZ,20250319,57.07,59.76,56.8,58.46,57.19,1.27,2.2207,51420.61,301208.205
301173.SZ,20250320,58.01,58.01,56.2,56.61,58.46,-1.85,-3.1646,32665.1,185645.424
301173.SZ,20250321,56.61,56.61,54.83,55.22,56.61,-1.39,-2.4554,22946.71,127277.64
301173.SZ,20250324,55.26,55.7,53.4,54.75,55.22,-0.47,-0.8511,20009.0,109142.407
301173.SZ,20250325,54.77,55.49,54.42,54.61,54.75,-0.14,-0.2557,13487.88,74080.477
301173.SZ,20250326,54.58,55.87,54.22,55.86,54.61,1.25,2.289,18137.05,100171.17
301173.SZ,20250327,55.44,55.86,54.6,55.06,55.86,-0.8,-1.4322,15783.2,87248.023
301173.SZ,20250328,54.8,55.59,53.84,54.09,55.06,-0.97,-1.7617,16118.71,87710.335
301173.SZ,20250331,54.0,56.88,53.71,55.8,54.09,1.71,3.1614,28684.61,159661.781
301173.SZ,20250401,55.28,56.78,54.62,56.19,55.8,0.39,0.6989,25100.22,139579.232
301173.SZ,20250402,56.2,56.5,55.3,55.57,56.19,-0.62,-1.1034,15595.84,87146.727
301173.SZ,20250403,54.91,56.39,54.8,56.34,55.57,0.77,1.3856,20152.61,112458.91
301173.SZ,20250407,53.55,54.0,45.07,45.09,56.34,-11.25,-19.9681,27527.99,134571.58
