ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
301202.SZ,20230705,45.0,50.0,42.9,42.93,25.82,17.11,66.2665,239468.81,1090900.169
301202.SZ,20230706,39.31,45.6,38.97,44.12,42.93,1.19,2.772,198342.43,823588.994
301202.SZ,20230707,42.5,43.22,38.58,38.62,44.12,-5.5,-12.466,153829.17,633384.452
301202.SZ,20230710,36.83,40.58,35.63,39.73,38.62,1.11,2.8742,146023.55,553985.196
301202.SZ,20230711,40.5,44.27,39.8,40.68,39.73,0.95,2.3911,191333.33,799815.871
301202.SZ,20230712,38.5,38.88,36.22,36.67,40.68,-4.01,-9.8574,162777.38,603815.614
301202.SZ,20230713,35.76,36.15,34.5,35.22,36.67,-1.45,-3.9542,115382.54,405999.316
301202.SZ,20230714,35.06,36.85,35.05,36.38,35.22,1.16,3.2936,106196.87,382736.012
301202.SZ,20230717,36.38,38.0,36.0,36.7,36.38,0.32,0.8796,111212.57,411562.825
301202.SZ,20230718,36.0,37.86,34.58,37.42,36.7,0.72,1.9619,112451.82,408399.124
301202.SZ,20230719,37.0,38.74,35.63,37.61,37.42,0.19,0.5077,111546.11,415525.891
301202.SZ,20230720,37.71,38.64,35.66,36.54,37.61,-1.07,-2.845,111131.46,411397.242
301202.SZ,20230721,36.0,36.52,34.77,34.79,36.54,-1.75,-4.7893,69919.61,247697.638
301202.SZ,20230724,33.98,35.49,33.0,35.14,34.79,0.35,1.006,56881.67,196951.345
301202.SZ,20230725,35.07,35.6,34.64,35.15,35.14,0.01,0.0285,52639.7,185199.458
301202.SZ,20230726,34.9,35.2,33.75,33.97,35.15,-1.18,-3.357,50810.53,174830.487
301202.SZ,20230727,33.68,34.45,33.01,33.12,33.97,-0.85,-2.5022,41174.5,138334.511
301202.SZ,20230728,33.0,33.37,32.55,32.86,33.12,-0.26,-0.785,40127.05,131841.99
301202.SZ,20230731,32.75,33.2,32.62,33.1,32.86,0.24,0.7304,31636.73,104239.08
301202.SZ,20230801,33.59,34.32,32.36,34.09,33.1,0.99,2.9909,80290.42,268934.011
301202.SZ,20230802,33.5,34.27,33.14,34.11,34.09,0.02,0.0587,52002.77,175242.402
301202.SZ,20230803,33.6,34.23,33.22,33.24,34.11,-0.87,-2.5506,45238.72,152021.775
301202.SZ,20230804,33.0,35.18,33.0,35.02,33.24,1.78,5.355,87384.98,300163.124
301202.SZ,20230807,35.0,36.9,34.58,36.18,35.02,1.16,3.3124,105301.64,377331.962
301202.SZ,20230808,35.5,38.46,35.21,36.32,36.18,0.14,0.387,127445.61,469459.851
301202.SZ,20230809,35.63,37.65,35.43,36.13,36.32,-0.19,-0.5231,86310.25,313145.335
301202.SZ,20230810,35.6,37.95,35.16,37.58,36.13,1.45,4.0133,108974.77,404409.706
301202.SZ,20230811,37.98,38.78,35.8,36.08,37.58,-1.5,-3.9915,98135.8,365526.604
301202.SZ,20230814,35.02,43.3,35.01,43.3,36.08,7.22,20.0111,137460.09,557628.65
301202.SZ,20230815,48.0,51.96,45.05,46.38,43.3,3.08,7.1132,262978.9,1295291.657
301202.SZ,20230816,47.3,49.0,44.99,48.0,46.38,1.62,3.4929,204687.98,964120.193
301202.SZ,20230817,46.08,47.77,43.88,44.86,48.0,-3.14,-6.5417,157908.92,721300.393
301202.SZ,20230818,43.59,47.49,41.85,43.76,44.86,-1.1,-2.4521,163186.39,725197.325
301202.SZ,20230821,44.1,47.32,44.1,44.51,43.76,0.75,1.7139,152691.51,696988.195
301202.SZ,20230822,44.52,48.33,42.8,47.58,44.51,3.07,6.8973,182113.86,828417.887
301202.SZ,20230823,45.3,45.3,39.4,39.85,47.58,-7.73,-16.2463,155697.47,650870.515
301202.SZ,20230824,40.0,42.22,38.0,38.0,39.85,-1.85,-4.6424,113646.48,457372.806
301202.SZ,20230825,37.13,38.22,33.8,34.29,38.0,-3.71,-9.7632,102890.45,368970.299
301202.SZ,20230828,36.6,36.9,34.21,34.24,34.29,-0.05,-0.1458,82080.53,291717.184
301202.SZ,20230829,34.3,37.75,34.18,37.7,34.24,3.46,10.1051,104778.59,382037.334
301202.SZ,20230830,37.58,38.7,36.71,38.38,37.7,0.68,1.8037,82346.74,312207.078
301202.SZ,20230831,37.7,38.7,37.09,38.15,38.38,-0.23,-0.5993,61172.95,232274.539
301202.SZ,20230901,38.1,38.62,36.9,37.18,38.15,-0.97,-2.5426,55820.29,210250.98
301202.SZ,20230904,37.46,37.46,36.05,36.7,37.18,-0.48,-1.291,47844.33,174707.531
301202.SZ,20230905,36.59,36.89,35.89,36.1,36.7,-0.6,-1.6349,37849.46,137270.377
301202.SZ,20230906,35.83,36.9,35.35,36.8,36.1,0.7,1.9391,45375.8,164804.773
301202.SZ,20230907,36.79,36.79,35.23,35.24,36.8,-1.56,-4.2391,35414.97,126872.622
301202.SZ,20230908,35.15,36.0,34.81,35.8,35.24,0.56,1.5891,25242.91,89783.221
301202.SZ,20230911,36.0,36.87,35.08,36.12,35.8,0.32,0.8939,43176.0,154864.943
301202.SZ,20230912,36.05,37.44,35.61,37.17,36.12,1.05,2.907,60457.63,221761.29
301202.SZ,20230913,36.5,36.7,34.75,35.4,37.17,-1.77,-4.7619,56115.25,199144.87
301202.SZ,20230914,35.12,35.86,35.0,35.42,35.4,0.02,0.0565,31491.99,111800.967
301202.SZ,20230915,35.2,35.3,34.24,34.25,35.42,-1.17,-3.3032,31903.91,110454.267
301202.SZ,20230918,33.86,34.9,33.63,34.59,34.25,0.34,0.9927,19218.38,66331.249
301202.SZ,20230919,34.43,34.58,33.69,33.88,34.59,-0.71,-2.0526,17787.54,60553.245
301202.SZ,20230920,35.0,36.66,34.83,34.93,33.88,1.05,3.0992,68915.56,245970.436
301202.SZ,20230921,34.04,35.25,33.78,34.45,34.93,-0.48,-1.3742,40670.59,140320.612
301202.SZ,20230922,34.14,36.63,34.07,36.51,34.45,2.06,5.9797,66918.6,241131.325
301202.SZ,20230925,36.21,36.54,35.68,35.78,36.51,-0.73,-1.9995,37694.97,135732.491
301202.SZ,20230926,35.98,36.3,35.45,35.92,35.78,0.14,0.3913,37253.16,133358.353
301202.SZ,20230927,35.4,36.1,34.6,34.7,35.92,-1.22,-3.3964,45084.47,158986.047
301202.SZ,20230928,35.12,36.15,35.02,35.4,34.7,0.7,2.0173,34649.6,122887.346
301202.SZ,20231009,35.53,37.46,35.4,36.48,35.4,1.08,3.0508,63392.09,229726.769
301202.SZ,20231010,36.8,36.87,35.78,35.98,36.48,-0.5,-1.3706,42832.86,154879.088
301202.SZ,20231011,35.78,36.14,34.71,35.98,35.98,0.0,0.0,38072.57,135733.354
301202.SZ,20231012,35.75,35.96,34.97,35.19,35.98,-0.79,-2.1957,32670.0,115053.804
301202.SZ,20231013,34.79,35.05,33.9,34.12,34.79,-0.67,-1.9258,31470.0,108203.428
