ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
301282.SZ,20220826,42.1,49.9,38.83,39.8,30.38,9.42,31.0072,226271.73,968328.353
301282.SZ,20220829,35.0,37.88,33.4,34.38,39.8,-5.42,-13.6181,149242.34,528814.711
301282.SZ,20220830,33.8,37.77,33.5,36.65,34.38,2.27,6.6027,127028.11,455886.833
301282.SZ,20220831,35.28,36.2,33.3,33.33,36.65,-3.32,-9.0587,102607.91,353754.798
301282.SZ,20220901,33.0,35.3,32.99,33.88,33.33,0.55,1.6502,82710.68,282043.966
301282.SZ,20220902,33.35,37.24,33.21,35.77,33.88,1.89,5.5785,110082.16,389540.563
301282.SZ,20220905,37.0,42.83,36.71,40.12,35.77,4.35,12.161,156125.87,613974.955
301282.SZ,20220906,38.06,40.96,37.45,38.42,40.12,-1.7,-4.2373,135099.76,521497.171
301282.SZ,20220907,38.86,40.06,37.43,38.74,38.42,0.32,0.8329,107419.03,416295.702
301282.SZ,20220908,38.06,38.07,35.5,35.65,38.74,-3.09,-7.9763,92620.72,335975.375
301282.SZ,20220909,35.35,36.25,34.45,34.66,35.65,-0.99,-2.777,59190.43,206783.629
301282.SZ,20220913,34.75,35.56,34.5,34.82,34.66,0.16,0.4616,43205.3,150988.617
301282.SZ,20220914,33.96,35.63,33.81,35.6,34.82,0.78,2.2401,56629.61,198779.997
301282.SZ,20220915,35.58,35.85,33.13,33.87,35.6,-1.73,-4.8596,59240.25,202305.409
301282.SZ,20220916,33.87,34.37,32.8,32.86,33.87,-1.01,-2.982,39723.75,133833.032
301282.SZ,20220919,32.52,32.98,31.0,31.01,32.86,-1.85,-5.6299,47361.68,148981.219
301282.SZ,20220920,31.31,31.62,30.75,31.29,31.01,0.28,0.9029,34649.57,108245.421
301282.SZ,20220921,30.99,31.43,30.29,31.14,31.29,-0.15,-0.4794,28949.92,89959.698
301282.SZ,20220922,31.0,32.27,30.77,32.19,31.14,1.05,3.3719,46587.77,147432.543
301282.SZ,20220923,32.0,32.24,30.5,30.5,32.19,-1.69,-5.2501,42284.03,131688.141
301282.SZ,20220926,30.42,30.42,28.35,28.35,30.5,-2.15,-7.0492,44864.54,131064.242
301282.SZ,20220927,28.62,29.82,28.62,29.34,28.35,0.99,3.4921,39380.75,115389.058
301282.SZ,20220928,29.33,29.33,27.8,27.9,29.34,-1.44,-4.908,35972.1,102289.934
301282.SZ,20220929,28.44,28.87,27.6,27.67,27.9,-0.23,-0.8244,30625.88,86299.59
301282.SZ,20220930,27.39,27.72,26.05,26.05,27.67,-1.62,-5.8547,37337.17,99895.775
301282.SZ,20221010,26.27,26.48,25.19,25.42,26.05,-0.63,-2.4184,24749.79,63860.729
301282.SZ,20221011,25.46,25.77,25.2,25.48,25.42,0.06,0.236,18993.85,48387.066
301282.SZ,20221012,25.51,26.44,25.31,26.43,25.48,0.95,3.7284,33458.73,86406.582
301282.SZ,20221013,26.13,26.95,26.12,26.33,26.43,-0.1,-0.3784,33579.36,89226.613
301282.SZ,20221014,26.51,26.95,26.51,26.75,26.33,0.42,1.5951,27399.67,73265.518
301282.SZ,20221017,26.4,27.75,26.28,27.68,26.75,0.93,3.4766,34837.34,94964.476
301282.SZ,20221018,27.99,27.99,27.0,27.29,27.68,-0.39,-1.409,28925.32,79061.45
301282.SZ,20221019,27.34,27.36,26.52,26.62,27.29,-0.67,-2.4551,29384.17,78704.175
301282.SZ,20221020,26.41,27.88,26.12,27.45,26.62,0.83,3.118,40870.36,110909.971
301282.SZ,20221021,27.21,27.86,26.6,27.3,27.45,-0.15,-0.5464,31331.68,85363.317
301282.SZ,20221024,27.5,27.89,26.73,27.0,27.3,-0.3,-1.0989,26376.76,72142.819
301282.SZ,20221025,26.8,26.98,25.89,26.52,27.0,-0.48,-1.7778,21900.88,57914.751
301282.SZ,20221026,27.26,28.62,27.19,28.61,26.52,2.09,7.8808,56884.47,159800.716
301282.SZ,20221027,28.68,28.68,27.78,27.79,28.61,-0.82,-2.8661,35856.3,100955.453
301282.SZ,20221028,27.58,28.52,27.43,27.53,27.79,-0.26,-0.9356,41002.99,114892.745
301282.SZ,20221031,27.03,28.36,27.03,27.91,27.53,0.38,1.3803,34294.19,96111.138
301282.SZ,20221101,27.88,28.39,27.4,28.36,27.91,0.45,1.6123,34994.14,98213.176
301282.SZ,20221102,28.36,28.83,28.1,28.67,28.36,0.31,1.0931,43503.13,124286.614
301282.SZ,20221103,28.33,30.88,28.27,29.92,28.67,1.25,4.36,62898.77,185639.126
301282.SZ,20221104,29.72,31.48,29.51,31.16,29.92,1.24,4.1444,67949.78,208857.007
301282.SZ,20221107,31.3,31.46,30.29,31.3,31.16,0.14,0.4493,56505.94,174214.898
301282.SZ,20221108,31.5,34.09,31.21,32.88,31.3,1.58,5.0479,84204.77,275447.344
301282.SZ,20221109,32.38,32.93,31.89,32.65,32.88,-0.23,-0.6995,47319.9,153211.169
301282.SZ,20221110,32.26,32.5,30.54,30.64,32.65,-2.01,-6.1562,54354.33,169457.268
301282.SZ,20221111,31.52,31.71,30.05,30.3,30.64,-0.34,-1.1097,44808.62,138390.708
301282.SZ,20221114,30.5,31.05,29.9,30.77,30.3,0.47,1.5512,26437.82,80752.742
301282.SZ,20221115,30.97,32.23,30.82,32.23,30.77,1.46,4.7449,51702.95,164480.993
301282.SZ,20221116,32.23,32.23,30.85,30.96,32.23,-1.27,-3.9404,40891.84,128360.282
301282.SZ,20221117,30.52,31.41,30.2,31.31,30.96,0.35,1.1305,28184.78,86895.199
301282.SZ,20221118,31.07,31.22,30.24,30.26,31.31,-1.05,-3.3536,30765.44,94300.707
301282.SZ,20221121,30.5,30.99,30.01,30.86,30.26,0.6,1.9828,21732.85,66366.092
301282.SZ,20221122,30.7,31.86,30.52,31.08,30.86,0.22,0.7129,33356.34,104295.642
301282.SZ,20221123,31.12,31.39,29.55,29.88,31.08,-1.2,-3.861,29486.9,88594.199
301282.SZ,20221124,29.86,30.22,29.59,29.72,29.88,-0.16,-0.5355,17522.33,52418.161
301282.SZ,20221125,29.82,30.0,28.74,28.77,29.72,-0.95,-3.1965,22402.72,65545.121
