ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
301311.SZ,20221130,22.0,23.5,19.3,20.01,13.88,6.13,44.1643,350794.08,718260.751
301311.SZ,20221201,20.4,24.28,20.16,22.56,20.01,2.55,12.7436,342502.29,750712.769
301311.SZ,20221202,21.66,22.18,20.86,21.08,22.56,-1.48,-6.5603,242658.07,519244.638
301311.SZ,20221205,21.84,24.55,21.63,23.2,21.08,2.12,10.0569,283831.64,650107.687
301311.SZ,20221206,22.49,25.85,22.33,25.5,23.2,2.3,9.9138,295932.02,723344.015
301311.SZ,20221207,25.0,25.0,23.64,24.8,25.5,-0.7,-2.7451,216131.06,525483.715
301311.SZ,20221208,24.22,24.5,22.68,22.85,24.8,-1.95,-7.8629,220742.16,516905.6
301311.SZ,20221209,23.23,24.35,22.95,22.96,22.85,0.11,0.4814,193834.34,457816.875
301311.SZ,20221212,22.1,22.5,21.62,21.98,22.96,-0.98,-4.2683,185404.22,407112.361
301311.SZ,20221213,21.7,22.91,21.21,22.2,21.98,0.22,1.0009,176080.48,386213.981
301311.SZ,20221214,21.82,22.39,21.4,21.4,22.2,-0.8,-3.6036,120819.1,263652.533
301311.SZ,20221215,21.15,22.3,20.92,21.55,21.4,0.15,0.7009,119217.16,257061.819
301311.SZ,20221216,21.17,21.22,20.43,20.66,21.55,-0.89,-4.1299,120663.18,250265.074
301311.SZ,20221219,20.58,20.87,20.12,20.26,20.66,-0.4,-1.9361,69143.15,141783.577
301311.SZ,20221220,20.19,20.91,19.95,20.34,20.26,0.08,0.3949,80942.1,165346.21
301311.SZ,20221221,20.08,20.48,19.5,19.75,20.34,-0.59,-2.9007,82311.49,164641.76
301311.SZ,20221222,19.78,20.09,19.11,19.26,19.75,-0.49,-2.481,70692.76,138342.129
301311.SZ,20221223,18.96,19.2,18.24,18.3,19.26,-0.96,-4.9844,90133.57,167475.263
301311.SZ,20221226,18.3,19.13,18.3,19.04,18.3,0.74,4.0437,74797.29,140132.409
301311.SZ,20221227,18.92,19.15,18.67,18.98,19.04,-0.06,-0.3151,57386.5,108425.681
301311.SZ,20221228,18.76,18.79,17.91,18.24,18.98,-0.74,-3.8988,78934.25,144563.06
301311.SZ,20221229,18.05,18.59,18.0,18.24,18.24,0.0,0.0,50215.08,91778.829
301311.SZ,20221230,18.4,18.4,17.67,17.73,18.24,-0.51,-2.7961,64129.35,115178.101
301311.SZ,20230103,17.73,18.5,17.69,18.45,17.73,0.72,4.0609,66487.95,121286.186
301311.SZ,20230104,18.32,18.57,18.03,18.57,18.45,0.12,0.6504,58431.95,106899.037
301311.SZ,20230105,18.5,18.67,18.28,18.4,18.57,-0.17,-0.9155,57262.26,105613.687
301311.SZ,20230106,18.39,18.69,18.24,18.36,18.4,-0.04,-0.2174,57022.49,105250.923
301311.SZ,20230109,18.3,18.49,18.21,18.42,18.36,0.06,0.3268,37062.75,68068.192
301311.SZ,20230110,18.65,20.03,18.65,20.02,18.42,1.6,8.6862,164045.08,319084.654
301311.SZ,20230111,19.66,19.84,19.02,19.26,20.02,-0.76,-3.7962,102295.67,198270.112
301311.SZ,20230112,19.11,19.61,18.9,19.0,19.26,-0.26,-1.3499,73904.26,141875.917
301311.SZ,20230113,19.08,19.75,18.75,19.41,19.0,0.41,2.1579,82254.28,159057.17
301311.SZ,20230116,19.19,19.69,19.12,19.63,19.41,0.22,1.1334,70790.46,137879.608
301311.SZ,20230117,19.42,20.6,19.3,19.95,19.63,0.32,1.6302,103276.59,205542.964
301311.SZ,20230118,19.72,20.68,19.53,20.45,19.95,0.5,2.5063,112002.13,225560.991
301311.SZ,20230119,20.2,20.77,20.02,20.45,20.45,0.0,0.0,98466.57,201202.27
301311.SZ,20230120,21.28,21.48,19.88,19.96,20.45,-0.49,-2.3961,104956.84,214989.505
301311.SZ,20230130,20.45,21.65,20.36,21.22,19.96,1.26,6.3126,151079.03,317588.853
301311.SZ,20230131,21.01,22.2,20.85,21.2,21.22,-0.02,-0.0943,152016.33,327275.182
301311.SZ,20230201,20.81,22.35,20.81,22.35,21.2,1.15,5.4245,174314.63,376819.044
301311.SZ,20230202,22.62,23.5,21.82,21.9,22.35,-0.45,-2.0134,209572.64,471263.649
301311.SZ,20230203,21.54,22.17,21.32,21.82,21.9,-0.08,-0.3653,117243.36,254201.289
301311.SZ,20230206,21.54,21.8,21.1,21.2,21.82,-0.62,-2.8414,86796.97,185212.963
301311.SZ,20230207,21.2,21.57,21.02,21.4,21.2,0.2,0.9434,65129.57,138955.408
