ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
301329.SZ,20230717,31.0,32.0,28.5,28.51,21.0,7.51,35.7619,292639.29,870561.022
301329.SZ,20230718,25.77,26.0,23.5,23.54,28.51,-4.97,-17.4325,221286.4,542269.7
301329.SZ,20230719,22.62,23.66,22.62,23.2,23.54,-0.34,-1.4444,132595.79,306930.513
301329.SZ,20230720,22.9,23.63,22.68,22.81,23.2,-0.39,-1.681,116589.9,269929.707
301329.SZ,20230721,22.93,24.3,22.71,23.34,22.81,0.53,2.3235,134840.24,317066.98
301329.SZ,20230724,22.8,22.85,21.55,22.12,23.34,-1.22,-5.2271,101477.7,224003.99
301329.SZ,20230725,22.17,22.6,22.07,22.43,22.12,0.31,1.4014,80019.6,178900.705
301329.SZ,20230726,22.23,22.53,21.85,21.93,22.43,-0.5,-2.2292,66467.45,147146.825
301329.SZ,20230727,21.84,22.92,21.78,22.61,21.93,0.68,3.1008,86705.66,194114.193
301329.SZ,20230728,22.29,22.53,21.68,22.39,22.61,-0.22,-0.973,74617.24,165370.929
301329.SZ,20230731,22.25,22.93,22.17,22.81,22.39,0.42,1.8758,71909.64,162042.254
301329.SZ,20230801,23.23,25.97,23.23,24.91,22.81,2.1,9.2065,221797.31,540721.025
301329.SZ,20230802,23.68,24.58,23.62,24.55,24.91,-0.36,-1.4452,137707.22,331243.953
301329.SZ,20230803,24.01,24.29,23.3,23.73,24.55,-0.82,-3.3401,104882.46,248432.591
301329.SZ,20230804,23.48,24.12,23.29,23.36,23.73,-0.37,-1.5592,87108.22,205355.863
301329.SZ,20230807,23.19,23.94,23.02,23.94,23.36,0.58,2.4829,80658.72,189630.877
301329.SZ,20230808,23.71,25.37,23.5,24.53,23.94,0.59,2.4645,125762.82,306414.442
301329.SZ,20230809,24.23,24.47,23.67,24.35,24.53,-0.18,-0.7338,82641.84,199043.076
301329.SZ,20230810,24.25,25.61,24.23,24.84,24.35,0.49,2.0123,121696.26,303221.219
301329.SZ,20230811,24.5,25.82,24.45,24.86,24.84,0.02,0.0805,126575.06,319381.971
301329.SZ,20230814,24.1,25.79,23.61,25.7,24.86,0.84,3.3789,123102.23,308649.347
301329.SZ,20230815,26.11,27.27,25.26,25.28,25.7,-0.42,-1.6342,164244.24,428021.751
301329.SZ,20230816,25.15,26.96,24.69,26.9,25.28,1.62,6.4082,162027.36,420374.709
301329.SZ,20230817,26.19,26.36,25.49,26.16,26.9,-0.74,-2.7509,110419.85,286693.428
301329.SZ,20230818,26.0,26.37,25.32,25.41,26.16,-0.75,-2.867,103890.89,268499.888
301329.SZ,20230821,25.33,25.35,24.4,24.71,25.41,-0.7,-2.7548,74918.11,185885.405
301329.SZ,20230822,24.78,24.94,22.51,23.29,24.71,-1.42,-5.7467,101100.48,237214.027
301329.SZ,20230823,23.0,23.0,22.1,22.15,23.29,-1.14,-4.8948,61670.31,138930.233
301329.SZ,20230824,22.21,23.0,21.66,22.44,22.15,0.29,1.3093,55945.85,124925.035
301329.SZ,20230825,22.01,22.11,21.04,21.15,22.44,-1.29,-5.7487,52330.35,112784.536
301329.SZ,20230828,22.5,22.89,21.24,21.28,21.15,0.13,0.6147,57698.51,126993.939
301329.SZ,20230829,21.28,22.85,21.17,22.81,21.28,1.53,7.1898,74688.13,166782.439
301329.SZ,20230830,22.65,24.43,22.53,24.01,22.81,1.2,5.2609,103512.69,244904.323
301329.SZ,20230831,23.5,23.86,23.41,23.57,24.01,-0.44,-1.8326,56198.08,132632.637
301329.SZ,20230901,23.6,24.5,23.6,24.0,23.57,0.43,1.8244,56289.86,134990.555
301329.SZ,20230904,23.84,23.96,23.24,23.69,24.0,-0.31,-1.2917,44191.22,104062.557
301329.SZ,20230905,23.58,24.16,23.48,23.84,23.69,0.15,0.6332,37964.39,90191.638
301329.SZ,20230906,23.51,24.29,23.22,24.25,23.84,0.41,1.7198,51731.48,123711.884
301329.SZ,20230907,24.01,24.01,23.13,23.14,24.25,-1.11,-4.5773,44480.13,104522.202
301329.SZ,20230908,23.0,23.63,22.79,23.42,23.14,0.28,1.21,29655.27,69021.767
301329.SZ,20230911,23.45,23.59,23.02,23.06,23.42,-0.36,-1.5371,26693.98,61809.578
301329.SZ,20230912,23.06,23.19,22.81,22.81,23.06,-0.25,-1.0841,22718.32,52096.582
301329.SZ,20230913,22.73,22.82,22.09,22.39,22.81,-0.42,-1.8413,25856.03,57836.899
301329.SZ,20230914,22.28,22.67,21.92,21.97,22.39,-0.42,-1.8758,20560.89,45665.931
301329.SZ,20230915,22.09,22.33,21.83,22.07,21.97,0.1,0.4552,17538.27,38676.728
301329.SZ,20230918,22.33,23.54,22.06,22.85,22.07,0.78,3.5342,49547.03,113039.192
301329.SZ,20230919,22.71,23.68,22.71,23.46,22.85,0.61,2.6696,62852.36,145858.548
301329.SZ,20230920,23.2,23.25,22.66,22.81,23.46,-0.65,-2.7707,39429.99,90384.742
301329.SZ,20230921,22.76,22.83,22.24,22.49,22.81,-0.32,-1.4029,27354.62,61574.24
301329.SZ,20230922,22.37,23.17,22.16,23.09,22.49,0.6,2.6679,31911.83,72563.491
301329.SZ,20230925,22.98,23.12,22.58,22.63,23.09,-0.46,-1.9922,25166.13,57254.979
301329.SZ,20230926,22.59,22.73,22.22,22.54,22.63,-0.09,-0.3977,17362.44,39096.829
301329.SZ,20230927,22.51,22.76,22.11,22.13,22.54,-0.41,-1.819,24134.61,54103.929
301329.SZ,20230928,22.28,23.26,22.28,22.95,22.13,0.82,3.7054,37030.18,84489.145
301329.SZ,20231009,22.82,23.44,22.73,23.03,22.95,0.08,0.3486,27410.19,63119.393
301329.SZ,20231010,23.11,23.24,22.71,22.76,23.03,-0.27,-1.1724,24674.15,56620.59
301329.SZ,20231011,22.75,23.42,22.57,23.28,22.76,0.52,2.2847,34875.36,80740.244
301329.SZ,20231012,23.15,23.36,22.77,22.85,23.28,-0.43,-1.8471,26940.1,61747.991
301329.SZ,20231013,22.85,24.22,22.38,23.94,22.85,1.09,4.7702,73338.85,172569.09
