ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
301336.SZ,20220812,74.5,119.2,74.0,101.72,37.53,64.19,171.0365,79758.33,674962.972
301336.SZ,20220815,84.87,91.0,82.6,82.6,101.72,-19.12,-18.7967,61145.64,527029.071
301336.SZ,20220816,80.16,83.5,77.75,79.0,82.6,-3.6,-4.3584,50746.08,405644.188
301336.SZ,20220817,77.08,79.08,75.51,77.99,79.0,-1.01,-1.2785,35860.11,276310.474
301336.SZ,20220818,78.34,78.44,73.9,74.44,77.99,-3.55,-4.5519,35526.56,267731.713
301336.SZ,20220819,72.12,74.56,69.77,69.77,74.44,-4.67,-6.2735,31303.39,225142.617
301336.SZ,20220822,67.68,69.22,66.9,68.02,69.77,-1.75,-2.5082,24176.72,164216.823
301336.SZ,20220823,70.0,70.45,66.66,66.9,68.02,-1.12,-1.6466,19376.46,131625.527
301336.SZ,20220824,67.0,69.59,66.72,67.2,66.9,0.3,0.4484,26032.77,177157.553
301336.SZ,20220825,65.5,65.7,61.9,62.8,67.2,-4.4,-6.5476,25285.9,160382.107
301336.SZ,20220826,61.98,64.38,61.25,62.8,62.8,0.0,0.0,20360.39,127541.492
301336.SZ,20220829,60.96,62.57,60.06,61.7,62.8,-1.1,-1.7516,12128.22,74426.479
301336.SZ,20220830,61.46,63.36,60.61,62.05,61.7,0.35,0.5673,15076.85,93596.521
301336.SZ,20220831,61.8,65.9,58.88,64.89,62.05,2.84,4.577,30258.89,189560.507
301336.SZ,20220901,63.0,64.43,61.58,63.6,64.89,-1.29,-1.988,23327.37,147103.85
301336.SZ,20220902,63.0,63.6,61.02,61.03,63.6,-2.57,-4.0409,15854.42,98050.467
301336.SZ,20220905,60.5,61.8,59.59,60.57,61.03,-0.46,-0.7537,14054.74,85066.171
301336.SZ,20220906,60.9,61.88,60.22,61.25,60.57,0.68,1.1227,16130.99,98819.73
301336.SZ,20220907,61.17,61.88,59.62,59.64,61.25,-1.61,-2.6286,15721.05,95312.752
301336.SZ,20220908,59.9,59.9,56.86,56.86,59.64,-2.78,-4.6613,19513.8,113099.402
301336.SZ,20220909,57.1,58.25,56.77,57.3,56.86,0.44,0.7738,12706.58,72982.659
301336.SZ,20220913,57.08,57.88,56.7,57.14,57.3,-0.16,-0.2792,10685.1,61201.681
301336.SZ,20220914,56.0,58.46,55.6,57.86,57.14,0.72,1.2601,13010.26,74419.82
301336.SZ,20220915,58.18,58.77,57.02,57.28,57.86,-0.58,-1.0024,15302.42,88611.312
301336.SZ,20220916,56.71,57.01,54.11,54.58,57.28,-2.7,-4.7137,11472.38,63963.03
301336.SZ,20220919,54.8,56.59,54.36,54.63,54.58,0.05,0.0916,8969.0,49579.729
301336.SZ,20220920,55.23,56.3,54.81,56.25,54.63,1.62,2.9654,10830.0,60070.17
301336.SZ,20220921,55.93,56.8,55.26,55.44,56.25,-0.81,-1.44,9289.5,51956.511
301336.SZ,20220922,55.2,56.5,54.83,54.96,55.44,-0.48,-0.8658,7946.0,44157.465
301336.SZ,20220923,55.24,55.79,52.58,53.0,54.96,-1.96,-3.5662,10708.98,57624.713
301336.SZ,20220926,52.68,53.43,51.66,52.22,53.0,-0.78,-1.4717,7641.26,40218.772
301336.SZ,20220927,52.28,54.16,52.28,53.55,52.22,1.33,2.5469,9495.0,50609.117
301336.SZ,20220928,53.53,53.89,51.45,51.82,53.55,-1.73,-3.2306,7879.1,41429.889
301336.SZ,20220929,53.8,62.18,53.8,60.01,51.82,8.19,15.8047,51907.27,309465.682
301336.SZ,20220930,56.79,56.79,53.0,53.0,60.01,-7.01,-11.6814,37812.76,206773.589
301336.SZ,20221010,52.48,53.47,48.48,48.8,53.0,-4.2,-7.9245,25758.61,130093.103
301336.SZ,20221011,49.02,49.91,48.12,48.6,48.8,-0.2,-0.4098,14328.67,69992.203
301336.SZ,20221012,48.53,49.57,47.7,49.48,48.6,0.88,1.8107,14399.9,69979.568
301336.SZ,20221013,48.32,51.25,48.32,50.18,49.48,0.7,1.4147,15932.64,79640.849
301336.SZ,20221014,50.46,51.8,50.19,51.12,50.18,0.94,1.8733,15813.03,80855.969
301336.SZ,20221017,50.92,54.2,50.92,52.7,51.12,1.58,3.0908,14350.04,75820.502
301336.SZ,20221018,53.46,53.46,51.35,51.95,52.7,-0.75,-1.4231,9857.0,51179.373
301336.SZ,20221019,51.94,52.5,50.31,50.33,51.95,-1.62,-3.1184,7951.0,40563.286
301336.SZ,20221020,50.2,50.91,49.55,50.27,50.33,-0.06,-0.1192,5568.0,28013.725
301336.SZ,20221021,50.32,50.8,49.1,49.4,50.27,-0.87,-1.7307,7260.89,36050.764
