ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
301376.SZ,20230621,28.2,29.05,25.71,26.34,24.66,1.68,6.8127,220607.42,594392.982
301376.SZ,20230626,25.12,25.16,22.71,22.71,26.34,-3.63,-13.7813,132124.53,310912.906
301376.SZ,20230627,21.95,23.87,21.63,22.97,22.71,0.26,1.1449,113916.47,260064.522
301376.SZ,20230628,22.46,23.16,21.23,21.24,22.97,-1.73,-7.5316,103867.74,226611.856
301376.SZ,20230629,21.41,22.42,21.4,21.56,21.24,0.32,1.5066,80178.72,175566.871
301376.SZ,20230630,22.66,25.25,22.6,23.7,21.56,2.14,9.9258,141355.98,340717.65
301376.SZ,20230703,22.6,24.55,22.5,23.56,23.7,-0.14,-0.5907,83793.42,196946.005
301376.SZ,20230704,23.22,24.58,23.15,24.23,23.56,0.67,2.8438,63280.62,152333.902
301376.SZ,20230705,24.0,24.88,23.69,23.91,24.23,-0.32,-1.3207,49851.42,120512.853
301376.SZ,20230706,23.62,24.38,23.6,23.74,23.91,-0.17,-0.711,31177.7,74422.385
301376.SZ,20230707,24.3,25.48,23.99,24.45,23.74,0.71,2.9907,76725.89,189263.853
301376.SZ,20230710,23.99,25.84,23.99,25.01,24.45,0.56,2.2904,62195.19,156134.626
301376.SZ,20230711,25.13,25.46,24.38,24.86,25.01,-0.15,-0.5998,34515.44,85495.612
301376.SZ,20230712,24.65,25.2,24.41,24.6,24.86,-0.26,-1.0459,32710.72,80936.784
301376.SZ,20230713,24.51,25.52,24.33,25.1,24.6,0.5,2.0325,41053.27,102548.591
301376.SZ,20230714,25.33,25.72,24.8,25.61,25.1,0.51,2.0319,39495.07,100151.77
301376.SZ,20230717,25.44,25.58,24.58,25.25,25.61,-0.36,-1.4057,29815.24,74680.266
301376.SZ,20230718,25.01,25.7,24.7,25.1,25.25,-0.15,-0.5941,23108.89,58312.268
301376.SZ,20230719,25.04,25.15,24.49,24.73,25.1,-0.37,-1.4741,17192.94,42593.076
301376.SZ,20230720,24.67,26.29,24.67,25.41,24.73,0.68,2.7497,45583.07,116611.356
301376.SZ,20230721,25.22,25.39,23.96,23.96,25.41,-1.45,-5.7064,43840.14,107077.993
301376.SZ,20230724,23.94,24.8,23.94,24.16,23.96,0.2,0.8347,19651.93,47796.353
301376.SZ,20230725,24.32,28.99,24.32,28.99,24.16,4.83,19.9917,78387.88,217204.601
301376.SZ,20230726,31.18,31.99,29.03,29.43,28.99,0.44,1.5178,147835.65,445822.443
301376.SZ,20230727,28.54,29.85,27.01,27.09,29.43,-2.34,-7.9511,109123.46,305975.394
301376.SZ,20230728,27.11,28.74,26.66,27.31,27.09,0.22,0.8121,80489.64,221652.908
301376.SZ,20230731,26.51,27.69,26.31,27.36,27.31,0.05,0.1831,69093.01,187323.459
