ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
301388.SZ,20221109,32.0,37.59,31.9,33.66,25.88,7.78,30.0618,151120.39,514103.275
301388.SZ,20221110,31.6,32.32,30.33,30.88,33.66,-2.78,-8.2591,108316.78,338556.431
301388.SZ,20221111,30.99,31.35,29.85,30.75,30.88,-0.13,-0.421,87778.38,268147.582
301388.SZ,20221114,30.01,30.15,29.2,29.33,30.75,-1.42,-4.6179,62241.99,184260.661
301388.SZ,20221115,29.25,29.87,29.2,29.83,29.33,0.5,1.7047,47531.43,140769.693
301388.SZ,20221116,29.51,29.77,28.66,28.86,29.83,-0.97,-3.2518,51891.75,151192.977
301388.SZ,20221117,28.7,28.79,28.3,28.78,28.86,-0.08,-0.2772,33220.61,94657.837
301388.SZ,20221118,28.74,29.22,28.66,28.76,28.78,-0.02,-0.0695,36667.02,105943.055
301388.SZ,20221121,28.76,28.76,28.33,28.5,28.76,-0.26,-0.904,24273.48,69125.063
301388.SZ,20221122,28.44,28.65,27.61,27.75,28.5,-0.75,-2.6316,33375.13,94091.064
301388.SZ,20221123,27.69,27.69,26.55,27.39,27.75,-0.36,-1.2973,31877.11,86502.149
301388.SZ,20221124,27.49,27.65,27.28,27.38,27.39,-0.01,-0.0365,19423.19,53302.566
301388.SZ,20221125,27.66,28.5,27.66,28.3,27.38,0.92,3.3601,44394.11,125142.461
301388.SZ,20221128,27.68,27.71,26.8,27.3,28.3,-1.0,-3.5336,25435.45,69184.586
301388.SZ,20221129,27.12,27.59,26.88,27.53,27.3,0.23,0.8425,24046.38,65578.591
301388.SZ,20221130,27.33,27.33,26.92,26.97,27.53,-0.56,-2.0341,21247.82,57677.927
301388.SZ,20221201,27.18,27.39,27.09,27.35,26.97,0.38,1.409,18847.18,51393.741
301388.SZ,20221202,27.45,28.58,27.21,28.27,27.35,0.92,3.3638,39120.3,109363.582
301388.SZ,20221205,28.15,28.22,27.81,28.0,28.27,-0.27,-0.9551,24740.05,69171.996
301388.SZ,20221206,28.0,28.27,27.66,27.85,28.0,-0.15,-0.5357,16586.46,46286.71
301388.SZ,20221207,27.69,28.27,27.58,27.71,27.85,-0.14,-0.5027,19122.47,53269.002
301388.SZ,20221208,27.81,27.81,27.01,27.01,27.71,-0.7,-2.5262,24545.24,66742.062
301388.SZ,20221209,26.86,27.19,26.86,26.93,27.01,-0.08,-0.2962,11932.25,32257.212
301388.SZ,20221212,27.0,27.09,26.36,26.38,26.93,-0.55,-2.0423,19204.46,50923.378
301388.SZ,20221213,26.38,26.68,26.17,26.25,26.38,-0.13,-0.4928,12345.36,32649.544
301388.SZ,20221214,26.25,26.44,26.08,26.16,26.25,-0.09,-0.3429,11330.87,29726.264
301388.SZ,20221215,26.15,26.52,26.08,26.52,26.16,0.36,1.3761,12310.68,32431.134
301388.SZ,20221216,26.66,26.85,26.2,26.26,26.52,-0.26,-0.9804,13045.02,34490.679
301388.SZ,20221219,26.05,26.05,24.92,24.92,26.26,-1.34,-5.1028,17959.76,45532.324
301388.SZ,20221220,24.89,25.48,24.52,25.41,24.92,0.49,1.9663,13828.23,34476.078
301388.SZ,20221221,25.22,25.3,24.58,24.61,25.41,-0.8,-3.1484,10497.31,26095.04
301388.SZ,20221222,24.6,24.85,23.78,23.78,24.61,-0.83,-3.3726,12171.14,29427.289
301388.SZ,20221223,23.78,23.94,23.29,23.48,23.78,-0.3,-1.2616,8807.28,20765.472
301388.SZ,20221226,23.5,25.39,23.5,24.57,23.48,1.09,4.6422,18575.0,45378.929
301388.SZ,20221227,24.31,24.8,23.88,24.2,24.57,-0.37,-1.5059,13806.13,33356.986
301388.SZ,20221228,24.27,24.27,23.62,23.68,24.2,-0.52,-2.1488,9057.38,21604.471
301388.SZ,20221229,23.7,23.88,23.35,23.35,23.68,-0.33,-1.3936,7083.74,16710.689
301388.SZ,20221230,23.35,23.77,23.32,23.4,23.35,0.05,0.2141,5478.0,12823.601
301388.SZ,20230103,23.45,24.25,23.42,24.17,23.4,0.77,3.2906,11326.95,27050.964
301388.SZ,20230104,23.98,24.32,23.84,23.98,24.17,-0.19,-0.7861,9514.07,22880.099
301388.SZ,20230105,23.89,24.25,23.89,24.23,23.98,0.25,1.0425,8900.89,21501.996
301388.SZ,20230106,24.23,25.3,24.12,24.8,24.23,0.57,2.3525,24421.57,60710.768
301388.SZ,20230109,24.69,25.42,24.65,25.03,24.8,0.23,0.9274,19322.5,48444.343
301388.SZ,20230110,24.78,25.06,24.59,24.61,25.03,-0.42,-1.678,11878.0,29371.136
301388.SZ,20230111,24.61,24.7,24.02,24.09,24.61,-0.52,-2.113,11428.03,27829.394
301388.SZ,20230112,24.28,24.31,23.97,24.01,24.09,-0.08,-0.3321,5890.3,14208.812
301388.SZ,20230113,24.1,24.49,24.05,24.36,24.01,0.35,1.4577,8162.31,19815.958
301388.SZ,20230116,24.46,24.59,24.29,24.56,24.36,0.2,0.821,9275.07,22698.983
301388.SZ,20230117,24.53,24.78,24.3,24.43,24.56,-0.13,-0.5293,6101.28,14941.256
301388.SZ,20230118,24.58,24.83,24.37,24.82,24.43,0.39,1.5964,10358.14,25560.536
301388.SZ,20230119,24.76,24.92,24.6,24.79,24.82,-0.03,-0.1209,9110.56,22558.13
301388.SZ,20230120,24.71,25.19,24.71,25.1,24.79,0.31,1.2505,13413.99,33588.247
301388.SZ,20230130,25.25,25.55,25.14,25.15,25.1,0.05,0.1992,15010.45,38027.211
301388.SZ,20230131,25.3,25.55,25.05,25.48,25.15,0.33,1.3121,12296.21,31215.204
301388.SZ,20230201,25.48,25.79,25.39,25.79,25.48,0.31,1.2166,15816.49,40543.737
301388.SZ,20230202,25.84,25.84,25.44,25.52,25.79,-0.27,-1.0469,13021.58,33356.936
301388.SZ,20230203,25.5,25.59,25.08,25.34,25.52,-0.18,-0.7053,13003.57,32895.03
301388.SZ,20230206,25.2,25.42,25.06,25.15,25.34,-0.19,-0.7498,7037.54,17736.368
301388.SZ,20230207,25.02,25.45,25.0,25.45,25.15,0.3,1.1928,9501.44,24067.598
301388.SZ,20230208,25.46,25.66,25.36,25.54,25.45,0.09,0.3536,13762.56,35113.768
301388.SZ,20230209,25.42,25.87,25.31,25.86,25.54,0.32,1.2529,16050.15,41226.484
301388.SZ,20230210,26.03,28.16,26.01,27.93,25.86,2.07,8.0046,80583.66,219620.019
301388.SZ,20230213,27.52,27.8,27.03,27.69,27.93,-0.24,-0.8593,48343.64,132399.902
301388.SZ,20230214,27.4,27.45,27.0,27.33,27.69,-0.36,-1.3001,30785.97,83827.23
301388.SZ,20230215,27.29,27.45,26.72,26.84,27.33,-0.49,-1.7929,31146.69,83939.636
301388.SZ,20230216,26.84,27.22,25.81,26.01,26.84,-0.83,-3.0924,29823.18,79431.948
301388.SZ,20230217,25.89,26.25,25.68,25.9,26.01,-0.11,-0.4229,18136.99,46978.792
301388.SZ,20230220,25.76,26.15,25.36,26.15,25.9,0.25,0.9653,14848.65,38248.443
301388.SZ,20230221,26.12,26.49,25.89,26.19,26.15,0.04,0.153,13931.25,36546.419
301388.SZ,20230222,26.16,27.06,25.84,26.77,26.19,0.58,2.2146,26753.33,70863.453
301388.SZ,20230223,26.58,26.7,26.31,26.37,26.77,-0.4,-1.4942,15259.76,40365.939
