ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
301428.SZ,20230519,42.0,50.0,40.37,46.4,26.35,20.05,76.0911,166380.52,724644.101
301428.SZ,20230522,45.3,48.5,43.4,43.91,46.4,-2.49,-5.3664,138058.97,622321.915
301428.SZ,20230523,41.46,45.67,40.4,44.91,43.91,1.0,2.2774,133645.99,571781.378
301428.SZ,20230524,43.26,48.9,43.22,48.9,44.91,3.99,8.8844,137283.28,634075.909
301428.SZ,20230525,47.4,54.48,44.5,45.8,48.9,-3.1,-6.3395,143118.26,681302.804
301428.SZ,20230526,43.15,43.95,41.1,41.15,45.8,-4.65,-10.1528,106540.73,451618.078
301428.SZ,20230529,40.52,41.86,39.67,40.6,41.15,-0.55,-1.3366,67602.89,273815.42
301428.SZ,20230530,40.58,41.2,39.79,40.5,40.6,-0.1,-0.2463,54881.82,221846.172
301428.SZ,20230531,40.0,41.82,39.16,41.08,40.5,0.58,1.4321,67276.61,272001.776
301428.SZ,20230601,40.4,42.26,40.1,41.88,41.08,0.8,1.9474,65883.69,273399.699
301428.SZ,20230602,41.7,41.77,40.4,40.6,41.88,-1.28,-3.0564,55702.7,228079.778
301428.SZ,20230605,40.55,43.6,40.11,43.29,40.6,2.69,6.6256,86911.58,369469.47
301428.SZ,20230606,42.39,42.94,40.72,41.77,43.29,-1.52,-3.5112,61212.02,255926.413
301428.SZ,20230607,41.4,42.4,40.44,41.8,41.77,0.03,0.0718,41755.12,173365.737
301428.SZ,20230608,41.35,42.17,40.22,40.27,41.8,-1.53,-3.6603,44516.32,184238.801
301428.SZ,20230609,40.52,42.56,40.0,42.29,40.27,2.02,5.0161,63179.53,264147.15
301428.SZ,20230612,42.0,42.75,41.4,42.13,42.29,-0.16,-0.3783,38543.8,162142.055
301428.SZ,20230613,41.63,43.59,41.1,42.38,42.13,0.25,0.5934,53025.27,225266.471
301428.SZ,20230614,42.0,42.29,40.61,40.97,42.38,-1.41,-3.327,46384.04,190870.631
301428.SZ,20230615,41.6,41.98,40.32,40.45,40.97,-0.52,-1.2692,39307.98,161268.944
301428.SZ,20230616,40.01,40.94,39.3,40.75,40.45,0.3,0.7417,36945.98,148523.121
301428.SZ,20230619,40.5,41.24,40.0,41.0,40.75,0.25,0.6135,35512.89,144512.033
301428.SZ,20230620,40.87,40.87,38.02,38.21,41.0,-2.79,-6.8049,62021.81,243391.668
301428.SZ,20230621,38.06,38.16,35.39,35.39,38.21,-2.82,-7.3803,44961.64,164161.971
301428.SZ,20230626,35.28,36.15,35.0,35.37,35.39,-0.02,-0.0565,24077.25,85930.866
301428.SZ,20230627,35.3,36.28,35.11,36.06,35.37,0.69,1.9508,20722.03,74233.537
301428.SZ,20230628,35.79,35.89,33.76,34.6,36.06,-1.46,-4.0488,26976.54,93520.664
301428.SZ,20230629,34.47,35.68,34.42,35.15,34.6,0.55,1.5896,21481.03,75217.699
301428.SZ,20230630,35.08,35.68,35.06,35.6,35.15,0.45,1.2802,15198.32,53753.712
301428.SZ,20230703,35.59,36.22,34.77,35.82,35.6,0.22,0.618,20263.61,71877.016
301428.SZ,20230704,35.8,36.25,35.52,35.84,35.82,0.02,0.0558,19060.58,68394.535
301428.SZ,20230705,36.3,37.37,35.9,37.35,35.84,1.51,4.2132,47158.68,173676.356
301428.SZ,20230706,36.84,36.92,36.19,36.7,37.35,-0.65,-1.7403,32648.04,119248.17
301428.SZ,20230707,36.41,36.45,35.06,35.21,36.7,-1.49,-4.0599,22937.37,81534.032
301428.SZ,20230710,35.55,36.22,35.41,35.71,35.21,0.5,1.4201,17076.78,61125.594
301428.SZ,20230711,35.77,36.15,35.51,35.96,35.71,0.25,0.7001,16329.18,58500.801
301428.SZ,20230712,35.7,36.5,35.45,35.6,35.96,-0.36,-1.0011,25403.65,91365.226
301428.SZ,20230713,35.55,36.88,35.55,36.84,35.6,1.24,3.4831,29313.81,106623.561
301428.SZ,20230714,36.72,39.88,36.6,39.18,36.84,2.34,6.3518,63206.89,243571.468
301428.SZ,20230717,39.3,40.57,37.8,38.17,39.18,-1.01,-2.5778,41075.31,158868.994
301428.SZ,20230718,38.0,39.46,37.01,38.29,38.17,0.12,0.3144,38607.96,147300.523
301428.SZ,20230719,37.92,39.6,37.92,39.3,38.29,1.01,2.6378,41265.75,160977.507
