ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
301528.SZ,20230828,175.0,185.0,122.5,128.21,71.8,56.41,78.5655,109508.06,1627877.776
301528.SZ,20230829,115.0,136.3,112.0,131.88,128.21,3.67,2.8625,76863.42,963179.44
301528.SZ,20230830,127.22,129.88,112.81,115.11,131.88,-16.77,-12.7161,65545.18,788583.039
301528.SZ,20230831,110.01,120.0,110.0,119.18,115.11,4.07,3.5357,53102.23,610318.054
301528.SZ,20230901,117.2,118.18,106.88,106.88,119.18,-12.3,-10.3205,44190.07,497410.355
301528.SZ,20230904,106.88,108.0,100.71,100.95,106.88,-5.93,-5.5483,41549.38,427077.497
301528.SZ,20230905,100.0,100.75,97.2,97.4,100.95,-3.55,-3.5166,33591.25,330783.505
301528.SZ,20230906,97.0,100.55,97.0,100.27,97.4,2.87,2.9466,31129.01,308715.949
301528.SZ,20230907,100.27,100.34,94.35,94.35,100.27,-5.92,-5.9041,31683.04,304848.374
301528.SZ,20230908,94.02,96.58,93.68,95.76,94.35,1.41,1.4944,19174.76,183066.507
301528.SZ,20230911,95.29,95.76,93.58,93.87,95.76,-1.89,-1.9737,17741.26,167710.398
301528.SZ,20230912,93.5,94.89,93.5,93.93,93.87,0.06,0.0639,13063.91,122932.891
301528.SZ,20230913,95.26,96.17,93.8,94.57,93.93,0.64,0.6814,16699.71,158155.653
301528.SZ,20230914,93.49,93.49,87.89,88.23,94.57,-6.34,-6.704,25606.93,229588.688
301528.SZ,20230915,87.97,88.6,85.48,85.48,88.23,-2.75,-3.1169,15246.36,131594.424
301528.SZ,20230918,84.71,88.5,84.68,87.1,85.48,1.62,1.8952,17454.47,152427.634
301528.SZ,20230919,86.8,88.35,86.5,87.61,87.1,0.51,0.5855,11510.89,100457.033
301528.SZ,20230920,87.0,87.97,85.0,86.1,87.61,-1.51,-1.7235,10768.0,93382.004
301528.SZ,20230921,86.0,87.7,84.66,84.7,86.1,-1.4,-1.626,11884.54,102488.466
301528.SZ,20230922,84.2,86.09,84.18,85.95,84.7,1.25,1.4758,10359.71,88571.933
301528.SZ,20230925,86.38,87.94,85.76,87.02,85.95,1.07,1.2449,13182.01,114466.49
301528.SZ,20230926,86.4,86.88,84.79,85.93,87.02,-1.09,-1.2526,11661.69,100167.249
301528.SZ,20230927,85.99,86.48,85.17,85.17,85.93,-0.76,-0.8844,11071.34,94959.713
301528.SZ,20230928,85.5,86.0,84.38,84.77,85.17,-0.4,-0.4696,11195.81,95213.051
301528.SZ,20231009,84.23,84.79,82.53,82.53,84.77,-2.24,-2.6424,8582.14,71781.677
301528.SZ,20231010,82.55,84.65,82.05,83.0,82.53,0.47,0.5695,8679.55,72335.589
301528.SZ,20231011,82.88,84.65,81.6,84.28,83.0,1.28,1.5422,14020.93,116464.548
301528.SZ,20231012,83.7,85.58,83.4,84.29,84.28,0.01,0.0119,9557.67,80585.217
301528.SZ,20231013,84.0,84.0,81.8,81.8,84.29,-2.49,-2.9541,6745.6,55881.674
301528.SZ,20231016,81.94,83.8,78.9,79.79,81.8,-2.01,-2.4572,11049.94,89361.921
301528.SZ,20231017,80.03,81.36,78.13,79.8,79.79,0.01,0.0125,7121.13,56643.744
301528.SZ,20231018,79.8,79.81,75.93,75.97,79.8,-3.83,-4.7995,8323.58,64142.894
301528.SZ,20231019,75.75,77.12,75.16,75.41,75.97,-0.56,-0.7371,6241.84,47633.824
