ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
301616.SZ,20250327,57.15,65.85,51.52,51.99,20.87,31.12,149.1136,157616.06,922495.291
301616.SZ,20250328,47.17,48.97,43.8,44.45,51.99,-7.54,-14.5028,123661.93,569554.853
301616.SZ,20250331,46.83,66.66,46.8,55.58,44.45,11.13,25.0394,159048.28,849898.093
301616.SZ,20250401,50.0,59.78,48.55,54.39,55.58,-1.19,-2.1411,133710.88,696910.13
301616.SZ,20250402,51.83,59.46,50.99,57.81,54.39,3.42,6.2879,129188.05,722518.78
301616.SZ,20250403,61.66,61.66,54.1,59.3,57.81,1.49,2.5774,128298.85,741611.443
301616.SZ,20250407,52.74,55.9,47.44,47.44,59.3,-11.86,-20.0,94081.6,485670.536
301616.SZ,20250408,45.81,48.58,42.0,43.95,47.44,-3.49,-7.3567,100445.13,450879.929
301616.SZ,20250409,40.98,44.41,37.61,42.68,43.95,-1.27,-2.8896,87808.36,359806.809
301616.SZ,20250410,43.83,45.47,42.45,42.69,42.68,0.01,0.0234,74166.68,326098.546
301616.SZ,20250411,41.06,42.93,41.06,41.7,42.69,-0.99,-2.319,45893.03,193066.198
301616.SZ,20250414,42.25,44.3,42.01,44.08,41.7,2.38,5.7074,55963.33,241984.862
301616.SZ,20250415,44.0,44.6,42.95,43.82,44.08,-0.26,-0.5898,47389.48,207555.509
301616.SZ,20250416,43.39,43.66,41.5,42.53,43.82,-1.29,-2.9439,47902.01,203611.993
301616.SZ,20250417,42.5,42.98,41.41,41.43,42.53,-1.1,-2.5864,37757.08,159490.855
301616.SZ,20250418,41.51,45.2,40.0,43.63,41.43,2.2,5.3102,77860.33,331972.638
301616.SZ,20250421,43.56,49.2,43.56,45.6,43.63,1.97,4.5152,86621.08,396312.858
301616.SZ,20250422,44.63,45.48,44.02,44.12,45.6,-1.48,-3.2456,55297.14,246105.53
301616.SZ,20250423,44.39,46.18,44.23,44.88,44.12,0.76,1.7226,56168.25,253862.021
301616.SZ,20250424,44.2,44.83,41.8,42.0,44.88,-2.88,-6.4171,49316.46,210248.093
301616.SZ,20250425,42.0,46.08,42.0,44.19,42.0,2.19,5.2143,57620.58,254475.338
301616.SZ,20250428,42.98,44.48,42.46,42.88,44.19,-1.31,-2.9645,39660.9,171625.316
301616.SZ,20250429,43.01,43.25,42.24,42.31,42.88,-0.57,-1.3293,26892.01,114658.569
301616.SZ,20250430,42.42,42.74,42.16,42.31,42.31,0.0,0.0,19915.09,84646.215
301616.SZ,20250506,42.61,44.18,42.51,43.97,42.31,1.66,3.9234,36511.11,159179.388
301616.SZ,20250507,44.19,45.0,43.03,44.36,43.97,0.39,0.887,37859.09,167076.509
301616.SZ,20250508,44.19,45.5,43.96,44.99,44.36,0.63,1.4202,32384.0,144975.771
