ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
301662.SZ,20250417,72.2,83.8,70.36,70.51,26.6,43.91,165.0752,127903.73,952372.106
301662.SZ,20250418,67.0,74.33,66.0,67.33,70.51,-3.18,-4.51,81648.93,568418.266
301662.SZ,20250421,68.0,68.01,62.8,63.18,67.33,-4.15,-6.1637,72063.64,461139.176
301662.SZ,20250422,62.39,65.48,61.98,63.17,63.18,-0.01,-0.0158,53211.09,340041.734
301662.SZ,20250423,64.55,65.33,61.0,61.21,63.17,-1.96,-3.1027,53031.24,331433.256
301662.SZ,20250424,60.01,60.9,55.68,55.68,61.21,-5.53,-9.0345,56691.52,325809.791
301662.SZ,20250425,55.0,56.6,54.7,55.0,55.68,-0.68,-1.2213,35460.1,196304.796
301662.SZ,20250428,55.01,55.01,52.88,52.95,55.0,-2.05,-3.7273,29308.24,156658.461
301662.SZ,20250429,51.5,52.56,51.31,51.66,52.95,-1.29,-2.4363,27026.27,140384.775
301662.SZ,20250430,51.62,52.3,51.19,51.19,51.66,-0.47,-0.9098,22499.66,116303.841
301662.SZ,20250506,51.4,52.52,51.19,52.5,51.19,1.31,2.5591,26965.79,140057.449
301662.SZ,20250507,52.51,53.04,51.5,52.6,52.5,0.1,0.1905,28779.34,150703.007
301662.SZ,20250508,52.15,53.03,51.9,52.67,52.6,0.07,0.1331,21679.63,114012.43
301662.SZ,20250509,52.49,53.45,51.62,53.31,52.67,0.64,1.2151,30830.1,162261.607
301662.SZ,20250512,55.81,63.97,55.1,63.2,53.31,9.89,18.5519,93664.19,556880.434
301662.SZ,20250513,60.89,62.99,58.72,62.81,63.2,-0.39,-0.6171,70783.45,430916.598
301662.SZ,20250514,61.99,65.68,61.48,62.86,62.81,0.05,0.0796,62991.39,398856.582
301662.SZ,20250515,63.6,72.01,63.6,67.37,62.86,4.51,7.1747,72454.3,493822.017
301662.SZ,20250516,65.37,71.68,65.0,69.13,67.37,1.76,2.6124,60331.29,417022.183
301662.SZ,20250519,70.6,71.5,66.0,69.01,69.13,-0.12,-0.1736,41109.37,281492.36
301662.SZ,20250520,68.66,70.94,65.0,69.42,69.01,0.41,0.5941,46766.92,320849.902
301662.SZ,20250521,67.8,83.3,66.2,83.3,69.42,13.88,19.9942,83427.64,639836.939
301662.SZ,20250522,78.0,79.84,73.89,74.59,83.3,-8.71,-10.4562,59029.8,451341.293
301662.SZ,20250523,74.59,81.33,72.88,79.03,74.59,4.44,5.9525,65207.39,509114.958
301662.SZ,20250526,79.99,88.28,77.73,81.01,79.03,1.98,2.5054,61302.45,505882.938
301662.SZ,20250527,81.01,85.57,78.0,85.57,81.01,4.56,5.6289,53311.14,436207.614
301662.SZ,20250528,83.0,84.0,76.82,77.06,85.57,-8.51,-9.9451,41516.57,332704.111
301662.SZ,20250529,75.0,76.62,72.95,73.01,77.06,-4.05,-5.2556,39171.75,291127.149
301662.SZ,20250530,73.3,73.74,70.26,70.33,73.01,-2.68,-3.6707,31743.17,226955.771
301662.SZ,20250603,71.33,71.8,69.96,71.57,70.33,1.24,1.7631,20697.12,146710.123
301662.SZ,20250604,70.99,76.88,70.99,74.29,71.57,2.72,3.8005,40312.1,300437.024
301662.SZ,20250605,72.99,73.99,69.0,71.89,74.29,-2.4,-3.2306,28599.4,203826.723
301662.SZ,20250606,72.25,79.0,72.25,76.11,71.89,4.22,5.8701,35537.63,269784.505
301662.SZ,20250609,76.23,81.99,76.23,80.01,76.11,3.9,5.1242,37823.26,300697.893
301662.SZ,20250610,78.22,85.01,76.81,81.01,79.01,2.0,2.5313,46412.54,378640.099
301662.SZ,20250611,78.84,80.99,76.6,77.54,81.01,-3.47,-4.2834,29194.15,228129.887
301662.SZ,20250612,77.0,93.05,76.08,93.05,77.54,15.51,20.0026,50882.08,435647.7
301662.SZ,20250613,93.05,106.88,93.0,98.39,93.05,5.34,5.7389,61088.85,607800.112
301662.SZ,20250616,95.01,99.1,92.27,97.9,98.39,-0.49,-0.498,35914.72,347201.928
301662.SZ,20250617,97.99,110.88,96.0,103.0,97.9,5.1,5.2094,54208.05,554072.429
301662.SZ,20250618,100.2,104.56,97.52,102.09,103.0,-0.91,-0.8835,35355.28,354094.125
301662.SZ,20250619,101.0,108.88,96.5,97.15,102.09,-4.94,-4.8389,38360.41,392105.434
301662.SZ,20250620,98.0,103.85,95.5,95.9,97.15,-1.25,-1.2867,33754.48,335506.175
301662.SZ,20250623,93.06,101.28,92.9,101.19,95.9,5.29,5.5162,36855.98,354252.971
301662.SZ,20250624,98.18,107.0,97.2,105.6,101.19,4.41,4.3581,44655.79,460865.093
301662.SZ,20250625,105.0,107.35,101.7,102.5,105.6,-3.1,-2.9356,37234.56,385881.909
301662.SZ,20250626,100.0,103.5,98.98,101.0,102.5,-1.5,-1.4634,22210.7,224755.545
301662.SZ,20250627,101.01,103.01,95.81,96.0,101.0,-5.0,-4.9505,29059.89,285015.999
301662.SZ,20250630,95.03,110.0,95.0,105.82,96.0,9.82,10.2292,41818.75,431564.659
301662.SZ,20250701,105.8,112.33,102.49,108.2,105.82,2.38,2.2491,45852.24,493786.609
301662.SZ,20250702,107.34,107.9,101.81,102.26,108.2,-5.94,-5.4898,26047.0,272449.158
301662.SZ,20250703,101.16,122.71,101.15,118.6,102.26,16.34,15.9789,58040.8,665500.394
301662.SZ,20250704,116.0,121.0,115.24,116.16,118.6,-2.44,-2.0573,42624.69,503599.871
301662.SZ,20250707,114.56,126.0,113.12,121.39,116.16,5.23,4.5024,40959.66,496340.064
301662.SZ,20250708,121.21,125.01,116.7,118.7,121.39,-2.69,-2.216,38020.66,453623.264
301662.SZ,20250709,116.01,117.3,112.77,115.5,118.7,-3.2,-2.6959,27165.0,311955.787
301662.SZ,20250710,114.22,115.39,105.81,108.61,115.5,-6.89,-5.9654,41174.07,449285.001
301662.SZ,20250711,107.0,110.96,105.3,109.21,108.61,0.6,0.5524,24672.17,268389.148
301662.SZ,20250714,108.0,109.19,88.88,97.55,109.21,-11.66,-10.6767,44462.99,445974.966
301662.SZ,20250715,97.61,98.52,95.45,96.29,97.55,-1.26,-1.2916,25576.0,247371.45
301662.SZ,20250716,96.79,96.95,93.94,95.58,96.29,-0.71,-0.7374,16219.86,155035.452
301662.SZ,20250717,95.55,100.73,94.35,98.45,95.58,2.87,3.0027,32680.57,320284.141
301662.SZ,20250718,99.08,106.98,98.02,104.95,98.45,6.5,6.6023,41136.15,428987.251
301662.SZ,20250721,102.4,110.0,101.1,109.2,104.95,4.25,4.0495,32606.54,346143.79
301662.SZ,20250722,107.0,112.2,106.0,107.58,109.2,-1.62,-1.4835,37152.49,406652.284
301662.SZ,20250723,106.12,107.5,103.88,105.67,107.58,-1.91,-1.7754,19925.85,210139.969
301662.SZ,20250724,105.58,108.62,104.5,106.19,105.67,0.52,0.4921,20661.82,220414.147
301662.SZ,20250725,105.0,108.45,102.19,104.82,106.19,-1.37,-1.2901,21404.37,226680.415
301662.SZ,20250728,104.5,113.98,104.48,112.68,104.82,7.86,7.4986,36935.58,409272.141
301662.SZ,20250729,110.7,113.49,106.41,108.85,112.68,-3.83,-3.399,33166.79,364694.127
301662.SZ,20250730,107.5,107.99,100.52,105.0,108.85,-3.85,-3.537,30175.44,312400.662
301662.SZ,20250731,104.65,113.88,101.16,106.85,105.0,1.85,1.7619,37623.91,399718.891
301662.SZ,20250801,105.8,105.8,101.28,101.3,106.85,-5.55,-5.1942,21705.82,223624.816
301662.SZ,20250804,99.81,107.66,99.1,106.93,101.3,5.63,5.5577,27490.69,286778.604
301662.SZ,20250805,106.85,106.93,102.89,103.2,106.93,-3.73,-3.4883,21249.86,221557.567
301662.SZ,20250806,103.4,104.24,101.46,101.95,103.2,-1.25,-1.2112,17236.86,176587.419
301662.SZ,20250807,101.69,102.8,101.1,102.29,101.95,0.34,0.3335,14295.0,145759.231
301662.SZ,20250808,102.86,103.98,101.0,101.12,102.29,-1.17,-1.1438,11872.03,121003.215
301662.SZ,20250811,101.6,103.65,101.5,101.78,101.12,0.66,0.6527,12648.56,129421.782
301662.SZ,20250812,101.25,102.97,97.86,101.93,101.78,0.15,0.1474,18750.69,188323.758
301662.SZ,20250813,101.88,107.7,100.5,106.87,101.93,4.94,4.8465,33415.48,353218.557
301662.SZ,20250814,106.11,108.98,103.0,103.08,106.87,-3.79,-3.5464,19607.52,206019.995
301662.SZ,20250815,102.33,108.8,102.33,104.99,103.08,1.91,1.8529,21651.16,230396.21
301662.SZ,20250818,103.88,110.0,102.68,107.58,104.99,2.59,2.4669,33179.55,352002.657
301662.SZ,20250819,106.01,111.99,104.06,110.0,107.58,2.42,2.2495,34947.7,378971.719
301662.SZ,20250820,108.5,114.1,106.27,112.4,110.0,2.4,2.1818,31888.86,349502.317
301662.SZ,20250821,112.4,112.4,106.39,106.9,112.4,-5.5,-4.8932,19378.62,210886.464
301662.SZ,20250822,106.65,107.88,105.0,106.52,106.9,-0.38,-0.3555,13790.93,146522.374
301662.SZ,20250825,106.4,109.0,105.9,107.06,106.52,0.54,0.5069,17591.01,188608.441
301662.SZ,20250826,106.06,106.98,103.51,103.9,107.06,-3.16,-2.9516,17974.0,188397.816
301662.SZ,20250827,102.91,106.65,102.91,103.22,103.9,-0.68,-0.6545,17454.93,182728.851
301662.SZ,20250828,103.3,106.88,99.85,100.43,103.22,-2.79,-2.703,19648.44,200355.932
301662.SZ,20250829,99.4,119.8,96.0,111.66,100.43,11.23,11.1819,43548.29,470693.499
301662.SZ,20250901,111.0,122.6,109.22,118.49,111.66,6.83,6.1168,42394.8,496878.832
301662.SZ,20250902,118.0,137.45,117.1,128.12,118.49,9.63,8.1273,50005.7,630430.404
301662.SZ,20250903,127.48,129.5,120.18,122.9,128.12,-5.22,-4.0743,39214.11,487060.935
301662.SZ,20250904,122.36,127.5,118.36,122.3,122.9,-0.6,-0.4882,36460.97,450410.74
301662.SZ,20250905,121.91,145.47,121.72,141.85,122.3,19.55,15.9853,50718.72,676461.133
301662.SZ,20250908,140.05,165.47,135.0,149.51,141.85,7.66,5.4001,55389.58,822888.104
301662.SZ,20250909,146.5,157.2,144.1,152.1,149.51,2.59,1.7323,39471.76,599103.901
301662.SZ,20250910,146.0,160.0,143.44,157.98,152.1,5.88,3.8659,39094.15,595676.195
301662.SZ,20250911,153.5,158.18,149.51,155.0,157.98,-2.98,-1.8863,37399.19,574168.159
301662.SZ,20250912,150.01,151.8,142.34,146.11,155.0,-8.89,-5.7355,37258.41,543117.294
301662.SZ,20250915,144.57,150.66,143.0,143.0,146.11,-3.11,-2.1285,24439.05,356300.652
301662.SZ,20250916,140.08,143.6,139.01,142.58,143.0,-0.42,-0.2937,22928.69,323466.915
301662.SZ,20250917,142.0,144.58,138.42,139.54,142.58,-3.04,-2.1321,23627.48,334490.799
301662.SZ,20250918,139.05,145.0,136.5,140.74,139.54,1.2,0.86,27953.63,395377.016
301662.SZ,20250919,140.0,143.2,137.43,137.77,140.74,-2.97,-2.1103,22145.82,310498.452
301662.SZ,20250922,137.87,140.86,135.33,139.3,137.77,1.53,1.1105,15362.96,212347.024
301662.SZ,20250923,139.81,143.82,136.73,143.2,139.3,3.9,2.7997,25726.42,363293.682
301662.SZ,20250924,142.0,146.0,136.22,145.3,143.2,2.1,1.4665,29298.6,413795.581
301662.SZ,20250925,142.07,143.65,139.98,140.5,145.3,-4.8,-3.3035,17317.82,244806.128
301662.SZ,20250926,138.92,143.0,128.91,130.0,140.5,-10.5,-7.4733,20178.02,274802.682
301662.SZ,20250929,129.02,133.43,128.86,131.93,130.0,1.93,1.4846,16542.69,217404.017
301662.SZ,20250930,130.61,134.4,128.86,129.05,131.93,-2.88,-2.183,15931.98,208344.279
301662.SZ,20251009,130.56,141.96,130.56,139.4,129.05,10.35,8.0201,28242.91,392069.132
301662.SZ,20251010,138.11,139.4,125.65,126.06,139.4,-13.34,-9.5696,23544.86,303666.473
301662.SZ,20251013,116.01,124.15,116.01,124.15,126.06,-1.91,-1.5152,15762.57,191030.648
301662.SZ,20251014,125.01,126.0,116.3,116.78,124.15,-7.37,-5.9364,15568.59,186886.868
