ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600010.SH,20150105,4.09,4.34,4.04,4.33,4.08,0.25,6.13,6304932.03,2671583.55
600010.SH,20150106,4.3,4.32,4.12,4.22,4.33,-0.11,-2.54,3782714.03,1598859.077
600010.SH,20150107,4.2,4.39,4.16,4.29,4.22,0.07,1.66,4210522.47,1810982.92
600010.SH,20150108,4.29,4.33,4.18,4.22,4.29,-0.07,-1.63,2860528.06,1209181.009
600010.SH,20150109,4.2,4.28,4.14,4.18,4.22,-0.04,-0.95,3157589.18,1329508.457
600010.SH,20150112,4.15,4.25,4.13,4.17,4.18,-0.01,-0.24,2540520.74,1064213.181
600010.SH,20150113,4.16,4.2,4.1,4.13,4.17,-0.04,-0.96,1928470.98,799099.17
600010.SH,20150114,4.12,4.12,3.96,4.01,4.13,-0.12,-2.91,2892135.68,1167702.291
600010.SH,20150115,4.04,4.13,4.0,4.13,4.01,0.12,2.99,2129676.73,863461.975
600010.SH,20150116,4.15,4.29,4.12,4.27,4.13,0.14,3.39,3940810.45,1662371.918
600010.SH,20150119,4.06,4.21,3.84,3.89,4.27,-0.38,-8.9,4582456.43,1846179.103
600010.SH,20150120,3.94,4.08,3.94,4.04,3.89,0.15,3.86,2608652.98,1049516.677
600010.SH,20150121,4.06,4.17,4.05,4.16,4.04,0.12,2.97,2977387.46,1225430.787
600010.SH,20150122,4.16,4.53,4.13,4.41,4.16,0.25,6.01,6500323.88,2850181.7
600010.SH,20150123,4.55,4.82,4.51,4.62,4.41,0.21,4.76,8236493.95,3803941.177
600010.SH,20150126,4.7,5.08,4.63,5.08,4.62,0.46,9.96,11095928.29,5505352.463
600010.SH,20150127,5.19,5.24,4.92,5.07,5.08,-0.01,-0.2,9996051.88,5063195.945
600010.SH,20150128,4.99,5.18,4.9,5.08,5.07,0.01,0.2,5790248.62,2933598.86
600010.SH,20150129,5.09,5.17,4.96,5.03,5.08,-0.05,-0.98,4690440.3,2373588.443
600010.SH,20150130,5.04,5.12,4.98,5.0,5.03,-0.03,-0.6,3827210.28,1926336.407
600010.SH,20150202,4.89,5.47,4.86,5.33,5.0,0.33,6.6,7783746.17,4059310.176
600010.SH,20150203,5.32,5.45,5.25,5.31,5.33,-0.02,-0.38,4000911.25,2134483.759
600010.SH,20150204,5.34,5.55,5.32,5.33,5.31,0.02,0.38,4856016.33,2633744.726
600010.SH,20150205,5.37,5.41,4.9,4.98,5.33,-0.35,-6.57,5215870.58,2712807.647
600010.SH,20150206,4.94,5.04,4.59,4.74,4.98,-0.24,-4.82,6149785.67,2910769.658
600010.SH,20150209,4.7,4.79,4.61,4.72,4.74,-0.02,-0.42,2755200.79,1296077.544
600010.SH,20150210,4.71,4.89,4.69,4.84,4.72,0.12,2.54,2436543.79,1172203.278
600010.SH,20150211,4.85,5.04,4.83,5.02,4.84,0.18,3.72,2764255.7,1374077.564
600010.SH,20150212,5.01,5.01,4.77,4.87,5.02,-0.15,-2.99,2998287.7,1466243.334
600010.SH,20150213,4.87,5.0,4.87,4.89,4.87,0.02,0.41,2779778.71,1373040.489
600010.SH,20150216,4.92,4.96,4.77,4.9,4.89,0.01,0.2,2738486.7,1332870.487
600010.SH,20150217,4.91,4.94,4.86,4.89,4.9,-0.01,-0.2,1916585.01,938946.458
600010.SH,20150225,4.9,4.95,4.84,4.9,4.89,0.01,0.2,1755817.97,858587.383
600010.SH,20150226,4.91,5.11,4.85,5.09,4.9,0.19,3.88,3407061.82,1702648.109
600010.SH,20150227,5.09,5.24,5.05,5.14,5.09,0.05,0.98,3767907.03,1945163.953
600010.SH,20150302,5.2,5.32,5.14,5.21,5.14,0.07,1.36,3726936.35,1945481.864
600010.SH,20150303,5.2,5.2,5.01,5.06,5.21,-0.15,-2.88,3507329.6,1789820.919
600010.SH,20150304,5.06,5.09,4.96,5.04,5.06,-0.02,-0.4,2203438.52,1107396.513
600010.SH,20150305,5.0,5.0,4.91,4.94,5.04,-0.1,-1.98,2315245.16,1141979.643
600010.SH,20150306,4.93,5.29,4.88,5.16,4.94,0.22,4.45,5197314.96,2666054.938
600010.SH,20150309,5.12,5.18,5.01,5.15,5.16,-0.01,-0.19,2519616.68,1287489.561
600010.SH,20150310,5.18,5.36,5.15,5.19,5.15,0.04,0.78,2735852.34,1430501.186
600010.SH,20150311,5.23,5.28,5.11,5.18,5.19,-0.01,-0.19,2154067.24,1116657.805
600010.SH,20150312,5.2,5.34,5.14,5.31,5.18,0.13,2.51,3651241.87,1917532.389
600010.SH,20150313,5.36,5.84,5.31,5.82,5.31,0.51,9.6,6886238.7,3804807.788
600010.SH,20150316,5.92,6.16,5.7,6.03,5.82,0.21,3.61,6581674.74,3908857.754
600010.SH,20150317,6.04,6.16,5.93,5.99,6.03,-0.04,-0.66,5192754.33,3134780.548
600010.SH,20150318,5.98,6.34,5.95,6.15,5.99,0.16,2.67,5426289.44,3341837.325
600010.SH,20150319,6.15,6.3,6.02,6.26,6.15,0.11,1.79,5360014.35,3301132.653
600010.SH,20150320,6.26,6.41,6.1,6.17,6.26,-0.09,-1.44,4861664.17,3022917.891
600010.SH,20150323,6.09,6.24,6.0,6.15,6.17,-0.02,-0.32,4998534.53,3055819.598
600010.SH,20150324,6.18,6.46,6.08,6.27,6.15,0.12,1.95,7151787.11,4467331.966
600010.SH,20150325,6.2,6.26,6.07,6.11,6.27,-0.16,-2.55,4133270.85,2536514.475
600010.SH,20150326,6.09,6.27,5.92,6.2,6.11,0.09,1.47,4826102.19,2958612.209
600010.SH,20150327,6.18,6.42,6.15,6.29,6.2,0.09,1.45,4768989.67,2999892.172
600010.SH,20150330,6.6,6.67,6.03,6.13,6.29,-0.16,-2.54,10429597.7,6530056.156
600010.SH,20150331,6.06,6.07,5.88,5.92,6.13,-0.21,-3.43,7817793.4,4662593.059
600010.SH,20150401,5.89,6.06,5.86,5.97,5.92,0.05,0.84,5122775.9,3048800.223
600010.SH,20150402,5.99,6.02,5.84,5.9,5.97,-0.07,-1.17,4659334.04,2756610.379
600010.SH,20150403,5.87,6.0,5.82,5.97,5.9,0.07,1.19,4567123.82,2708545.021
600010.SH,20150407,5.95,6.06,5.93,6.01,5.97,0.04,0.67,5579285.18,3346736.975
600010.SH,20150408,6.03,6.09,5.9,6.07,6.01,0.06,1.0,6565359.18,3948546.676
600010.SH,20150409,6.13,6.18,5.91,6.01,6.07,-0.06,-0.99,5341394.67,3214454.012
600010.SH,20150410,6.01,6.09,5.94,6.04,6.01,0.03,0.5,4843293.22,2920539.156
600010.SH,20150413,6.09,6.12,6.0,6.1,6.04,0.06,0.99,6029135.31,3655137.136
600010.SH,20150414,6.12,6.69,6.05,6.49,6.1,0.39,6.39,10279194.7,6513583.653
600010.SH,20150415,6.42,6.44,6.11,6.12,6.49,-0.37,-5.7,5689011.91,3559173.566
600010.SH,20150416,6.1,6.16,5.94,6.1,6.12,-0.02,-0.33,4427605.98,2683666.032
600010.SH,20150417,6.14,6.45,6.11,6.28,6.1,0.18,2.95,7805968.88,4883555.778
600010.SH,20150420,6.22,6.58,6.11,6.35,6.28,0.07,1.11,9752735.1,6224620.134
600010.SH,20150421,6.35,6.99,6.31,6.99,6.35,0.64,10.08,13058932.8,8861692.813
600010.SH,20150422,7.0,7.27,6.9,7.07,6.99,0.08,1.14,12227924.24,8624586.151
600010.SH,20150423,7.07,7.5,6.91,7.28,7.07,0.21,2.97,10678237.51,7704919.267
600010.SH,20150424,7.18,7.43,7.09,7.16,7.28,-0.12,-1.65,7687679.38,5549664.485
600010.SH,20150427,7.21,7.29,7.0,7.15,7.16,-0.01,-0.14,6974534.4,4967845.907
600010.SH,20150428,7.1,7.1,6.63,6.74,7.15,-0.41,-5.73,7387149.93,5081203.814
600010.SH,20150429,6.85,7.18,6.84,6.94,6.74,0.2,2.97,5895136.65,4131996.745
600010.SH,20150430,6.95,7.05,6.74,6.77,6.94,-0.17,-2.45,4365392.57,2979707.544
600010.SH,20150504,6.77,7.03,6.7,6.91,6.77,0.14,2.07,4599546.06,3165453.189
600010.SH,20150505,6.88,6.99,6.4,6.51,6.91,-0.4,-5.79,5040693.33,3369864.991
600010.SH,20150506,6.75,6.84,6.37,6.51,6.51,0.0,0.0,4550789.73,3026117.629
600010.SH,20150507,6.46,6.46,5.91,5.97,6.51,-0.54,-8.29,4950123.56,3018782.865
600010.SH,20150508,6.0,6.11,5.78,6.05,5.97,0.08,1.34,5038422.66,2999399.31
600010.SH,20150511,6.11,6.15,5.93,6.14,6.05,0.09,1.49,5194062.1,3146347.088
600010.SH,20150512,6.13,6.15,6.03,6.11,6.14,-0.03,-0.49,4706556.4,2863144.212
600010.SH,20150513,6.08,6.32,6.01,6.15,6.11,0.04,0.65,5698034.15,3517678.844
600010.SH,20150514,6.1,6.77,5.99,6.77,6.15,0.62,10.08,9738423.2,6194892.301
600010.SH,20150515,7.15,7.44,6.9,6.94,6.77,0.17,2.51,15397222.05,11052937.411
600010.SH,20150518,6.7,6.79,6.54,6.58,6.94,-0.36,-5.19,6473121.05,4317604.745
600010.SH,20150519,6.57,6.88,6.5,6.7,6.58,0.12,1.82,5199357.84,3493128.919
600010.SH,20150520,6.69,6.89,6.61,6.74,6.7,0.04,0.6,5823576.5,3926271.741
