ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600020.SH,20150105,4.06,4.16,4.06,4.15,4.06,0.09,2.22,405242.98,167041.611
600020.SH,20150106,4.13,4.35,4.08,4.24,4.15,0.09,2.17,599084.85,253688.097
600020.SH,20150107,4.18,4.2,4.13,4.18,4.24,-0.06,-1.42,301056.22,125220.6
600020.SH,20150108,4.15,4.17,4.0,4.03,4.18,-0.15,-3.59,270501.89,109965.56
600020.SH,20150109,4.01,4.08,4.01,4.01,4.03,-0.02,-0.5,201129.36,81327.738
600020.SH,20150112,3.98,3.98,3.81,3.84,4.01,-0.17,-4.24,222249.8,86455.737
600020.SH,20150113,3.83,3.86,3.8,3.82,3.84,-0.02,-0.52,117495.19,45041.974
600020.SH,20150114,3.83,3.86,3.75,3.77,3.82,-0.05,-1.31,106495.17,40646.098
600020.SH,20150115,3.77,3.88,3.73,3.88,3.77,0.11,2.92,131964.35,50232.227
600020.SH,20150116,3.88,3.98,3.86,3.98,3.88,0.1,2.58,205517.77,80473.635
600020.SH,20150119,3.89,3.89,3.58,3.62,3.98,-0.36,-9.05,310165.91,115754.98
600020.SH,20150120,3.63,3.72,3.62,3.7,3.62,0.08,2.21,172101.99,63380.128
600020.SH,20150121,3.71,3.85,3.7,3.85,3.7,0.15,4.05,176726.47,67053.973
600020.SH,20150122,3.96,4.07,3.96,4.06,3.85,0.21,5.45,484983.41,194833.284
600020.SH,20150123,4.09,4.18,4.0,4.04,4.06,-0.02,-0.49,473149.09,193289.697
600020.SH,20150126,4.11,4.2,3.98,4.14,4.04,0.1,2.48,421234.47,172526.438
600020.SH,20150127,4.12,4.13,3.98,4.08,4.14,-0.06,-1.45,374921.38,152229.371
600020.SH,20150128,4.06,4.09,4.01,4.04,4.08,-0.04,-0.98,191482.59,77498.68
600020.SH,20150129,4.08,4.15,4.03,4.05,4.04,0.01,0.25,317394.55,130111.949
600020.SH,20150130,4.07,4.09,3.97,3.98,4.05,-0.07,-1.73,224706.08,90065.783
600020.SH,20150202,3.9,3.91,3.82,3.86,3.98,-0.12,-3.02,184106.95,71210.31
600020.SH,20150203,3.84,3.89,3.78,3.88,3.86,0.02,0.52,209236.54,80252.139
600020.SH,20150204,3.89,3.9,3.81,3.81,3.88,-0.07,-1.8,140268.15,54044.16
600020.SH,20150205,3.87,3.9,3.75,3.75,3.81,-0.06,-1.57,145496.53,55427.527
600020.SH,20150206,3.75,3.77,3.6,3.63,3.75,-0.12,-3.2,156559.56,57553.793
600020.SH,20150209,3.6,3.66,3.6,3.63,3.63,0.0,0.0,92154.6,33491.101
600020.SH,20150210,3.65,3.74,3.64,3.72,3.63,0.09,2.48,89358.26,33085.656
600020.SH,20150211,3.75,3.76,3.71,3.75,3.72,0.03,0.81,68777.55,25679.362
600020.SH,20150212,3.75,3.78,3.72,3.77,3.75,0.02,0.53,74883.73,28090.014
600020.SH,20150213,3.8,3.87,3.79,3.84,3.77,0.07,1.86,126868.95,48791.861
600020.SH,20150216,3.86,3.94,3.84,3.93,3.84,0.09,2.34,138584.37,54074.568
600020.SH,20150217,3.95,3.98,3.91,3.93,3.93,0.0,0.0,113537.75,44712.412
600020.SH,20150225,3.92,3.92,3.84,3.87,3.93,-0.06,-1.53,113961.26,44185.108
600020.SH,20150226,3.84,3.96,3.84,3.96,3.87,0.09,2.33,173684.8,67997.836
600020.SH,20150227,3.97,3.98,3.93,3.95,3.96,-0.01,-0.25,131359.44,52047.012
600020.SH,20150302,3.97,3.99,3.94,3.96,3.95,0.01,0.25,136027.21,53904.125
600020.SH,20150303,3.95,3.95,3.87,3.88,3.96,-0.08,-2.02,189137.43,73863.684
600020.SH,20150304,3.88,3.91,3.85,3.91,3.88,0.03,0.77,113024.68,43949.358
600020.SH,20150305,3.91,3.92,3.86,3.9,3.91,-0.01,-0.26,129634.2,50402.618
600020.SH,20150306,3.9,3.91,3.87,3.89,3.9,-0.01,-0.26,89293.28,34704.998
600020.SH,20150309,3.87,3.91,3.82,3.91,3.89,0.02,0.51,127393.66,49255.344
600020.SH,20150310,3.89,3.97,3.89,3.94,3.91,0.03,0.77,179256.62,70668.46
600020.SH,20150311,3.94,3.95,3.88,3.91,3.94,-0.03,-0.76,141042.87,55291.257
600020.SH,20150312,3.9,3.94,3.88,3.93,3.91,0.02,0.51,157076.09,61544.467
600020.SH,20150313,3.93,3.96,3.92,3.95,3.93,0.02,0.51,145852.8,57548.584
600020.SH,20150316,3.98,4.06,3.97,4.05,3.95,0.1,2.53,306241.38,123288.289
