ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600037.SH,20150105,14.49,14.8,14.19,14.69,14.49,0.2,1.38,135684.12,197098.442
600037.SH,20150106,14.65,15.06,14.37,15.04,14.69,0.35,2.38,234808.92,347662.003
600037.SH,20150107,14.98,15.21,14.86,14.96,15.04,-0.08,-0.53,185259.86,279133.642
600037.SH,20150108,14.87,16.2,14.85,15.73,14.96,0.77,5.15,511531.04,794517.792
600037.SH,20150109,15.34,17.17,15.29,16.39,15.73,0.66,4.2,651436.16,1069744.546
600037.SH,20150112,16.6,17.16,16.22,16.89,16.39,0.5,3.05,386199.59,643419.993
600037.SH,20150113,16.89,17.91,16.51,17.7,16.89,0.81,4.8,385312.75,674987.315
600037.SH,20150114,17.74,17.8,17.01,17.24,17.7,-0.46,-2.6,310818.41,537829.263
600037.SH,20150115,17.05,17.35,16.78,16.9,17.24,-0.34,-1.97,223900.12,379486.061
600037.SH,20150116,16.86,17.65,16.81,17.16,16.9,0.26,1.54,223138.86,386643.398
600037.SH,20150119,16.5,17.37,15.95,16.19,17.16,-0.97,-5.65,319013.75,533057.884
600037.SH,20150120,16.5,17.5,16.35,17.32,16.19,1.13,6.98,344323.14,588489.65
600037.SH,20150121,17.2,18.38,17.15,18.18,17.32,0.86,4.97,332210.48,593316.857
600037.SH,20150122,18.23,18.55,17.93,18.16,18.18,-0.02,-0.11,226990.49,412417.047
600037.SH,20150123,18.16,18.35,17.73,17.89,18.16,-0.27,-1.49,170551.24,306075.261
600037.SH,20150126,17.82,18.8,17.78,18.76,17.89,0.87,4.86,217044.66,401267.214
600037.SH,20150127,18.89,18.89,17.96,18.33,18.76,-0.43,-2.29,191251.46,350188.054
600037.SH,20150309,20.16,20.16,20.16,20.16,18.33,1.83,9.98,14189.02,28605.064
600037.SH,20150310,21.88,22.18,21.0,22.18,20.16,2.02,10.02,695480.05,1529259.416
600037.SH,20150311,22.42,24.35,21.6,22.84,22.18,0.66,2.98,879929.51,2008556.829
600037.SH,20150312,22.85,23.2,21.69,22.01,22.84,-0.83,-3.63,438636.69,978767.217
600037.SH,20150313,21.88,22.53,21.6,22.02,22.01,0.01,0.05,356321.84,784317.461
600037.SH,20150316,22.22,24.22,21.96,24.22,22.02,2.2,9.99,396533.57,919206.116
600037.SH,20150317,24.68,26.17,23.78,25.46,24.22,1.24,5.12,520666.52,1300269.408
600037.SH,20150318,25.0,25.97,24.53,25.09,25.46,-0.37,-1.45,348677.22,876344.145
600037.SH,20150319,25.06,25.85,24.56,25.42,25.09,0.33,1.32,308119.12,778401.305
600037.SH,20150320,25.41,26.41,25.04,26.25,25.42,0.83,3.27,329894.96,845905.657
600037.SH,20150323,25.96,28.86,25.95,27.64,26.25,1.39,5.3,462343.38,1275091.855
600037.SH,20150324,27.64,28.9,25.5,27.97,27.64,0.33,1.19,443188.21,1213030.855
600037.SH,20150325,27.82,28.88,27.25,28.09,27.97,0.12,0.43,305726.03,865651.938
600037.SH,20150326,27.8,28.05,26.19,26.32,28.09,-1.77,-6.3,355989.53,961013.13
600037.SH,20150327,26.4,28.57,25.82,27.74,26.32,1.42,5.4,312396.65,845238.797
600037.SH,20150330,27.8,28.98,27.19,27.35,27.74,-0.39,-1.41,282241.02,791840.884
600037.SH,20150331,27.35,27.5,26.3,26.83,27.35,-0.52,-1.9,235510.09,632916.788
600037.SH,20150401,26.8,27.3,26.5,26.93,26.83,0.1,0.37,257930.7,694495.974
600037.SH,20150402,26.83,27.44,26.67,27.16,26.93,0.23,0.85,202887.01,547092.423
600037.SH,20150403,27.0,27.12,26.45,26.76,27.16,-0.4,-1.47,220604.22,590169.933
600037.SH,20150407,26.5,26.7,25.83,26.6,26.76,-0.16,-0.6,433724.25,1139597.539
600037.SH,20150408,26.63,26.93,26.0,26.31,26.6,-0.29,-1.09,294088.77,777693.801
600037.SH,20150409,26.5,26.57,24.19,25.34,26.31,-0.97,-3.69,345026.95,872234.599
600037.SH,20150410,25.2,26.26,24.85,25.69,25.34,0.35,1.38,202786.59,520956.741
600037.SH,20150413,25.6,26.36,25.58,26.08,25.69,0.39,1.52,269409.54,702585.27
600037.SH,20150414,26.01,26.01,25.36,25.41,26.08,-0.67,-2.57,199584.05,509706.521
600037.SH,20150415,25.42,25.5,23.7,24.04,25.41,-1.37,-5.39,251823.49,620168.901
