ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600059.SH,20150105,8.95,9.25,8.91,9.24,8.94,0.3,3.36,334345.08,305779.359
600059.SH,20150106,9.17,9.27,9.11,9.23,9.24,-0.01,-0.11,206703.07,190005.265
600059.SH,20150107,9.22,9.54,9.18,9.45,9.23,0.22,2.38,448226.1,419983.768
600059.SH,20150108,9.42,9.54,9.24,9.37,9.45,-0.08,-0.85,301030.72,282524.592
600059.SH,20150109,9.35,9.58,9.22,9.23,9.37,-0.14,-1.49,332304.52,313474.732
600059.SH,20150112,9.18,9.24,8.89,8.97,9.23,-0.26,-2.82,215989.92,195588.385
600059.SH,20150113,8.94,9.08,8.91,9.07,8.97,0.1,1.11,129068.35,116183.639
600059.SH,20150114,9.05,9.1,8.9,8.95,9.07,-0.12,-1.32,134639.1,121146.641
600059.SH,20150115,8.96,9.08,8.92,9.08,8.95,0.13,1.45,93667.81,84566.092
600059.SH,20150116,9.06,9.16,9.04,9.08,9.08,0.0,0.0,141237.26,128524.045
600059.SH,20150119,8.9,9.01,8.47,8.56,9.08,-0.52,-5.73,213991.08,188436.106
600059.SH,20150120,8.65,8.75,8.56,8.74,8.56,0.18,2.1,126788.98,110226.069
600059.SH,20150121,8.74,8.96,8.73,8.93,8.74,0.19,2.17,154072.35,136460.923
600059.SH,20150122,8.91,8.99,8.89,8.96,8.93,0.03,0.34,145773.24,130347.823
600059.SH,20150123,8.95,8.97,8.81,8.86,8.96,-0.1,-1.12,175989.5,156459.939
600059.SH,20150126,8.86,9.04,8.82,9.03,8.86,0.17,1.92,157940.95,141633.56
600059.SH,20150127,9.04,9.09,8.94,9.06,9.03,0.03,0.33,158945.08,143490.473
600059.SH,20150128,9.07,9.07,8.97,9.0,9.06,-0.06,-0.66,105848.89,95415.95
600059.SH,20150129,8.9,8.97,8.85,8.88,9.0,-0.12,-1.33,115775.97,103037.167
600059.SH,20150130,8.87,8.97,8.81,8.85,8.88,-0.03,-0.34,84532.1,75214.643
600059.SH,20150202,8.84,8.95,8.78,8.88,8.85,0.03,0.34,74998.09,66498.029
600059.SH,20150203,8.89,8.98,8.87,8.97,8.88,0.09,1.01,91768.35,81939.161
600059.SH,20150204,8.97,9.03,8.88,8.89,8.97,-0.08,-0.89,109882.54,98483.214
600059.SH,20150205,8.95,8.97,8.76,8.77,8.89,-0.12,-1.35,103549.93,91971.326
600059.SH,20150206,8.78,8.8,8.57,8.61,8.77,-0.16,-1.82,122022.33,105628.557
600059.SH,20150209,8.6,8.7,8.58,8.68,8.61,0.07,0.81,58600.01,50723.624
600059.SH,20150210,8.69,8.73,8.61,8.67,8.68,-0.01,-0.12,70284.11,60946.523
600059.SH,20150211,8.67,8.73,8.66,8.7,8.67,0.03,0.35,55723.03,48463.714
600059.SH,20150212,8.72,8.76,8.68,8.74,8.7,0.04,0.46,54454.96,47577.133
600059.SH,20150213,8.75,8.88,8.75,8.81,8.74,0.07,0.8,116019.01,102418.81
600059.SH,20150216,8.83,8.9,8.82,8.89,8.81,0.08,0.91,84907.73,75350.873
600059.SH,20150217,8.88,8.92,8.82,8.85,8.89,-0.04,-0.45,102642.41,91123.803
600059.SH,20150225,8.86,8.91,8.83,8.86,8.85,0.01,0.11,80522.64,71472.204
600059.SH,20150226,8.85,8.94,8.83,8.93,8.86,0.07,0.79,94772.42,84313.745
600059.SH,20150227,8.93,8.98,8.91,8.97,8.93,0.04,0.45,128244.85,114797.661
600059.SH,20150302,9.0,9.04,8.95,9.03,8.97,0.06,0.67,167208.74,150495.625
600059.SH,20150303,9.01,9.23,8.96,9.11,9.03,0.08,0.89,325421.97,297302.978
600059.SH,20150304,9.09,9.4,9.09,9.34,9.11,0.23,2.52,270116.3,250931.124
600059.SH,20150305,9.34,9.91,9.29,9.88,9.34,0.54,5.78,647207.7,627921.377
600059.SH,20150306,9.89,10.2,9.79,10.06,9.88,0.18,1.82,499861.16,499309.61
600059.SH,20150309,10.06,10.58,10.03,10.31,10.06,0.25,2.49,454830.46,467765.752
600059.SH,20150310,10.27,10.47,10.15,10.4,10.31,0.09,0.87,277820.92,287102.075
600059.SH,20150311,10.52,11.21,10.52,10.95,10.4,0.55,5.29,696956.58,762537.886
600059.SH,20150312,10.85,11.01,10.54,10.78,10.95,-0.17,-1.55,336685.61,363120.599
600059.SH,20150313,10.72,10.94,10.62,10.8,10.78,0.02,0.19,202681.7,218129.391
600059.SH,20150316,10.85,11.28,10.76,10.9,10.8,0.1,0.93,280370.58,307559.254
600059.SH,20150317,10.9,11.52,10.79,11.25,10.9,0.35,3.21,329288.49,370339.626
600059.SH,20150318,11.3,11.71,11.28,11.65,11.25,0.4,3.56,269510.72,310744.404
600059.SH,20150319,11.64,12.55,11.35,12.48,11.65,0.83,7.12,418906.97,506248.61
600059.SH,20150320,12.5,12.63,12.33,12.43,12.48,-0.05,-0.4,274747.89,341734.631
600059.SH,20150323,12.4,12.87,12.19,12.49,12.43,0.06,0.48,353688.49,442132.495
600059.SH,20150324,12.39,12.45,11.63,12.08,12.49,-0.41,-3.28,310411.44,373672.57
600059.SH,20150325,12.0,12.4,11.72,12.23,12.08,0.15,1.24,253970.87,303834.425
600059.SH,20150326,12.14,12.23,11.88,11.98,12.23,-0.25,-2.04,161491.09,194164.716
600059.SH,20150327,12.02,12.22,11.85,12.21,11.98,0.23,1.92,238609.45,287248.035
600059.SH,20150330,12.17,12.17,11.83,11.9,12.21,-0.31,-2.54,263879.05,314885.546
600059.SH,20150331,11.92,11.92,11.66,11.84,11.9,-0.06,-0.5,222847.84,262798.614
600059.SH,20150401,11.88,12.11,11.75,11.99,11.84,0.15,1.27,256599.3,306922.108
600059.SH,20150402,11.99,12.58,11.99,12.35,11.99,0.36,3.0,391006.75,481752.835
600059.SH,20150403,12.35,12.4,12.1,12.24,12.35,-0.11,-0.89,245227.47,299459.25
600059.SH,20150407,12.28,12.28,11.9,12.1,12.24,-0.14,-1.14,382087.69,459864.026
600059.SH,20150408,12.1,12.36,11.94,12.16,12.1,0.06,0.5,298805.07,362510.66
600059.SH,20150409,12.16,12.39,11.7,12.02,12.16,-0.14,-1.15,266263.59,321239.176
600059.SH,20150410,11.97,12.25,11.86,12.2,12.02,0.18,1.5,308035.92,373708.891
600059.SH,20150413,12.21,12.93,12.13,12.66,12.2,0.46,3.77,467434.5,583151.856
600059.SH,20150414,12.67,12.67,12.0,12.23,12.66,-0.43,-3.4,399936.98,493838.588
600059.SH,20150415,12.22,12.32,11.6,11.63,12.23,-0.6,-4.91,331987.84,394677.786
600059.SH,20150416,11.5,12.7,11.3,12.0,11.63,0.37,3.18,389882.27,465440.058
600059.SH,20150417,12.03,12.21,11.86,11.91,12.0,-0.09,-0.75,292382.32,350611.268
600059.SH,20150420,12.04,12.22,11.61,11.69,11.91,-0.22,-1.85,351008.8,419628.388
600059.SH,20150421,11.68,12.4,11.68,12.25,11.69,0.56,4.79,348386.69,421841.418
600059.SH,20150422,12.4,12.7,12.29,12.56,12.25,0.31,2.53,473579.87,591690.507
600059.SH,20150423,12.59,13.82,12.41,13.82,12.56,1.26,10.03,729199.55,967478.528
600059.SH,20150424,13.9,14.65,13.89,14.2,13.82,0.38,2.75,637610.51,910035.635
