ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600098.SH,20150105,8.76,8.96,8.6,8.91,8.76,0.15,1.71,359355.5,317226.37
600098.SH,20150106,8.85,8.93,8.6,8.73,8.91,-0.18,-2.02,292746.54,256622.288
600098.SH,20150107,8.73,8.94,8.64,8.86,8.73,0.13,1.49,232123.37,204417.545
600098.SH,20150108,8.86,8.88,8.48,8.52,8.86,-0.34,-3.84,237549.23,204270.296
600098.SH,20150109,8.59,8.7,8.35,8.37,8.52,-0.15,-1.76,174675.74,149132.099
600098.SH,20150112,8.31,8.31,8.02,8.09,8.37,-0.28,-3.35,161207.81,131266.659
600098.SH,20150113,8.1,8.3,8.06,8.16,8.09,0.07,0.87,118380.45,97097.569
600098.SH,20150114,8.12,8.26,8.09,8.15,8.16,-0.01,-0.12,85943.86,70175.229
600098.SH,20150115,8.13,8.35,8.13,8.34,8.15,0.19,2.33,97051.75,80073.472
600098.SH,20150116,8.36,8.38,8.21,8.34,8.34,0.0,0.0,120266.68,100044.233
600098.SH,20150119,8.1,8.17,7.51,7.57,8.34,-0.77,-9.23,267984.96,209637.109
600098.SH,20150120,7.58,7.8,7.58,7.76,7.57,0.19,2.51,149366.63,115093.167
600098.SH,20150121,7.82,8.07,7.79,8.07,7.76,0.31,3.99,165562.15,131581.079
600098.SH,20150122,8.16,8.18,8.02,8.15,8.07,0.08,0.99,113921.7,92443.591
600098.SH,20150123,8.16,8.19,8.09,8.12,8.15,-0.03,-0.37,114992.47,93539.941
600098.SH,20150126,8.12,8.66,8.05,8.57,8.12,0.45,5.54,231783.91,194270.65
600098.SH,20150127,8.6,8.7,8.31,8.6,8.57,0.03,0.35,217590.88,185322.587
600098.SH,20150128,8.52,8.85,8.43,8.7,8.6,0.1,1.16,245293.38,213904.391
600098.SH,20150129,8.65,8.85,8.55,8.74,8.7,0.04,0.46,201666.7,176420.898
600098.SH,20150130,8.73,8.85,8.37,8.39,8.74,-0.35,-4.0,161716.59,138997.866
600098.SH,20150202,8.25,8.25,8.0,8.1,8.39,-0.29,-3.46,168617.73,136730.597
