ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600129.SH,20150429,18.68,18.68,18.68,18.68,16.98,1.7,10.01,1914.91,3577.052
600129.SH,20150430,20.55,20.55,20.55,20.55,18.68,1.87,10.01,10250.07,21063.894
600129.SH,20150504,22.61,22.61,22.61,22.61,20.55,2.06,10.02,746.5,1687.837
600129.SH,20150505,24.87,24.87,22.66,24.87,22.61,2.26,10.0,248743.56,617003.053
600129.SH,20150506,24.3,25.15,22.88,23.17,24.87,-1.7,-6.84,254986.54,611942.969
600129.SH,20150507,22.75,23.88,22.58,22.97,23.17,-0.2,-0.86,136631.69,318100.939
600129.SH,20150508,23.22,24.19,21.84,22.56,22.97,-0.41,-1.78,234688.55,534466.103
600129.SH,20150511,22.55,24.0,22.41,23.57,22.56,1.01,4.48,148902.19,346969.248
600129.SH,20150512,23.95,25.93,23.85,25.93,23.57,2.36,10.01,163188.86,407260.71
600129.SH,20150513,27.1,28.52,26.65,28.36,25.93,2.43,9.37,218091.17,612162.506
600129.SH,20150514,27.82,29.8,27.15,29.49,28.36,1.13,3.98,211778.84,606746.549
600129.SH,20150515,29.2,29.8,27.84,28.68,29.49,-0.81,-2.75,131618.56,377022.19
600129.SH,20150518,28.68,31.55,28.2,31.55,28.68,2.87,10.01,155449.79,480690.694
600129.SH,20150519,31.54,34.71,31.48,34.71,31.55,3.16,10.02,139330.21,473659.945
600129.SH,20150520,36.49,38.18,34.11,35.01,34.71,0.3,0.86,204734.66,754288.241
600129.SH,20150521,35.12,38.51,34.3,38.51,35.01,3.5,10.0,128957.35,473051.45
600129.SH,20150522,39.23,39.8,36.66,38.38,38.51,-0.13,-0.34,163218.07,616845.121
600129.SH,20150525,38.01,39.69,36.7,38.6,38.38,0.22,0.57,137117.8,525307.355
600129.SH,20150526,38.29,38.56,37.01,38.28,38.6,-0.32,-0.83,119964.31,456352.019
600129.SH,20150527,38.28,40.29,38.28,39.74,38.28,1.46,3.81,120517.08,475651.339
600129.SH,20150528,39.79,39.95,35.77,35.77,39.74,-3.97,-9.99,138462.37,520046.99
600129.SH,20150529,35.01,37.6,33.51,36.53,35.77,0.76,2.12,114480.09,414665.77
600129.SH,20150601,36.55,39.3,36.55,38.52,36.53,1.99,5.45,82654.84,318045.285
600129.SH,20150602,38.58,40.97,38.0,39.94,38.52,1.42,3.69,90278.96,355043.055
600129.SH,20150603,39.78,39.78,38.0,38.88,39.94,-1.06,-2.65,81649.71,317599.838
600129.SH,20150604,38.6,39.45,35.08,38.31,38.88,-0.57,-1.47,84858.77,317265.56
600129.SH,20150605,38.9,41.9,38.9,40.16,38.31,1.85,4.83,100034.57,403849.678
600129.SH,20150608,39.6,44.0,39.11,42.87,40.16,2.71,6.75,96744.63,414117.017
600129.SH,20150609,43.1,45.0,41.62,42.13,42.87,-0.74,-1.73,81292.14,349751.543
600129.SH,20150610,42.13,42.81,39.5,41.34,42.13,-0.79,-1.88,101654.42,415865.911
600129.SH,20150611,41.35,42.49,40.1,40.94,41.34,-0.4,-0.97,80273.41,328265.552
600129.SH,20150612,41.0,41.67,40.02,40.66,40.94,-0.28,-0.68,79465.61,322438.286
600129.SH,20150615,40.62,40.64,38.5,39.09,40.66,-1.57,-3.86,58401.52,231319.187
600129.SH,20150616,38.6,38.6,35.4,35.67,39.09,-3.42,-8.75,98323.95,357338.268
600129.SH,20150617,36.05,37.5,35.32,36.85,35.67,1.18,3.31,67589.73,247483.026
600129.SH,20150618,36.85,37.53,35.0,35.07,36.85,-1.78,-4.83,53002.85,192126.821
600129.SH,20150619,35.0,35.0,31.9,32.38,35.07,-2.69,-7.67,76959.28,253639.158
600129.SH,20150623,32.45,33.08,29.14,32.37,32.38,-0.01,-0.03,71172.25,224618.923
600129.SH,20150624,32.45,33.48,31.83,32.96,32.37,0.59,1.82,55560.95,181824.886
600129.SH,20150625,32.9,33.0,31.13,31.95,32.96,-1.01,-3.06,74589.03,240645.417
600129.SH,20150626,30.71,30.71,28.76,28.76,31.95,-3.19,-9.98,68317.28,200881.484
600129.SH,20150629,29.49,29.6,25.88,25.88,28.76,-2.88,-10.01,110766.78,293256.398
600129.SH,20150630,24.58,28.18,23.29,27.22,25.88,1.34,5.18,121858.58,303266.822
600129.SH,20150701,27.1,28.2,24.72,25.11,27.22,-2.11,-7.75,99133.69,270574.109
600129.SH,20150702,24.7,25.38,22.6,22.6,25.11,-2.51,-10.0,130338.17,304539.02
600129.SH,20150703,21.35,23.17,20.34,20.34,22.6,-2.26,-10.0,137410.34,289862.848
600129.SH,20150706,22.37,22.37,18.31,18.31,20.34,-2.03,-9.98,123769.62,245849.097
600129.SH,20150707,16.85,16.92,16.48,16.48,18.31,-1.83,-9.99,126983.99,210623.106
600129.SH,20150708,14.83,14.83,14.83,14.83,16.48,-1.65,-10.01,11720.0,17380.76
600129.SH,20150709,13.35,16.31,13.35,16.31,14.83,1.48,9.98,280467.76,416656.183
600129.SH,20150710,17.94,17.94,17.94,17.94,16.31,1.63,9.99,42880.3,76927.258
600129.SH,20150713,19.73,19.73,19.73,19.73,17.94,1.79,9.98,7737.07,15265.239
600129.SH,20150714,21.7,21.7,21.7,21.7,19.73,1.97,9.98,5932.09,12872.635
600129.SH,20150715,23.87,23.87,19.53,19.77,21.7,-1.93,-8.89,377977.74,807363.058
600129.SH,20150716,18.01,21.49,17.82,21.12,19.77,1.35,6.83,154010.47,307070.304
600129.SH,20150717,21.07,23.23,20.6,23.19,21.12,2.07,9.8,118896.02,267060.961
600129.SH,20150720,23.2,25.51,22.58,25.47,23.19,2.28,9.83,161763.14,395736.769
600129.SH,20150721,25.4,27.28,24.0,26.76,25.47,1.29,5.06,130872.39,344280.106
600129.SH,20150722,26.01,27.0,24.8,25.93,26.76,-0.83,-3.1,140945.27,365950.708
600129.SH,20150723,25.91,26.65,25.2,26.22,25.93,0.29,1.12,109980.22,285986.272
600129.SH,20150724,26.01,26.27,25.15,25.57,26.22,-0.65,-2.48,100228.16,258051.486
600129.SH,20150727,24.01,25.46,23.01,23.01,25.57,-2.56,-10.01,109409.68,263419.32
600129.SH,20150728,20.95,22.94,20.71,20.71,23.01,-2.3,-10.0,214009.64,452143.472
600129.SH,20150729,20.85,21.67,19.2,21.48,20.71,0.77,3.72,181248.1,370753.824
600129.SH,20150730,21.1,21.5,19.98,20.37,21.48,-1.11,-5.17,162358.03,338398.01
600129.SH,20150731,19.7,20.15,18.62,18.9,20.37,-1.47,-7.22,117824.29,228318.089
600129.SH,20150803,18.18,18.9,17.01,17.18,18.9,-1.72,-9.1,187811.77,331387.033
600129.SH,20150804,17.36,18.9,17.36,18.9,17.18,1.72,10.01,109788.12,199457.553
600129.SH,20150805,20.1,20.79,19.6,20.79,18.9,1.89,10.0,256395.54,526324.726
600129.SH,20150806,19.7,20.67,19.5,20.23,20.79,-0.56,-2.69,175435.46,353673.406
600129.SH,20150807,20.56,22.2,20.56,21.92,20.23,1.69,8.35,163842.87,351368.988
600129.SH,20150810,22.28,24.0,22.25,23.51,21.92,1.59,7.25,149499.78,343559.378
600129.SH,20150811,23.4,24.8,23.12,23.57,23.51,0.06,0.26,180926.33,432898.27
600129.SH,20150812,23.2,23.45,22.36,22.5,23.57,-1.07,-4.54,126516.74,289407.442
600129.SH,20150813,22.2,23.7,21.87,23.41,22.5,0.91,4.04,129436.36,292810.087
600129.SH,20150814,23.68,25.73,23.46,25.7,23.41,2.29,9.78,204555.23,505810.352
600129.SH,20150817,25.7,26.54,24.81,25.88,25.7,0.18,0.7,171575.58,443178.383
600129.SH,20150818,25.88,25.88,23.29,23.29,25.88,-2.59,-10.01,187574.01,452718.29
600129.SH,20150819,21.53,23.99,20.96,23.3,23.29,0.01,0.04,150991.64,336172.38
600129.SH,20150820,22.81,22.89,21.0,21.02,23.3,-2.28,-9.79,151283.91,331574.327
600129.SH,20150821,20.16,20.9,18.98,19.21,21.02,-1.81,-8.61,142328.28,282271.277
600129.SH,20150824,18.25,18.25,17.29,17.29,19.21,-1.92,-9.99,100572.04,175537.937
600129.SH,20150825,15.58,16.97,15.56,15.56,17.29,-1.73,-10.01,126923.51,203581.424
600129.SH,20150826,15.99,17.12,15.0,16.18,15.56,0.62,3.98,217413.64,352581.354
600129.SH,20150827,16.69,17.6,15.62,17.48,16.18,1.3,8.03,138589.4,231332.69
600129.SH,20150828,17.58,19.23,17.56,19.23,17.48,1.75,10.01,171501.17,315269.686
600129.SH,20150831,18.98,18.98,17.31,17.31,19.23,-1.92,-9.98,233792.77,417998.268
600129.SH,20150901,16.64,16.9,15.58,15.58,17.31,-1.73,-9.99,138730.1,221180.838
600129.SH,20150902,14.4,16.3,14.28,14.39,15.58,-1.19,-7.64,137084.08,206830.956
600129.SH,20150907,14.85,15.5,14.81,15.09,14.39,0.7,4.86,135591.83,205253.321
600129.SH,20150908,14.82,16.57,14.81,16.43,15.09,1.34,8.88,103132.88,160216.666
600129.SH,20150909,16.45,17.65,16.45,17.13,16.43,0.7,4.26,149254.21,256098.142
600129.SH,20150910,16.81,17.3,16.5,16.61,17.13,-0.52,-3.04,107817.47,182569.935
600129.SH,20150911,16.83,17.09,16.36,16.87,16.61,0.26,1.57,107265.84,179500.094
600129.SH,20150914,17.2,17.7,15.18,15.19,16.87,-1.68,-9.96,166788.71,275703.868
600129.SH,20150915,14.8,15.21,13.88,14.15,15.19,-1.04,-6.85,100900.64,146048.53
600129.SH,20150916,14.75,15.57,14.37,15.57,14.15,1.42,10.04,109193.09,162675.725
600129.SH,20150917,15.8,16.57,15.22,15.31,15.57,-0.26,-1.67,135273.38,217064.331
600129.SH,20150918,15.55,16.24,15.17,15.99,15.31,0.68,4.44,101063.38,159159.794
600129.SH,20150921,15.66,16.9,15.66,16.89,15.99,0.9,5.63,127532.33,209956.6
600129.SH,20150922,16.99,17.7,16.81,17.06,16.89,0.17,1.01,143330.84,246955.107
600129.SH,20150923,16.75,16.92,16.15,16.49,17.06,-0.57,-3.34,101592.0,167864.438
600129.SH,20150924,16.62,16.95,16.35,16.78,16.49,0.29,1.76,94720.97,157550.358
600129.SH,20150925,16.77,17.44,16.0,16.25,16.78,-0.53,-3.16,109669.94,182792.013
600129.SH,20150928,16.18,16.69,15.45,16.62,16.25,0.37,2.28,65313.23,105184.908
600129.SH,20150929,16.02,16.25,15.85,15.97,16.62,-0.65,-3.91,47314.61,76008.171
600129.SH,20150930,16.03,16.23,15.78,15.82,15.97,-0.15,-0.94,53626.8,85507.815
600129.SH,20151008,16.59,17.12,16.4,16.84,15.82,1.02,6.45,163509.96,272518.571
600129.SH,20151009,16.83,16.94,16.49,16.77,16.84,-0.07,-0.42,115851.13,193470.072
600129.SH,20151012,16.9,18.45,16.81,18.29,16.77,1.52,9.06,227459.28,403089.617
