ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600141.SH,20150106,15.8,16.76,15.71,15.93,15.24,0.69,4.53,316341.67,510503.13
600141.SH,20150107,15.86,16.48,15.68,16.33,15.93,0.4,2.51,219106.44,353365.907
600141.SH,20150108,16.34,16.6,16.01,16.18,16.33,-0.15,-0.92,163492.31,265757.565
600141.SH,20150109,16.08,16.15,15.55,15.6,16.18,-0.58,-3.58,138512.4,219756.781
600141.SH,20150112,15.5,15.5,14.82,14.89,15.6,-0.71,-4.55,142544.84,214451.122
600141.SH,20150113,14.91,15.19,14.86,15.16,14.89,0.27,1.81,81525.12,122162.518
600141.SH,20150114,15.16,15.39,14.86,14.97,15.16,-0.19,-1.25,86394.47,130692.888
600141.SH,20150115,14.97,15.3,14.95,15.27,14.97,0.3,2.0,77788.56,118049.175
600141.SH,20150116,15.31,15.37,14.95,15.12,15.27,-0.15,-0.98,115950.34,175520.188
600141.SH,20150119,14.72,14.76,13.82,14.02,15.12,-1.1,-7.28,141178.07,202881.625
600141.SH,20150120,14.2,14.46,14.13,14.43,14.02,0.41,2.92,93201.31,133511.687
600141.SH,20150121,14.47,14.96,14.43,14.91,14.43,0.48,3.33,112534.8,165935.998
600141.SH,20150122,14.84,14.98,14.65,14.95,14.91,0.04,0.27,120007.83,178020.277
600141.SH,20150123,14.95,15.05,14.62,14.69,14.95,-0.26,-1.74,101287.1,149869.164
600141.SH,20150126,14.69,15.17,14.69,15.15,14.69,0.46,3.13,144090.47,215577.749
600141.SH,20150127,15.73,15.88,15.46,15.8,15.15,0.65,4.29,336423.56,527738.314
600141.SH,20150128,15.8,15.8,15.51,15.52,15.8,-0.28,-1.77,125227.07,195511.268
600141.SH,20150129,15.37,15.46,15.06,15.14,15.52,-0.38,-2.45,120566.67,183747.564
600141.SH,20150130,15.21,15.72,15.11,15.48,15.14,0.34,2.25,155968.7,241148.781
600141.SH,20150202,15.36,15.68,15.24,15.43,15.48,-0.05,-0.32,113926.78,176579.759
600141.SH,20150203,15.4,15.53,15.13,15.43,15.43,0.0,0.0,111956.22,171539.312
600141.SH,20150204,15.46,15.5,15.04,15.06,15.43,-0.37,-2.4,98403.35,150599.204
600141.SH,20150205,15.23,15.32,14.63,14.64,15.06,-0.42,-2.79,128706.19,191518.176
600141.SH,20150206,14.64,14.93,14.45,14.54,14.64,-0.1,-0.68,60127.63,88179.658
600141.SH,20150209,14.58,14.67,14.45,14.64,14.54,0.1,0.69,41657.44,60807.082
