ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600199.SH,20150105,11.67,12.32,11.45,12.25,11.67,0.58,4.97,374083.55,450832.115
600199.SH,20150106,12.11,12.25,11.9,12.12,12.25,-0.13,-1.06,249037.99,300760.221
600199.SH,20150107,12.1,12.48,11.85,11.98,12.12,-0.14,-1.16,243513.93,295954.097
600199.SH,20150108,11.9,12.4,11.62,12.02,11.98,0.04,0.33,249379.77,298394.733
600199.SH,20150109,11.9,12.32,11.8,11.87,12.02,-0.15,-1.25,284384.32,343571.543
600199.SH,20150112,11.7,11.99,11.4,11.51,11.87,-0.36,-3.03,184874.59,215957.824
600199.SH,20150113,11.53,11.76,11.1,11.18,11.51,-0.33,-2.87,186533.6,212509.932
600199.SH,20150114,11.18,11.26,10.75,10.87,11.18,-0.31,-2.77,208102.64,227038.521
600199.SH,20150115,10.85,11.09,10.83,11.08,10.87,0.21,1.93,159665.95,174197.317
600199.SH,20150116,11.08,11.15,10.91,11.11,11.08,0.03,0.27,149461.99,164855.06
600199.SH,20150119,10.5,11.06,10.06,10.35,11.11,-0.76,-6.84,178493.14,190262.284
600199.SH,20150120,10.35,10.88,10.32,10.86,10.35,0.51,4.93,198959.92,211279.558
600199.SH,20150121,10.87,11.08,10.77,11.06,10.86,0.2,1.84,166790.57,182280.967
600199.SH,20150122,11.09,11.09,10.93,11.06,11.06,0.0,0.0,124138.17,136684.884
600199.SH,20150123,11.05,11.12,10.8,10.84,11.06,-0.22,-1.99,137007.91,150032.341
600199.SH,20150126,10.82,11.03,10.68,11.01,10.84,0.17,1.57,131792.36,143673.573
600199.SH,20150127,11.0,11.1,10.82,10.99,11.01,-0.02,-0.18,139864.64,153416.203
600199.SH,20150128,10.96,11.05,10.82,10.88,10.99,-0.11,-1.0,97080.42,106122.192
600199.SH,20150129,10.8,11.17,10.75,10.96,10.88,0.08,0.74,140913.69,154934.6
600199.SH,20150130,10.98,11.15,10.93,11.05,10.96,0.09,0.82,165408.72,182780.11
600199.SH,20150202,10.87,11.02,10.61,10.65,11.05,-0.4,-3.62,119547.09,129058.15
600199.SH,20150203,10.65,10.79,10.42,10.7,10.65,0.05,0.47,131447.96,138912.497
600199.SH,20150204,10.65,10.78,10.51,10.53,10.7,-0.17,-1.59,92069.3,98037.901
600199.SH,20150205,10.65,10.7,10.25,10.26,10.53,-0.27,-2.56,111963.31,117056.481
