ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600221.SH,20150105,3.48,3.73,3.48,3.64,3.42,0.22,6.43,6596247.43,2378544.772
600221.SH,20150106,3.76,3.82,3.64,3.67,3.64,0.03,0.82,6717279.92,2491819.296
600221.SH,20150107,3.73,3.78,3.61,3.68,3.67,0.01,0.27,4530830.26,1671567.061
600221.SH,20150108,3.63,3.64,3.5,3.54,3.68,-0.14,-3.8,3107655.98,1104044.941
600221.SH,20150109,3.5,3.64,3.47,3.52,3.54,-0.02,-0.57,3114499.42,1108841.044
600221.SH,20150112,3.52,3.53,3.37,3.49,3.52,-0.03,-0.85,2638630.65,907362.591
600221.SH,20150113,3.53,3.58,3.46,3.47,3.49,-0.02,-0.57,2073868.11,729242.916
600221.SH,20150114,3.45,3.45,3.36,3.39,3.47,-0.08,-2.31,1770496.23,602324.867
600221.SH,20150115,3.3,3.45,3.3,3.44,3.39,0.05,1.47,1954779.67,656655.098
600221.SH,20150116,3.47,3.49,3.41,3.43,3.44,-0.01,-0.29,1691384.78,581274.664
600221.SH,20150119,3.23,3.41,3.09,3.13,3.43,-0.3,-8.75,3710650.04,1202048.332
600221.SH,20150120,3.18,3.28,3.15,3.28,3.13,0.15,4.79,2252797.42,724966.17
600221.SH,20150121,3.33,3.38,3.3,3.38,3.28,0.1,3.05,2546910.53,851188.937
600221.SH,20150122,3.38,3.39,3.33,3.37,3.38,-0.01,-0.3,1739796.05,583932.173
600221.SH,20150123,3.37,3.44,3.35,3.37,3.37,0.0,0.0,2270034.07,770204.173
600221.SH,20150126,3.38,3.45,3.36,3.45,3.37,0.08,2.37,2226167.43,758632.694
600221.SH,20150127,3.43,3.43,3.31,3.37,3.45,-0.08,-2.32,2243457.02,755797.975
600221.SH,20150128,3.33,3.35,3.31,3.31,3.37,-0.06,-1.78,1285873.93,427702.463
600221.SH,20150129,3.28,3.33,3.25,3.29,3.31,-0.02,-0.6,1049992.87,345995.758
600221.SH,20150130,3.31,3.32,3.2,3.22,3.29,-0.07,-2.13,1263118.3,410655.839
600221.SH,20150202,3.16,3.18,3.11,3.12,3.22,-0.1,-3.11,1309750.15,411303.995
600221.SH,20150203,3.13,3.16,3.06,3.16,3.12,0.04,1.28,1646745.95,513025.517
600221.SH,20150204,3.14,3.14,3.07,3.07,3.16,-0.09,-2.85,1422530.27,441529.816
