ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600226.SH,20150105,8.23,8.34,8.11,8.3,8.23,0.07,0.85,66772.83,55080.78
600226.SH,20150106,8.2,8.33,8.1,8.32,8.3,0.02,0.24,81357.14,66916.441
600226.SH,20150107,8.3,8.56,8.24,8.51,8.32,0.19,2.28,100422.98,84503.502
600226.SH,20150108,8.4,8.5,8.28,8.31,8.51,-0.2,-2.35,63380.39,52992.06
600226.SH,20150109,8.26,8.35,8.18,8.24,8.31,-0.07,-0.84,54839.15,45263.756
600226.SH,20150112,8.23,8.23,7.9,7.97,8.24,-0.27,-3.28,56490.99,45331.787
600226.SH,20150113,7.95,8.07,7.94,8.07,7.97,0.1,1.25,31257.79,25043.062
600226.SH,20150114,8.05,8.23,8.03,8.18,8.07,0.11,1.36,47658.63,38943.996
600226.SH,20150115,8.18,8.32,8.15,8.3,8.18,0.12,1.47,44189.5,36388.249
600226.SH,20150116,8.36,8.38,8.26,8.28,8.3,-0.02,-0.24,45093.98,37472.833
600226.SH,20150119,8.14,8.46,7.92,8.16,8.28,-0.12,-1.45,89474.95,73407.519
600226.SH,20150120,8.14,8.98,8.14,8.81,8.16,0.65,7.97,158605.41,135405.159
600226.SH,20150121,9.17,9.6,9.03,9.31,8.81,0.5,5.68,382398.45,357383.868
600226.SH,20150122,9.33,9.93,9.32,9.71,9.31,0.4,4.3,319300.46,308463.246
600226.SH,20150123,9.82,9.96,9.42,9.52,9.71,-0.19,-1.96,241433.2,233471.676
600226.SH,20150126,9.56,10.16,9.44,10.02,9.52,0.5,5.25,261492.27,258878.993
600226.SH,20150127,9.93,10.48,9.82,10.24,10.02,0.22,2.2,274471.04,280214.231
600226.SH,20150128,10.12,10.3,9.92,9.99,10.24,-0.25,-2.44,149690.17,150766.861
600226.SH,20150129,9.97,9.97,9.65,9.71,9.99,-0.28,-2.8,118685.58,116204.245
600226.SH,20150130,9.89,9.89,9.62,9.76,9.71,0.05,0.51,106600.9,104050.098
600226.SH,20150202,9.64,10.44,9.5,10.27,9.76,0.51,5.23,212633.05,213981.629
600226.SH,20150203,10.29,10.55,10.11,10.36,10.27,0.09,0.88,152770.44,157668.682
600226.SH,20150204,10.3,10.65,10.23,10.47,10.36,0.11,1.06,144149.29,150933.398
600226.SH,20150205,10.49,10.85,10.05,10.11,10.47,-0.36,-3.44,173876.55,182166.983
600226.SH,20150206,10.1,10.11,9.62,9.83,10.11,-0.28,-2.77,129004.15,126769.81
600226.SH,20150209,9.8,10.02,9.66,9.87,9.83,0.04,0.41,60433.98,59634.961
600226.SH,20150210,9.91,10.15,9.7,10.12,9.87,0.25,2.53,72127.15,71178.828
600226.SH,20150211,10.15,10.78,10.12,10.54,10.12,0.42,4.15,137556.7,143580.012
600226.SH,20150212,10.54,10.54,10.2,10.29,10.54,-0.25,-2.37,101146.37,104597.796
600226.SH,20150213,10.31,10.63,10.26,10.35,10.29,0.06,0.58,103085.46,107169.962
600226.SH,20150216,10.41,10.85,10.33,10.84,10.35,0.49,4.73,160498.57,170126.165
600226.SH,20150217,11.0,11.3,10.72,11.12,10.84,0.28,2.58,152814.87,168356.551
600226.SH,20150225,11.09,12.23,11.02,11.89,11.12,0.77,6.92,360936.76,428592.749
600226.SH,20150226,11.99,11.99,11.58,11.75,11.89,-0.14,-1.18,151447.75,177576.533
600226.SH,20150227,11.78,12.27,11.72,11.9,11.75,0.15,1.28,147751.03,176701.102
600226.SH,20150302,11.92,12.89,11.8,12.68,11.9,0.78,6.55,204980.84,253681.053
600226.SH,20150303,12.45,12.79,12.28,12.32,12.68,-0.36,-2.84,135011.09,168980.423
600226.SH,20150304,12.32,12.44,11.9,12.39,12.32,0.07,0.57,121404.86,147369.533
600226.SH,20150305,12.3,12.34,12.0,12.24,12.39,-0.15,-1.21,79215.61,96370.889
600226.SH,20150306,12.2,12.43,12.04,12.11,12.24,-0.13,-1.06,61034.62,74672.233
600226.SH,20150309,12.08,12.08,11.64,11.77,12.11,-0.34,-2.81,120043.96,141761.201
600226.SH,20150310,11.77,11.97,11.66,11.92,11.77,0.15,1.27,83090.54,98611.761
600226.SH,20150311,11.92,12.45,11.91,12.23,11.92,0.31,2.6,107848.32,132115.931
