ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600256.SH,20150105,8.36,9.1,8.3,8.87,8.36,0.51,6.1,3104953.09,2708656.444
600256.SH,20150106,8.75,8.9,8.63,8.75,8.87,-0.12,-1.35,1950495.61,1703527.495
600256.SH,20150107,8.7,8.83,8.55,8.71,8.75,-0.04,-0.46,1493026.88,1295328.564
600256.SH,20150108,8.69,8.92,8.68,8.69,8.71,-0.02,-0.23,1799599.55,1580725.749
600256.SH,20150109,8.62,8.79,8.51,8.53,8.69,-0.16,-1.84,1536103.62,1328333.993
600256.SH,20150112,8.53,8.67,8.35,8.46,8.53,-0.07,-0.82,1077556.59,918820.549
600256.SH,20150113,8.55,8.8,8.51,8.7,8.46,0.24,2.84,1259913.53,1093325.542
600256.SH,20150114,8.69,8.76,8.47,8.56,8.7,-0.14,-1.61,928564.98,798386.632
600256.SH,20150115,8.57,8.73,8.49,8.71,8.56,0.15,1.75,1004376.26,865349.763
600256.SH,20150116,8.69,8.82,8.63,8.76,8.71,0.05,0.57,1599810.95,1395733.292
600256.SH,20150119,8.52,8.58,7.92,8.2,8.76,-0.56,-6.39,1688890.8,1411288.938
600256.SH,20150120,8.22,8.35,8.1,8.32,8.2,0.12,1.46,1074033.88,888477.623
600256.SH,20150121,8.34,8.48,8.28,8.44,8.32,0.12,1.44,1160223.33,973055.246
600256.SH,20150122,8.42,8.58,8.38,8.47,8.44,0.03,0.36,1048610.81,888762.357
600256.SH,20150123,8.45,8.79,8.43,8.6,8.47,0.13,1.53,1697185.04,1461428.308
600256.SH,20150126,8.59,8.76,8.52,8.68,8.6,0.08,0.93,1201521.42,1040836.718
600256.SH,20150127,8.69,8.8,8.51,8.68,8.68,0.0,0.0,1323602.1,1147820.493
600256.SH,20150128,8.63,8.67,8.52,8.57,8.68,-0.11,-1.27,936562.12,804227.85
600256.SH,20150129,8.5,8.54,8.3,8.41,8.57,-0.16,-1.87,950148.75,801053.843
600256.SH,20150130,8.48,8.52,8.33,8.43,8.41,0.02,0.24,758488.51,639264.505
600256.SH,20150202,8.38,8.58,8.32,8.46,8.43,0.03,0.36,956288.86,810879.084
600256.SH,20150203,8.55,8.66,8.46,8.6,8.46,0.14,1.65,1214559.07,1041248.795
600256.SH,20150204,8.68,8.71,8.45,8.46,8.6,-0.14,-1.63,839773.19,720149.886
600256.SH,20150205,8.58,8.58,8.2,8.23,8.46,-0.23,-2.72,1146187.68,962228.203
600256.SH,20150206,8.22,8.29,8.1,8.16,8.23,-0.07,-0.85,694047.15,568590.04
600256.SH,20150209,8.2,8.23,8.1,8.12,8.16,-0.04,-0.49,489976.66,400367.374
600256.SH,20150210,8.12,8.17,8.1,8.17,8.12,0.05,0.62,505925.92,411630.166
600256.SH,20150211,8.24,8.28,8.17,8.19,8.17,0.02,0.24,480181.8,394232.074
600256.SH,20150212,8.19,8.23,8.1,8.17,8.19,-0.02,-0.24,499917.68,407540.574
600256.SH,20150213,8.21,8.33,8.21,8.25,8.17,0.08,0.98,719121.41,594527.196
600256.SH,20150216,8.26,8.44,8.26,8.38,8.25,0.13,1.58,704664.56,590373.506
