ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600282.SH,20150105,3.21,3.33,3.15,3.25,3.17,0.08,2.52,306811.57,99225.038
600282.SH,20150106,3.21,3.41,3.2,3.39,3.25,0.14,4.31,246205.4,80775.603
600282.SH,20150107,3.45,3.56,3.4,3.56,3.39,0.17,5.01,418496.26,147766.699
600282.SH,20150108,3.57,3.62,3.4,3.49,3.56,-0.07,-1.97,289828.39,102498.208
600282.SH,20150109,3.45,3.5,3.34,3.34,3.49,-0.15,-4.3,237907.05,81039.399
600282.SH,20150112,3.3,3.3,3.17,3.17,3.34,-0.17,-5.09,175739.96,56491.131
600282.SH,20150113,3.11,3.33,3.1,3.33,3.17,0.16,5.05,191112.35,61614.662
600282.SH,20150114,3.37,3.45,3.33,3.35,3.33,0.02,0.6,179191.3,60619.782
600282.SH,20150115,3.35,3.4,3.25,3.37,3.35,0.02,0.6,119345.24,39729.209
600282.SH,20150116,3.37,3.44,3.36,3.38,3.37,0.01,0.3,116310.4,39458.264
600282.SH,20150119,3.29,3.45,3.21,3.23,3.38,-0.15,-4.44,183546.47,60615.632
600282.SH,20150120,3.29,3.39,3.27,3.39,3.23,0.16,4.95,162116.0,54096.254
600282.SH,20150121,3.39,3.49,3.37,3.45,3.39,0.06,1.77,163066.04,56286.713
600282.SH,20150122,3.48,3.62,3.46,3.62,3.45,0.17,4.93,243744.18,86758.233
600282.SH,20150123,3.68,3.8,3.68,3.7,3.62,0.08,2.21,310178.24,116725.789
600282.SH,20150126,3.65,3.89,3.64,3.75,3.7,0.05,1.35,380760.22,144073.575
600282.SH,20150127,3.75,3.82,3.68,3.78,3.75,0.03,0.8,222150.38,83518.277
600282.SH,20150128,3.79,3.87,3.73,3.85,3.78,0.07,1.85,213978.96,81407.364
600282.SH,20150129,3.84,4.04,3.81,4.04,3.85,0.19,4.94,435955.69,173932.016
600282.SH,20150130,4.09,4.17,3.84,3.84,4.04,-0.2,-4.95,425939.64,169384.545
600282.SH,20150210,3.46,3.78,3.46,3.5,3.84,-0.34,-8.85,517817.12,183909.966
600282.SH,20150211,3.45,3.64,3.32,3.53,3.5,0.03,0.86,318039.46,111216.904
600282.SH,20150212,3.51,3.67,3.44,3.53,3.53,0.0,0.0,289877.11,103387.766
600282.SH,20150213,3.5,3.57,3.46,3.56,3.53,0.03,0.85,482314.11,169107.508
600282.SH,20150216,3.54,3.56,3.51,3.52,3.56,-0.04,-1.12,312569.58,110525.783
600282.SH,20150217,3.54,3.55,3.42,3.46,3.52,-0.06,-1.7,323497.3,112200.338
600282.SH,20150225,3.45,3.47,3.42,3.43,3.46,-0.03,-0.87,162481.7,55986.161
600282.SH,20150226,3.43,3.47,3.36,3.47,3.43,0.04,1.17,242220.64,82531.087
600282.SH,20150227,3.45,3.55,3.44,3.54,3.47,0.07,2.02,369497.01,129726.214
600282.SH,20150302,3.55,3.78,3.52,3.61,3.54,0.07,1.98,620550.51,225690.544
600282.SH,20150303,3.59,3.61,3.48,3.49,3.61,-0.12,-3.32,471561.91,166304.591
600282.SH,20150304,3.49,3.51,3.45,3.51,3.49,0.02,0.57,216676.59,75674.442
600282.SH,20150305,3.51,3.75,3.51,3.7,3.51,0.19,5.41,805140.42,294236.957
600282.SH,20150306,3.72,3.82,3.68,3.77,3.7,0.07,1.89,534709.62,201094.619
600282.SH,20150309,3.76,3.79,3.66,3.76,3.77,-0.01,-0.27,302275.62,112682.16
600282.SH,20150310,3.75,3.85,3.72,3.84,3.76,0.08,2.13,340863.47,128601.058
600282.SH,20150311,3.87,3.89,3.81,3.84,3.84,0.0,0.0,384813.3,148160.588
600282.SH,20150312,3.92,4.22,3.9,4.22,3.84,0.38,9.9,848492.2,353435.594
600282.SH,20150313,4.3,4.44,4.07,4.15,4.22,-0.07,-1.66,1379007.03,579427.55
600282.SH,20150316,4.16,4.3,4.1,4.21,4.15,0.06,1.45,963665.54,404347.494
600282.SH,20150317,4.22,4.63,4.2,4.6,4.21,0.39,9.26,1605099.24,723265.803
600282.SH,20150318,4.55,4.82,4.47,4.6,4.6,0.0,0.0,1353831.35,628603.39
600282.SH,20150319,4.62,4.77,4.53,4.71,4.6,0.11,2.39,1219451.5,564826.567
600282.SH,20150320,4.69,4.75,4.59,4.63,4.71,-0.08,-1.7,815514.47,379501.671
600282.SH,20150323,4.63,4.74,4.59,4.71,4.63,0.08,1.73,938211.58,439373.539
600282.SH,20150324,4.71,5.18,4.66,4.91,4.71,0.2,4.25,1214661.72,592323.646
600282.SH,20150325,4.89,4.89,4.66,4.77,4.91,-0.14,-2.85,889294.96,422249.751
600282.SH,20150326,4.74,4.75,4.58,4.6,4.77,-0.17,-3.56,702721.92,326788.061
600282.SH,20150327,4.52,4.6,4.49,4.52,4.6,-0.08,-1.74,684386.06,310529.069
600282.SH,20150330,4.57,4.84,4.53,4.78,4.52,0.26,5.75,1130481.39,525938.849
600282.SH,20150331,4.99,5.26,4.85,5.0,4.78,0.22,4.6,2241419.39,1139209.875
600282.SH,20150401,4.95,5.08,4.94,5.02,5.0,0.02,0.4,1132096.35,566060.107
600282.SH,20150402,5.05,5.07,4.94,5.01,5.02,-0.01,-0.2,808440.05,403159.178
600282.SH,20150403,5.0,5.29,4.91,5.15,5.01,0.14,2.79,1150188.61,592567.394
600282.SH,20150407,5.2,5.3,5.11,5.18,5.15,0.03,0.58,867386.21,448792.475
600282.SH,20150408,5.18,5.19,4.93,5.07,5.18,-0.11,-2.12,956575.82,483641.617
600282.SH,20150409,5.2,5.58,4.99,5.36,5.07,0.29,5.72,2193570.42,1160935.09
600282.SH,20150410,5.4,5.9,5.36,5.9,5.36,0.54,10.07,1230349.91,706547.422
600282.SH,20150413,6.0,6.49,5.93,6.38,5.9,0.48,8.14,3636701.4,2246798.591
600282.SH,20150414,6.2,6.44,6.05,6.23,6.38,-0.15,-2.35,1802671.53,1119916.573
600282.SH,20150415,6.17,6.65,5.9,6.51,6.23,0.28,4.49,1947701.34,1208540.646
600282.SH,20150416,6.5,6.6,6.18,6.44,6.51,-0.07,-1.08,1969415.33,1267753.722
600282.SH,20150417,6.58,6.76,6.24,6.31,6.44,-0.13,-2.02,2546373.59,1628674.924
600282.SH,20150420,6.24,6.38,6.02,6.05,6.31,-0.26,-4.12,1993239.85,1228621.865
600282.SH,20150421,6.05,6.3,6.0,6.24,6.05,0.19,3.14,1528084.6,933216.874
600282.SH,20150422,6.22,6.32,6.15,6.29,6.24,0.05,0.8,1975878.68,1234343.843
600282.SH,20150423,6.29,6.68,6.21,6.63,6.29,0.34,5.41,2667344.05,1732180.601
600282.SH,20150424,6.5,6.64,6.35,6.47,6.63,-0.16,-2.41,1546403.9,1000081.407
600282.SH,20150427,6.47,6.59,6.2,6.3,6.47,-0.17,-2.63,2266764.63,1432129.639
600282.SH,20150428,6.28,6.29,6.01,6.04,6.3,-0.26,-4.13,1384023.72,844772.683
600282.SH,20150429,6.2,6.29,6.06,6.24,6.04,0.2,3.31,1227539.37,758365.699
600282.SH,20150430,6.24,6.24,6.08,6.1,6.24,-0.14,-2.24,923045.4,566795.408
600282.SH,20150504,6.07,6.36,6.03,6.22,6.1,0.12,1.97,1218327.26,756472.714
600282.SH,20150505,6.22,6.23,5.68,5.84,6.22,-0.38,-6.11,1064137.67,640366.42
600282.SH,20150506,5.84,5.94,5.33,5.49,5.84,-0.35,-5.99,1015761.56,576577.48
600282.SH,20150507,5.41,5.41,5.1,5.11,5.49,-0.38,-6.92,906553.18,472350.568
600282.SH,20150508,5.16,5.3,5.11,5.26,5.11,0.15,2.94,686404.86,357339.639
600282.SH,20150511,5.31,5.39,5.19,5.38,5.26,0.12,2.28,891415.59,472910.074
600282.SH,20150512,5.38,5.55,5.33,5.45,5.38,0.07,1.3,736203.14,401507.416
600282.SH,20150513,5.44,5.69,5.36,5.51,5.45,0.06,1.1,913487.35,503175.174
600282.SH,20150514,5.54,5.55,5.35,5.44,5.51,-0.07,-1.27,836949.4,453781.329
600282.SH,20150515,5.44,5.44,5.23,5.25,5.44,-0.19,-3.49,594886.44,315658.756
600282.SH,20150518,5.28,5.31,5.2,5.24,5.25,-0.01,-0.19,512812.24,269328.637
