ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600302.SH,20150105,6.5,6.72,6.45,6.67,6.51,0.16,2.46,36671.94,24025.79
600302.SH,20150106,6.7,6.8,6.62,6.67,6.67,0.0,0.0,33184.38,22239.353
600302.SH,20150107,6.67,7.16,6.65,7.14,6.67,0.47,7.05,96641.16,67431.272
600302.SH,20150108,7.1,7.11,6.8,6.97,7.14,-0.17,-2.38,49138.01,34308.191
600302.SH,20150109,6.87,7.02,6.7,6.74,6.97,-0.23,-3.3,38016.11,26143.284
600302.SH,20150112,6.7,6.8,6.2,6.35,6.74,-0.39,-5.79,46775.36,30139.336
600302.SH,20150113,6.35,6.5,6.28,6.37,6.35,0.02,0.32,29703.08,18953.404
600302.SH,20150114,6.4,6.44,6.26,6.35,6.37,-0.02,-0.31,23297.99,14777.04
600302.SH,20150115,6.39,6.42,6.31,6.38,6.35,0.03,0.47,25610.66,16301.326
600302.SH,20150116,6.38,6.44,6.33,6.38,6.38,0.0,0.0,24490.61,15611.403
600302.SH,20150119,6.29,6.34,6.05,6.21,6.38,-0.17,-2.66,27662.74,17239.613
600302.SH,20150120,6.24,6.43,6.24,6.43,6.21,0.22,3.54,26891.66,17104.487
600302.SH,20150121,6.44,6.7,6.43,6.61,6.43,0.18,2.8,28550.12,18775.245
600302.SH,20150122,6.66,6.75,6.57,6.71,6.61,0.1,1.51,34757.18,23155.031
600302.SH,20150123,6.71,6.76,6.6,6.74,6.71,0.03,0.45,38718.74,25750.596
600302.SH,20150126,6.72,6.94,6.68,6.94,6.74,0.2,2.97,40639.34,27748.701
600302.SH,20150127,6.9,7.07,6.76,6.84,6.94,-0.1,-1.44,63221.21,43683.293
600302.SH,20150128,6.79,7.03,6.76,6.9,6.84,0.06,0.88,49314.67,34205.117
600302.SH,20150129,6.87,7.13,6.8,7.05,6.9,0.15,2.17,69150.6,48755.142
600302.SH,20150130,6.92,7.02,6.72,6.75,7.05,-0.3,-4.26,51108.08,35069.791
600302.SH,20150202,6.75,6.96,6.65,6.83,6.75,0.08,1.19,30946.04,21239.102
600302.SH,20150203,6.9,7.1,6.68,7.01,6.83,0.18,2.64,42686.24,29857.244
600302.SH,20150204,7.02,7.2,6.96,6.98,7.01,-0.03,-0.43,48316.99,34140.496
600302.SH,20150205,7.0,7.09,6.87,6.98,6.98,0.0,0.0,55604.56,38691.963
600302.SH,20150206,6.98,7.04,6.79,6.8,6.98,-0.18,-2.58,30960.22,21399.377
600302.SH,20150209,6.8,7.0,6.69,6.99,6.8,0.19,2.79,40076.22,27534.959
600302.SH,20150210,7.01,7.1,6.87,7.01,6.99,0.02,0.29,33249.01,23174.568
600302.SH,20150211,6.99,7.2,6.95,7.2,7.01,0.19,2.71,70010.65,49751.213
600302.SH,20150212,7.2,7.28,7.12,7.2,7.2,0.0,0.0,40743.81,29287.728
600302.SH,20150213,7.17,7.92,7.16,7.75,7.2,0.55,7.64,192478.59,148408.871
600302.SH,20150216,7.84,7.84,7.58,7.68,7.75,-0.07,-0.9,110371.48,84695.882
600302.SH,20150217,7.63,7.97,7.44,7.77,7.68,0.09,1.17,91467.4,71337.388
600302.SH,20150225,7.71,8.35,7.7,8.14,7.77,0.37,4.76,92625.19,74960.584
600302.SH,20150226,8.14,8.14,7.92,8.07,8.14,-0.07,-0.86,62029.97,49683.679
600302.SH,20150227,8.07,8.09,7.85,8.02,8.07,-0.05,-0.62,63298.15,50334.623
600302.SH,20150302,8.05,8.05,7.79,7.96,8.02,-0.06,-0.75,80354.64,63517.434
600302.SH,20150303,7.95,8.27,7.83,8.1,7.96,0.14,1.76,117274.6,94407.043
600302.SH,20150304,8.08,8.08,7.94,8.03,8.1,-0.07,-0.86,48849.13,39115.115
600302.SH,20150305,8.0,8.0,7.62,7.67,8.03,-0.36,-4.48,112864.54,87540.656
600302.SH,20150306,7.67,7.88,7.67,7.7,7.67,0.03,0.39,63688.84,49395.967
600302.SH,20150309,7.7,7.79,7.51,7.66,7.7,-0.04,-0.52,62696.15,47868.927
600302.SH,20150310,7.65,7.94,7.64,7.87,7.66,0.21,2.74,56981.05,44668.001
600302.SH,20150311,7.88,7.92,7.74,7.81,7.87,-0.06,-0.76,43168.43,33616.692
600302.SH,20150312,7.82,7.91,7.65,7.76,7.81,-0.05,-0.64,46416.01,36128.01
600302.SH,20150313,7.72,7.82,7.7,7.72,7.76,-0.04,-0.52,58955.28,45715.317
600302.SH,20150316,7.73,8.02,7.73,7.96,7.72,0.24,3.11,74943.87,59321.348
600302.SH,20150317,7.99,8.1,7.9,7.98,7.96,0.02,0.25,94897.33,75765.572
600302.SH,20150318,7.98,8.14,7.91,8.06,7.98,0.08,1.0,93691.42,75193.239
600302.SH,20150319,8.05,8.55,7.96,8.54,8.06,0.48,5.96,144012.22,118630.127
600302.SH,20150320,8.52,8.54,8.33,8.42,8.54,-0.12,-1.41,111189.96,93625.924
600302.SH,20150323,8.42,8.55,8.28,8.46,8.42,0.04,0.48,88287.33,73960.188
600302.SH,20150324,8.41,8.44,8.04,8.22,8.46,-0.24,-2.84,111692.83,91984.488
