ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600322.SH,20150105,4.75,5.07,4.7,4.85,4.7,0.15,3.19,746524.93,364067.382
600322.SH,20150106,4.78,4.8,4.65,4.69,4.85,-0.16,-3.3,361557.76,170692.681
600322.SH,20150107,4.69,4.82,4.66,4.73,4.69,0.04,0.85,276876.8,130898.969
600322.SH,20150108,4.73,4.76,4.59,4.62,4.73,-0.11,-2.33,205426.21,95457.458
600322.SH,20150109,4.6,4.65,4.51,4.52,4.62,-0.1,-2.16,235332.06,108075.464
600322.SH,20150112,4.49,4.49,4.31,4.35,4.52,-0.17,-3.76,178701.91,78455.798
600322.SH,20150113,4.35,4.41,4.33,4.4,4.35,0.05,1.15,101409.36,44369.001
600322.SH,20150114,4.4,4.43,4.31,4.34,4.4,-0.06,-1.36,91449.73,40012.12
600322.SH,20150115,4.36,4.56,4.33,4.53,4.34,0.19,4.38,174633.9,77508.64
600322.SH,20150116,4.55,4.55,4.44,4.49,4.53,-0.04,-0.88,126252.48,56695.039
600322.SH,20150119,4.37,4.4,4.06,4.16,4.49,-0.33,-7.35,239036.95,101691.909
600322.SH,20150120,4.19,4.43,4.18,4.39,4.16,0.23,5.53,244768.79,105232.384
600322.SH,20150121,4.39,4.6,4.35,4.51,4.39,0.12,2.73,297371.55,134013.235
600322.SH,20150122,4.5,4.57,4.44,4.51,4.51,0.0,0.0,193096.94,86970.353
600322.SH,20150123,4.52,4.61,4.48,4.5,4.51,-0.01,-0.22,189920.65,86235.571
600322.SH,20150126,4.52,4.58,4.45,4.56,4.5,0.06,1.33,226630.81,102300.14
600322.SH,20150127,4.55,4.58,4.41,4.49,4.56,-0.07,-1.54,208802.96,93800.524
600322.SH,20150128,4.48,4.48,4.41,4.44,4.49,-0.05,-1.11,119171.1,53019.441
600322.SH,20150129,4.42,4.44,4.35,4.41,4.44,-0.03,-0.68,127051.88,55893.194
600322.SH,20150130,4.43,4.48,4.37,4.4,4.41,-0.01,-0.23,120480.28,53364.373
600322.SH,20150202,4.33,4.39,4.28,4.32,4.4,-0.08,-1.82,100577.58,43693.851
600322.SH,20150203,4.34,4.39,4.31,4.38,4.32,0.06,1.39,73188.26,31836.492
600322.SH,20150204,4.38,4.42,4.33,4.33,4.38,-0.05,-1.14,78053.03,34209.541
600322.SH,20150205,4.43,4.45,4.3,4.31,4.33,-0.02,-0.46,114419.68,50079.928
600322.SH,20150206,4.29,4.31,4.18,4.22,4.31,-0.09,-2.09,97794.32,41546.219
600322.SH,20150209,4.19,4.23,4.16,4.21,4.22,-0.01,-0.24,56616.03,23776.97
600322.SH,20150210,4.21,4.25,4.19,4.25,4.21,0.04,0.95,75153.22,31729.836
600322.SH,20150211,4.25,4.28,4.23,4.27,4.25,0.02,0.47,63434.24,26986.27
600322.SH,20150212,4.25,4.3,4.24,4.29,4.27,0.02,0.47,69328.37,29578.118
600322.SH,20150213,4.29,4.39,4.29,4.36,4.29,0.07,1.63,117967.29,51294.577
600322.SH,20150216,4.35,4.41,4.35,4.38,4.36,0.02,0.46,96022.1,42019.019
600322.SH,20150217,4.38,4.43,4.37,4.42,4.38,0.04,0.91,98359.79,43316.229
600322.SH,20150225,4.42,4.43,4.36,4.37,4.42,-0.05,-1.13,76402.07,33558.861
600322.SH,20150226,4.39,4.45,4.37,4.45,4.37,0.08,1.83,121203.52,53627.919
600322.SH,20150227,4.45,4.55,4.44,4.51,4.45,0.06,1.35,187002.48,83967.598
600322.SH,20150302,4.57,4.58,4.5,4.57,4.51,0.06,1.33,214857.13,97614.586
600322.SH,20150303,4.54,4.55,4.46,4.48,4.57,-0.09,-1.97,168457.97,75946.312
600322.SH,20150304,4.46,4.56,4.46,4.55,4.48,0.07,1.56,164989.32,74579.6
600322.SH,20150305,4.55,4.57,4.47,4.52,4.55,-0.03,-0.66,142052.06,64193.69
600322.SH,20150306,4.51,4.61,4.51,4.59,4.52,0.07,1.55,249218.01,113771.697
600322.SH,20150309,4.56,4.68,4.53,4.67,4.59,0.08,1.74,244471.04,112712.64
600322.SH,20150310,4.66,4.77,4.62,4.64,4.67,-0.03,-0.64,224639.41,104945.587
600322.SH,20150311,4.64,4.7,4.61,4.64,4.64,0.0,0.0,168450.35,78323.175
600322.SH,20150312,4.64,4.74,4.63,4.69,4.64,0.05,1.08,228556.46,107501.402
600322.SH,20150313,4.72,4.75,4.67,4.7,4.69,0.01,0.21,150904.37,70954.692
600322.SH,20150316,4.72,4.87,4.71,4.86,4.7,0.16,3.4,293888.55,141265.639
600322.SH,20150317,4.86,5.03,4.86,4.97,4.86,0.11,2.26,497227.56,246141.177
600322.SH,20150318,5.0,5.12,4.95,5.08,4.97,0.11,2.21,415428.66,209778.386
600322.SH,20150319,5.07,5.2,5.02,5.19,5.08,0.11,2.17,421258.42,215444.738
600322.SH,20150320,5.25,5.34,5.17,5.25,5.19,0.06,1.16,435141.0,227985.462
600322.SH,20150323,5.3,5.62,5.26,5.45,5.25,0.2,3.81,473849.66,257124.017
600322.SH,20150324,5.47,5.48,5.16,5.35,5.45,-0.1,-1.83,448848.06,239406.258
600322.SH,20150325,5.51,5.79,5.4,5.43,5.35,0.08,1.5,662201.54,367001.779
600322.SH,20150326,5.43,5.48,5.3,5.42,5.43,-0.01,-0.18,352990.26,189848.389
600322.SH,20150327,5.44,5.87,5.43,5.67,5.42,0.25,4.61,774820.4,435722.03
600322.SH,20150330,5.67,6.24,5.6,6.24,5.67,0.57,10.05,1000029.04,595975.634
600322.SH,20150331,6.74,6.74,6.13,6.21,6.24,-0.03,-0.48,1471513.82,950734.637
600322.SH,20150401,6.33,6.33,6.06,6.25,6.21,0.04,0.64,579229.48,357922.482
600322.SH,20150402,6.25,6.34,6.18,6.33,6.25,0.08,1.28,488514.59,305320.247
600322.SH,20150403,6.25,6.45,6.17,6.43,6.33,0.1,1.58,487082.02,307741.531
600322.SH,20150407,6.42,6.67,6.37,6.62,6.43,0.19,2.95,746321.25,489398.656
600322.SH,20150408,6.62,6.64,6.32,6.6,6.62,-0.02,-0.3,568167.78,369136.808
600322.SH,20150409,6.58,6.79,6.18,6.72,6.6,0.12,1.82,562482.95,363173.726
600322.SH,20150410,6.61,6.71,6.49,6.62,6.72,-0.1,-1.49,506495.33,335571.097
600322.SH,20150413,6.62,6.99,6.56,6.94,6.62,0.32,4.83,723724.56,484213.326
600322.SH,20150414,6.89,6.94,6.75,6.81,6.94,-0.13,-1.87,513686.39,350989.556
600322.SH,20150415,6.72,6.83,6.33,6.37,6.81,-0.44,-6.46,430264.39,284126.852
600322.SH,20150416,6.33,6.75,6.2,6.5,6.37,0.13,2.04,398904.86,258076.143
600322.SH,20150417,6.55,6.71,6.44,6.54,6.5,0.04,0.62,418030.82,274137.191
600322.SH,20150420,6.63,6.95,6.46,6.48,6.54,-0.06,-0.92,813095.28,541365.562
600322.SH,20150421,6.55,6.76,6.39,6.71,6.48,0.23,3.55,490523.79,321681.306
600322.SH,20150422,6.71,7.36,6.69,6.97,6.71,0.26,3.87,828794.9,577321.791
600322.SH,20150423,6.99,7.16,6.94,7.08,6.97,0.11,1.58,715166.76,503771.465
600322.SH,20150424,6.9,7.07,6.78,6.98,7.08,-0.1,-1.41,523845.46,362950.593
600322.SH,20150427,6.99,7.15,6.98,7.12,6.98,0.14,2.01,661753.16,467438.924
600322.SH,20150428,7.12,7.8,7.08,7.2,7.12,0.08,1.12,1002381.04,738370.381
600322.SH,20150429,7.1,7.42,6.96,7.36,7.2,0.16,2.22,537894.46,388923.397
600322.SH,20150430,7.37,7.93,7.15,7.88,7.36,0.52,7.07,1019150.0,772119.942
600322.SH,20150504,8.44,8.44,7.8,7.82,7.88,-0.06,-0.76,1249507.69,1015768.695
600322.SH,20150505,7.68,7.69,7.16,7.24,7.82,-0.58,-7.42,776485.63,576927.334
600322.SH,20150506,7.23,7.45,6.8,7.13,7.24,-0.11,-1.52,487625.86,351791.071
600322.SH,20150507,7.04,7.18,6.58,6.63,7.13,-0.5,-7.01,406895.51,279049.721
600322.SH,20150508,6.66,6.88,6.64,6.87,6.63,0.24,3.62,326666.76,220580.105
600322.SH,20150511,7.07,7.18,6.98,7.09,6.87,0.22,3.2,574433.93,405868.344
600322.SH,20150512,7.1,7.11,6.95,7.05,7.09,-0.04,-0.56,493749.45,346900.944
