ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600382.SH,20150105,14.95,15.54,14.91,15.44,14.85,0.59,3.97,224758.88,344268.051
600382.SH,20150106,15.46,15.47,15.06,15.42,15.44,-0.02,-0.13,157466.34,240008.626
600382.SH,20150107,15.37,15.55,15.25,15.45,15.42,0.03,0.19,131259.93,202063.232
600382.SH,20150108,15.46,15.51,14.88,14.89,15.45,-0.56,-3.62,143004.97,216849.587
600382.SH,20150109,14.79,15.11,14.69,14.69,14.89,-0.2,-1.34,131409.42,195871.413
600382.SH,20150112,14.51,14.66,14.21,14.25,14.69,-0.44,-3.0,94782.27,136621.365
600382.SH,20150113,14.26,14.6,14.26,14.45,14.25,0.2,1.4,63057.31,91352.917
600382.SH,20150114,14.45,14.53,14.32,14.5,14.45,0.05,0.35,56832.83,81881.026
600382.SH,20150115,14.55,14.97,14.51,14.94,14.5,0.44,3.03,91640.62,136160.763
600382.SH,20150116,14.99,15.08,14.79,14.95,14.94,0.01,0.07,91113.89,135878.077
600382.SH,20150119,14.49,14.85,13.75,13.94,14.95,-1.01,-6.76,137172.49,196606.73
600382.SH,20150120,14.06,14.48,14.06,14.41,13.94,0.47,3.37,91743.17,131653.054
600382.SH,20150121,14.48,14.99,14.48,14.93,14.41,0.52,3.61,126964.7,188882.819
600382.SH,20150122,15.08,15.39,14.99,15.31,14.93,0.38,2.55,158766.01,241945.302
600382.SH,20150123,15.36,15.44,15.02,15.1,15.31,-0.21,-1.37,125685.13,190860.337
600382.SH,20150126,15.1,16.61,15.06,16.6,15.1,1.5,9.93,467497.48,761963.998
600382.SH,20150127,16.55,16.86,16.1,16.6,16.6,0.0,0.0,335364.01,553485.765
600382.SH,20150128,16.63,16.7,16.19,16.27,16.6,-0.33,-1.99,164201.36,268758.487
600382.SH,20150129,16.0,16.06,15.6,15.78,16.27,-0.49,-3.01,158456.63,250345.826
600382.SH,20150130,16.05,17.33,16.05,16.37,15.78,0.59,3.74,334068.51,556531.07
600382.SH,20150202,16.34,16.34,15.7,16.29,16.37,-0.08,-0.49,121661.96,195936.942
600382.SH,20150203,16.31,16.66,16.18,16.51,16.29,0.22,1.35,126919.49,208260.277
600382.SH,20150204,16.51,16.56,15.9,15.91,16.51,-0.6,-3.63,134150.8,217258.19
600382.SH,20150205,16.19,16.21,15.66,15.67,15.91,-0.24,-1.51,127457.6,201723.999
600382.SH,20150206,15.6,15.97,15.44,15.73,15.67,0.06,0.38,86434.34,135610.697
600382.SH,20150209,15.8,16.32,15.78,15.98,15.73,0.25,1.59,100529.57,161538.923
600382.SH,20150210,16.03,16.03,15.77,15.99,15.98,0.01,0.06,75504.65,119997.259
600382.SH,20150211,15.99,16.07,15.85,15.91,15.99,-0.08,-0.5,90972.58,144954.762
600382.SH,20150212,16.0,16.53,15.95,16.35,15.91,0.44,2.77,204739.12,333358.014
600382.SH,20150213,15.55,15.89,15.35,15.68,16.35,-0.67,-4.1,477518.9,746972.459
600382.SH,20150216,15.53,15.53,15.2,15.36,15.68,-0.32,-2.04,265997.62,407725.875
600382.SH,20150217,15.36,15.49,15.3,15.37,15.36,0.01,0.07,147344.96,226803.844
600382.SH,20150225,15.37,15.46,15.22,15.4,15.37,0.03,0.2,126004.53,193054.135
600382.SH,20150226,15.4,15.59,15.28,15.57,15.4,0.17,1.1,171217.96,264067.1
600382.SH,20150227,15.6,15.66,15.51,15.61,15.57,0.04,0.26,162929.14,253956.151
600382.SH,20150302,15.62,15.98,15.6,15.96,15.61,0.35,2.24,212574.5,335279.925
600382.SH,20150303,15.99,15.99,15.5,15.53,15.96,-0.43,-2.69,197219.58,310208.448
600382.SH,20150304,15.4,15.58,15.35,15.56,15.53,0.03,0.19,135295.2,209365.336
600382.SH,20150305,15.56,15.57,15.26,15.36,15.56,-0.2,-1.29,119980.33,184279.998
