ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600444.SH,20150105,13.89,13.98,13.52,13.89,14.37,-0.48,-3.34,15089.54,20698.564
600444.SH,20150106,13.6,13.9,13.6,13.86,13.89,-0.03,-0.22,10717.01,14766.854
600444.SH,20150107,13.9,14.05,13.68,13.77,13.86,-0.09,-0.65,9859.02,13653.584
600444.SH,20150108,13.86,13.86,13.5,13.57,13.77,-0.2,-1.45,13837.51,18866.377
600444.SH,20150109,13.57,13.7,13.24,13.38,13.57,-0.19,-1.4,31822.51,42847.419
600444.SH,20150112,13.02,13.39,12.47,12.97,13.38,-0.41,-3.06,23389.01,30402.535
600444.SH,20150113,13.23,13.99,12.85,13.42,12.97,0.45,3.47,19097.0,25672.643
600444.SH,20150114,13.41,13.55,13.01,13.2,13.42,-0.22,-1.64,11479.88,15208.006
600444.SH,20150115,13.15,13.39,13.02,13.22,13.2,0.02,0.15,6299.6,8321.471
600444.SH,20150116,13.18,13.55,13.17,13.47,13.22,0.25,1.89,15306.63,20524.69
600444.SH,20150119,13.42,13.6,13.0,13.11,13.47,-0.36,-2.67,15565.06,20675.641
600444.SH,20150120,13.12,13.42,13.12,13.35,13.11,0.24,1.83,17457.02,23222.801
600444.SH,20150121,13.4,13.75,13.36,13.64,13.35,0.29,2.17,31745.24,43073.481
600444.SH,20150122,13.66,13.89,13.6,13.87,13.64,0.23,1.69,29392.76,40397.517
600444.SH,20150123,13.9,14.13,13.71,14.01,13.87,0.14,1.01,28619.34,39951.995
600444.SH,20150126,14.01,14.46,14.01,14.36,14.01,0.35,2.5,26634.4,38095.187
600444.SH,20150127,14.35,15.15,14.35,14.81,14.36,0.45,3.13,29771.86,43553.556
600444.SH,20150128,14.87,14.87,14.53,14.74,14.81,-0.07,-0.47,14847.77,21788.062
600444.SH,20150129,14.63,14.7,14.33,14.34,14.74,-0.4,-2.71,13015.0,18834.831
600444.SH,20150130,14.47,14.47,13.98,14.17,14.34,-0.17,-1.19,17296.72,24470.457
600444.SH,20150202,14.02,14.37,13.87,14.33,14.17,0.16,1.13,12751.12,18005.48
600444.SH,20150203,14.29,14.45,14.15,14.32,14.33,-0.01,-0.07,12382.52,17694.561
600444.SH,20150204,14.29,14.36,14.1,14.17,14.32,-0.15,-1.05,10217.53,14511.179
600444.SH,20150205,14.27,14.27,14.08,14.12,14.17,-0.05,-0.35,9359.05,13259.886
600444.SH,20150206,14.21,14.21,13.52,13.62,14.12,-0.5,-3.54,9696.91,13378.613
600444.SH,20150209,13.0,13.8,13.0,13.38,13.62,-0.24,-1.76,16291.26,21880.627
600444.SH,20150210,13.35,13.47,13.11,13.37,13.38,-0.01,-0.07,9739.0,12992.441
600444.SH,20150211,13.33,13.56,13.33,13.47,13.37,0.1,0.75,10276.81,13860.8
600444.SH,20150212,13.49,13.67,13.41,13.63,13.47,0.16,1.19,12459.28,16902.519
600444.SH,20150213,13.63,14.32,13.63,14.24,13.63,0.61,4.48,29210.57,41184.207
600444.SH,20150216,14.16,14.47,14.05,14.4,14.24,0.16,1.12,14251.13,20367.178
600444.SH,20150217,14.4,14.62,14.3,14.55,14.4,0.15,1.04,12457.04,18010.869
600444.SH,20150225,14.51,14.95,14.47,14.9,14.55,0.35,2.41,21547.9,31776.117
600444.SH,20150226,14.9,16.39,14.74,16.39,14.9,1.49,10.0,75917.56,120210.603
600444.SH,20150227,16.39,16.7,15.85,16.24,16.39,-0.15,-0.92,35107.99,56954.68
600444.SH,20150302,16.24,16.44,15.92,16.31,16.24,0.07,0.43,25808.18,41740.705
600444.SH,20150303,16.28,16.3,15.79,15.88,16.31,-0.43,-2.64,25259.71,40416.724
600444.SH,20150304,15.88,17.45,15.87,16.34,15.88,0.46,2.9,28119.42,46197.758
600444.SH,20150305,16.2,16.47,16.05,16.13,16.34,-0.21,-1.29,18481.87,30076.042
600444.SH,20150306,16.68,17.5,16.54,16.63,16.13,0.5,3.1,31039.43,52771.804
600444.SH,20150309,16.45,16.85,16.03,16.76,16.63,0.13,0.78,15884.2,26040.004
600444.SH,20150310,16.5,17.78,16.41,16.88,16.76,0.12,0.72,20253.58,34341.363
600444.SH,20150311,16.85,17.5,16.63,17.23,16.88,0.35,2.07,29633.22,50980.724
600444.SH,20150312,17.22,18.2,17.1,17.38,17.23,0.15,0.87,18373.84,32280.643
600444.SH,20150313,17.25,17.5,16.8,16.96,17.38,-0.42,-2.42,14977.66,25426.566
600444.SH,20150316,16.7,17.68,16.65,17.58,16.96,0.62,3.66,38066.9,64791.023
600444.SH,20150317,17.38,18.25,17.18,18.23,17.58,0.65,3.7,46285.78,82683.334
600444.SH,20150318,18.16,18.35,17.89,18.09,18.23,-0.14,-0.77,24740.11,44615.61
600444.SH,20150319,18.17,18.17,17.7,17.76,18.09,-0.33,-1.82,24891.4,44509.292
600444.SH,20150320,17.86,18.0,17.5,17.73,17.76,-0.03,-0.17,24499.41,43368.213
600444.SH,20150323,17.66,18.08,17.66,18.03,17.73,0.3,1.69,40457.76,72300.568
600444.SH,20150324,18.0,18.03,16.58,17.54,18.03,-0.49,-2.72,26388.73,46200.485
600444.SH,20150325,17.17,18.4,17.1,18.25,17.54,0.71,4.05,60358.0,106915.984
600444.SH,20150326,18.39,19.3,18.0,18.67,18.25,0.42,2.3,31687.05,58651.724
600444.SH,20150327,18.25,18.91,18.25,18.85,18.67,0.18,0.96,19574.08,36664.957
600444.SH,20150330,18.77,18.87,18.3,18.58,18.85,-0.27,-1.43,22404.96,41546.164
600444.SH,20150331,18.58,18.7,18.05,18.1,18.58,-0.48,-2.58,33306.75,60717.916
600444.SH,20150401,18.14,18.37,18.0,18.31,18.1,0.21,1.16,19951.12,36457.344
600444.SH,20150402,17.7,18.79,17.7,18.68,18.31,0.37,2.02,42719.86,78519.511
600444.SH,20150403,18.58,19.5,18.28,19.24,18.68,0.56,3.0,46076.13,86564.999
600444.SH,20150407,19.2,19.3,18.99,19.13,19.24,-0.11,-0.57,34471.94,65845.684
600444.SH,20150408,19.1,19.15,18.51,18.81,19.13,-0.32,-1.67,25993.71,49078.661
600444.SH,20150409,18.42,19.8,18.42,19.63,18.81,0.82,4.36,53421.3,102566.574
600444.SH,20150410,19.2,19.56,18.83,19.22,19.63,-0.41,-2.09,52470.65,101016.402
600444.SH,20150413,19.2,19.88,18.74,19.53,19.22,0.31,1.61,60171.7,115617.035
600444.SH,20150414,19.1,21.39,19.1,20.78,19.53,1.25,6.4,71753.68,147154.844
600444.SH,20150415,20.4,21.99,20.2,20.52,20.78,-0.26,-1.25,61798.97,130211.844
600444.SH,20150416,20.35,21.07,19.23,20.58,20.52,0.06,0.29,48159.11,99042.112
600444.SH,20150420,19.55,20.15,19.55,19.55,20.58,-1.03,-5.0,65408.17,128040.965
600444.SH,20150421,19.08,19.12,18.57,18.92,19.55,-0.63,-3.22,102728.13,192854.221
600444.SH,20150422,18.99,19.39,18.19,19.26,18.92,0.34,1.8,50427.99,96316.026
600444.SH,20150423,19.26,19.99,19.11,19.41,19.26,0.15,0.78,42732.51,82973.019
600444.SH,20150424,19.18,19.5,18.92,19.06,19.41,-0.35,-1.8,53919.93,103315.147
600444.SH,20150427,19.15,19.59,18.61,18.86,19.06,-0.2,-1.05,49561.15,94189.093
600444.SH,20150428,18.8,18.84,18.01,18.06,18.86,-0.8,-4.24,38719.14,71027.848
600444.SH,20150429,17.92,18.96,17.8,18.96,18.06,0.9,4.98,40480.86,75748.344
600444.SH,20150430,19.0,19.5,18.7,18.7,18.96,-0.26,-1.37,34255.53,65389.444
600444.SH,20150504,18.75,19.4,18.28,18.94,18.7,0.24,1.28,32698.64,60997.402
600444.SH,20150505,18.95,19.25,18.29,18.59,18.94,-0.35,-1.85,24967.77,47190.675
600444.SH,20150506,19.3,19.39,18.46,18.51,18.59,-0.08,-0.43,22850.65,43271.989
600444.SH,20150507,18.59,19.19,18.4,18.61,18.51,0.1,0.54,18314.74,34382.134
600444.SH,20150508,18.9,19.23,18.68,19.21,18.61,0.6,3.22,30987.27,58983.586
600444.SH,20150511,19.26,19.8,19.2,19.57,19.21,0.36,1.87,41139.61,80199.681
600444.SH,20150512,19.62,20.49,19.4,20.27,19.57,0.7,3.58,42864.02,85470.99
600444.SH,20150513,20.07,21.22,20.07,21.18,20.27,0.91,4.49,36645.21,75922.707
600444.SH,20150514,21.18,22.24,21.18,22.24,21.18,1.06,5.0,14773.04,32503.801
600444.SH,20150515,23.35,23.35,22.4,22.64,22.24,0.4,1.8,41977.03,97105.517
600444.SH,20150518,22.4,23.77,22.03,23.21,22.64,0.57,2.52,32191.14,75258.44
600444.SH,20150519,23.39,24.37,23.21,24.37,23.21,1.16,5.0,20461.79,49617.097
600444.SH,20150520,25.51,25.59,25.04,25.59,24.37,1.22,5.01,26664.94,68137.39
600444.SH,20150528,26.87,26.87,26.87,26.87,25.59,1.28,5.0,5794.99,15571.138
600444.SH,20150529,28.15,28.21,25.53,28.14,26.87,1.27,4.73,58419.03,162259.804
600444.SH,20150601,27.39,27.9,26.73,26.83,28.14,-1.31,-4.66,51330.74,138788.289
600444.SH,20150602,27.3,27.63,26.1,27.02,26.83,0.19,0.71,42134.1,112550.111
600444.SH,20150603,27.1,27.1,26.01,26.62,27.02,-0.4,-1.48,37559.2,100300.987
600444.SH,20150604,26.8,27.95,26.1,27.18,26.62,0.56,2.1,76338.28,208861.66
600444.SH,20150605,27.69,28.2,27.0,27.64,27.18,0.46,1.69,49383.26,136117.779
600444.SH,20150608,28.03,29.02,28.03,29.0,27.64,1.36,4.92,49916.47,144048.652
600444.SH,20150609,28.89,30.39,28.6,29.37,29.0,0.37,1.28,38355.84,113279.116
600444.SH,20150610,29.2,30.84,29.0,30.33,29.37,0.96,3.27,31480.77,94909.218
600444.SH,20150611,30.4,31.85,30.4,31.85,30.33,1.52,5.01,29889.38,94370.999
600444.SH,20150612,32.99,33.44,32.5,33.44,31.85,1.59,4.99,31097.18,103448.123
600444.SH,20150615,34.49,34.49,31.77,31.77,33.44,-1.67,-4.99,58928.52,191410.009
600444.SH,20150616,31.0,31.0,30.18,30.18,31.77,-1.59,-5.0,26772.41,80834.948
600444.SH,20150617,28.75,30.84,28.67,30.44,30.18,0.26,0.86,37014.7,108901.3
600444.SH,20150618,30.79,30.79,28.92,28.92,30.44,-1.52,-4.99,19525.01,58040.081
600444.SH,20150619,28.6,28.6,27.47,27.47,28.92,-1.45,-5.01,21615.9,59627.821
600444.SH,20150623,27.2,27.25,26.1,26.45,27.47,-1.02,-3.71,21874.86,57330.798
600444.SH,20150624,26.8,27.74,26.12,26.8,26.45,0.35,1.32,24484.64,66008.601
600444.SH,20150625,26.81,27.0,25.46,25.46,26.8,-1.34,-5.0,17124.98,44943.914
600444.SH,20150626,24.6,24.6,24.19,24.19,25.46,-1.27,-4.99,11022.0,26698.466
600444.SH,20150629,23.8,23.8,22.98,22.98,24.19,-1.21,-5.0,9075.0,20950.129
600444.SH,20150630,21.83,22.65,21.83,21.83,22.98,-1.15,-5.0,34664.71,76230.378
600444.SH,20150701,20.89,22.36,20.74,20.74,21.83,-1.09,-4.99,31926.5,69041.58
600444.SH,20150702,19.7,20.0,19.7,19.7,20.74,-1.04,-5.01,6908.0,13614.721
600444.SH,20150703,18.72,18.72,18.72,18.72,19.7,-0.98,-4.97,1294.0,2422.368
600444.SH,20150706,18.73,19.48,17.78,17.78,18.72,-0.94,-5.02,17291.0,31285.413
600444.SH,20150707,16.89,16.89,16.89,16.89,17.78,-0.89,-5.01,240.0,405.36
600444.SH,20150708,16.05,16.05,16.05,16.05,16.89,-0.84,-4.97,62.0,99.51
600444.SH,20150709,15.25,16.85,15.25,16.74,16.05,0.69,4.3,109394.04,173168.946
600444.SH,20150710,16.12,17.58,16.12,17.58,16.74,0.84,5.02,77800.74,134535.927
600444.SH,20150713,17.4,18.46,17.21,18.46,17.58,0.88,5.01,43156.97,77256.716
600444.SH,20150714,18.42,19.38,17.91,18.06,18.46,-0.4,-2.17,52236.28,97939.665
600444.SH,20150715,18.11,18.3,17.16,17.16,18.06,-0.9,-4.98,43220.83,75994.319
600444.SH,20150716,16.3,17.3,16.3,16.43,17.16,-0.73,-4.25,36673.29,61022.867
600444.SH,20150717,16.43,17.25,16.4,17.25,16.43,0.82,4.99,35891.03,60766.556
600444.SH,20150720,17.28,18.11,17.03,17.91,17.25,0.66,3.83,36939.83,65975.422
600444.SH,20150721,17.74,18.81,17.48,18.74,17.91,0.83,4.63,24940.75,46095.248
600444.SH,20150722,18.79,19.2,18.44,18.71,18.74,-0.03,-0.16,27956.62,52530.318
600444.SH,20150723,18.82,19.65,18.82,19.65,18.71,0.94,5.02,20334.99,39401.605
