ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600446.SH,20150105,46.8,46.8,42.88,44.63,46.88,-2.25,-4.8,81033.05,361486.792
600446.SH,20150106,44.68,49.09,43.41,49.09,44.63,4.46,9.99,105237.12,492110.425
600446.SH,20150107,49.7,53.98,48.0,51.3,49.09,2.21,4.5,118172.6,599369.084
600446.SH,20150108,50.52,54.88,50.01,53.78,51.3,2.48,4.83,79558.41,420180.762
600446.SH,20150109,54.4,57.1,54.4,54.87,53.78,1.09,2.03,85011.11,474139.71
600446.SH,20150112,55.38,60.36,55.38,60.22,54.87,5.35,9.75,102688.87,603345.452
600446.SH,20150113,60.5,65.29,58.6,63.09,60.22,2.87,4.77,72411.02,455986.101
600446.SH,20150114,63.32,64.4,58.26,62.17,63.09,-0.92,-1.46,71843.72,443332.56
600446.SH,20150115,61.41,63.83,59.22,59.98,62.17,-2.19,-3.52,68931.6,420217.244
600446.SH,20150116,60.38,65.98,59.98,65.98,59.98,6.0,10.0,83703.75,535719.601
600446.SH,20150119,62.8,68.99,62.7,66.02,65.98,0.04,0.06,94695.29,623204.008
600446.SH,20150120,65.85,72.62,65.85,71.89,66.02,5.87,8.89,76013.13,531545.56
600446.SH,20150121,72.0,73.83,68.0,71.59,71.89,-0.3,-0.42,61753.15,438689.126
600446.SH,20150122,70.5,71.65,68.6,69.49,71.59,-2.1,-2.93,44920.28,312798.921
600446.SH,20150123,69.49,69.87,64.1,67.05,69.49,-2.44,-3.51,72556.32,481087.342
600446.SH,20150126,67.25,73.76,67.25,73.76,67.05,6.71,10.01,85217.92,604957.337
600446.SH,20150127,74.0,77.7,73.01,75.54,73.76,1.78,2.41,71377.76,539785.226
600446.SH,20150128,75.6,78.5,70.6,72.05,75.54,-3.49,-4.62,62081.08,458770.814
600446.SH,20150129,69.9,72.06,66.6,69.5,72.05,-2.55,-3.54,74396.94,511847.651
600446.SH,20150130,69.0,69.1,65.73,67.55,69.5,-1.95,-2.81,52909.66,353576.413
600446.SH,20150202,66.8,73.25,66.02,69.74,67.55,2.19,3.24,62897.57,440429.155
600446.SH,20150203,69.98,76.0,68.66,72.75,69.74,3.01,4.32,105797.14,777451.608
600446.SH,20150204,72.1,74.87,70.78,70.82,72.75,-1.93,-2.65,57446.65,416573.185
600446.SH,20150205,70.78,75.06,69.01,72.7,70.82,1.88,2.65,58974.03,430129.109
600446.SH,20150206,71.26,72.54,65.65,68.11,72.7,-4.59,-6.31,79180.42,538368.265
600446.SH,20150209,67.0,69.8,66.5,67.29,68.11,-0.82,-1.2,27915.23,188706.565
600446.SH,20150210,67.2,68.8,63.7,68.62,67.29,1.33,1.98,54478.61,361168.314
600446.SH,20150211,68.48,75.48,68.0,74.66,68.62,6.04,8.8,146348.59,1087046.872
600446.SH,20150212,74.08,74.85,70.61,71.53,74.66,-3.13,-4.19,94197.78,682494.862
600446.SH,20150213,72.28,73.8,69.04,70.26,71.53,-1.27,-1.78,77504.3,547801.672
600446.SH,20150216,70.27,76.51,69.0,75.17,70.26,4.91,6.99,90343.96,657662.79
600446.SH,20150217,79.0,81.6,77.11,79.49,75.17,4.32,5.75,100498.99,793071.992
