ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600495.SH,20150105,23.58,23.58,22.39,22.98,23.9,-0.92,-3.85,368150.71,843160.223
600495.SH,20150106,22.8,24.1,22.38,23.95,22.98,0.97,4.22,341117.56,797618.88
600495.SH,20150107,23.98,24.34,23.31,23.85,23.95,-0.1,-0.42,226718.08,538789.411
600495.SH,20150108,23.83,24.3,23.2,23.36,23.85,-0.49,-2.05,183530.91,432540.796
600495.SH,20150109,23.14,23.62,22.6,22.72,23.36,-0.64,-2.74,196169.92,453376.405
600495.SH,20150112,22.41,22.41,20.74,21.11,22.72,-1.61,-7.09,270562.14,581602.401
600495.SH,20150113,21.0,21.48,20.79,21.33,21.11,0.22,1.04,145026.76,307269.174
600495.SH,20150114,21.55,21.55,20.52,20.6,21.33,-0.73,-3.42,175634.38,365500.417
600495.SH,20150115,20.6,21.73,20.51,21.21,20.6,0.61,2.96,233819.32,493491.053
600495.SH,20150116,21.08,21.85,20.76,21.2,21.21,-0.01,-0.05,248543.98,529137.246
600495.SH,20150119,20.3,20.46,19.08,19.18,21.2,-2.02,-9.53,270399.3,531811.972
600495.SH,20150120,19.21,20.0,19.21,19.78,19.18,0.6,3.13,183362.62,362363.568
600495.SH,20150121,19.89,20.77,19.89,20.42,19.78,0.64,3.24,209359.22,427833.637
600495.SH,20150122,20.83,20.87,20.25,20.65,20.42,0.23,1.13,218939.66,449911.708
600495.SH,20150123,21.09,21.09,20.66,20.74,20.65,0.09,0.44,284378.13,593376.889
600495.SH,20150126,20.82,21.19,20.73,21.02,20.74,0.28,1.35,166027.21,347825.948
600495.SH,20150127,21.05,21.29,20.83,21.27,21.02,0.25,1.19,291540.92,614883.515
600495.SH,20150128,21.08,21.17,20.76,20.9,21.27,-0.37,-1.74,177127.88,370487.495
600495.SH,20150129,20.9,21.09,20.75,20.77,20.9,-0.13,-0.62,149284.79,312387.598
600495.SH,20150130,20.83,20.94,19.85,19.88,20.77,-0.89,-4.29,173464.57,350831.086
600495.SH,20150202,19.5,19.5,18.88,18.94,19.88,-0.94,-4.73,154399.43,294311.713
600495.SH,20150203,18.99,19.3,18.84,19.25,18.94,0.31,1.64,108673.16,207528.94
600495.SH,20150204,19.33,19.96,19.13,19.83,19.25,0.58,3.01,186050.32,363356.799
600495.SH,20150205,19.97,20.0,19.21,19.22,19.83,-0.61,-3.08,137396.14,268153.64
