ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600499.SH,20150105,18.59,18.87,18.37,18.72,18.46,0.26,1.41,95774.17,178208.116
600499.SH,20150106,18.72,18.83,18.45,18.78,18.72,0.06,0.32,94042.52,175281.448
600499.SH,20150107,18.78,18.87,18.55,18.6,18.78,-0.18,-0.96,76733.06,143333.21
600499.SH,20150108,18.6,18.75,18.51,18.61,18.6,0.01,0.05,73756.02,137514.917
600499.SH,20150109,18.68,18.7,18.48,18.48,18.61,-0.13,-0.7,82580.8,153537.527
600499.SH,20150112,18.47,18.49,17.46,17.57,18.48,-0.91,-4.92,157175.68,281200.919
600499.SH,20150113,17.56,17.76,17.19,17.6,17.57,0.03,0.17,128374.65,223588.54
600499.SH,20150114,17.55,18.14,17.52,17.95,17.6,0.35,1.99,94561.68,168420.166
600499.SH,20150115,17.96,18.45,17.96,18.35,17.95,0.4,2.23,80609.57,147039.176
600499.SH,20150116,18.5,18.6,18.2,18.3,18.35,-0.05,-0.27,71667.19,131486.895
600499.SH,20150119,18.15,18.24,17.3,17.58,18.3,-0.72,-3.93,111925.45,198813.618
600499.SH,20150120,17.8,18.26,17.6,18.2,17.58,0.62,3.53,103048.4,184529.882
600499.SH,20150121,18.22,18.52,18.22,18.44,18.2,0.24,1.32,117990.42,217414.414
600499.SH,20150122,18.52,18.75,18.34,18.69,18.44,0.25,1.36,121294.63,224565.182
600499.SH,20150123,18.66,18.8,18.47,18.49,18.69,-0.2,-1.07,115763.33,215368.58
600499.SH,20150126,18.49,18.99,18.45,18.97,18.49,0.48,2.6,173458.43,326757.798
600499.SH,20150127,19.04,19.3,18.72,18.9,18.97,-0.07,-0.37,146575.98,278218.113
600499.SH,20150128,18.9,19.2,18.7,18.72,18.9,-0.18,-0.95,94639.16,178886.077
600499.SH,20150129,18.61,18.86,18.5,18.66,18.72,-0.06,-0.32,73716.8,137206.069
600499.SH,20150130,18.68,18.98,18.0,18.25,18.66,-0.41,-2.2,94303.75,173648.358
600499.SH,20150202,18.0,18.41,18.0,18.12,18.25,-0.13,-0.71,72484.41,132059.364
600499.SH,20150203,18.25,18.58,18.2,18.35,18.12,0.23,1.27,65720.22,120637.954
600499.SH,20150204,18.45,18.56,18.13,18.16,18.35,-0.19,-1.04,80265.15,146813.767
600499.SH,20150205,18.26,18.39,18.08,18.28,18.16,0.12,0.66,132502.79,241700.972
600499.SH,20150206,18.38,18.85,18.29,18.77,18.28,0.49,2.68,227998.28,423522.531
600499.SH,20150209,18.79,18.79,18.51,18.65,18.77,-0.12,-0.64,100499.59,187723.819
600499.SH,20150210,18.75,18.98,18.6,18.75,18.65,0.1,0.54,100239.22,187866.201
600499.SH,20150211,18.78,18.87,18.69,18.78,18.75,0.03,0.16,97321.81,182589.697
600499.SH,20150212,18.79,18.87,18.64,18.72,18.78,-0.06,-0.32,88058.69,165103.797
600499.SH,20150213,18.81,19.03,18.66,18.84,18.72,0.12,0.64,153874.02,290261.456
600499.SH,20150216,18.91,19.1,18.88,19.01,18.84,0.17,0.9,123234.22,234045.738
600499.SH,20150217,19.05,19.86,18.97,19.73,19.01,0.72,3.79,276734.33,541219.764
600499.SH,20150225,19.81,20.34,19.81,19.94,19.73,0.21,1.06,222321.91,446279.978
600499.SH,20150226,20.01,20.04,19.71,19.83,19.94,-0.11,-0.55,117060.84,232363.765
600499.SH,20150227,19.85,20.34,19.71,19.9,19.83,0.07,0.35,119739.14,240028.144
600499.SH,20150302,21.09,21.7,20.82,21.39,19.9,1.49,7.49,512184.19,1084729.215
600499.SH,20150303,21.54,21.96,20.71,20.83,21.39,-0.56,-2.62,368846.11,789651.069
600499.SH,20150304,20.85,21.36,20.42,20.69,20.83,-0.14,-0.67,264401.61,550645.722
600499.SH,20150305,20.8,21.18,20.62,20.99,20.69,0.3,1.45,199797.73,417862.209
600499.SH,20150306,21.0,21.11,20.35,20.74,20.99,-0.25,-1.19,198523.13,409900.599
600499.SH,20150309,20.6,20.92,20.42,20.9,20.74,0.16,0.77,138638.54,287781.145
600499.SH,20150310,20.91,21.29,20.71,21.01,20.9,0.11,0.53,134195.58,282365.094
600499.SH,20150311,21.01,21.16,20.59,20.61,21.01,-0.4,-1.9,138020.83,287808.126
600499.SH,20150312,20.53,20.88,20.1,20.25,20.61,-0.36,-1.75,141466.37,288390.007
600499.SH,20150313,20.25,20.85,20.17,20.71,20.25,0.46,2.27,116963.08,240341.391
600499.SH,20150316,20.85,21.0,20.71,20.98,20.71,0.27,1.3,206394.57,429869.234
600499.SH,20150317,21.19,21.48,20.87,21.19,20.98,0.21,1.0,254278.79,538457.555
600499.SH,20150318,21.24,21.94,21.19,21.79,21.19,0.6,2.83,278947.23,600713.504
600499.SH,20150319,21.79,22.5,21.52,22.13,21.79,0.34,1.56,252289.8,555760.848
600499.SH,20150320,22.12,22.32,21.84,21.97,22.13,-0.16,-0.72,213354.94,469113.71
600499.SH,20150323,22.1,22.3,21.95,22.11,21.97,0.14,0.64,204295.83,451029.581
600499.SH,20150324,21.92,22.01,21.22,21.84,22.11,-0.27,-1.22,290275.81,627785.637
600499.SH,20150325,21.83,22.23,21.42,21.91,21.84,0.07,0.32,194257.24,422008.054
600499.SH,20150326,21.82,22.42,21.52,21.96,21.91,0.05,0.23,195934.55,430755.008
600499.SH,20150327,21.88,22.54,21.77,22.49,21.96,0.53,2.41,195086.84,431380.375
600499.SH,20150330,22.49,23.19,22.24,22.63,22.49,0.14,0.62,278659.98,632357.349
600499.SH,20150331,22.68,23.1,22.4,22.67,22.63,0.04,0.18,210057.63,476280.195
600499.SH,20150401,22.65,24.32,22.56,23.96,22.67,1.29,5.69,328113.47,772954.334
600499.SH,20150402,23.99,24.84,23.7,24.49,23.96,0.53,2.21,316941.77,771688.504
600499.SH,20150403,24.43,24.79,23.9,24.48,24.49,-0.01,-0.04,188399.0,459012.948
600499.SH,20150407,24.85,24.99,24.51,24.68,24.48,0.2,0.82,231174.42,571318.549
600499.SH,20150408,24.72,26.15,24.7,25.58,24.68,0.9,3.65,351278.53,893938.225
600499.SH,20150409,25.55,25.58,23.4,24.83,25.58,-0.75,-2.93,269481.49,663885.405
600499.SH,20150410,24.88,26.21,24.86,26.05,24.83,1.22,4.91,289728.67,745038.471
600499.SH,20150413,26.08,27.3,26.08,26.7,26.05,0.65,2.5,227639.21,611240.216
600499.SH,20150414,26.7,26.8,25.91,26.16,26.7,-0.54,-2.02,155502.92,408394.933
600499.SH,20150415,26.2,26.2,24.81,24.95,26.16,-1.21,-4.63,180211.79,456880.657
