ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600511.SH,20150105,30.99,32.35,30.58,31.42,30.99,0.43,1.39,38921.87,121839.223
600511.SH,20150106,31.36,32.49,30.22,32.2,31.42,0.78,2.48,63982.83,202571.071
600511.SH,20150107,32.16,32.78,31.68,32.15,32.2,-0.05,-0.16,42691.43,137564.559
600511.SH,20150108,32.15,33.94,32.01,32.97,32.15,0.82,2.55,47528.21,156803.044
600511.SH,20150109,33.08,35.18,33.08,33.32,32.97,0.35,1.06,68605.42,233845.07
600511.SH,20150112,32.6,34.8,32.54,33.9,33.32,0.58,1.74,48484.27,164503.531
600511.SH,20150113,33.5,34.98,33.45,34.32,33.9,0.42,1.24,26247.55,90316.083
600511.SH,20150114,34.14,34.16,32.55,32.59,34.32,-1.73,-5.04,41928.95,138189.045
600511.SH,20150115,32.85,32.97,31.79,32.28,32.59,-0.31,-0.95,25985.92,83321.95
600511.SH,20150116,32.07,32.55,31.2,31.73,32.28,-0.55,-1.7,66022.85,208823.035
600511.SH,20150119,31.48,33.5,30.5,31.31,31.73,-0.42,-1.32,91680.29,292828.934
600511.SH,20150120,31.99,32.45,30.99,31.59,31.31,0.28,0.89,84587.28,265832.274
600511.SH,20150121,31.65,33.46,31.65,33.17,31.59,1.58,5.0,119969.68,394211.319
600511.SH,20150122,33.6,34.8,33.39,34.2,33.17,1.03,3.11,81297.78,275644.31
600511.SH,20150123,34.0,34.08,32.9,33.37,34.2,-0.83,-2.43,44950.73,149759.613
600511.SH,20150126,33.41,33.88,33.1,33.57,33.37,0.2,0.6,42173.5,141307.574
600511.SH,20150127,33.51,34.28,32.84,34.26,33.57,0.69,2.06,63709.75,214256.431
600511.SH,20150128,34.3,34.98,33.2,33.6,34.26,-0.66,-1.93,42301.6,144255.601
600511.SH,20150129,33.01,33.24,32.15,32.16,33.6,-1.44,-4.29,36025.21,117455.0
600511.SH,20150130,32.2,32.44,31.38,32.0,32.16,-0.16,-0.5,30064.99,96169.052
600511.SH,20150202,32.0,33.1,31.52,32.45,32.0,0.45,1.41,41862.17,136175.854
600511.SH,20150203,32.33,33.2,32.28,33.05,32.45,0.6,1.85,29409.47,96695.82
600511.SH,20150204,33.0,33.0,31.56,32.07,33.05,-0.98,-2.97,48443.95,155284.033
600511.SH,20150205,32.18,32.28,30.95,31.19,32.07,-0.88,-2.74,55286.0,174106.143
600511.SH,20150206,34.31,34.31,33.4,34.31,31.19,3.12,10.0,118435.2,405283.353
600511.SH,20150209,34.38,34.5,31.68,32.88,34.31,-1.43,-4.17,108819.06,361389.857
600511.SH,20150210,31.9,32.48,31.1,32.08,32.88,-0.8,-2.43,83300.4,263856.34
600511.SH,20150211,32.08,32.4,31.61,32.0,32.08,-0.08,-0.25,47895.45,153141.635
600511.SH,20150212,31.79,32.45,31.51,32.09,32.0,0.09,0.28,41404.33,132192.963
600511.SH,20150213,32.3,32.65,32.08,32.18,32.09,0.09,0.28,60052.36,193689.228
600511.SH,20150216,32.13,32.15,31.78,32.09,32.18,-0.09,-0.28,33308.96,106371.501
600511.SH,20150217,32.2,32.68,32.07,32.41,32.09,0.32,1.0,42309.09,136685.951
600511.SH,20150225,32.13,33.48,32.0,33.14,32.41,0.73,2.25,49658.48,162175.57
600511.SH,20150226,33.09,33.27,32.72,32.99,33.14,-0.15,-0.45,28450.15,93917.574
600511.SH,20150227,32.98,33.17,32.69,32.93,32.99,-0.06,-0.18,38713.44,127423.621
600511.SH,20150302,32.93,32.93,32.16,32.58,32.93,-0.35,-1.06,66601.9,215831.171
600511.SH,20150303,32.54,32.54,31.4,31.5,32.58,-1.08,-3.31,93462.41,298312.823
600511.SH,20150304,31.4,31.83,31.1,31.8,31.5,0.3,0.95,64009.27,201508.378
600511.SH,20150305,31.88,32.22,31.4,31.58,31.8,-0.22,-0.69,64435.65,205001.258
600511.SH,20150306,31.41,31.79,31.31,31.41,31.58,-0.17,-0.54,31691.03,99650.497
600511.SH,20150309,31.4,31.43,30.7,31.26,31.41,-0.15,-0.48,73082.95,225879.283
600511.SH,20150310,31.3,31.47,30.85,31.27,31.26,0.01,0.03,47163.05,147035.551
600511.SH,20150311,31.34,31.47,30.9,31.44,31.27,0.17,0.54,58699.28,183081.995
600511.SH,20150312,31.46,31.7,31.05,31.18,31.44,-0.26,-0.83,51587.96,161719.836
600511.SH,20150313,31.34,31.35,31.01,31.28,31.18,0.1,0.32,39955.66,124387.957
600511.SH,20150316,31.28,32.24,31.28,32.05,31.28,0.77,2.46,100372.06,319725.294
600511.SH,20150317,32.22,34.17,32.0,33.48,32.05,1.43,4.46,166076.21,553618.956
600511.SH,20150318,33.28,33.48,32.72,33.27,33.48,-0.21,-0.63,82882.14,273756.849
600511.SH,20150319,33.27,33.3,32.6,32.75,33.27,-0.52,-1.56,77441.18,253870.669
600511.SH,20150320,32.9,32.96,32.28,32.71,32.75,-0.04,-0.12,73485.41,238998.395
600511.SH,20150323,32.5,33.05,32.16,32.92,32.71,0.21,0.64,128182.13,418178.15
600511.SH,20150324,33.3,34.05,32.68,33.75,32.92,0.83,2.52,187449.19,627728.663
600511.SH,20150325,33.88,37.13,33.13,35.5,33.75,1.75,5.19,212467.43,737485.139
600511.SH,20150326,35.55,36.87,34.63,35.66,35.5,0.16,0.45,140568.44,503371.974
600511.SH,20150327,35.24,35.65,34.68,35.32,35.66,-0.34,-0.95,81799.08,287857.833
600511.SH,20150330,35.3,35.5,35.11,35.46,35.32,0.14,0.4,78848.97,278565.175
600511.SH,20150331,35.6,36.86,35.35,35.49,35.46,0.03,0.08,90887.07,327148.364
600511.SH,20150401,35.1,35.51,34.62,35.49,35.49,0.0,0.0,126374.08,443374.296
600511.SH,20150402,35.65,36.58,35.01,35.46,35.49,-0.03,-0.08,98056.28,350167.105
600511.SH,20150403,35.4,35.98,35.0,35.74,35.46,0.28,0.79,88068.82,313223.821
600511.SH,20150407,35.85,36.65,35.55,36.53,35.74,0.79,2.21,135127.18,488362.865
600511.SH,20150408,36.81,36.97,35.15,35.42,36.53,-1.11,-3.04,121219.96,435402.986
600511.SH,20150409,35.2,37.0,33.3,35.66,35.42,0.24,0.68,145058.49,508363.765
600511.SH,20150410,35.39,39.0,35.01,38.44,35.66,2.78,7.8,212970.79,798635.478
600511.SH,20150413,38.44,41.55,38.02,40.01,38.44,1.57,4.08,187708.13,754013.159
600511.SH,20150414,39.46,39.98,38.02,38.68,40.01,-1.33,-3.32,116678.42,454149.109
600511.SH,20150415,38.46,38.5,36.5,36.8,38.68,-1.88,-4.86,114560.9,427932.77
600511.SH,20150416,36.18,37.9,35.8,37.82,36.8,1.02,2.77,79477.06,295991.842
600511.SH,20150417,38.11,39.98,37.86,37.89,37.82,0.07,0.19,117765.17,455690.364
600511.SH,20150420,37.99,38.07,36.21,36.29,37.89,-1.6,-4.22,98715.75,363474.622
600511.SH,20150421,36.1,38.29,35.84,37.95,36.29,1.66,4.57,83321.38,311362.403
600511.SH,20150422,38.0,39.98,38.0,39.39,37.95,1.44,3.79,116518.31,452247.012
600511.SH,20150423,39.0,39.88,38.26,38.63,39.39,-0.76,-1.93,89680.57,348342.182
600511.SH,20150424,37.96,39.29,37.51,38.98,38.63,0.35,0.91,79572.21,307815.461
600511.SH,20150427,39.23,40.0,38.33,39.63,38.98,0.65,1.67,98013.69,383588.016
600511.SH,20150428,39.65,39.94,38.0,38.31,39.63,-1.32,-3.33,75547.98,292113.312
600511.SH,20150429,38.7,38.75,37.67,38.22,38.31,-0.09,-0.23,65369.26,249493.222
600511.SH,20150430,38.25,38.56,37.71,37.87,38.22,-0.35,-0.92,69445.21,264396.467
600511.SH,20150504,38.0,38.0,37.02,37.39,37.87,-0.48,-1.27,64624.22,241770.708
600511.SH,20150505,37.6,38.35,36.0,36.5,37.39,-0.89,-2.38,66377.05,247561.675
600511.SH,20150506,37.68,38.0,36.52,36.69,36.5,0.19,0.52,86320.38,323262.365
600511.SH,20150507,36.5,37.35,36.1,36.63,36.69,-0.06,-0.16,52741.36,193892.222
600511.SH,20150508,37.0,37.6,36.69,37.35,36.63,0.72,1.97,60207.84,223905.492
600511.SH,20150511,37.59,38.59,36.8,38.18,37.35,0.83,2.22,97028.66,365722.978
600511.SH,20150512,38.22,40.29,37.75,39.96,38.18,1.78,4.66,164306.1,639789.189
600511.SH,20150513,39.66,40.5,38.48,38.91,39.96,-1.05,-2.63,125837.18,494682.456
600511.SH,20150514,38.99,39.32,38.3,38.56,38.91,-0.35,-0.9,81251.67,314020.978
600511.SH,20150515,38.6,39.35,38.02,39.06,38.56,0.5,1.3,94635.77,366231.482
600511.SH,20150518,39.5,41.58,39.5,40.49,39.06,1.43,3.66,159846.65,652437.003
600511.SH,20150519,40.37,42.16,39.65,41.44,40.49,0.95,2.35,116605.05,476667.733
600511.SH,20150520,41.63,44.5,41.63,42.29,41.44,0.85,2.05,123305.73,532164.843
600511.SH,20150521,42.24,43.56,41.78,43.3,42.29,1.01,2.39,93948.89,398529.381
600511.SH,20150522,43.28,43.99,42.07,43.68,43.3,0.38,0.88,102854.36,443420.695
600511.SH,20150525,43.01,46.9,42.82,44.88,43.68,1.2,2.75,124854.84,556954.702
600511.SH,20150526,44.8,47.02,44.77,46.83,44.88,1.95,4.34,93807.79,432432.253
600511.SH,20150527,46.81,47.98,45.28,46.16,46.83,-0.67,-1.43,118163.6,549183.001
600511.SH,20150528,45.61,46.0,41.54,41.64,46.16,-4.52,-9.79,143597.1,629503.83
600511.SH,20150529,41.59,43.41,40.62,41.45,41.64,-0.19,-0.46,94243.49,395151.061
600511.SH,20150601,41.98,43.4,41.9,43.24,41.45,1.79,4.32,120133.82,511983.721
600511.SH,20150602,43.24,43.97,42.52,43.8,43.24,0.56,1.3,112981.14,487837.44
600511.SH,20150603,44.02,45.45,43.3,45.08,43.8,1.28,2.92,97249.32,433841.786
600511.SH,20150604,45.62,45.67,40.97,43.63,45.08,-1.45,-3.22,89934.73,390931.135
600511.SH,20150605,44.3,47.55,43.55,47.01,43.63,3.38,7.75,206028.36,931138.282
600511.SH,20150608,47.0,50.7,47.0,49.2,47.01,2.19,4.66,221472.67,1083381.098
600511.SH,20150609,48.55,48.88,47.21,47.68,49.2,-1.52,-3.09,72254.45,345762.053
600511.SH,20150610,47.54,48.8,46.5,48.07,47.68,0.39,0.82,92698.11,445091.127
600511.SH,20150611,47.95,48.38,46.65,46.97,48.07,-1.1,-2.29,112231.84,527857.017
600511.SH,20150612,47.2,48.97,47.11,47.88,46.97,0.91,1.94,122149.9,586669.194
600511.SH,20150615,47.9,49.8,46.86,47.19,47.88,-0.69,-1.44,92007.89,444751.94
600511.SH,20150616,46.5,47.02,43.98,45.35,47.19,-1.84,-3.9,70318.47,319220.164
600511.SH,20150617,45.0,49.89,44.05,49.89,45.35,4.54,10.01,143293.02,682452.285
600511.SH,20150618,50.5,52.88,47.0,47.64,49.89,-2.25,-4.51,197966.14,1002032.161
600511.SH,20150619,46.1,48.2,45.01,45.99,47.64,-1.65,-3.46,117426.51,547023.813
