ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600516.SH,20150105,10.0,10.48,10.0,10.35,9.77,0.58,5.94,544827.78,562053.871
600516.SH,20150106,10.27,10.37,10.1,10.33,10.35,-0.02,-0.19,347167.89,355453.274
600516.SH,20150107,10.38,10.47,10.21,10.35,10.33,0.02,0.19,316769.5,327596.653
600516.SH,20150108,10.34,10.39,10.11,10.19,10.35,-0.16,-1.55,253836.29,259672.336
600516.SH,20150109,10.14,10.38,10.07,10.1,10.19,-0.09,-0.88,345733.76,353074.142
600516.SH,20150112,10.02,10.02,9.73,9.82,10.1,-0.28,-2.77,232508.64,229218.747
600516.SH,20150113,9.86,10.68,9.86,10.35,9.82,0.53,5.4,508114.54,526571.394
600516.SH,20150114,10.48,10.6,10.25,10.45,10.35,0.1,0.97,471622.58,492561.126
600516.SH,20150115,10.48,10.58,10.28,10.48,10.45,0.03,0.29,323594.91,337265.132
600516.SH,20150116,10.53,10.69,10.46,10.61,10.48,0.13,1.24,433241.62,458444.806
600516.SH,20150119,10.21,10.39,9.8,10.03,10.61,-0.58,-5.47,413251.98,419261.055
600516.SH,20150120,10.17,10.88,10.17,10.82,10.03,0.79,7.88,737942.67,780148.487
600516.SH,20150121,10.78,11.1,10.65,10.92,10.82,0.1,0.92,712385.89,774385.183
600516.SH,20150122,10.88,11.07,10.8,10.9,10.92,-0.02,-0.18,492503.36,538602.193
600516.SH,20150123,10.91,10.96,10.55,10.59,10.9,-0.31,-2.84,504579.84,540732.904
600516.SH,20150126,10.62,11.0,10.6,10.99,10.59,0.4,3.78,568331.07,619092.421
600516.SH,20150127,11.01,11.06,10.66,10.9,10.99,-0.09,-0.82,451544.3,490371.075
600516.SH,20150128,10.8,10.88,10.57,10.65,10.9,-0.25,-2.29,351509.42,376694.607
600516.SH,20150129,10.52,11.09,10.46,11.01,10.65,0.36,3.38,807377.36,880776.369
600516.SH,20150130,11.02,11.04,10.71,10.73,11.01,-0.28,-2.54,426321.98,462500.961
600516.SH,20150202,10.62,10.9,10.55,10.64,10.73,-0.09,-0.84,297533.69,319658.128
600516.SH,20150203,10.77,11.15,10.66,11.04,10.64,0.4,3.76,676559.42,742567.728
600516.SH,20150204,10.98,11.29,10.89,11.25,11.04,0.21,1.9,753253.43,835499.017
600516.SH,20150205,11.47,11.59,10.91,10.92,11.25,-0.33,-2.93,912354.62,1027302.868
600516.SH,20150206,10.8,11.12,10.59,10.72,10.92,-0.2,-1.83,443341.77,480572.485
600516.SH,20150209,10.64,10.71,10.06,10.16,10.72,-0.56,-5.22,523606.71,537183.989
600516.SH,20150210,10.21,10.35,10.15,10.29,10.16,0.13,1.28,243662.16,249835.263
600516.SH,20150211,10.35,10.36,10.18,10.26,10.29,-0.03,-0.29,254533.73,261650.182
600516.SH,20150212,10.28,10.32,10.14,10.3,10.26,0.04,0.39,226781.23,232191.634
600516.SH,20150213,10.3,10.55,10.29,10.41,10.3,0.11,1.07,309281.1,323016.359
600516.SH,20150216,10.47,10.87,10.41,10.82,10.41,0.41,3.94,463279.33,496345.118
600516.SH,20150217,10.8,10.87,10.67,10.72,10.82,-0.1,-0.92,318317.03,342587.877
600516.SH,20150225,10.74,10.95,10.69,10.81,10.72,0.09,0.84,402885.59,436411.429
600516.SH,20150226,10.82,10.97,10.76,10.92,10.81,0.11,1.02,334818.38,363764.813
600516.SH,20150227,10.9,11.06,10.87,10.97,10.92,0.05,0.46,395699.39,434968.344
600516.SH,20150302,11.04,11.5,10.88,11.41,10.97,0.44,4.01,999005.67,1117632.694
600516.SH,20150303,11.3,11.65,11.2,11.47,11.41,0.06,0.53,1239486.59,1416667.198
600516.SH,20150304,11.48,11.59,11.27,11.48,11.47,0.01,0.09,786990.9,898519.39
