ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600548.SH,20150105,8.33,8.68,8.28,8.57,8.29,0.28,3.38,238609.61,202459.639
600548.SH,20150106,8.58,9.43,8.58,9.4,8.57,0.83,9.68,437580.76,400543.916
600548.SH,20150107,9.25,9.25,9.0,9.16,9.4,-0.24,-2.55,210500.43,191514.628
600548.SH,20150108,9.06,9.1,8.7,8.71,9.16,-0.45,-4.91,163454.86,144403.431
600548.SH,20150109,8.7,8.9,8.59,8.69,8.71,-0.02,-0.23,107092.45,94028.968
600548.SH,20150112,8.61,8.67,8.29,8.35,8.69,-0.34,-3.91,110656.6,93280.921
600548.SH,20150113,8.35,8.47,8.25,8.37,8.35,0.02,0.24,69973.02,58666.059
600548.SH,20150114,8.41,8.42,8.16,8.2,8.37,-0.17,-2.03,82602.84,68115.818
600548.SH,20150115,8.18,8.55,8.18,8.52,8.2,0.32,3.9,92258.8,77481.063
600548.SH,20150116,8.6,8.72,8.45,8.59,8.52,0.07,0.82,84672.42,72481.97
600548.SH,20150119,8.24,8.37,7.73,7.8,8.59,-0.79,-9.2,145308.29,116541.451
600548.SH,20150120,7.82,8.13,7.82,8.1,7.8,0.3,3.85,86170.23,69123.959
600548.SH,20150121,8.1,8.45,8.08,8.45,8.1,0.35,4.32,101302.4,84444.906
600548.SH,20150122,8.5,8.55,8.38,8.43,8.45,-0.02,-0.24,69139.53,58442.613
600548.SH,20150123,8.47,8.47,8.3,8.33,8.43,-0.1,-1.19,73200.96,61309.382
600548.SH,20150126,8.32,8.65,8.3,8.57,8.33,0.24,2.88,81388.1,68889.382
600548.SH,20150127,8.6,8.64,8.3,8.54,8.57,-0.03,-0.35,93726.07,79457.307
600548.SH,20150128,8.55,8.57,8.4,8.45,8.54,-0.09,-1.05,56150.84,47512.941
600548.SH,20150129,8.58,9.3,8.5,8.8,8.45,0.35,4.14,261411.67,232774.712
600548.SH,20150130,8.8,8.9,8.48,8.51,8.8,-0.29,-3.3,136323.25,117419.924
600548.SH,20150202,8.31,8.33,8.0,8.04,8.51,-0.47,-5.52,130236.57,105881.876
600548.SH,20150203,8.05,8.2,8.02,8.15,8.04,0.11,1.37,72391.87,58774.879
600548.SH,20150204,8.15,8.26,8.07,8.09,8.15,-0.06,-0.74,53022.5,43301.389
600548.SH,20150205,8.24,8.24,8.01,8.02,8.09,-0.07,-0.87,55876.63,45142.775
600548.SH,20150206,7.91,7.99,7.77,7.84,8.02,-0.18,-2.24,52317.2,41160.516
600548.SH,20150209,7.76,7.81,7.62,7.73,7.84,-0.11,-1.4,59530.67,45917.519
600548.SH,20150210,7.62,7.88,7.62,7.83,7.73,0.1,1.29,32971.55,25738.006
600548.SH,20150211,7.88,7.92,7.83,7.89,7.83,0.06,0.77,29465.11,23222.772
600548.SH,20150212,7.89,7.96,7.82,7.89,7.89,0.0,0.0,32872.47,25947.752
600548.SH,20150213,7.9,8.11,7.9,8.06,7.89,0.17,2.15,56344.6,45368.789
600548.SH,20150216,8.07,8.1,8.01,8.08,8.06,0.02,0.25,41598.42,33537.257
600548.SH,20150217,8.08,8.15,8.04,8.15,8.08,0.07,0.87,45764.72,37114.939
600548.SH,20150225,8.19,8.19,8.05,8.08,8.15,-0.07,-0.86,44363.47,35982.448
600548.SH,20150226,8.08,8.28,8.05,8.26,8.08,0.18,2.23,56186.52,46058.339
600548.SH,20150227,8.28,8.29,8.18,8.23,8.26,-0.03,-0.36,54275.18,44677.718
600548.SH,20150302,8.27,8.3,8.17,8.26,8.23,0.03,0.36,64409.23,53030.449
600548.SH,20150303,8.24,8.24,8.1,8.14,8.26,-0.12,-1.45,65852.16,53707.528
600548.SH,20150304,8.1,8.18,8.08,8.16,8.14,0.02,0.25,57778.54,46953.838
600548.SH,20150305,8.16,8.38,8.11,8.22,8.16,0.06,0.74,86638.71,71433.759
600548.SH,20150306,8.21,8.21,8.11,8.15,8.22,-0.07,-0.85,48647.6,39647.149
600548.SH,20150309,8.1,8.12,7.88,8.11,8.15,-0.04,-0.49,67132.67,53582.966
600548.SH,20150310,8.11,8.11,8.03,8.06,8.11,-0.05,-0.62,51608.8,41593.733
600548.SH,20150311,8.07,8.13,8.03,8.1,8.06,0.04,0.5,52241.71,42252.055
600548.SH,20150312,8.11,8.14,8.02,8.13,8.1,0.03,0.37,70171.87,56878.305
600548.SH,20150313,8.18,8.19,8.11,8.16,8.13,0.03,0.37,67521.8,55032.084
600548.SH,20150316,8.25,8.57,8.25,8.56,8.16,0.4,4.9,195487.19,165239.552
600548.SH,20150317,8.61,8.87,8.52,8.85,8.56,0.29,3.39,207869.4,181086.271
600548.SH,20150318,8.85,9.47,8.85,9.21,8.85,0.36,4.07,242098.89,222012.435
600548.SH,20150319,9.19,9.19,8.9,9.01,9.21,-0.2,-2.17,187342.91,169123.344
600548.SH,20150320,8.99,9.32,8.96,9.12,9.01,0.11,1.22,173436.14,158783.58
600548.SH,20150323,9.38,9.45,9.11,9.24,9.12,0.12,1.32,191293.36,175584.74
600548.SH,20150324,9.26,9.26,8.76,9.06,9.24,-0.18,-1.95,190033.51,171775.113
600548.SH,20150325,9.15,9.45,9.12,9.29,9.06,0.23,2.54,254981.53,237352.244
600548.SH,20150326,9.25,9.38,9.05,9.19,9.29,-0.1,-1.08,115134.65,105789.137
600548.SH,20150327,9.19,9.23,9.1,9.14,9.19,-0.05,-0.54,97855.56,89558.619
600548.SH,20150330,9.21,9.48,9.16,9.45,9.14,0.31,3.39,228261.41,213782.353
600548.SH,20150331,9.55,9.63,9.24,9.27,9.45,-0.18,-1.9,157450.65,147378.213
600548.SH,20150401,9.27,9.34,9.2,9.3,9.27,0.03,0.32,119449.44,110622.341
600548.SH,20150402,9.32,9.34,9.18,9.3,9.3,0.0,0.0,134263.15,124482.272
600548.SH,20150403,9.27,9.32,9.2,9.32,9.3,0.02,0.22,128912.34,119486.987
600548.SH,20150407,9.39,9.97,9.38,9.72,9.32,0.4,4.29,272709.89,265190.805
600548.SH,20150408,9.73,10.35,9.73,10.2,9.72,0.48,4.94,332497.16,334765.085
600548.SH,20150409,10.19,10.19,9.57,9.84,10.2,-0.36,-3.53,200657.76,197453.368
600548.SH,20150410,9.77,9.98,9.69,9.94,9.84,0.1,1.02,153296.77,151375.494
600548.SH,20150413,10.0,10.93,10.0,10.93,9.94,0.99,9.96,368116.08,391603.008
600548.SH,20150414,10.96,11.9,10.94,11.36,10.93,0.43,3.93,332540.89,381177.055
600548.SH,20150415,11.38,12.23,11.35,11.65,11.36,0.29,2.55,354645.16,419919.614
600548.SH,20150416,11.36,11.66,10.49,11.33,11.65,-0.32,-2.75,242291.71,270388.793
600548.SH,20150417,11.33,11.65,11.15,11.23,11.33,-0.1,-0.88,257858.1,290668.561
600548.SH,20150420,11.24,11.24,10.67,10.71,11.23,-0.52,-4.63,229303.13,249670.674
600548.SH,20150421,10.72,11.02,10.7,11.02,10.71,0.31,2.89,131036.78,142222.799
600548.SH,20150422,11.06,11.65,11.06,11.61,11.02,0.59,5.35,266509.49,305587.345
