ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600559.SH,20150105,48.94,50.58,47.84,50.04,49.34,0.7,1.42,43509.6,215403.608
600559.SH,20150106,49.07,49.47,46.95,47.5,50.04,-2.54,-5.08,41073.19,196148.645
600559.SH,20150107,47.0,47.43,45.3,46.03,47.5,-1.47,-3.09,34244.56,158330.144
600559.SH,20150108,46.08,48.28,45.27,46.35,46.03,0.32,0.7,37735.88,175957.712
600559.SH,20150109,45.98,46.39,45.35,45.79,46.35,-0.56,-1.21,28033.35,128571.895
600559.SH,20150112,45.49,45.49,43.81,43.91,45.79,-1.88,-4.11,28420.17,125870.251
600559.SH,20150113,43.25,45.35,43.25,43.99,43.91,0.08,0.18,23524.29,104510.347
600559.SH,20150114,43.99,45.35,41.83,42.53,43.99,-1.46,-3.32,18190.74,79495.608
600559.SH,20150115,42.7,44.01,42.7,43.75,42.53,1.22,2.87,18523.15,80606.499
600559.SH,20150116,44.48,45.6,43.8,45.36,43.75,1.61,3.68,21996.66,98199.438
600559.SH,20150119,44.0,46.5,42.45,43.98,45.36,-1.38,-3.04,25639.92,114822.3
600559.SH,20150120,43.5,46.18,43.5,45.7,43.98,1.72,3.91,19008.44,86226.355
600559.SH,20150121,45.7,46.0,44.7,45.92,45.7,0.22,0.48,18534.56,84409.896
600559.SH,20150122,45.91,45.91,44.9,45.17,45.92,-0.75,-1.63,14568.1,65905.093
600559.SH,20150123,45.17,45.57,43.95,44.3,45.17,-0.87,-1.93,19837.78,87811.851
600559.SH,20150126,44.02,45.1,43.6,44.65,44.3,0.35,0.79,12318.93,54592.133
600559.SH,20150127,44.8,45.6,43.58,44.87,44.65,0.22,0.49,24806.99,110489.662
600559.SH,20150128,44.87,45.44,44.0,45.3,44.87,0.43,0.96,13403.01,60382.34
600559.SH,20150129,45.0,45.27,44.1,44.42,45.3,-0.88,-1.94,7657.58,34219.975
600559.SH,20150130,44.45,46.68,44.45,44.99,44.42,0.57,1.28,22336.73,102246.997
600559.SH,20150202,44.17,44.5,42.38,43.98,44.99,-1.01,-2.24,13137.8,57631.28
600559.SH,20150203,44.2,44.46,43.16,44.16,43.98,0.18,0.41,10408.7,45409.28
600559.SH,20150204,44.22,44.22,43.15,43.81,44.16,-0.35,-0.79,11301.28,49263.804
600559.SH,20150205,44.03,45.35,43.5,44.18,43.81,0.37,0.84,23365.17,104875.583
600559.SH,20150206,44.24,45.28,43.5,44.97,44.18,0.79,1.79,14178.52,63431.708
600559.SH,20150209,44.99,49.47,44.95,49.47,44.97,4.5,10.01,50464.88,238812.332
600559.SH,20150210,50.0,50.05,47.72,48.0,49.47,-1.47,-2.97,36291.05,175870.046
600559.SH,20150211,48.7,48.7,47.0,48.16,48.0,0.16,0.33,18244.76,87468.266
600559.SH,20150212,47.82,47.85,46.3,46.89,48.16,-1.27,-2.64,22108.09,103934.588
600559.SH,20150213,47.11,47.74,46.76,47.02,46.89,0.13,0.28,18359.37,86753.614
600559.SH,20150216,47.12,47.28,46.0,46.75,47.02,-0.27,-0.57,15720.84,72851.88
600559.SH,20150217,46.98,46.98,46.01,46.11,46.75,-0.64,-1.37,15445.99,71792.838
600559.SH,20150225,46.23,46.44,44.71,45.26,46.11,-0.85,-1.84,20024.23,91586.126
600559.SH,20150226,45.28,46.5,45.2,46.0,45.26,0.74,1.64,18112.98,83303.124
600559.SH,20150227,45.98,46.77,45.83,46.03,46.0,0.03,0.07,16654.28,76981.901
600559.SH,20150302,46.04,46.89,44.8,46.86,46.03,0.83,1.8,27706.86,126536.232
600559.SH,20150303,46.5,46.5,44.9,45.25,46.86,-1.61,-3.44,24588.25,111784.716
600559.SH,20150304,45.02,45.95,44.5,45.93,45.25,0.68,1.5,19068.28,86118.298
600559.SH,20150305,45.9,45.9,44.5,44.91,45.93,-1.02,-2.22,17972.37,80828.071
600559.SH,20150306,44.88,44.99,44.69,44.91,44.91,0.0,0.0,13607.42,61002.19
600559.SH,20150309,44.61,45.46,42.5,45.03,44.91,0.12,0.27,26811.54,118240.222
600559.SH,20150310,45.16,45.45,43.68,44.03,45.03,-1.0,-2.22,21101.22,93111.032
600559.SH,20150311,43.8,45.87,43.52,45.45,44.03,1.42,3.23,27483.49,122993.496
600559.SH,20150312,46.1,46.1,44.46,44.68,45.45,-0.77,-1.69,18563.43,83473.006
600559.SH,20150313,44.88,45.25,44.56,44.97,44.68,0.29,0.65,12820.49,57702.237
600559.SH,20150316,45.1,45.39,44.9,45.24,44.97,0.27,0.6,21438.97,96734.018
600559.SH,20150317,45.33,49.62,45.28,47.58,45.24,2.34,5.17,52540.86,249284.775
600559.SH,20150318,46.47,47.8,46.4,47.25,47.58,-0.33,-0.69,20776.51,97761.834
600559.SH,20150319,47.5,47.65,46.6,47.13,47.25,-0.12,-0.25,21590.07,101331.44
600559.SH,20150320,47.5,49.13,46.8,47.16,47.13,0.03,0.06,24029.69,114925.986
600559.SH,20150323,47.0,48.4,46.8,47.49,47.16,0.33,0.7,29201.62,138885.487
600559.SH,20150324,47.97,51.76,47.51,50.41,47.49,2.92,6.15,69364.9,343390.083
600559.SH,20150325,50.6,54.5,49.05,51.78,50.41,1.37,2.72,46321.25,236754.343
600559.SH,20150326,51.6,55.06,51.5,54.82,51.78,3.04,5.87,44647.05,238164.695
600559.SH,20150327,55.0,55.77,52.25,53.51,54.82,-1.31,-2.39,33009.03,177264.633
600559.SH,20150330,53.81,53.81,52.6,52.94,53.51,-0.57,-1.07,27016.36,143339.923
600559.SH,20150331,52.3,52.67,51.49,51.88,52.94,-1.06,-2.0,22537.22,117129.142
600559.SH,20150401,51.85,53.08,51.8,52.29,51.88,0.41,0.79,25299.91,132308.09
600559.SH,20150402,52.9,52.97,50.0,50.74,52.29,-1.55,-2.96,45227.65,232116.252
600559.SH,20150403,50.52,51.06,49.7,50.88,50.74,0.14,0.28,40629.44,203927.336
600559.SH,20150407,50.68,51.57,49.99,51.54,50.88,0.66,1.3,40220.96,204253.019
600559.SH,20150408,51.48,52.75,50.78,51.97,51.54,0.43,0.83,51018.73,265171.853
600559.SH,20150409,51.0,51.75,49.81,50.17,51.97,-1.8,-3.46,51187.71,257256.388
600559.SH,20150410,50.05,51.24,49.68,51.02,50.17,0.85,1.69,28628.2,144458.472
600559.SH,20150413,51.15,55.11,50.37,54.94,51.02,3.92,7.68,77651.04,409640.43
600559.SH,20150414,54.9,58.0,52.88,56.31,54.94,1.37,2.49,59192.86,327250.353
600559.SH,20150415,56.0,58.55,53.5,55.96,56.31,-0.35,-0.62,38696.3,217537.47
600559.SH,20150416,55.5,61.56,54.05,61.56,55.96,5.6,10.01,92415.67,557570.329
600559.SH,20150417,61.56,63.0,59.28,59.88,61.56,-1.68,-2.73,63121.07,386675.074
600559.SH,20150420,58.5,60.8,57.1,57.38,59.88,-2.5,-4.18,37019.59,217515.503
600559.SH,20150421,57.98,63.0,57.39,62.21,57.38,4.83,8.42,46699.97,283734.311
600559.SH,20150422,62.31,68.0,61.05,65.88,62.21,3.67,5.9,52769.33,338713.042
600559.SH,20150423,65.99,68.0,64.5,64.9,65.88,-0.98,-1.49,24071.51,158047.856
600559.SH,20150424,64.43,66.77,62.71,64.78,64.9,-0.12,-0.18,25989.44,167728.05
600559.SH,20150427,64.5,65.65,62.59,62.68,64.78,-2.1,-3.24,25298.6,160826.791
