ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600595.SH,20150105,5.83,6.22,5.79,6.22,5.84,0.38,6.51,432335.1,263400.062
600595.SH,20150106,6.2,6.31,6.01,6.09,6.22,-0.13,-2.09,401423.49,245863.125
600595.SH,20150107,6.07,6.25,5.99,6.17,6.09,0.08,1.31,311903.67,191151.946
600595.SH,20150108,6.17,6.17,5.92,5.97,6.17,-0.2,-3.24,226947.8,136518.135
600595.SH,20150109,5.92,6.02,5.83,5.85,5.97,-0.12,-2.01,221322.08,131563.327
600595.SH,20150112,5.84,5.84,5.61,5.64,5.85,-0.21,-3.59,185245.51,105391.372
600595.SH,20150113,5.63,5.71,5.58,5.64,5.64,0.0,0.0,134144.84,75594.755
600595.SH,20150114,5.64,5.68,5.41,5.46,5.64,-0.18,-3.19,187094.16,103567.195
600595.SH,20150115,5.45,5.52,5.34,5.51,5.46,0.05,0.92,197821.55,107449.91
600595.SH,20150116,5.55,5.64,5.5,5.53,5.51,0.02,0.36,214455.15,119294.034
600595.SH,20150119,5.45,5.45,5.01,5.12,5.53,-0.41,-7.41,263394.34,137848.675
600595.SH,20150120,5.13,5.23,5.13,5.2,5.12,0.08,1.56,191022.58,99038.006
600595.SH,20150121,5.23,5.42,5.2,5.41,5.2,0.21,4.04,225924.77,119902.579
600595.SH,20150122,5.42,5.68,5.37,5.61,5.41,0.2,3.7,336247.54,188096.595
600595.SH,20150123,5.62,5.66,5.52,5.54,5.61,-0.07,-1.25,208056.53,115775.458
600595.SH,20150126,5.54,5.62,5.46,5.62,5.54,0.08,1.44,169811.42,94835.083
600595.SH,20150127,5.63,5.69,5.51,5.63,5.62,0.01,0.18,225755.43,126838.639
600595.SH,20150128,5.61,5.61,5.51,5.54,5.63,-0.09,-1.6,141686.66,78663.024
600595.SH,20150129,5.5,5.52,5.42,5.48,5.54,-0.06,-1.08,112217.23,61493.988
600595.SH,20150130,5.47,5.53,5.4,5.41,5.48,-0.07,-1.28,89977.81,49032.295
