ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600601.SH,20150105,4.67,4.77,4.61,4.75,4.68,0.07,1.5,561361.77,263747.831
600601.SH,20150106,4.67,4.73,4.58,4.73,4.75,-0.02,-0.42,709810.47,331192.6
600601.SH,20150107,4.7,4.71,4.62,4.66,4.73,-0.07,-1.48,412662.27,192468.616
600601.SH,20150108,4.64,4.69,4.61,4.65,4.66,-0.01,-0.21,437427.02,203458.992
600601.SH,20150109,4.65,4.86,4.63,4.73,4.65,0.08,1.72,895360.25,427587.778
600601.SH,20150112,4.74,4.8,4.69,4.79,4.73,0.06,1.27,547248.94,260137.716
600601.SH,20150113,4.76,5.1,4.74,4.99,4.79,0.2,4.18,1160565.73,575310.701
600601.SH,20150114,4.93,4.99,4.85,4.88,4.99,-0.11,-2.2,573865.45,281127.13
600601.SH,20150115,4.87,4.98,4.85,4.9,4.88,0.02,0.41,440777.94,216232.685
600601.SH,20150116,4.91,5.03,4.85,4.99,4.9,0.09,1.84,768734.09,380692.443
600601.SH,20150119,4.86,5.12,4.66,4.81,4.99,-0.18,-3.61,861642.13,423088.317
600601.SH,20150120,4.82,5.27,4.82,5.2,4.81,0.39,8.11,1630791.1,835647.572
600601.SH,20150121,5.2,5.23,5.08,5.2,5.2,0.0,0.0,1110451.11,572457.062
600601.SH,20150122,5.18,5.29,5.15,5.24,5.2,0.04,0.77,772721.08,403903.877
600601.SH,20150123,5.22,5.25,5.08,5.11,5.24,-0.13,-2.48,742934.59,382999.387
600601.SH,20150126,5.11,5.25,5.1,5.22,5.11,0.11,2.15,716673.92,371873.181
600601.SH,20150127,5.22,5.24,5.08,5.15,5.22,-0.07,-1.34,612628.65,315878.164
600601.SH,20150128,5.13,5.27,5.11,5.15,5.15,0.0,0.0,644794.73,335215.028
600601.SH,20150129,5.13,5.16,5.03,5.07,5.15,-0.08,-1.55,504753.85,256805.08
600601.SH,20150130,5.17,5.34,5.12,5.17,5.07,0.1,1.97,1082453.34,566100.395
600601.SH,20150202,5.18,5.4,5.13,5.3,5.17,0.13,2.51,1156358.2,615168.4
600601.SH,20150203,5.36,5.45,5.22,5.41,5.3,0.11,2.08,1260584.38,675631.201
600601.SH,20150204,5.36,5.41,5.27,5.3,5.41,-0.11,-2.03,748047.16,399451.031
600601.SH,20150205,5.35,5.68,5.26,5.48,5.3,0.18,3.4,1775155.22,975996.609
600601.SH,20150206,5.44,5.51,5.23,5.29,5.48,-0.19,-3.47,882400.34,473970.134
600601.SH,20150209,5.25,5.31,5.07,5.12,5.29,-0.17,-3.21,708340.9,366487.873
600601.SH,20150210,5.12,5.19,5.09,5.17,5.12,0.05,0.98,358102.82,184280.982
600601.SH,20150211,5.17,5.39,5.17,5.32,5.17,0.15,2.9,621863.26,329786.396
600601.SH,20150212,5.35,5.48,5.29,5.4,5.32,0.08,1.5,736128.35,398117.805
600601.SH,20150213,5.42,5.5,5.36,5.41,5.4,0.01,0.19,781781.72,423662.919
600601.SH,20150216,5.43,5.76,5.38,5.75,5.41,0.34,6.28,1297294.49,725136.09
600601.SH,20150217,5.72,5.81,5.63,5.71,5.75,-0.04,-0.7,1010256.27,578804.924
600601.SH,20150225,5.73,6.26,5.73,5.94,5.71,0.23,4.03,1647823.68,993423.649
600601.SH,20150226,5.94,6.15,5.89,6.07,5.94,0.13,2.19,1107567.86,668220.566
600601.SH,20150227,6.07,6.17,5.97,6.1,6.07,0.03,0.49,875380.24,532064.214
600601.SH,20150302,6.12,6.36,6.05,6.34,6.1,0.24,3.93,1113092.34,695663.854
600601.SH,20150303,6.31,6.67,6.23,6.28,6.34,-0.06,-0.95,1542160.62,997175.234
600601.SH,20150304,6.24,6.36,6.18,6.27,6.28,-0.01,-0.16,1017556.67,636719.376
600601.SH,20150305,6.24,6.27,6.05,6.07,6.27,-0.2,-3.19,1074173.73,656440.672
600601.SH,20150306,6.1,6.26,6.07,6.1,6.07,0.03,0.49,765590.94,471822.026
600601.SH,20150309,6.07,6.15,5.91,6.13,6.1,0.03,0.49,603488.77,365596.656
600601.SH,20150310,6.15,6.55,6.1,6.43,6.13,0.3,4.89,1160268.04,739056.967
600601.SH,20150311,6.45,6.47,6.29,6.35,6.43,-0.08,-1.24,725100.75,460894.4
600601.SH,20150312,6.35,6.85,6.32,6.55,6.35,0.2,3.15,1304695.98,863482.083
600601.SH,20150313,6.61,6.84,6.55,6.64,6.55,0.09,1.37,886831.09,590801.768
600601.SH,20150316,6.66,7.3,6.64,7.3,6.64,0.66,9.94,2325575.75,1651348.613
600601.SH,20150317,7.43,8.02,7.31,7.72,7.3,0.42,5.75,2701221.94,2067426.423
600601.SH,20150318,7.73,7.98,7.6,7.74,7.72,0.02,0.26,1770139.38,1374294.502
600601.SH,20150319,7.7,7.73,7.5,7.69,7.74,-0.05,-0.65,1598828.1,1216247.146
600601.SH,20150320,7.72,8.46,7.71,8.46,7.69,0.77,10.01,2039296.98,1681666.963
600601.SH,20150323,8.9,9.15,8.53,9.03,8.46,0.57,6.74,2760199.55,2444362.257
600601.SH,20150324,8.99,8.99,8.31,8.88,9.03,-0.15,-1.66,2427785.56,2129898.531
600601.SH,20150325,8.77,9.7,8.56,9.17,8.88,0.29,3.27,2145135.11,1962891.138
