ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600637.SH,20150105,37.7,38.0,37.29,37.31,37.88,-0.57,-1.5,153692.87,578999.156
600637.SH,20150106,37.25,37.37,36.36,37.02,37.31,-0.29,-0.78,188954.71,697027.721
600637.SH,20150107,37.02,37.57,36.88,37.05,37.02,0.03,0.08,117175.87,434960.18
600637.SH,20150108,37.0,37.24,36.58,36.63,37.05,-0.42,-1.13,85093.13,312974.366
600637.SH,20150109,36.65,37.0,36.36,36.4,36.63,-0.23,-0.63,99192.65,364463.242
600637.SH,20150112,36.49,37.25,36.18,37.07,36.4,0.67,1.84,113498.07,414965.365
600637.SH,20150113,37.03,37.37,36.8,37.15,37.07,0.08,0.22,86148.3,320111.04
600637.SH,20150114,37.14,37.19,36.42,36.58,37.15,-0.57,-1.53,69225.76,254418.905
600637.SH,20150115,36.69,37.1,36.52,36.89,36.58,0.31,0.85,67088.8,247171.419
600637.SH,20150116,37.12,39.38,36.99,38.63,36.89,1.74,4.72,207653.01,796137.498
600637.SH,20150119,37.4,39.24,36.81,37.32,38.63,-1.31,-3.39,166252.57,632766.949
600637.SH,20150120,38.0,38.33,37.51,38.17,37.32,0.85,2.28,149545.11,567851.361
600637.SH,20150121,38.55,39.5,38.54,39.41,38.17,1.24,3.25,230168.82,899977.313
600637.SH,20150122,39.98,40.97,39.52,39.67,39.41,0.26,0.66,290802.55,1169599.583
600637.SH,20150123,39.92,40.08,38.82,39.02,39.67,-0.65,-1.64,164270.69,645692.805
600637.SH,20150126,39.12,40.93,39.1,40.74,39.02,1.72,4.41,268789.5,1083101.527
600637.SH,20150127,41.1,42.13,40.65,41.2,40.74,0.46,1.13,250433.55,1034329.173
600637.SH,20150128,41.2,41.93,40.52,40.77,41.2,-0.43,-1.04,198211.48,817997.059
600637.SH,20150129,40.5,40.99,40.01,40.05,40.77,-0.72,-1.77,108298.64,437058.981
600637.SH,20150130,40.5,40.69,39.71,39.72,40.05,-0.33,-0.82,91761.95,367652.12
600637.SH,20150202,39.4,39.77,39.26,39.37,39.72,-0.35,-0.88,80929.82,319381.316
600637.SH,20150203,39.73,40.2,39.33,39.85,39.37,0.48,1.22,96139.26,381571.619
600637.SH,20150204,39.95,39.95,38.75,38.79,39.85,-1.06,-2.66,151553.05,594118.891
600637.SH,20150205,38.76,40.29,38.59,39.17,38.79,0.38,0.98,220831.73,870081.433
600637.SH,20150206,39.18,40.0,39.01,39.37,39.17,0.2,0.51,131290.31,517025.254
600637.SH,20150209,39.49,39.93,39.25,39.3,39.37,-0.07,-0.18,89986.71,356185.749
600637.SH,20150210,39.32,39.75,39.1,39.47,39.3,0.17,0.43,79666.24,314014.154
600637.SH,20150211,39.51,40.92,39.48,40.06,39.47,0.59,1.49,192482.11,775206.074
600637.SH,20150212,40.27,40.44,39.49,40.05,40.06,-0.01,-0.03,158091.13,630793.945
600637.SH,20150213,40.2,40.78,39.88,40.62,40.05,0.57,1.42,185090.86,748062.993
600637.SH,20150216,40.9,44.6,40.72,43.69,40.62,3.07,7.56,423272.78,1805579.478
600637.SH,20150217,43.5,43.8,42.69,43.03,43.69,-0.66,-1.51,230343.57,994362.13
600637.SH,20150225,43.22,43.29,41.3,41.48,43.03,-1.55,-3.6,187139.52,790302.66
600637.SH,20150226,41.52,42.38,41.47,42.19,41.48,0.71,1.71,129508.24,543059.319
600637.SH,20150227,42.17,42.78,41.76,42.33,42.19,0.14,0.33,142434.59,602328.001
600637.SH,20150302,42.34,42.38,41.55,42.14,42.33,-0.19,-0.45,193918.25,811233.185
600637.SH,20150303,42.04,42.47,41.21,41.25,42.14,-0.89,-2.11,171989.55,720379.294
600637.SH,20150304,41.75,43.33,41.54,43.3,41.25,2.05,4.97,306419.27,1296363.962
600637.SH,20150305,43.1,43.11,42.22,42.59,43.3,-0.71,-1.64,151656.96,646276.861
600637.SH,20150306,42.8,43.16,42.43,42.48,42.59,-0.11,-0.26,118098.88,504707.904
600637.SH,20150309,43.4,43.4,42.69,43.2,42.48,0.72,1.69,159032.83,684144.598
600637.SH,20150310,43.3,44.14,42.93,43.51,43.2,0.31,0.72,174061.39,759656.392
600637.SH,20150311,43.58,43.58,42.68,42.92,43.51,-0.59,-1.36,145347.29,627141.675
600637.SH,20150312,43.1,43.38,42.33,42.72,42.92,-0.2,-0.47,114911.92,492913.262
600637.SH,20150313,42.88,43.0,42.45,42.8,42.72,0.08,0.19,101051.2,431437.434
600637.SH,20150316,43.06,44.35,43.06,43.97,42.8,1.17,2.73,201955.03,883241.779
