ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600641.SH,20150105,6.35,6.82,6.28,6.63,6.2,0.43,6.94,489454.9,324249.224
600641.SH,20150106,6.49,6.55,6.25,6.41,6.63,-0.22,-3.32,265335.8,169957.92
600641.SH,20150107,6.42,6.47,6.28,6.39,6.41,-0.02,-0.31,133603.94,85091.014
600641.SH,20150108,6.38,6.39,6.13,6.15,6.39,-0.24,-3.76,142914.54,88928.469
600641.SH,20150109,6.15,6.32,6.05,6.08,6.15,-0.07,-1.14,118925.84,73749.571
600641.SH,20150112,6.01,6.03,5.68,5.7,6.08,-0.38,-6.25,149699.96,87011.73
600641.SH,20150113,5.7,5.77,5.66,5.73,5.7,0.03,0.53,68691.96,39223.983
600641.SH,20150114,5.72,5.79,5.62,5.65,5.73,-0.08,-1.4,74790.52,42642.127
600641.SH,20150115,5.63,5.82,5.62,5.81,5.65,0.16,2.83,79685.45,45748.465
600641.SH,20150116,5.85,5.86,5.73,5.81,5.81,0.0,0.0,77962.02,45170.391
600641.SH,20150119,5.6,5.68,5.23,5.33,5.81,-0.48,-8.26,141697.97,77553.774
600641.SH,20150120,5.4,5.49,5.33,5.48,5.33,0.15,2.81,92056.66,50105.518
600641.SH,20150121,5.62,6.03,5.61,6.03,5.48,0.55,10.04,222434.74,131232.402
600641.SH,20150122,6.3,6.34,6.1,6.13,6.03,0.1,1.66,347197.03,215710.391
600641.SH,20150123,6.1,6.18,6.05,6.13,6.13,0.0,0.0,158818.86,97103.395
600641.SH,20150126,6.13,6.38,6.04,6.31,6.13,0.18,2.94,180410.27,112627.429
600641.SH,20150127,6.3,6.33,6.06,6.21,6.31,-0.1,-1.58,151534.39,94039.597
600641.SH,20150128,6.18,6.2,6.09,6.11,6.21,-0.1,-1.61,88104.48,54014.021
600641.SH,20150129,6.07,6.28,6.03,6.22,6.11,0.11,1.8,121583.41,75020.858
600641.SH,20150130,6.23,6.28,6.08,6.12,6.22,-0.1,-1.61,95478.31,58879.209
600641.SH,20150202,6.05,6.08,5.92,5.94,6.12,-0.18,-2.94,87567.99,52473.345
