ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600721.SH,20150105,8.66,9.54,8.65,9.54,8.67,0.87,10.03,49369.55,45790.237
600721.SH,20150106,9.59,9.89,9.29,9.38,9.54,-0.16,-1.68,54434.37,52044.536
600721.SH,20150107,9.41,9.42,9.11,9.29,9.38,-0.09,-0.96,23489.17,21651.551
600721.SH,20150108,9.29,9.36,9.0,9.18,9.29,-0.11,-1.18,17296.35,15921.802
600721.SH,20150109,9.16,9.23,9.05,9.09,9.18,-0.09,-0.98,13356.93,12205.176
600721.SH,20150112,9.09,9.09,8.75,8.77,9.09,-0.32,-3.52,16534.79,14641.068
600721.SH,20150113,8.78,8.95,8.71,8.92,8.77,0.15,1.71,11634.91,10279.571
600721.SH,20150114,8.88,9.04,8.83,8.85,8.92,-0.07,-0.78,11311.64,10095.484
600721.SH,20150115,8.98,8.99,8.82,8.98,8.85,0.13,1.47,9713.27,8651.508
600721.SH,20150116,9.0,9.06,8.93,9.02,8.98,0.04,0.45,10962.74,9851.335
600721.SH,20150119,8.95,8.96,8.41,8.46,9.02,-0.56,-6.21,19492.39,16888.445
600721.SH,20150120,8.5,8.72,8.5,8.71,8.46,0.25,2.96,13992.24,12057.392
600721.SH,20150121,8.73,8.99,8.68,8.95,8.71,0.24,2.76,19440.94,17265.381
600721.SH,20150122,8.97,9.18,8.92,9.17,8.95,0.22,2.46,20963.8,19111.042
600721.SH,20150123,9.18,9.98,9.03,9.74,9.17,0.57,6.22,70089.13,67044.797
600721.SH,20150126,9.58,9.81,9.4,9.57,9.74,-0.17,-1.75,47980.58,45899.77
600721.SH,20150127,9.44,9.56,9.33,9.45,9.57,-0.12,-1.25,33640.25,31743.814
600721.SH,20150128,9.37,9.5,9.3,9.34,9.45,-0.11,-1.16,16856.12,15859.151
600721.SH,20150129,9.31,9.47,9.28,9.36,9.34,0.02,0.21,16495.15,15481.779
600721.SH,20150130,9.3,9.41,9.22,9.24,9.36,-0.12,-1.28,10950.53,10200.499
600721.SH,20150202,9.24,9.34,9.16,9.25,9.24,0.01,0.11,13536.51,12548.291
600721.SH,20150203,9.31,9.55,9.31,9.48,9.25,0.23,2.49,19403.01,18373.893
600721.SH,20150204,9.49,9.66,9.25,9.26,9.48,-0.22,-2.32,14644.58,13925.641
600721.SH,20150205,9.31,9.38,8.97,8.99,9.26,-0.27,-2.92,16644.4,15246.778
600721.SH,20150206,8.9,8.99,8.6,8.8,8.99,-0.19,-2.11,20597.05,18036.678
600721.SH,20150209,8.75,8.9,8.66,8.78,8.8,-0.02,-0.23,9122.29,7995.258
600721.SH,20150210,8.78,8.84,8.7,8.82,8.78,0.04,0.46,5536.0,4863.973
600721.SH,20150211,8.82,8.98,8.82,8.9,8.82,0.08,0.91,5872.0,5220.907
600721.SH,20150212,8.92,9.02,8.85,8.95,8.9,0.05,0.56,7928.07,7100.193
600721.SH,20150213,9.02,9.21,9.0,9.15,8.95,0.2,2.23,12719.55,11627.904
600721.SH,20150216,9.15,9.49,9.11,9.3,9.15,0.15,1.64,12447.43,11631.891
600721.SH,20150217,9.39,9.39,9.25,9.3,9.3,0.0,0.0,8772.1,8162.425
600721.SH,20150225,9.28,9.34,9.21,9.31,9.3,0.01,0.11,8172.31,7589.466
600721.SH,20150226,9.31,9.43,9.25,9.4,9.31,0.09,0.97,13539.76,12655.403
600721.SH,20150227,9.4,9.44,9.34,9.4,9.4,0.0,0.0,12994.5,12200.148
600721.SH,20150302,9.3,9.53,9.3,9.53,9.4,0.13,1.38,24232.27,22913.059
600721.SH,20150303,9.53,9.62,9.45,9.47,9.53,-0.06,-0.63,26808.07,25560.419
600721.SH,20150304,9.45,9.61,9.41,9.6,9.47,0.13,1.37,22472.25,21409.632
600721.SH,20150305,9.64,9.72,9.58,9.71,9.6,0.11,1.15,25767.25,24889.275
600721.SH,20150306,9.69,9.89,9.66,9.72,9.71,0.01,0.1,26905.26,26268.301
600721.SH,20150309,9.69,9.86,9.38,9.8,9.72,0.08,0.82,26098.85,25285.925
600721.SH,20150310,9.73,10.09,9.73,9.85,9.8,0.05,0.51,30364.02,30176.892
600721.SH,20150311,9.88,10.4,9.83,10.16,9.85,0.31,3.15,54185.21,54853.136
600721.SH,20150312,10.03,10.27,10.0,10.12,10.16,-0.04,-0.39,31787.51,32141.49
600721.SH,20150313,10.12,10.38,10.06,10.3,10.12,0.18,1.78,28425.57,29211.536
600721.SH,20150316,10.32,10.55,10.25,10.54,10.3,0.24,2.33,41945.81,43748.568
600721.SH,20150317,10.64,11.1,10.56,10.75,10.54,0.21,1.99,61787.0,67000.637
600721.SH,20150318,10.66,10.96,10.5,10.81,10.75,0.06,0.56,41842.22,45006.394
600721.SH,20150319,10.75,11.24,10.62,11.12,10.81,0.31,2.87,58965.07,64624.373
600721.SH,20150320,11.11,11.83,11.03,11.75,11.12,0.63,5.67,80617.76,91787.208
600721.SH,20150323,11.65,12.27,11.53,12.01,11.75,0.26,2.21,72029.63,85571.984
600721.SH,20150324,12.0,12.03,11.3,11.65,12.01,-0.36,-3.0,62172.88,72654.194
600721.SH,20150325,11.66,12.38,11.33,12.26,11.65,0.61,5.24,75152.25,88402.9
600721.SH,20150326,12.15,13.49,12.03,13.49,12.26,1.23,10.03,47036.81,61269.931
600721.SH,20150327,14.84,14.84,13.38,14.28,13.49,0.79,5.86,170337.0,239478.5
600721.SH,20150330,14.1,15.71,13.71,15.19,14.28,0.91,6.37,156360.3,233974.062
600721.SH,20150331,14.9,15.62,14.6,14.71,15.19,-0.48,-3.16,107760.78,161907.524
600721.SH,20150401,14.69,15.47,14.35,15.22,14.71,0.51,3.47,121835.08,182128.239
600721.SH,20150402,15.2,16.65,14.69,16.01,15.22,0.79,5.19,134330.75,208441.717
600721.SH,20150403,16.22,16.7,15.7,16.51,16.01,0.5,3.12,106874.55,174314.652
600721.SH,20150407,16.42,17.01,16.22,16.51,16.51,0.0,0.0,73835.95,121954.091
600721.SH,20150408,16.53,16.6,15.1,16.04,16.51,-0.47,-2.85,65761.97,104672.096
600721.SH,20150409,15.98,16.03,14.83,15.85,16.04,-0.19,-1.18,59927.24,91846.007
600721.SH,20150410,15.88,16.28,15.42,15.92,15.85,0.07,0.44,58036.82,92345.37
600721.SH,20150413,15.89,16.2,15.61,15.99,15.92,0.07,0.44,68994.24,110219.27
600721.SH,20150414,16.0,17.59,16.0,17.59,15.99,1.6,10.01,123707.64,212903.033
600721.SH,20150415,17.61,18.78,15.83,16.19,17.59,-1.4,-7.96,115122.27,204532.368
