ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600727.SH,20150105,5.67,5.81,5.66,5.8,5.67,0.13,2.29,35001.73,20105.893
600727.SH,20150106,5.78,5.88,5.73,5.85,5.8,0.05,0.86,40976.83,23809.928
600727.SH,20150107,5.86,5.93,5.79,5.89,5.85,0.04,0.68,48471.88,28419.472
600727.SH,20150108,5.87,6.0,5.8,5.91,5.89,0.02,0.34,55609.19,32691.079
600727.SH,20150109,5.88,5.94,5.76,5.77,5.91,-0.14,-2.37,51523.11,30139.337
600727.SH,20150112,5.72,5.73,5.57,5.58,5.77,-0.19,-3.29,36762.0,20741.745
600727.SH,20150113,5.58,5.63,5.54,5.6,5.58,0.02,0.36,27949.61,15602.62
600727.SH,20150114,5.59,5.65,5.56,5.57,5.6,-0.03,-0.54,28289.23,15848.059
600727.SH,20150115,5.58,5.68,5.57,5.65,5.57,0.08,1.44,29090.04,16413.159
600727.SH,20150116,5.66,5.72,5.62,5.71,5.65,0.06,1.06,31609.51,17924.339
600727.SH,20150119,5.62,5.71,5.4,5.45,5.71,-0.26,-4.55,41788.5,23368.025
600727.SH,20150120,5.53,5.67,5.51,5.65,5.45,0.2,3.67,31021.62,17348.814
600727.SH,20150121,5.65,5.83,5.64,5.83,5.65,0.18,3.19,44780.24,25797.161
600727.SH,20150122,5.82,5.88,5.81,5.86,5.83,0.03,0.51,39416.59,23041.543
600727.SH,20150123,5.85,5.93,5.82,5.9,5.86,0.04,0.68,46115.89,27081.254
600727.SH,20150209,5.61,5.77,5.52,5.63,5.9,-0.27,-4.58,61632.83,34664.222
600727.SH,20150210,5.62,5.68,5.6,5.67,5.63,0.04,0.71,32691.51,18431.025
600727.SH,20150211,5.65,5.82,5.65,5.78,5.67,0.11,1.94,33996.42,19468.792
600727.SH,20150212,5.78,5.86,5.76,5.8,5.78,0.02,0.35,36130.41,20948.057
600727.SH,20150213,5.83,5.91,5.83,5.84,5.8,0.04,0.69,50970.7,29916.547
600727.SH,20150216,5.86,5.99,5.86,5.97,5.84,0.13,2.23,43964.56,26105.901
600727.SH,20150217,5.96,6.03,5.93,6.0,5.97,0.03,0.5,44727.77,26749.144
600727.SH,20150225,6.0,6.09,5.97,6.03,6.0,0.03,0.5,44738.87,27008.014
600727.SH,20150226,6.03,6.15,6.01,6.13,6.03,0.1,1.66,46205.28,28123.209
600727.SH,20150227,6.13,6.28,6.1,6.25,6.13,0.12,1.96,75597.12,46984.654
600727.SH,20150302,6.25,6.61,6.25,6.53,6.25,0.28,4.48,154391.12,99567.077
