ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600809.SH,20150105,22.89,25.12,22.37,24.96,22.89,2.07,9.04,225899.3,540023.0
600809.SH,20150106,24.05,25.63,24.05,25.32,24.96,0.36,1.44,159845.32,402309.054
600809.SH,20150107,25.03,25.65,24.3,24.64,25.32,-0.68,-2.69,97506.12,242861.634
600809.SH,20150108,24.61,25.5,24.31,24.84,24.64,0.2,0.81,74575.12,185309.996
600809.SH,20150109,24.4,25.29,24.0,24.16,24.84,-0.68,-2.74,82308.16,204179.818
600809.SH,20150112,23.98,24.2,23.23,23.78,24.16,-0.38,-1.57,68513.25,161457.796
600809.SH,20150113,23.69,23.95,23.25,23.33,23.78,-0.45,-1.89,57139.15,134281.111
600809.SH,20150114,23.53,23.57,22.12,22.24,23.33,-1.09,-4.67,79774.2,182064.625
600809.SH,20150115,22.24,22.71,21.68,22.48,22.24,0.24,1.08,66797.11,148215.655
600809.SH,20150116,22.58,22.9,22.32,22.66,22.48,0.18,0.8,57638.62,130684.301
600809.SH,20150119,21.9,22.67,20.39,20.43,22.66,-2.23,-9.84,128558.26,276459.763
600809.SH,20150120,20.6,21.33,20.6,21.12,20.43,0.69,3.38,68227.67,143178.367
600809.SH,20150121,21.38,21.85,21.15,21.85,21.12,0.73,3.46,56635.06,122242.681
600809.SH,20150122,21.87,22.28,21.67,21.89,21.85,0.04,0.18,65725.53,144701.598
600809.SH,20150123,21.71,22.15,21.34,21.42,21.89,-0.47,-2.15,84006.57,181578.501
600809.SH,20150126,21.44,22.2,21.4,22.1,21.42,0.68,3.17,74339.29,161431.86
600809.SH,20150127,22.21,22.21,21.42,21.89,22.1,-0.21,-0.95,86550.26,188973.531
600809.SH,20150128,21.79,21.9,21.5,21.56,21.89,-0.33,-1.51,59804.58,129291.847
600809.SH,20150129,21.4,21.85,21.28,21.45,21.56,-0.11,-0.51,49107.4,105627.116
600809.SH,20150130,21.39,21.86,21.38,21.51,21.45,0.06,0.28,78442.62,169671.498
600809.SH,20150202,21.15,21.33,19.75,19.96,21.51,-1.55,-7.21,146894.31,296780.201
600809.SH,20150203,20.0,20.2,19.6,20.03,19.96,0.07,0.35,92846.68,184036.086
600809.SH,20150204,20.02,20.44,19.85,20.08,20.03,0.05,0.25,73792.38,148783.396
600809.SH,20150205,20.13,20.56,19.73,19.76,20.08,-0.32,-1.59,68431.36,137888.95
600809.SH,20150206,19.79,19.8,19.07,19.17,19.76,-0.59,-2.99,63265.04,122061.28
600809.SH,20150209,19.12,19.99,19.11,19.94,19.17,0.77,4.02,104535.57,204692.815
600809.SH,20150210,19.81,20.49,19.8,19.97,19.94,0.03,0.15,77763.59,156347.51
600809.SH,20150211,19.95,20.19,19.7,20.13,19.97,0.16,0.8,50036.66,99701.535
600809.SH,20150212,20.02,20.2,19.7,19.94,20.13,-0.19,-0.94,58068.39,115531.819
600809.SH,20150213,20.05,20.21,19.92,20.01,19.94,0.07,0.35,95522.32,191883.496
600809.SH,20150216,20.11,20.29,20.01,20.26,20.01,0.25,1.25,58759.17,118536.137
600809.SH,20150217,20.28,20.34,20.06,20.1,20.26,-0.16,-0.79,48797.41,98513.204
600809.SH,20150225,20.1,20.22,19.65,19.71,20.1,-0.39,-1.94,58802.65,116600.831
600809.SH,20150226,19.73,20.2,19.69,20.19,19.71,0.48,2.44,71218.63,142263.879
600809.SH,20150227,20.19,20.61,20.14,20.35,20.19,0.16,0.79,90831.85,185403.448
600809.SH,20150302,20.35,20.48,19.96,20.34,20.35,-0.01,-0.05,98677.24,198826.57
600809.SH,20150303,20.19,20.27,19.93,19.94,20.34,-0.4,-1.97,78674.53,157886.217
600809.SH,20150304,19.91,20.39,19.84,20.29,19.94,0.35,1.76,92695.78,186382.396
600809.SH,20150305,20.24,20.7,20.1,20.5,20.29,0.21,1.04,110154.25,225102.226
600809.SH,20150306,20.55,20.56,20.16,20.32,20.5,-0.18,-0.88,74608.58,151901.631
600809.SH,20150309,20.27,20.3,19.77,20.2,20.32,-0.12,-0.59,74803.19,149598.881
600809.SH,20150310,20.2,20.46,20.1,20.24,20.2,0.04,0.2,75252.51,152895.625
600809.SH,20150311,20.26,20.8,20.26,20.36,20.24,0.12,0.59,96109.63,196673.86
600809.SH,20150312,20.37,20.74,20.06,20.54,20.36,0.18,0.88,127164.57,259569.252
600809.SH,20150313,20.54,20.92,20.38,20.91,20.54,0.37,1.8,152536.72,315927.484
600809.SH,20150316,21.14,21.25,20.8,21.13,20.91,0.22,1.05,144105.01,303030.994
600809.SH,20150317,21.13,21.9,21.0,21.48,21.13,0.35,1.66,186973.26,402051.35
600809.SH,20150318,21.48,21.88,21.31,21.86,21.48,0.38,1.77,134922.18,292095.983
600809.SH,20150319,21.84,21.84,21.31,21.58,21.86,-0.28,-1.28,146026.38,314990.879
600809.SH,20150320,21.54,21.76,21.33,21.74,21.58,0.16,0.74,147635.59,318512.048
600809.SH,20150323,21.75,22.26,21.75,22.12,21.74,0.38,1.75,157597.74,346522.752
600809.SH,20150324,22.13,22.15,21.0,21.83,22.12,-0.29,-1.31,188398.16,410136.644
600809.SH,20150325,21.65,21.87,21.45,21.57,21.83,-0.26,-1.19,115122.59,248875.613
600809.SH,20150326,21.57,22.55,21.54,22.38,21.57,0.81,3.76,241998.0,535436.574
600809.SH,20150327,22.35,22.63,22.08,22.42,22.38,0.04,0.18,154032.57,344918.856
600809.SH,20150330,22.4,22.88,22.13,22.65,22.42,0.23,1.03,199327.87,449066.445
600809.SH,20150331,22.56,22.56,22.04,22.15,22.65,-0.5,-2.21,228630.3,508773.681
600809.SH,20150401,22.11,22.3,22.08,22.24,22.15,0.09,0.41,136118.13,301967.292
600809.SH,20150402,22.3,22.42,22.05,22.18,22.24,-0.06,-0.27,168862.56,375143.888
600809.SH,20150403,22.05,22.17,21.89,22.15,22.18,-0.03,-0.14,201530.04,443150.957
600809.SH,20150407,22.16,22.99,22.15,22.97,22.15,0.82,3.7,295507.87,668830.764
600809.SH,20150408,23.0,23.57,22.81,23.29,22.97,0.32,1.39,307994.85,716658.195
600809.SH,20150409,23.33,23.77,22.61,23.34,23.29,0.05,0.21,232601.57,539852.489
600809.SH,20150410,23.34,24.0,23.18,23.93,23.34,0.59,2.53,244895.53,579667.784
600809.SH,20150413,24.51,24.55,23.7,24.07,23.93,0.14,0.59,236149.9,567440.491
600809.SH,20150414,24.17,24.6,23.88,24.04,24.07,-0.03,-0.12,200467.53,485411.17
600809.SH,20150415,23.99,23.99,22.97,22.98,24.04,-1.06,-4.41,153804.6,359586.82
600809.SH,20150416,22.59,25.0,22.43,24.22,22.98,1.24,5.4,268307.93,645401.569
600809.SH,20150417,24.22,24.54,23.65,23.84,24.22,-0.38,-1.57,225490.49,541896.845
600809.SH,20150420,23.61,24.14,23.12,23.14,23.84,-0.7,-2.94,241203.32,567480.442
600809.SH,20150421,23.16,24.15,23.16,24.13,23.14,0.99,4.28,281056.98,668569.395
600809.SH,20150422,24.49,24.66,24.0,24.58,24.13,0.45,1.86,337584.51,821742.426
600809.SH,20150423,24.57,24.79,24.07,24.64,24.58,0.06,0.24,266765.95,651568.634
600809.SH,20150424,24.3,25.26,24.15,24.96,24.64,0.32,1.3,319567.23,794190.972
600809.SH,20150427,25.03,25.58,24.57,24.75,24.96,-0.21,-0.84,252938.6,631826.529
600809.SH,20150428,24.31,24.57,23.5,23.67,24.75,-1.08,-4.36,244319.72,584427.668
600809.SH,20150429,23.44,24.01,23.44,23.8,23.67,0.13,0.55,124268.5,295857.649
600809.SH,20150430,23.82,24.0,23.18,23.23,23.8,-0.57,-2.4,159827.13,375602.593
600809.SH,20150504,23.15,23.7,23.0,23.32,23.23,0.09,0.39,104082.67,243266.833
600809.SH,20150505,23.3,23.31,22.0,22.25,23.32,-1.07,-4.59,145129.2,329013.562
600809.SH,20150506,22.5,22.56,21.86,21.99,22.25,-0.26,-1.17,114480.89,254704.696
600809.SH,20150507,21.99,22.26,21.8,22.02,21.99,0.03,0.14,134070.09,294980.638
600809.SH,20150508,22.2,22.5,22.03,22.49,22.02,0.47,2.13,122644.57,272704.914
600809.SH,20150511,22.6,22.88,22.36,22.83,22.49,0.34,1.51,165292.99,373359.394
600809.SH,20150512,22.75,22.92,22.45,22.74,22.83,-0.09,-0.39,128334.51,290565.527
600809.SH,20150513,22.6,22.95,22.46,22.62,22.74,-0.12,-0.53,125030.0,283597.407
600809.SH,20150514,22.62,22.8,22.26,22.42,22.62,-0.2,-0.88,96909.66,217881.811
600809.SH,20150515,22.45,22.71,22.0,22.11,22.42,-0.31,-1.38,108288.8,241627.838
600809.SH,20150518,22.0,22.0,21.66,21.68,22.11,-0.43,-1.94,99383.47,216564.863
600809.SH,20150519,21.68,22.36,21.66,22.32,21.68,0.64,2.95,110897.78,244982.959
600809.SH,20150520,22.38,22.68,22.19,22.44,22.32,0.12,0.54,129820.82,291362.758
600809.SH,20150521,22.46,22.83,22.3,22.79,22.44,0.35,1.56,130876.77,296540.296
600809.SH,20150522,22.99,23.23,22.72,23.22,22.79,0.43,1.89,220369.0,507241.217
600809.SH,20150525,23.3,23.88,23.25,23.85,23.22,0.63,2.71,248166.75,583739.018
600809.SH,20150526,23.99,24.4,23.52,24.35,23.85,0.5,2.1,307101.75,739841.013
600809.SH,20150527,24.25,25.0,23.9,24.51,24.35,0.16,0.66,295017.57,723512.522
600809.SH,20150528,24.51,25.17,23.06,23.17,24.51,-1.34,-5.47,319440.11,778364.225
600809.SH,20150529,23.21,23.49,22.19,22.98,23.17,-0.19,-0.82,174543.41,401735.849
600809.SH,20150601,23.1,24.18,22.65,24.17,22.98,1.19,5.18,241437.64,570308.363
600809.SH,20150602,24.3,24.57,23.8,24.41,24.17,0.24,0.99,236541.19,572728.933
600809.SH,20150603,24.55,24.68,23.89,24.06,24.41,-0.35,-1.43,209366.4,508241.691
600809.SH,20150604,24.09,25.14,23.01,25.09,24.06,1.03,4.28,273633.1,662496.064
600809.SH,20150605,25.38,26.19,25.1,25.96,25.09,0.87,3.47,402757.88,1036360.677
600809.SH,20150608,26.19,26.5,25.53,26.3,25.96,0.34,1.31,368171.43,961369.204
600809.SH,20150609,26.36,26.36,25.46,25.77,26.3,-0.53,-2.02,255445.05,662364.444
600809.SH,20150610,25.79,28.3,25.51,27.88,25.77,2.11,8.19,443748.17,1207665.569
600809.SH,20150611,27.41,28.12,27.01,27.99,27.88,0.11,0.39,245721.0,677606.863
600809.SH,20150612,28.01,29.69,28.0,28.12,27.99,0.13,0.46,308391.78,888006.93
600809.SH,20150615,28.45,29.29,27.71,27.97,28.12,-0.15,-0.53,263660.86,754276.803
