ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600831.SH,20150105,9.13,9.3,8.99,9.29,9.13,0.16,1.75,104095.3,95409.679
600831.SH,20150106,9.22,9.44,9.09,9.41,9.29,0.12,1.29,104936.1,97271.796
600831.SH,20150107,9.36,9.43,9.16,9.28,9.41,-0.13,-1.38,68621.97,63836.496
600831.SH,20150108,9.24,9.43,9.14,9.25,9.28,-0.03,-0.32,94762.75,88148.193
600831.SH,20150109,9.22,9.59,9.22,9.26,9.25,0.01,0.11,145533.76,137195.164
600831.SH,20150112,9.25,9.26,8.86,8.91,9.26,-0.35,-3.78,122766.61,110855.192
600831.SH,20150113,8.94,9.1,8.88,9.05,8.91,0.14,1.57,60416.28,54485.873
600831.SH,20150114,9.04,9.07,8.92,8.97,9.05,-0.08,-0.88,41352.1,37160.803
600831.SH,20150115,8.97,9.06,8.95,9.06,8.97,0.09,1.0,45487.47,41059.55
600831.SH,20150116,9.06,9.29,9.04,9.18,9.06,0.12,1.32,94266.08,86342.112
600831.SH,20150119,8.85,9.17,8.61,8.74,9.18,-0.44,-4.79,110274.62,98420.113
600831.SH,20150120,8.81,9.04,8.81,9.02,8.74,0.28,3.2,76209.66,68116.978
600831.SH,20150121,9.05,9.26,9.02,9.25,9.02,0.23,2.55,106226.72,97554.833
600831.SH,20150122,9.29,9.47,9.19,9.38,9.25,0.13,1.41,150024.12,140010.731
600831.SH,20150123,9.35,9.38,9.19,9.24,9.38,-0.14,-1.49,89897.92,83384.546
600831.SH,20150126,9.22,9.47,9.22,9.46,9.24,0.22,2.38,122186.68,114136.291
600831.SH,20150127,9.46,9.48,9.26,9.4,9.46,-0.06,-0.63,132622.25,124202.619
600831.SH,20150128,9.36,9.59,9.3,9.49,9.4,0.09,0.96,208611.13,197441.345
600831.SH,20150129,9.4,9.42,9.2,9.26,9.49,-0.23,-2.42,100238.01,93226.216
600831.SH,20150130,9.29,9.45,9.25,9.26,9.26,0.0,0.0,92727.79,86479.335
600831.SH,20150202,9.19,9.31,9.11,9.18,9.26,-0.08,-0.86,61069.43,56243.234
600831.SH,20150203,9.21,9.53,9.17,9.47,9.18,0.29,3.16,142387.85,134025.447
600831.SH,20150204,9.45,9.68,9.42,9.49,9.47,0.02,0.21,169867.59,162104.465
600831.SH,20150205,9.53,10.44,9.43,10.44,9.49,0.95,10.01,492610.02,499471.001
600831.SH,20150206,10.5,10.84,10.23,10.63,10.44,0.19,1.82,874879.49,920766.136
600831.SH,20150209,10.56,11.3,10.38,10.87,10.63,0.24,2.26,695496.94,753730.466
600831.SH,20150210,10.73,10.94,10.46,10.79,10.87,-0.08,-0.74,391844.11,418636.555
600831.SH,20150211,10.8,11.22,10.51,10.68,10.79,-0.11,-1.02,474795.35,516231.717
600831.SH,20150212,10.7,11.75,10.56,11.35,10.68,0.67,6.27,682546.14,770316.941
