ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600841.SH,20150105,10.95,11.3,10.72,11.12,10.98,0.14,1.28,36272.84,40106.888
600841.SH,20150106,11.04,11.29,10.93,11.26,11.12,0.14,1.26,36909.01,41214.614
600841.SH,20150107,11.27,11.27,11.08,11.16,11.26,-0.1,-0.89,27324.69,30499.366
600841.SH,20150108,11.15,11.22,11.04,11.06,11.16,-0.1,-0.9,23247.53,25814.392
600841.SH,20150109,11.1,11.15,10.88,10.89,11.06,-0.17,-1.54,21827.21,24112.903
600841.SH,20150112,10.77,10.86,10.59,10.59,10.89,-0.3,-2.75,19101.64,20389.049
600841.SH,20150113,10.6,10.86,10.6,10.81,10.59,0.22,2.08,14426.44,15524.206
600841.SH,20150114,10.9,10.96,10.7,10.76,10.81,-0.05,-0.46,15719.02,16987.989
600841.SH,20150115,10.71,10.96,10.7,10.95,10.76,0.19,1.77,11034.49,11960.082
600841.SH,20150116,10.96,11.08,10.79,10.86,10.95,-0.09,-0.82,23142.25,25137.44
600841.SH,20150119,10.69,10.8,10.27,10.34,10.86,-0.52,-4.79,31112.56,32753.791
600841.SH,20150120,10.44,10.55,10.33,10.51,10.34,0.17,1.64,25220.88,26331.065
600841.SH,20150121,10.5,10.78,10.5,10.75,10.51,0.24,2.28,38790.67,41323.71
600841.SH,20150122,10.75,10.83,10.67,10.82,10.75,0.07,0.65,36444.89,39193.828
600841.SH,20150123,10.84,11.18,10.7,10.97,10.82,0.15,1.39,60566.69,66395.373
600841.SH,20150126,10.96,11.31,10.85,11.23,10.97,0.26,2.37,59909.69,66631.533
600841.SH,20150127,11.24,11.34,11.03,11.25,11.23,0.02,0.18,58481.39,65558.702
600841.SH,20150128,11.28,11.56,11.2,11.31,11.25,0.06,0.53,42910.62,48804.625
600841.SH,20150129,11.32,11.48,11.19,11.36,11.31,0.05,0.44,57074.15,64846.343
600841.SH,20150130,11.4,11.43,11.1,11.15,11.36,-0.21,-1.85,30486.81,34173.601
600841.SH,20150202,11.07,11.59,11.05,11.5,11.15,0.35,3.14,53025.15,60542.741
600841.SH,20150203,11.52,11.74,11.43,11.51,11.5,0.01,0.09,53397.47,61764.433
600841.SH,20150204,11.48,11.67,11.37,11.47,11.51,-0.04,-0.35,40727.31,46991.01
600841.SH,20150205,11.49,11.57,11.25,11.29,11.47,-0.18,-1.57,32248.29,36648.554
600841.SH,20150206,11.32,11.45,11.11,11.14,11.29,-0.15,-1.33,25665.94,28998.829
600841.SH,20150209,11.15,11.33,11.08,11.3,11.14,0.16,1.44,19678.2,22045.516
600841.SH,20150210,11.29,11.32,11.18,11.25,11.3,-0.05,-0.44,20093.07,22584.57
600841.SH,20150211,11.25,11.43,11.2,11.4,11.25,0.15,1.33,18041.56,20419.412
600841.SH,20150212,11.4,11.6,11.31,11.55,11.4,0.15,1.32,33133.98,38061.915
600841.SH,20150213,11.57,11.66,11.48,11.65,11.55,0.1,0.87,35981.31,41673.23
600841.SH,20150216,11.67,11.82,11.58,11.74,11.65,0.09,0.77,25223.61,29461.106
600841.SH,20150217,11.73,11.87,11.64,11.71,11.74,-0.03,-0.26,21184.84,24871.182
600841.SH,20150225,11.71,11.96,11.54,11.87,11.71,0.16,1.37,35998.27,42413.974
600841.SH,20150226,11.85,12.08,11.67,12.05,11.87,0.18,1.52,46551.75,55588.594
600841.SH,20150227,12.06,12.17,11.89,12.08,12.05,0.03,0.25,45975.57,55325.587
600841.SH,20150302,12.2,12.28,12.03,12.2,12.08,0.12,0.99,58828.21,71583.347
600841.SH,20150303,12.46,13.26,12.46,12.77,12.2,0.57,4.67,106703.94,136795.184
600841.SH,20150304,12.5,12.64,12.38,12.6,12.77,-0.17,-1.33,52572.41,65890.205
600841.SH,20150305,12.55,12.79,12.42,12.54,12.6,-0.06,-0.48,37873.03,47723.92
