ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600875.SH,20150105,20.35,21.1,20.03,20.88,20.64,0.24,1.16,620200.28,1284220.79
600875.SH,20150106,20.88,21.49,20.38,21.08,20.88,0.2,0.96,592582.37,1250926.334
600875.SH,20150107,20.8,23.19,20.59,23.19,21.08,2.11,10.01,1103267.27,2463851.994
600875.SH,20150108,23.1,25.15,22.45,22.97,23.19,-0.22,-0.95,1241690.23,2937202.743
600875.SH,20150109,22.4,23.02,21.97,22.0,22.97,-0.97,-4.22,666734.18,1493025.337
600875.SH,20150112,21.5,21.97,21.23,21.49,22.0,-0.51,-2.32,367849.76,791105.803
600875.SH,20150113,21.6,22.86,21.6,22.31,21.49,0.82,3.82,514501.7,1143023.679
600875.SH,20150114,22.48,22.48,21.5,22.08,22.31,-0.23,-1.03,431254.03,944742.736
600875.SH,20150115,22.15,22.26,21.4,22.12,22.08,0.04,0.18,341075.96,742138.944
600875.SH,20150116,23.6,23.75,22.27,22.47,22.12,0.35,1.58,824447.74,1894401.944
600875.SH,20150119,21.0,21.99,20.3,20.52,22.47,-1.95,-8.68,559511.62,1187595.215
600875.SH,20150120,20.67,21.4,20.67,21.08,20.52,0.56,2.73,361029.25,760337.716
600875.SH,20150121,21.17,22.28,21.05,22.11,21.08,1.03,4.89,545308.41,1177254.661
600875.SH,20150122,22.06,22.06,21.52,21.83,22.11,-0.28,-1.27,462198.03,1007293.022
600875.SH,20150123,21.83,23.6,21.82,22.29,21.83,0.46,2.11,787315.57,1774011.388
600875.SH,20150126,22.4,23.48,22.05,22.94,22.29,0.65,2.92,567744.19,1297081.933
600875.SH,20150127,23.05,23.68,22.41,23.39,22.94,0.45,1.96,674277.46,1559433.193
600875.SH,20150128,23.04,23.2,22.31,22.45,23.39,-0.94,-4.02,410592.16,931330.953
600875.SH,20150129,22.71,23.45,22.22,23.03,22.45,0.58,2.58,624210.91,1425384.689
600875.SH,20150130,22.77,22.88,21.65,21.76,23.03,-1.27,-5.51,501895.17,1118932.228
600875.SH,20150202,20.87,20.93,19.58,19.93,21.76,-1.83,-8.41,627879.81,1272693.947
600875.SH,20150203,19.57,20.03,19.41,19.88,19.93,-0.05,-0.25,503962.3,994089.512
600875.SH,20150204,19.61,19.92,19.12,19.23,19.88,-0.65,-3.27,707527.2,1381281.894
600875.SH,20150205,19.52,19.63,18.3,18.63,19.23,-0.6,-3.12,815875.35,1535316.754
600875.SH,20150206,18.8,18.89,18.31,18.73,18.63,0.1,0.54,532154.82,989886.248
600875.SH,20150209,18.45,18.59,17.98,18.11,18.73,-0.62,-3.31,516083.82,938770.978
600875.SH,20150210,18.11,18.68,18.09,18.66,18.11,0.55,3.04,489747.5,899954.585
600875.SH,20150211,18.68,18.83,18.59,18.68,18.66,0.02,0.11,445957.49,833734.989
600875.SH,20150212,18.66,19.08,18.35,19.02,18.68,0.34,1.82,567340.53,1061385.698
600875.SH,20150213,19.14,19.5,18.9,19.2,19.02,0.18,0.95,627025.91,1201859.065
600875.SH,20150216,19.16,19.39,19.07,19.21,19.2,0.01,0.05,449987.89,865566.401
600875.SH,20150217,19.24,19.47,19.21,19.24,19.21,0.03,0.16,310054.87,598689.105
600875.SH,20150225,19.22,19.23,18.85,18.9,19.24,-0.34,-1.77,313912.06,595905.478
600875.SH,20150226,18.87,19.37,18.57,19.34,18.9,0.44,2.33,482122.95,914795.982
600875.SH,20150227,19.3,19.68,19.25,19.47,19.34,0.13,0.67,467166.63,908880.363
600875.SH,20150302,19.73,20.17,19.45,20.15,19.47,0.68,3.49,629793.1,1251685.791
600875.SH,20150303,20.2,21.48,19.93,20.77,20.15,0.62,3.08,1032262.55,2146047.443
600875.SH,20150304,21.32,21.48,20.43,20.79,20.77,0.02,0.1,774569.37,1615397.864
600875.SH,20150305,20.75,20.75,19.91,20.06,20.79,-0.73,-3.51,625789.57,1263575.914
600875.SH,20150306,20.06,20.44,19.81,19.92,20.06,-0.14,-0.7,462665.95,928475.665
600875.SH,20150309,19.8,19.85,19.2,19.8,19.92,-0.12,-0.6,413740.09,807479.782
600875.SH,20150310,19.81,20.42,19.55,20.23,19.8,0.43,2.17,435184.46,874047.194
600875.SH,20150311,20.39,20.76,19.7,19.84,20.23,-0.39,-1.93,613143.46,1236810.094
600875.SH,20150312,20.08,20.59,19.72,20.15,19.84,0.31,1.56,462351.68,932788.287
600875.SH,20150313,20.36,20.37,19.89,20.03,20.15,-0.12,-0.6,336528.29,673671.959
600875.SH,20150316,20.12,20.48,19.98,20.4,20.03,0.37,1.85,539377.09,1092894.518
600875.SH,20150317,20.51,21.09,20.39,21.05,20.4,0.65,3.19,865103.54,1794571.825
600875.SH,20150318,21.07,21.25,20.81,21.19,21.05,0.14,0.67,682343.25,1433535.965
600875.SH,20150319,21.19,22.3,20.92,21.81,21.19,0.62,2.93,1149814.45,2489897.796
600875.SH,20150320,21.82,21.87,21.28,21.5,21.81,-0.31,-1.42,734738.16,1578120.669
600875.SH,20150323,21.55,21.78,21.4,21.77,21.5,0.27,1.26,767062.76,1656321.909
600875.SH,20150324,21.8,22.37,21.01,21.63,21.77,-0.14,-0.64,977455.43,2130153.755
600875.SH,20150325,21.58,21.58,20.91,21.09,21.63,-0.54,-2.5,722952.46,1528844.172
600875.SH,20150326,20.91,21.39,20.71,21.15,21.09,0.06,0.28,520280.02,1100311.408
600875.SH,20150327,21.17,21.4,21.06,21.2,21.15,0.05,0.24,395080.67,838160.837
600875.SH,20150330,21.25,22.47,21.25,22.16,21.2,0.96,4.53,1183224.57,2600165.728
600875.SH,20150331,22.25,22.35,21.59,21.67,22.16,-0.49,-2.21,910575.64,1989799.669
600875.SH,20150401,21.7,22.48,21.6,22.21,21.67,0.54,2.49,973775.65,2157119.61
600875.SH,20150402,22.27,23.19,22.07,22.83,22.21,0.62,2.79,1254317.91,2841332.008
600875.SH,20150403,22.5,22.89,22.29,22.72,22.83,-0.11,-0.48,875693.07,1976185.401
600875.SH,20150407,22.8,23.3,22.56,23.01,22.72,0.29,1.28,945497.55,2170887.709
600875.SH,20150408,23.1,23.72,22.62,23.53,23.01,0.52,2.26,1349671.7,3142784.139
600875.SH,20150409,23.57,23.78,22.09,22.71,23.53,-0.82,-3.48,992718.48,2274151.917
600875.SH,20150410,22.58,23.19,22.32,22.94,22.71,0.23,1.01,713071.95,1630043.046
600875.SH,20150413,23.03,23.14,22.55,22.94,22.94,0.0,0.0,837906.24,1912836.164
600875.SH,20150414,23.0,23.99,22.8,23.84,22.94,0.9,3.92,1433738.01,3370563.346
600875.SH,20150415,23.88,23.9,22.53,22.65,23.84,-1.19,-4.99,991740.61,2293828.523
600875.SH,20150416,23.5,24.92,23.1,24.92,22.65,2.27,10.02,1556806.53,3790395.69
600875.SH,20150417,27.26,27.41,25.6,27.41,24.92,2.49,9.99,3105255.66,8468348.379
600875.SH,20150420,27.48,28.65,26.3,26.84,27.41,-0.57,-2.08,2849230.14,7809941.469
600875.SH,20150421,26.6,27.1,25.52,26.26,26.84,-0.58,-2.16,1312962.52,3414475.848
600875.SH,20150422,27.6,28.89,27.6,28.89,26.26,2.63,10.02,2069224.53,5877432.645
600875.SH,20150423,29.2,30.83,28.31,28.69,28.89,-0.2,-0.69,2505759.09,7416593.925
600875.SH,20150424,27.6,28.65,26.92,27.76,28.69,-0.93,-3.24,1388212.96,3828649.765
600875.SH,20150427,27.9,28.77,27.35,28.03,27.76,0.27,0.97,1175544.31,3306163.456
600875.SH,20150428,28.1,28.1,26.5,26.72,28.03,-1.31,-4.67,1046099.45,2848508.253
600875.SH,20150429,26.25,27.59,25.72,27.29,26.72,0.57,2.13,861368.11,2296876.292
600875.SH,20150430,26.95,28.5,26.81,27.25,27.29,-0.04,-0.15,1021728.32,2817029.856
600875.SH,20150504,26.9,27.0,26.2,26.8,27.25,-0.45,-1.65,780339.03,2076281.29
600875.SH,20150505,26.6,27.66,25.78,25.81,26.8,-0.99,-3.69,802042.83,2134218.069
600875.SH,20150506,25.8,26.15,24.48,24.76,25.81,-1.05,-4.07,838936.23,2128305.504
600875.SH,20150507,25.2,25.55,24.32,24.4,24.76,-0.36,-1.45,703977.94,1760674.971
600875.SH,20150508,24.5,25.16,24.13,24.85,24.4,0.45,1.84,610212.36,1503385.683
600875.SH,20150511,25.26,26.88,24.9,26.72,24.85,1.87,7.53,936135.19,2404308.484
600875.SH,20150512,26.89,28.97,26.89,28.71,26.72,1.99,7.45,1777612.85,5004585.199
600875.SH,20150513,28.68,28.68,26.81,27.02,28.71,-1.69,-5.89,1322219.93,3648839.439
600875.SH,20150514,27.0,28.24,26.62,27.1,27.02,0.08,0.3,969304.96,2653049.275
600875.SH,20150515,27.0,27.0,25.82,26.03,27.1,-1.07,-3.95,802901.1,2104317.934
600875.SH,20150518,25.9,27.25,25.65,26.45,26.03,0.42,1.61,779722.29,2079617.451
600875.SH,20150519,26.39,27.18,26.08,27.16,26.45,0.71,2.68,769656.18,2053342.763
600875.SH,20150520,27.4,27.89,26.94,27.01,27.16,-0.15,-0.55,870197.41,2392683.995
600875.SH,20150521,26.9,29.4,26.5,29.06,27.01,2.05,7.59,1322427.85,3672044.012
600875.SH,20150522,29.36,29.95,28.5,29.42,29.06,0.36,1.24,1617693.7,4734665.923
600875.SH,20150525,29.4,30.72,29.0,30.46,29.42,1.04,3.54,1415157.97,4261499.818
600875.SH,20150526,30.55,32.22,29.9,31.05,30.46,0.59,1.94,1530619.53,4748282.162
600875.SH,20150527,31.1,31.79,30.06,30.41,31.05,-0.64,-2.06,1277850.0,3934698.832
600875.SH,20150528,30.79,31.21,27.37,27.39,30.41,-3.02,-9.93,1452384.83,4285583.652
600875.SH,20150529,27.39,28.0,25.39,27.03,27.39,-0.36,-1.31,1013428.93,2741863.965
600875.SH,20150601,27.8,29.3,27.6,29.0,27.03,1.97,7.29,1014428.8,2899394.268
600875.SH,20150602,29.84,30.1,28.3,29.16,29.0,0.16,0.55,1011769.39,2955682.174
600875.SH,20150603,29.18,29.25,27.87,28.68,29.16,-0.48,-1.65,883699.51,2519973.943
600875.SH,20150604,28.8,29.59,26.31,28.97,28.68,0.29,1.01,782105.72,2217691.922
600875.SH,20150605,29.58,30.25,28.98,29.85,28.97,0.88,3.04,1244426.55,3680869.996
600875.SH,20150608,30.15,30.5,29.07,30.25,29.85,0.4,1.34,1159200.49,3466892.215
600875.SH,20150609,30.6,32.99,30.26,32.43,30.25,2.18,7.21,1648979.55,5174137.093
600875.SH,20150610,30.99,31.25,29.65,29.82,32.43,-2.61,-8.05,1282961.6,3903830.9
600875.SH,20150611,29.44,29.69,28.56,29.05,29.82,-0.77,-2.58,842897.17,2441301.495
600875.SH,20150612,29.05,29.47,28.62,29.04,29.05,-0.01,-0.03,632532.6,1835693.52
600875.SH,20150615,29.08,29.18,28.33,28.73,29.04,-0.31,-1.07,664788.69,1912807.698
600875.SH,20150616,29.4,29.62,28.56,29.02,28.73,0.29,1.01,991503.12,2893749.828
600875.SH,20150617,28.9,29.06,27.1,28.83,29.02,-0.19,-0.65,804081.59,2255339.656
600875.SH,20150618,28.58,28.58,26.88,26.89,28.83,-1.94,-6.73,569976.61,1587168.787
600875.SH,20150619,26.56,26.74,24.2,24.2,26.89,-2.69,-10.0,614492.01,1564647.93
600875.SH,20150623,23.98,24.79,22.36,24.69,24.2,0.49,2.02,557284.82,1327956.411
600875.SH,20150624,24.9,25.56,24.5,25.21,24.69,0.52,2.11,599705.78,1506781.567
600875.SH,20150625,25.21,25.68,23.38,23.73,25.21,-1.48,-5.87,563307.32,1402138.667
600875.SH,20150626,22.98,23.17,21.36,21.36,23.73,-2.37,-9.99,600165.65,1327783.717
600875.SH,20150629,22.02,22.22,19.22,19.23,21.36,-2.13,-9.97,730672.3,1485935.253
600875.SH,20150630,19.0,20.59,17.35,20.47,19.23,1.24,6.45,789307.52,1504804.185
600875.SH,20150701,20.01,21.5,18.7,18.9,20.47,-1.57,-7.67,734514.85,1501463.3
600875.SH,20150702,18.9,19.3,17.01,17.01,18.9,-1.89,-10.0,692929.15,1251262.03
600875.SH,20150703,16.78,17.4,15.31,15.31,17.01,-1.7,-9.99,724849.99,1161332.655
600875.SH,20150706,16.84,16.84,14.2,15.41,15.31,0.1,0.65,862249.07,1343332.819
600875.SH,20150707,14.87,15.52,13.87,13.88,15.41,-1.53,-9.93,967573.93,1374150.944
600875.SH,20150708,12.49,13.0,12.49,12.49,13.88,-1.39,-10.01,807058.17,1013411.472
600875.SH,20150709,12.49,13.74,12.0,13.74,12.49,1.25,10.01,870153.75,1143888.074
600875.SH,20150710,14.4,15.11,14.1,15.11,13.74,1.37,9.97,575279.38,858418.68
600875.SH,20150713,16.4,16.62,15.61,16.62,15.11,1.51,9.99,1034074.72,1682959.014
600875.SH,20150714,16.8,17.98,16.11,16.78,16.62,0.16,0.96,1352638.99,2302393.998
600875.SH,20150715,16.37,16.7,15.1,15.1,16.78,-1.68,-10.01,801333.26,1256758.688
600875.SH,20150716,15.1,16.2,14.11,15.67,15.1,0.57,3.77,720193.98,1113594.939
600875.SH,20150717,15.9,16.89,15.68,16.83,15.67,1.16,7.4,705128.68,1157440.595
600875.SH,20150720,16.9,17.68,16.4,17.19,16.83,0.36,2.14,885194.5,1511782.24
600875.SH,20150721,16.41,17.62,16.25,17.01,17.19,-0.18,-1.05,951831.11,1614603.005
600875.SH,20150722,16.76,17.1,16.21,16.74,17.01,-0.27,-1.59,824979.04,1380348.504
600875.SH,20150723,16.75,18.41,16.75,18.41,16.74,1.67,9.98,1020419.71,1796818.681
600875.SH,20150724,18.8,18.96,17.5,17.77,18.41,-0.64,-3.48,1511538.28,2781207.248
600875.SH,20150727,17.2,18.26,15.99,15.99,17.77,-1.78,-10.02,1003347.42,1719240.44
600875.SH,20150728,15.01,16.25,14.43,15.48,15.99,-0.51,-3.19,871214.52,1330655.746
600875.SH,20150729,15.97,16.9,15.42,16.79,15.48,1.31,8.46,637586.08,1017148.717
600875.SH,20150730,16.79,17.79,16.31,16.46,16.79,-0.33,-1.97,801663.4,1374002.625
600875.SH,20150731,16.14,16.67,15.48,15.98,16.46,-0.48,-2.92,509861.95,820767.072
600875.SH,20150803,15.6,15.94,14.56,14.96,15.98,-1.02,-6.38,460142.78,699999.246
600875.SH,20150804,15.15,16.25,15.05,16.22,14.96,1.26,8.42,498908.64,782165.559
600875.SH,20150805,16.18,16.49,15.57,15.8,16.22,-0.42,-2.59,496077.64,795871.809
600875.SH,20150806,15.38,16.56,15.22,16.19,15.8,0.39,2.47,548876.97,882681.444
600875.SH,20150807,16.45,17.8,16.32,17.14,16.19,0.95,5.87,805162.7,1366796.069
600875.SH,20150810,17.8,18.8,17.51,18.52,17.14,1.38,8.05,1097486.07,1985897.351
600875.SH,20150811,18.29,19.02,18.02,18.2,18.52,-0.32,-1.73,1069206.44,1981231.533
600875.SH,20150812,17.85,18.23,17.5,17.54,18.2,-0.66,-3.63,584748.61,1043736.725
600875.SH,20150813,17.46,18.35,17.45,18.28,17.54,0.74,4.22,661655.8,1190562.974
600875.SH,20150814,18.76,18.94,17.97,18.12,18.28,-0.16,-0.88,708141.54,1304996.914
600875.SH,20150817,17.9,18.55,17.82,18.42,18.12,0.3,1.66,534715.02,974314.327
600875.SH,20150818,18.45,18.53,16.58,16.58,18.42,-1.84,-9.99,772478.75,1347920.165
600875.SH,20150819,16.0,16.99,15.2,16.89,16.58,0.31,1.87,592085.09,953412.135
600875.SH,20150820,16.55,16.85,15.8,15.86,16.89,-1.03,-6.1,383240.59,625918.128
600875.SH,20150821,15.51,15.96,14.9,15.19,15.86,-0.67,-4.22,426060.69,660888.674
