ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600956.SH,20200629,3.82,4.58,3.82,4.58,3.18,1.4,44.0252,5125.8,2339.722
600956.SH,20200630,5.04,5.04,5.04,5.04,4.58,0.46,10.0437,1467.72,739.731
600956.SH,20200701,5.54,5.54,5.54,5.54,5.04,0.5,9.9206,1751.93,970.569
600956.SH,20200702,6.09,6.09,6.09,6.09,5.54,0.55,9.9278,2092.27,1274.192
600956.SH,20200703,6.7,6.7,6.7,6.7,6.09,0.61,10.0164,3591.53,2406.325
600956.SH,20200706,7.37,7.37,7.37,7.37,6.7,0.67,10.0,7831.92,5772.125
600956.SH,20200707,8.11,8.11,8.11,8.11,7.37,0.74,10.0407,6281.02,5093.907
600956.SH,20200708,8.92,8.92,8.92,8.92,8.11,0.81,9.9877,4303.34,3838.579
600956.SH,20200709,9.81,9.81,9.81,9.81,8.92,0.89,9.9776,3773.55,3701.853
600956.SH,20200710,10.79,10.79,10.79,10.79,9.81,0.98,9.9898,7096.11,7656.703
600956.SH,20200713,11.87,11.87,11.87,11.87,10.79,1.08,10.0093,7004.97,8314.899
600956.SH,20200714,13.06,13.06,13.06,13.06,11.87,1.19,10.0253,7657.13,10000.212
600956.SH,20200715,14.37,14.37,12.58,14.37,13.06,1.31,10.0306,998176.75,1355547.947
600956.SH,20200716,13.62,13.62,12.93,12.93,14.37,-1.44,-10.0209,420188.51,551757.286
600956.SH,20200717,11.71,12.21,11.64,11.64,12.93,-1.29,-9.9768,491060.02,577288.615
600956.SH,20200720,11.45,11.86,11.32,11.82,11.64,0.18,1.5464,332796.77,388369.25
600956.SH,20200721,11.66,11.69,11.03,11.28,11.82,-0.54,-4.5685,333322.89,377341.901
600956.SH,20200722,11.12,12.28,10.91,11.91,11.28,0.63,5.5851,456174.58,524687.973
600956.SH,20200723,11.57,11.78,11.35,11.54,11.91,-0.37,-3.1066,281177.37,324250.358
600956.SH,20200724,11.46,11.95,11.11,11.14,11.54,-0.4,-3.4662,263081.41,303690.963
600956.SH,20200727,11.1,11.38,10.33,10.52,11.14,-0.62,-5.5655,237446.38,255312.129
600956.SH,20200728,10.53,11.09,10.42,10.9,10.52,0.38,3.6122,199099.76,213927.669
600956.SH,20200729,10.8,11.07,10.6,11.02,10.9,0.12,1.1009,192700.88,209984.096
600956.SH,20200730,11.05,12.12,10.85,12.02,11.02,1.0,9.0744,444470.32,516333.137
600956.SH,20200731,11.66,11.99,11.58,11.73,12.02,-0.29,-2.4126,330805.59,388868.153
600956.SH,20200803,11.83,11.97,11.51,11.8,11.73,0.07,0.5968,265274.12,311390.725
600956.SH,20200804,11.73,12.38,11.66,12.07,11.8,0.27,2.2881,326447.62,392239.267
600956.SH,20200805,11.75,11.78,10.86,11.31,12.07,-0.76,-6.2966,280022.36,315691.49
600956.SH,20200806,11.17,11.43,10.9,11.0,11.31,-0.31,-2.7409,190243.47,210466.864
600956.SH,20200807,10.9,10.92,10.5,10.61,11.0,-0.39,-3.5455,167826.06,178532.956
600956.SH,20200810,10.51,11.14,10.51,10.97,10.61,0.36,3.393,142113.0,153839.633
600956.SH,20200811,11.0,11.13,10.58,10.61,10.97,-0.36,-3.2817,141386.77,153897.38
600956.SH,20200812,10.56,10.66,10.13,10.35,10.61,-0.26,-2.4505,127213.21,131396.241
600956.SH,20200813,10.37,10.55,10.32,10.38,10.35,0.03,0.2899,71464.73,74568.598
600956.SH,20200814,10.38,10.4,10.16,10.38,10.38,0.0,0.0,72652.21,74653.801
600956.SH,20200817,10.38,10.74,10.28,10.68,10.38,0.3,2.8902,102490.08,107714.941
600956.SH,20200818,10.6,10.74,10.5,10.65,10.68,-0.03,-0.2809,97066.64,103378.229
600956.SH,20200819,10.59,11.25,10.35,10.81,10.65,0.16,1.5023,193842.07,208989.936
600956.SH,20200820,10.6,10.62,10.38,10.41,10.81,-0.4,-3.7003,115166.62,120740.441
600956.SH,20200821,10.45,10.6,10.32,10.35,10.41,-0.06,-0.5764,65806.92,68700.047
600956.SH,20200824,10.36,10.43,10.12,10.27,10.35,-0.08,-0.7729,69495.99,71215.175
600956.SH,20200825,10.28,10.41,10.22,10.29,10.27,0.02,0.1947,56318.94,57979.775
600956.SH,20200826,10.23,10.23,9.77,9.82,10.29,-0.47,-4.5675,99376.11,99294.951
600956.SH,20200827,9.85,9.99,9.71,9.77,9.82,-0.05,-0.5092,64635.94,63536.289
600956.SH,20200828,9.76,9.79,9.4,9.61,9.77,-0.16,-1.6377,99913.23,95509.197
600956.SH,20200831,9.61,9.71,9.53,9.53,9.61,-0.08,-0.8325,50788.92,48879.77
600956.SH,20200901,9.53,9.58,9.4,9.45,9.53,-0.08,-0.8395,48907.75,46249.719
600956.SH,20200902,9.43,9.48,9.2,9.23,9.45,-0.22,-2.328,79617.42,74068.091
600956.SH,20200903,9.21,9.42,9.14,9.3,9.23,0.07,0.7584,62558.81,58120.794
600956.SH,20200904,9.13,9.28,9.06,9.27,9.3,-0.03,-0.3226,56907.99,52207.627
600956.SH,20200907,9.2,9.36,8.97,8.99,9.27,-0.28,-3.0205,76020.67,69453.222
600956.SH,20200908,8.99,9.0,8.67,8.8,8.99,-0.19,-2.1135,79594.64,70089.662
600956.SH,20200909,8.69,8.74,8.46,8.55,8.8,-0.25,-2.8409,76597.49,65946.189
600956.SH,20200910,8.66,8.72,8.16,8.2,8.55,-0.35,-4.0936,66109.95,55733.032
600956.SH,20200911,8.1,8.6,8.02,8.49,8.2,0.29,3.5366,83521.26,70166.536
600956.SH,20200914,8.63,9.16,8.63,8.73,8.49,0.24,2.8269,110164.33,97757.87
600956.SH,20200915,8.7,8.83,8.64,8.66,8.73,-0.07,-0.8018,45441.49,39541.464
600956.SH,20200916,8.62,9.06,8.55,8.91,8.66,0.25,2.8868,86481.06,76708.391
