ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600960.SH,20150105,11.05,11.15,10.8,11.11,11.05,0.06,0.54,10006.84,11033.627
600960.SH,20150106,11.11,11.31,10.88,11.26,11.11,0.15,1.35,11004.98,12303.43
600960.SH,20150107,11.29,11.38,11.13,11.34,11.26,0.08,0.71,15036.53,16909.673
600960.SH,20150108,11.39,11.46,11.01,11.42,11.34,0.08,0.71,20541.79,23069.426
600960.SH,20150109,11.28,11.58,11.21,11.48,11.42,0.06,0.53,31078.39,35451.022
600960.SH,20150112,11.38,11.59,11.24,11.54,11.48,0.06,0.52,28502.65,32412.123
600960.SH,20150113,11.58,12.1,11.42,12.06,11.54,0.52,4.51,67500.8,80158.406
600960.SH,20150114,12.06,12.27,11.7,12.26,12.06,0.2,1.66,54287.69,65386.074
600960.SH,20150115,12.24,12.49,11.9,12.45,12.26,0.19,1.55,77439.55,95500.05
600960.SH,20150116,12.4,12.6,12.18,12.46,12.45,0.01,0.08,56299.82,69665.878
600960.SH,20150119,12.25,12.49,11.81,12.32,12.46,-0.14,-1.12,49413.97,60536.178
600960.SH,20150120,12.24,12.71,12.12,12.61,12.32,0.29,2.35,45409.14,56759.534
600960.SH,20150121,12.73,12.75,12.21,12.63,12.61,0.02,0.16,60547.19,75881.433
600960.SH,20150122,12.5,12.68,12.4,12.56,12.63,-0.07,-0.55,28667.64,35937.735
600960.SH,20150123,12.56,12.59,12.18,12.44,12.56,-0.12,-0.96,45196.12,55725.951
600960.SH,20150126,12.42,12.42,12.18,12.26,12.44,-0.18,-1.45,26988.9,33091.91
600960.SH,20150127,12.25,12.78,12.25,12.77,12.26,0.51,4.16,64476.67,80780.645
600960.SH,20150128,12.8,13.28,12.66,13.15,12.77,0.38,2.98,76479.13,100022.691
600960.SH,20150129,13.08,13.28,12.71,13.14,13.15,-0.01,-0.08,45501.76,59267.937
600960.SH,20150130,13.0,13.3,12.85,13.22,13.14,0.08,0.61,53536.27,70284.944
600960.SH,20150202,13.18,13.89,13.0,13.83,13.22,0.61,4.61,72938.93,99063.866
600960.SH,20150203,13.71,13.95,13.27,13.67,13.83,-0.16,-1.16,64326.38,87421.325
600960.SH,20150204,13.5,13.85,13.15,13.29,13.67,-0.38,-2.78,44957.9,60399.61
600960.SH,20150205,13.4,13.7,12.9,13.0,13.29,-0.29,-2.18,39979.41,52753.061
600960.SH,20150206,12.93,13.25,12.74,12.98,13.0,-0.02,-0.15,30045.12,39003.669
600960.SH,20150209,12.95,12.95,12.0,12.58,12.98,-0.4,-3.08,42203.3,53211.545
600960.SH,20150210,12.49,12.75,12.33,12.58,12.58,0.0,0.0,16486.5,20747.177
600960.SH,20150211,12.6,12.85,12.5,12.63,12.58,0.05,0.4,27435.76,34826.454
600960.SH,20150212,12.63,12.79,12.42,12.68,12.63,0.05,0.4,17418.65,21903.575
600960.SH,20150213,12.68,12.98,12.68,12.92,12.68,0.24,1.89,26820.22,34509.341
600960.SH,20150216,12.98,13.35,12.94,13.27,12.92,0.35,2.71,28063.95,37140.044
600960.SH,20150217,13.31,13.4,13.1,13.3,13.27,0.03,0.23,27308.61,36237.293
600960.SH,20150225,13.26,13.49,13.03,13.2,13.3,-0.1,-0.75,30243.05,39946.041
600960.SH,20150226,13.2,13.25,12.82,13.16,13.2,-0.04,-0.3,30112.08,39079.533
600960.SH,20150227,13.0,13.5,13.0,13.43,13.16,0.27,2.05,57109.08,75751.971
600960.SH,20150302,13.49,14.29,13.2,14.14,13.43,0.71,5.29,87435.85,119558.014
600960.SH,20150303,14.0,14.08,13.66,13.8,14.14,-0.34,-2.4,54109.0,74948.098
600960.SH,20150304,13.8,14.4,13.8,14.34,13.8,0.54,3.91,84517.37,119633.202
600960.SH,20150305,14.35,14.46,14.13,14.35,14.34,0.01,0.07,36628.14,52378.163
600960.SH,20150306,14.3,14.49,13.79,14.03,14.35,-0.32,-2.23,57749.34,81442.898
600960.SH,20150309,14.3,14.37,13.93,14.17,14.03,0.14,1.0,75050.89,106387.099
600960.SH,20150310,14.25,14.33,14.12,14.31,14.17,0.14,0.99,44699.02,63556.203
600960.SH,20150311,14.35,14.38,14.03,14.22,14.31,-0.09,-0.63,38159.06,54090.592
600960.SH,20150312,14.4,14.4,14.07,14.17,14.22,-0.05,-0.35,50729.29,72047.894
600960.SH,20150313,14.24,14.46,14.18,14.45,14.17,0.28,1.98,68329.95,98230.001
