ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600965.SH,20150105,8.94,9.15,8.84,9.06,8.97,0.09,1.0,44468.56,40023.393
600965.SH,20150106,9.04,9.35,8.96,9.24,9.06,0.18,1.99,49901.91,45636.628
600965.SH,20150107,9.22,9.27,9.14,9.19,9.24,-0.05,-0.54,31254.12,28700.439
600965.SH,20150108,9.18,9.28,9.11,9.17,9.19,-0.02,-0.22,43985.93,40496.889
600965.SH,20150109,9.12,9.15,9.02,9.03,9.17,-0.14,-1.53,43839.73,39771.916
600965.SH,20150112,8.92,9.09,8.64,8.89,9.03,-0.14,-1.55,57083.87,50451.254
600965.SH,20150113,8.78,8.85,8.57,8.75,8.89,-0.14,-1.57,91176.0,79134.432
600965.SH,20150114,8.75,8.75,8.5,8.55,8.75,-0.2,-2.29,55592.91,47791.008
600965.SH,20150115,8.53,8.67,8.5,8.63,8.55,0.08,0.94,38914.35,33501.886
600965.SH,20150116,8.65,8.86,8.58,8.82,8.63,0.19,2.2,65910.55,57372.9
600965.SH,20150119,8.72,9.3,8.62,9.04,8.82,0.22,2.49,135573.73,122650.13
600965.SH,20150120,8.92,9.33,8.92,9.33,9.04,0.29,3.21,98995.42,91201.099
600965.SH,20150121,9.3,9.48,9.25,9.46,9.33,0.13,1.39,105941.84,99306.116
600965.SH,20150129,10.41,10.41,10.41,10.41,9.46,0.95,10.04,31215.83,32495.679
600965.SH,20150130,11.45,11.45,10.07,10.11,10.41,-0.3,-2.88,382951.56,413164.615
600965.SH,20150202,9.93,10.59,9.76,10.22,10.11,0.11,1.09,157366.6,161332.733
600965.SH,20150203,10.12,10.29,9.98,10.09,10.22,-0.13,-1.27,91808.79,92591.139
600965.SH,20150204,10.25,10.31,9.98,10.03,10.09,-0.06,-0.59,67637.73,68430.675
600965.SH,20150205,10.1,10.14,9.68,9.74,10.03,-0.29,-2.89,86689.18,85443.003
600965.SH,20150206,9.65,9.79,9.46,9.53,9.74,-0.21,-2.16,52214.72,50094.154
600965.SH,20150209,9.53,9.69,9.49,9.67,9.53,0.14,1.47,42015.53,40242.375
600965.SH,20150210,9.67,10.44,9.61,10.18,9.67,0.51,5.27,93630.88,94652.445
600965.SH,20150211,10.12,10.21,9.93,10.15,10.18,-0.03,-0.29,45249.55,45486.323
600965.SH,20150212,10.21,10.29,10.05,10.21,10.15,0.06,0.59,48626.99,49487.413
600965.SH,20150213,10.29,10.33,10.18,10.22,10.21,0.01,0.1,54241.43,55475.106
600965.SH,20150216,10.22,10.44,10.2,10.37,10.22,0.15,1.47,85293.39,88387.315
600965.SH,20150217,10.3,10.45,10.3,10.35,10.37,-0.02,-0.19,49111.84,50971.768
600965.SH,20150225,10.36,10.43,10.14,10.23,10.35,-0.12,-1.16,47543.71,48686.944
600965.SH,20150226,10.23,10.35,10.17,10.34,10.23,0.11,1.08,54573.95,56183.065
600965.SH,20150227,10.4,10.48,10.33,10.46,10.34,0.12,1.16,64119.36,66797.008
600965.SH,20150302,10.51,11.03,10.51,10.96,10.46,0.5,4.78,153200.36,165723.223
600965.SH,20150303,10.87,11.38,10.74,11.0,10.96,0.04,0.37,161572.22,178565.839
600965.SH,20150304,10.93,11.26,10.92,11.19,11.0,0.19,1.73,111245.77,124180.189
600965.SH,20150305,11.23,12.05,11.2,11.8,11.19,0.61,5.45,210573.54,247543.605
600965.SH,20150306,11.91,12.3,11.6,11.89,11.8,0.09,0.76,231863.27,278720.625
600965.SH,20150309,11.75,12.88,11.6,12.64,11.89,0.75,6.31,208878.1,258520.3
600965.SH,20150310,12.64,13.27,12.42,12.53,12.64,-0.11,-0.87,196013.2,250880.54
600965.SH,20150311,12.45,12.93,12.4,12.78,12.53,0.25,2.0,154017.36,194907.884
600965.SH,20150312,12.75,13.24,12.33,12.37,12.78,-0.41,-3.21,160099.2,204730.385
600965.SH,20150313,12.28,12.52,11.98,12.25,12.37,-0.12,-0.97,169664.02,207100.702
600965.SH,20150316,12.37,12.68,12.26,12.6,12.25,0.35,2.86,164265.99,205002.454
600965.SH,20150317,12.6,12.68,12.35,12.52,12.6,-0.08,-0.63,165824.35,206920.621
600965.SH,20150318,12.49,13.3,12.46,13.21,12.52,0.69,5.51,241362.44,313973.872
600965.SH,20150319,13.11,13.41,12.92,13.18,13.21,-0.03,-0.23,151500.48,199097.158
600965.SH,20150320,13.09,13.66,13.01,13.52,13.18,0.34,2.58,166268.54,223675.465
600965.SH,20150323,13.7,13.9,13.37,13.78,13.52,0.26,1.92,170202.56,230653.502
600965.SH,20150324,13.7,13.75,12.93,13.28,13.78,-0.5,-3.63,208082.0,276945.18
600965.SH,20150325,13.29,13.38,13.02,13.22,13.28,-0.06,-0.45,137934.25,181961.555
600965.SH,20150326,13.15,13.7,13.09,13.4,13.22,0.18,1.36,150961.07,202282.405
600965.SH,20150327,13.49,13.74,13.34,13.51,13.4,0.11,0.82,134206.73,181200.815
600965.SH,20150330,13.81,13.91,13.33,13.34,13.51,-0.17,-1.26,203440.88,274559.992
600965.SH,20150331,13.4,13.49,12.9,13.05,13.34,-0.29,-2.17,199291.07,261040.122
600965.SH,20150401,13.05,13.2,12.97,13.14,13.05,0.09,0.69,167645.95,219544.892
600965.SH,20150402,14.06,14.45,13.86,14.31,13.14,1.17,8.9,517470.89,736838.914
600965.SH,20150403,13.95,14.13,13.25,14.05,14.31,-0.26,-1.82,342238.33,473143.322
600965.SH,20150407,14.1,14.24,13.74,13.96,14.05,-0.09,-0.64,271593.91,377228.216
600965.SH,20150408,13.97,13.98,13.23,13.3,13.96,-0.66,-4.73,317255.93,427088.064
600965.SH,20150409,13.28,13.5,12.71,12.93,13.3,-0.37,-2.78,174260.83,227411.532
600965.SH,20150410,13.0,13.22,12.96,13.12,12.93,0.19,1.47,130295.3,170853.691
600965.SH,20150413,13.23,13.24,13.01,13.18,13.12,0.06,0.46,140325.76,184306.814
600965.SH,20150414,13.18,13.18,12.92,13.06,13.18,-0.12,-0.91,139906.76,182595.75
600965.SH,20150415,13.06,13.07,12.37,12.38,13.06,-0.68,-5.21,152413.17,192495.966
600965.SH,20150416,12.28,12.75,12.01,12.52,12.38,0.14,1.13,97857.57,121621.386
600965.SH,20150417,12.55,12.76,12.55,12.67,12.52,0.15,1.2,119970.92,151892.018
600965.SH,20150420,12.58,12.96,12.42,12.72,12.67,0.05,0.39,138531.95,175887.863
600965.SH,20150421,12.77,13.03,12.61,13.02,12.72,0.3,2.36,137959.29,177562.759
600965.SH,20150422,13.15,13.49,13.09,13.38,13.02,0.36,2.77,186625.91,248227.848
600965.SH,20150423,13.41,13.5,13.18,13.31,13.38,-0.07,-0.52,146577.39,195222.405
600965.SH,20150424,13.01,13.23,12.88,13.05,13.31,-0.26,-1.95,143238.43,186958.688
600965.SH,20150427,13.13,14.26,11.8,14.09,13.05,1.04,7.97,411280.25,562316.207
600965.SH,20150428,14.05,14.44,13.35,13.58,14.09,-0.51,-3.62,324066.12,450946.978
600965.SH,20150429,13.56,13.67,13.1,13.42,13.58,-0.16,-1.18,143813.27,192449.346
600965.SH,20150430,13.42,13.78,13.15,13.26,13.42,-0.16,-1.19,134347.16,180697.242
600965.SH,20150504,13.28,13.48,13.06,13.28,13.26,0.02,0.15,99245.03,131689.688
600965.SH,20150505,13.34,13.45,12.51,12.56,13.28,-0.72,-5.42,143967.69,185674.288
600965.SH,20150506,12.48,12.7,12.02,12.13,12.56,-0.43,-3.42,109658.06,136085.895
600965.SH,20150507,12.1,12.35,11.98,12.09,12.13,-0.04,-0.33,78389.33,94783.832
600965.SH,20150508,12.26,12.6,12.16,12.58,12.09,0.49,4.05,83725.82,103161.643
600965.SH,20150511,12.71,12.96,12.53,12.94,12.58,0.36,2.86,127662.85,163221.992
600965.SH,20150512,12.98,13.33,12.86,13.24,12.94,0.3,2.32,125545.86,165582.308
600965.SH,20150513,13.23,13.39,13.03,13.38,13.24,0.14,1.06,145682.07,191935.433
600965.SH,20150514,13.39,13.39,13.11,13.27,13.38,-0.11,-0.82,94038.65,124497.13
600965.SH,20150515,13.2,13.26,12.8,12.85,13.27,-0.42,-3.17,103185.3,133927.212
600965.SH,20150518,12.79,13.96,12.7,13.68,12.85,0.83,6.46,246361.62,333719.342
600965.SH,20150519,13.81,13.93,13.51,13.83,13.68,0.15,1.1,195197.93,268235.184
600965.SH,20150520,13.88,14.39,13.7,14.12,13.83,0.29,2.1,278389.62,391810.212
600965.SH,20150521,14.13,15.53,14.13,15.41,14.12,1.29,9.14,340585.9,515212.108
600965.SH,20150522,15.52,15.6,14.88,15.14,15.41,-0.27,-1.75,251265.78,380888.237
600965.SH,20150525,15.06,16.1,15.0,15.91,15.14,0.77,5.09,267453.67,421653.777
600965.SH,20150526,15.91,16.3,15.68,16.08,15.91,0.17,1.07,224748.34,358781.061
600965.SH,20150527,16.08,16.57,15.88,15.89,16.08,-0.19,-1.18,219042.52,351939.314
