ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600979.SH,20150105,6.31,6.66,6.31,6.62,6.29,0.33,5.25,124741.89,81214.159
600979.SH,20150106,6.61,6.61,6.43,6.6,6.62,-0.02,-0.3,114066.64,74323.644
600979.SH,20150107,6.66,6.85,6.64,6.72,6.6,0.12,1.82,155572.4,104782.103
600979.SH,20150108,6.8,6.81,6.61,6.69,6.72,-0.03,-0.45,97231.14,65176.838
600979.SH,20150109,6.67,6.76,6.57,6.58,6.69,-0.11,-1.64,80883.98,53910.058
600979.SH,20150112,6.58,6.58,6.28,6.34,6.58,-0.24,-3.65,58921.93,37581.64
600979.SH,20150113,6.34,6.39,6.28,6.36,6.34,0.02,0.32,36523.96,23147.174
600979.SH,20150114,6.35,6.41,6.22,6.28,6.36,-0.08,-1.26,50503.29,31840.019
600979.SH,20150115,6.28,6.61,6.25,6.51,6.28,0.23,3.66,88362.7,56832.554
600979.SH,20150116,6.51,6.51,6.36,6.43,6.51,-0.08,-1.23,83468.65,53445.314
600979.SH,20150119,6.33,6.39,6.0,6.1,6.43,-0.33,-5.13,94789.61,58762.31
600979.SH,20150120,6.11,6.28,6.11,6.22,6.1,0.12,1.97,75705.47,46815.919
600979.SH,20150121,6.23,6.33,6.2,6.33,6.22,0.11,1.77,67720.34,42587.082
600979.SH,20150122,6.33,6.36,6.29,6.36,6.33,0.03,0.47,64550.63,40842.006
600979.SH,20150123,6.38,6.39,6.26,6.28,6.36,-0.08,-1.26,62859.23,39664.14
600979.SH,20150126,6.27,6.3,6.18,6.3,6.28,0.02,0.32,181186.07,112924.575
600979.SH,20150127,6.28,6.45,6.25,6.41,6.3,0.11,1.75,145703.22,92529.46
600979.SH,20150128,6.39,6.42,6.33,6.36,6.41,-0.05,-0.78,82188.13,52331.114
600979.SH,20150129,6.3,6.52,6.27,6.5,6.36,0.14,2.2,162758.15,104752.895
600979.SH,20150130,6.43,6.81,6.38,6.59,6.5,0.09,1.38,255528.57,168152.421
600979.SH,20150202,6.55,6.56,6.33,6.43,6.59,-0.16,-2.43,73876.73,47714.938
600979.SH,20150203,6.43,6.6,6.35,6.55,6.43,0.12,1.87,90770.65,59061.201
600979.SH,20150204,6.54,6.81,6.51,6.78,6.55,0.23,3.51,229689.52,154723.753
600979.SH,20150205,6.83,6.85,6.61,6.62,6.78,-0.16,-2.36,110297.12,74225.892
600979.SH,20150206,6.5,6.93,6.46,6.71,6.62,0.09,1.36,163573.63,110310.987
600979.SH,20150209,6.71,6.93,6.65,6.84,6.71,0.13,1.94,199664.89,136208.129
600979.SH,20150210,6.81,6.91,6.69,6.9,6.84,0.06,0.88,83980.5,57256.705
600979.SH,20150211,6.92,7.03,6.78,6.8,6.9,-0.1,-1.45,106598.5,73784.98
600979.SH,20150212,6.81,6.81,6.63,6.76,6.8,-0.04,-0.59,71445.53,47894.209
600979.SH,20150213,6.71,7.0,6.71,6.9,6.76,0.14,2.07,113991.78,78283.721
600979.SH,20150216,6.9,7.14,6.83,7.11,6.9,0.21,3.04,161790.86,113966.741
600979.SH,20150217,7.1,7.31,7.04,7.2,7.11,0.09,1.27,101329.63,72783.795
600979.SH,20150225,7.21,7.42,7.0,7.11,7.2,-0.09,-1.25,100107.78,72449.972
