ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600988.SH,20150105,9.63,10.2,9.43,10.15,9.62,0.53,5.51,141262.19,140644.39
600988.SH,20150106,10.16,10.4,9.9,10.16,10.15,0.01,0.1,110765.64,112307.178
600988.SH,20150107,10.16,11.15,10.13,10.88,10.16,0.72,7.09,299378.89,323665.624
600988.SH,20150116,11.97,11.97,11.17,11.25,10.88,0.37,3.4,434372.66,501749.685
600988.SH,20150119,10.95,11.72,10.71,10.83,11.25,-0.42,-3.73,319477.8,360298.597
600988.SH,20150120,10.6,10.98,10.5,10.94,10.83,0.11,1.02,176614.11,189994.077
600988.SH,20150121,11.29,11.36,10.98,11.26,10.94,0.32,2.93,245608.56,274925.063
600988.SH,20150122,11.11,12.19,10.98,11.7,11.26,0.44,3.91,487683.23,566725.069
600988.SH,20150123,11.84,12.11,11.39,11.46,11.7,-0.24,-2.05,305248.25,358185.079
600988.SH,20150126,11.43,11.59,11.25,11.43,11.46,-0.03,-0.26,166798.49,190100.41
600988.SH,20150127,11.27,11.28,10.96,11.17,11.43,-0.26,-2.27,189854.36,210930.677
600988.SH,20150128,11.17,11.28,11.0,11.05,11.17,-0.12,-1.07,98734.18,109836.638
600988.SH,20150129,10.88,10.89,10.69,10.81,11.05,-0.24,-2.17,100536.87,108581.699
600988.SH,20150130,10.67,10.86,10.62,10.76,10.81,-0.05,-0.46,75651.05,81251.952
600988.SH,20150202,10.75,10.98,10.75,10.84,10.76,0.08,0.74,83897.93,91354.983
600988.SH,20150203,10.87,10.94,10.75,10.9,10.84,0.06,0.55,68003.46,73756.251
600988.SH,20150204,10.81,10.81,10.64,10.67,10.9,-0.23,-2.11,81091.17,86846.893
600988.SH,20150205,10.8,10.87,10.58,10.59,10.67,-0.08,-0.75,64343.36,68978.838
600988.SH,20150206,10.5,10.5,10.15,10.22,10.59,-0.37,-3.49,82703.97,84795.905
600988.SH,20150209,10.0,10.16,9.97,10.07,10.22,-0.15,-1.47,59020.56,59371.965
600988.SH,20150210,10.06,10.19,10.06,10.13,10.07,0.06,0.6,42347.88,42875.296
600988.SH,20150211,10.13,10.5,10.1,10.48,10.13,0.35,3.46,75527.05,78343.024
600988.SH,20150212,10.36,10.45,10.3,10.36,10.48,-0.12,-1.15,38452.62,39855.64
600988.SH,20150213,10.42,10.65,10.42,10.55,10.36,0.19,1.83,52355.9,55205.091
600988.SH,20150216,10.55,10.6,10.45,10.58,10.55,0.03,0.28,54169.83,56936.048
600988.SH,20150217,10.57,10.73,10.52,10.67,10.58,0.09,0.85,51034.78,54303.863
600988.SH,20150225,10.58,10.58,10.31,10.36,10.67,-0.31,-2.91,64027.99,66500.086
600988.SH,20150226,10.37,10.6,10.36,10.6,10.36,0.24,2.32,59194.59,62040.586
600988.SH,20150227,10.63,10.75,10.5,10.71,10.6,0.11,1.04,79647.81,84740.064
600988.SH,20150302,10.76,11.09,10.76,11.0,10.71,0.29,2.71,130491.77,143153.092
600988.SH,20150303,10.9,11.21,10.79,11.11,11.0,0.11,1.0,162389.6,179543.327
600988.SH,20150304,11.13,11.19,11.01,11.18,11.11,0.07,0.63,112206.91,124504.846
600988.SH,20150305,11.13,11.2,10.92,11.17,11.18,-0.01,-0.09,106562.05,117706.97
600988.SH,20150306,11.18,11.69,11.12,11.42,11.17,0.25,2.24,197505.22,225479.593
600988.SH,20150309,11.21,11.25,10.94,11.25,11.42,-0.17,-1.49,114115.9,126873.366
600988.SH,20150310,11.17,11.35,11.1,11.17,11.25,-0.08,-0.71,89631.44,100386.8
600988.SH,20150311,11.15,11.23,11.05,11.09,11.17,-0.08,-0.72,83872.25,93180.342
600988.SH,20150312,11.07,11.12,10.8,11.04,11.09,-0.05,-0.45,96380.29,105802.957
600988.SH,20150313,11.03,11.14,10.92,11.07,11.04,0.03,0.27,70460.07,77829.558
600988.SH,20150316,11.11,11.38,11.11,11.37,11.07,0.3,2.71,124921.81,140590.342
600988.SH,20150317,11.39,11.57,11.25,11.54,11.37,0.17,1.5,174869.61,199720.892
600988.SH,20150318,11.53,11.72,11.45,11.66,11.54,0.12,1.04,177826.41,206687.692
600988.SH,20150319,11.93,12.83,11.93,12.83,11.66,1.17,10.03,233672.41,293712.146
600988.SH,20150320,13.48,13.48,12.84,12.85,12.83,0.02,0.16,532973.18,696200.554
600988.SH,20150323,13.12,13.27,12.75,13.01,12.85,0.16,1.25,314317.98,409007.673
600988.SH,20150324,12.92,13.96,12.78,13.47,13.01,0.46,3.54,528091.12,709976.61
600988.SH,20150325,13.15,13.65,13.06,13.23,13.47,-0.24,-1.78,302227.98,400629.911
600988.SH,20150326,13.19,13.39,12.79,13.35,13.23,0.12,0.91,271574.36,353934.33
600988.SH,20150327,13.39,14.14,13.04,13.25,13.35,-0.1,-0.75,411186.95,551035.466
600988.SH,20150330,13.02,13.14,12.88,13.0,13.25,-0.25,-1.89,240144.53,311354.926
600988.SH,20150331,13.0,13.0,12.8,12.86,13.0,-0.14,-1.08,201912.35,260352.807
600988.SH,20150401,12.87,13.03,12.84,12.98,12.86,0.12,0.93,177280.18,229314.504
600988.SH,20150402,13.29,13.45,13.1,13.37,12.98,0.39,3.0,320255.84,425236.363
600988.SH,20150403,13.3,13.36,13.11,13.26,13.37,-0.11,-0.82,238678.67,315415.355
600988.SH,20150407,13.5,13.9,13.38,13.79,13.26,0.53,4.0,374777.61,511857.409
600988.SH,20150408,13.73,13.73,13.09,13.37,13.79,-0.42,-3.05,302765.65,405734.734
600988.SH,20150409,13.25,13.26,12.56,12.76,13.37,-0.61,-4.56,265843.7,341283.663
600988.SH,20150410,12.62,13.0,12.61,12.96,12.76,0.2,1.57,169783.82,218409.306
600988.SH,20150413,13.13,13.5,13.13,13.36,12.96,0.4,3.09,266586.81,355326.105
