ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
601077.SH,20191029,8.83,10.6,8.83,9.35,7.36,1.99,27.038,4184938.45,4059400.321
601077.SH,20191030,8.8,8.8,8.42,8.42,9.35,-0.93,-9.9465,2733522.06,2320616.294
601077.SH,20191031,7.85,8.47,7.66,8.1,8.42,-0.32,-3.8005,2868731.94,2286077.392
601077.SH,20191101,7.87,8.07,7.8,7.88,8.1,-0.22,-2.716,1691788.56,1336825.882
601077.SH,20191104,7.81,7.92,7.66,7.69,7.88,-0.19,-2.4112,1632860.18,1266693.767
601077.SH,20191105,7.69,7.78,7.51,7.68,7.69,-0.01,-0.13,1552421.2,1184345.773
601077.SH,20191106,7.63,7.63,7.45,7.47,7.68,-0.21,-2.7344,1239894.09,934589.619
601077.SH,20191107,7.46,7.6,7.46,7.5,7.47,0.03,0.4016,843152.5,634838.541
601077.SH,20191108,7.56,7.56,7.43,7.44,7.5,-0.06,-0.8,766848.02,573972.846
601077.SH,20191111,7.4,7.4,7.18,7.19,7.44,-0.25,-3.3602,961305.22,700986.893
601077.SH,20191112,7.18,7.22,7.02,7.1,7.19,-0.09,-1.2517,786031.49,557485.894
601077.SH,20191113,7.07,7.08,6.93,6.93,7.1,-0.17,-2.3944,794948.9,556249.904
601077.SH,20191114,6.9,7.27,6.83,7.14,6.93,0.21,3.0303,1326499.8,933603.542
601077.SH,20191115,7.05,7.14,6.93,6.95,7.14,-0.19,-2.6611,753732.86,529075.401
601077.SH,20191118,6.92,7.02,6.88,6.94,6.95,-0.01,-0.1439,521987.73,363056.995
601077.SH,20191119,6.94,7.06,6.92,7.03,6.94,0.09,1.2968,607986.73,425813.619
601077.SH,20191120,7.02,7.04,6.93,6.95,7.03,-0.08,-1.138,533534.13,371981.297
601077.SH,20191121,6.92,6.96,6.9,6.92,6.95,-0.03,-0.4317,383093.25,265244.733
601077.SH,20191122,6.93,6.97,6.87,6.89,6.92,-0.03,-0.4335,441431.88,305350.578
601077.SH,20191125,6.9,7.02,6.88,6.98,6.89,0.09,1.3062,584947.18,406964.233
601077.SH,20191126,6.94,7.02,6.93,6.94,6.98,-0.04,-0.5731,584934.78,407453.677
601077.SH,20191127,6.91,6.91,6.76,6.77,6.94,-0.17,-2.4496,785325.33,535419.253
601077.SH,20191128,6.76,6.79,6.67,6.68,6.77,-0.09,-1.3294,543375.09,364736.312
601077.SH,20191129,6.67,6.72,6.63,6.65,6.68,-0.03,-0.4491,384151.04,255866.984
601077.SH,20191202,6.65,6.67,6.6,6.61,6.65,-0.04,-0.6015,389752.55,258548.232
601077.SH,20191203,6.59,6.59,6.53,6.58,6.61,-0.03,-0.4539,351714.94,230697.68
601077.SH,20191204,6.55,6.62,6.53,6.57,6.58,-0.01,-0.152,275957.11,181464.531
601077.SH,20191205,6.58,6.67,6.56,6.64,6.57,0.07,1.0654,449291.35,296670.173
601077.SH,20191206,6.62,6.63,6.58,6.61,6.64,-0.03,-0.4518,329921.91,217770.93
601077.SH,20191209,6.62,6.65,6.6,6.64,6.61,0.03,0.4539,363806.42,241221.19
601077.SH,20191210,6.61,6.62,6.56,6.58,6.64,-0.06,-0.9036,463947.93,305170.005
601077.SH,20191211,6.56,6.61,6.55,6.58,6.58,0.0,0.0,360419.33,237129.09
601077.SH,20191212,6.57,6.57,6.48,6.49,6.58,-0.09,-1.3678,502800.0,328011.417
601077.SH,20191213,6.51,6.58,6.49,6.57,6.49,0.08,1.2327,633403.72,414155.025
601077.SH,20191216,6.56,6.57,6.52,6.57,6.57,0.0,0.0,487471.65,319083.76
