ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
601088.SH,20150105,20.32,22.32,20.32,22.32,20.29,2.03,10.0,1348528.21,2929278.375
601088.SH,20150106,23.16,24.24,22.59,22.86,22.32,0.54,2.42,2599635.34,6067142.067
601088.SH,20150107,22.22,23.09,22.02,22.86,22.86,0.0,0.0,1250971.13,2832676.526
601088.SH,20150108,22.7,23.5,22.1,22.37,22.86,-0.49,-2.14,1221922.39,2781806.267
601088.SH,20150109,22.0,22.69,21.44,21.56,22.37,-0.81,-3.62,1299458.61,2848045.729
601088.SH,20150112,21.36,21.42,20.72,20.83,21.56,-0.73,-3.39,826264.89,1738825.211
601088.SH,20150113,20.73,21.09,20.53,20.7,20.83,-0.13,-0.62,543466.99,1130436.507
601088.SH,20150114,20.73,21.02,20.38,20.54,20.7,-0.16,-0.77,500038.3,1036401.449
601088.SH,20150115,20.71,21.5,20.5,21.49,20.54,0.95,4.63,713419.98,1495671.404
601088.SH,20150116,21.59,22.3,21.52,21.68,21.49,0.19,0.88,794989.24,1738313.316
601088.SH,20150119,20.5,20.59,19.51,19.51,21.68,-2.17,-10.01,1097545.72,2192371.473
601088.SH,20150120,19.25,19.75,19.16,19.57,19.51,0.06,0.31,909973.22,1774390.856
601088.SH,20150121,19.55,20.47,19.31,20.4,19.57,0.83,4.24,1004807.07,2004609.856
601088.SH,20150122,20.5,20.95,20.16,20.44,20.4,0.04,0.2,876698.44,1802637.882
601088.SH,20150123,20.69,20.8,20.06,20.16,20.44,-0.28,-1.37,743108.57,1512173.09
601088.SH,20150126,20.08,20.28,19.82,20.27,20.16,0.11,0.55,519043.06,1041466.507
601088.SH,20150127,20.21,20.37,19.5,19.79,20.27,-0.48,-2.37,635542.86,1264668.997
601088.SH,20150128,19.62,19.82,19.37,19.47,19.79,-0.32,-1.62,434437.21,848930.327
601088.SH,20150129,19.16,19.6,19.08,19.36,19.47,-0.11,-0.57,436134.88,844967.518
601088.SH,20150130,19.49,19.6,19.02,19.05,19.36,-0.31,-1.6,417077.61,805471.433
601088.SH,20150202,18.7,18.95,18.51,18.53,19.05,-0.52,-2.73,411143.12,769188.413
601088.SH,20150203,18.9,19.15,18.56,19.13,18.53,0.6,3.24,413338.42,778204.322
601088.SH,20150204,19.27,19.53,18.95,18.97,19.13,-0.16,-0.84,461327.13,890424.944
601088.SH,20150205,19.39,19.46,18.55,18.56,18.97,-0.41,-2.16,466374.03,887220.882
601088.SH,20150206,18.3,18.31,17.7,17.92,18.56,-0.64,-3.45,597513.54,1079314.817
601088.SH,20150209,17.9,18.14,17.72,17.83,17.92,-0.09,-0.5,431293.25,771962.957
601088.SH,20150210,17.85,18.3,17.85,18.21,17.83,0.38,2.13,361928.26,656551.921
601088.SH,20150211,18.18,18.45,18.13,18.28,18.21,0.07,0.38,260514.37,476677.699
601088.SH,20150212,18.23,18.34,17.93,18.29,18.28,0.01,0.05,237521.62,431199.753
601088.SH,20150213,18.39,18.64,18.29,18.43,18.29,0.14,0.77,451933.21,834304.785
601088.SH,20150216,18.48,18.48,18.25,18.4,18.43,-0.03,-0.16,355516.08,652056.716
601088.SH,20150217,18.42,18.47,18.3,18.39,18.4,-0.01,-0.05,398646.95,732734.585
601088.SH,20150225,18.37,18.38,17.79,17.94,18.39,-0.45,-2.45,577817.84,1042709.302
601088.SH,20150226,17.89,18.63,17.74,18.56,17.94,0.62,3.46,698383.49,1272073.473
601088.SH,20150227,18.48,18.8,18.4,18.6,18.56,0.04,0.22,536926.94,997371.416
601088.SH,20150302,18.69,19.0,18.47,18.9,18.6,0.3,1.61,594506.24,1117493.631
601088.SH,20150303,18.76,18.76,18.1,18.17,18.9,-0.73,-3.86,712344.75,1310791.66
601088.SH,20150304,18.25,18.42,18.1,18.31,18.17,0.14,0.77,397170.2,725226.59
601088.SH,20150305,18.11,18.2,17.78,17.91,18.31,-0.4,-2.18,515081.25,924842.816
601088.SH,20150306,17.89,18.25,17.78,18.07,17.91,0.16,0.89,484863.06,875139.199
601088.SH,20150309,17.9,18.28,17.5,18.25,18.07,0.18,1.0,615191.29,1098695.359
601088.SH,20150310,18.13,18.3,18.01,18.04,18.25,-0.21,-1.15,512098.69,929837.248
601088.SH,20150311,18.0,18.18,17.69,17.84,18.04,-0.2,-1.11,624777.5,1121487.838
601088.SH,20150312,17.92,18.38,17.78,18.36,17.84,0.52,2.91,791137.31,1433911.571
601088.SH,20150313,18.38,19.11,18.36,18.7,18.36,0.34,1.85,1026390.44,1922940.866
601088.SH,20150316,18.7,18.93,18.53,18.89,18.7,0.19,1.02,775778.97,1457683.531
601088.SH,20150317,18.94,19.15,18.83,19.04,18.89,0.15,0.79,1086527.52,2061989.982
601088.SH,20150318,19.1,19.66,19.1,19.65,19.04,0.61,3.2,1160350.7,2259268.991
601088.SH,20150319,19.68,20.08,19.51,19.75,19.65,0.1,0.51,1097270.69,2172730.758
