ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
601100.SH,20150105,13.24,13.9,12.98,13.87,13.34,0.53,3.97,110904.71,149504.773
601100.SH,20150106,13.6,13.65,13.11,13.46,13.87,-0.41,-2.96,71650.39,95845.869
601100.SH,20150107,13.34,13.78,13.25,13.75,13.46,0.29,2.15,56544.28,76489.321
601100.SH,20150108,13.66,14.01,13.32,13.76,13.75,0.01,0.07,72990.61,99992.746
601100.SH,20150109,13.69,14.97,13.54,14.11,13.76,0.35,2.54,159643.1,229341.721
601100.SH,20150112,14.19,14.6,13.14,13.2,14.11,-0.91,-6.45,108297.94,149136.002
601100.SH,20150113,12.95,13.44,12.95,13.3,13.2,0.1,0.76,48963.12,64604.384
601100.SH,20150114,13.29,13.4,12.95,13.11,13.3,-0.19,-1.43,32005.84,41916.383
601100.SH,20150115,13.05,13.36,13.05,13.33,13.11,0.22,1.68,30231.74,40097.482
601100.SH,20150116,13.22,13.33,13.05,13.2,13.33,-0.13,-0.98,48953.84,64587.498
601100.SH,20150119,12.7,12.85,11.89,12.26,13.2,-0.94,-7.12,68544.82,85778.823
601100.SH,20150120,12.26,12.48,12.0,12.47,12.26,0.21,1.71,42878.34,52912.568
601100.SH,20150121,12.4,12.67,12.4,12.65,12.47,0.18,1.44,46960.92,59013.733
601100.SH,20150122,12.65,12.99,12.65,12.82,12.65,0.17,1.34,39390.68,50446.466
601100.SH,20150123,12.81,12.89,12.41,12.52,12.82,-0.3,-2.34,37423.0,47227.518
601100.SH,20150126,12.51,12.81,12.45,12.79,12.52,0.27,2.16,32838.21,41340.875
601100.SH,20150127,12.66,12.75,12.5,12.67,12.79,-0.12,-0.94,38960.53,49147.706
601100.SH,20150128,12.64,13.07,12.52,12.9,12.67,0.23,1.82,49474.19,63466.95
601100.SH,20150129,12.8,12.93,12.56,12.6,12.9,-0.3,-2.33,24734.91,31426.572
601100.SH,20150130,12.62,12.77,12.54,12.61,12.6,0.01,0.08,23213.82,29345.823
601100.SH,20150202,12.47,12.47,12.1,12.18,12.61,-0.43,-3.41,22687.68,27754.252
601100.SH,20150203,12.18,12.45,12.12,12.38,12.18,0.2,1.64,14953.78,18357.121
601100.SH,20150204,12.37,12.57,12.21,12.24,12.38,-0.14,-1.13,13789.96,17103.156
601100.SH,20150205,12.33,12.38,11.8,11.83,12.24,-0.41,-3.35,32081.45,38607.506
601100.SH,20150206,11.8,12.05,11.43,11.55,11.83,-0.28,-2.37,30290.39,35488.093
601100.SH,20150209,11.45,11.9,11.45,11.74,11.55,0.19,1.65,11326.17,13287.771
601100.SH,20150210,11.7,11.9,11.65,11.8,11.74,0.06,0.51,11055.81,13036.427
601100.SH,20150211,11.8,11.95,11.72,11.92,11.8,0.12,1.02,12555.01,14822.406
601100.SH,20150212,11.92,12.3,11.86,12.24,11.92,0.32,2.68,25201.56,30601.17
601100.SH,20150213,12.24,12.43,12.14,12.16,12.24,-0.08,-0.65,17333.84,21317.63
601100.SH,20150216,12.18,12.73,12.18,12.69,12.16,0.53,4.36,32832.08,41260.79
601100.SH,20150217,12.71,12.86,12.56,12.68,12.69,-0.01,-0.08,16461.09,20901.306
601100.SH,20150225,12.68,12.74,12.41,12.51,12.68,-0.17,-1.34,18773.01,23524.76
601100.SH,20150226,12.4,12.59,12.18,12.57,12.51,0.06,0.48,32282.85,39819.337
601100.SH,20150227,12.45,12.68,12.36,12.67,12.57,0.1,0.8,35902.36,45035.253
601100.SH,20150302,12.68,12.74,12.49,12.66,12.67,-0.01,-0.08,49195.94,62113.881
601100.SH,20150303,12.65,12.7,12.48,12.58,12.66,-0.08,-0.63,60523.97,76175.748
601100.SH,20150304,12.56,12.62,12.4,12.59,12.58,0.01,0.08,38229.18,47890.389
601100.SH,20150305,12.61,12.84,12.4,12.81,12.59,0.22,1.75,55365.11,69734.822
601100.SH,20150306,12.86,13.31,12.82,13.02,12.81,0.21,1.64,78936.28,103233.743
601100.SH,20150309,13.02,13.1,12.68,13.0,13.02,-0.02,-0.15,52629.48,67778.215
601100.SH,20150310,12.9,13.37,12.9,13.33,13.0,0.33,2.54,51549.71,67942.914
601100.SH,20150311,13.25,13.37,13.16,13.3,13.33,-0.03,-0.23,35248.89,46749.109
601100.SH,20150312,13.3,13.62,13.02,13.58,13.3,0.28,2.11,63046.76,84013.942
601100.SH,20150313,13.45,13.66,13.36,13.47,13.58,-0.11,-0.81,35689.92,48220.171
601100.SH,20150316,13.47,13.9,13.47,13.76,13.47,0.29,2.15,46167.62,63415.994
601100.SH,20150317,13.8,13.89,13.63,13.77,13.76,0.01,0.07,44123.86,60650.881
601100.SH,20150318,13.7,13.87,13.7,13.8,13.77,0.03,0.22,53059.43,73109.544
601100.SH,20150319,13.82,13.97,13.68,13.79,13.8,-0.01,-0.07,46937.55,64836.461
601100.SH,20150320,13.8,13.91,13.66,13.82,13.79,0.03,0.22,50341.73,69330.62
601100.SH,20150323,13.82,14.58,13.77,14.35,13.82,0.53,3.84,72565.45,103469.402
601100.SH,20150324,14.22,14.48,13.68,14.06,14.35,-0.29,-2.02,59931.5,84455.203
601100.SH,20150325,14.03,14.48,13.88,14.37,14.06,0.31,2.2,56091.43,79756.502
601100.SH,20150326,14.46,14.99,14.22,14.76,14.37,0.39,2.71,81128.67,118776.947
601100.SH,20150327,14.61,14.73,14.4,14.53,14.76,-0.23,-1.56,45868.91,66718.811
601100.SH,20150330,14.55,15.3,14.41,14.95,14.53,0.42,2.89,73550.36,109895.756
601100.SH,20150331,15.05,15.1,14.65,14.89,14.95,-0.06,-0.4,58047.31,86013.771
601100.SH,20150401,14.83,15.5,14.8,15.41,14.89,0.52,3.49,71541.54,108282.314
601100.SH,20150402,15.31,15.88,15.23,15.43,15.41,0.02,0.13,74722.93,115565.163
601100.SH,20150403,15.33,15.84,15.23,15.75,15.43,0.32,2.07,61561.17,95717.973
601100.SH,20150407,15.82,16.0,15.6,15.81,15.75,0.06,0.38,57975.69,91206.747
601100.SH,20150408,15.81,16.1,15.3,15.67,15.81,-0.14,-0.89,58843.3,92518.64
601100.SH,20150409,15.69,15.69,14.58,14.97,15.67,-0.7,-4.47,67239.08,100980.019
601100.SH,20150410,14.97,15.65,14.73,15.33,14.97,0.36,2.4,67653.72,104405.407
