ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
601111.SH,20150105,7.98,8.62,7.98,8.62,7.84,0.78,9.95,2316117.58,1954000.878
601111.SH,20150106,9.0,9.35,8.66,8.98,8.62,0.36,4.18,2263873.92,2035689.25
601111.SH,20150107,9.27,9.57,9.05,9.17,8.98,0.19,2.12,1642053.92,1523493.467
601111.SH,20150108,9.02,9.04,8.65,8.8,9.17,-0.37,-4.03,1119712.72,989441.161
601111.SH,20150109,8.63,9.19,8.62,8.78,8.8,-0.02,-0.23,1060966.07,944273.575
601111.SH,20150112,8.79,8.96,8.41,8.94,8.78,0.16,1.82,841050.02,728123.366
601111.SH,20150113,9.12,9.38,8.94,8.96,8.94,0.02,0.22,1002465.6,916688.169
601111.SH,20150114,8.92,8.92,8.46,8.69,8.96,-0.27,-3.01,789398.43,683461.267
601111.SH,20150115,8.46,8.74,8.2,8.73,8.69,0.04,0.46,930948.04,786596.911
601111.SH,20150116,8.74,8.79,8.49,8.59,8.73,-0.14,-1.6,844500.77,727436.146
601111.SH,20150119,7.9,8.24,7.73,7.73,8.59,-0.86,-10.01,1083124.24,856759.245
601111.SH,20150120,7.65,7.95,7.64,7.94,7.73,0.21,2.72,928917.43,724690.364
601111.SH,20150121,8.08,8.24,8.01,8.23,7.94,0.29,3.65,978082.6,795287.968
601111.SH,20150122,8.16,8.25,8.03,8.14,8.23,-0.09,-1.09,650754.33,529326.979
601111.SH,20150123,8.16,8.43,8.1,8.26,8.14,0.12,1.47,839919.64,695600.752
601111.SH,20150126,8.4,8.58,8.19,8.55,8.26,0.29,3.51,924368.02,772733.064
601111.SH,20150127,8.47,8.48,8.04,8.27,8.55,-0.28,-3.27,925478.62,763824.297
601111.SH,20150128,8.1,8.16,8.0,8.02,8.27,-0.25,-3.02,617407.81,496818.592
601111.SH,20150129,7.87,8.12,7.81,7.92,8.02,-0.1,-1.25,450754.02,359523.358
601111.SH,20150130,7.92,8.03,7.65,7.69,7.92,-0.23,-2.9,618777.92,481157.689
601111.SH,20150202,7.45,7.51,7.25,7.29,7.69,-0.4,-5.2,579521.68,426873.586
601111.SH,20150203,7.29,7.45,7.06,7.41,7.29,0.12,1.65,743406.32,539057.007
601111.SH,20150204,7.28,7.37,7.17,7.19,7.41,-0.22,-2.97,551311.67,401077.016
601111.SH,20150205,7.41,7.51,7.17,7.21,7.19,0.02,0.28,585254.74,430421.845
601111.SH,20150206,7.1,7.15,6.69,6.9,7.21,-0.31,-4.3,885557.22,607298.04
601111.SH,20150209,6.8,6.93,6.71,6.84,6.9,-0.06,-0.87,386194.82,263909.567
601111.SH,20150210,6.81,7.16,6.77,7.09,6.84,0.25,3.66,531777.66,373865.668
601111.SH,20150211,7.17,7.2,7.05,7.13,7.09,0.04,0.56,330543.85,235476.034
601111.SH,20150212,7.16,7.4,7.06,7.31,7.13,0.18,2.52,390717.06,283130.46
601111.SH,20150213,7.31,7.38,7.2,7.31,7.31,0.0,0.0,429360.36,313493.536
601111.SH,20150216,7.25,7.34,7.17,7.28,7.31,-0.03,-0.41,376969.06,273902.716
601111.SH,20150217,7.27,7.85,7.27,7.75,7.28,0.47,6.46,868839.44,658539.992
601111.SH,20150225,7.78,7.82,7.6,7.65,7.75,-0.1,-1.29,446273.76,342976.257
