ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
601229.SH,20161116,21.32,25.59,21.32,25.59,17.77,7.82,44.01,5087.59,12969.184
601229.SH,20161117,28.15,28.15,28.15,28.15,25.59,2.56,10.0,10997.37,30957.597
601229.SH,20161118,30.97,30.97,29.51,30.24,28.15,2.09,7.42,2468109.95,7470089.49
601229.SH,20161121,29.48,29.48,28.31,28.49,30.24,-1.75,-5.79,1597129.42,4598344.261
601229.SH,20161122,28.25,28.77,28.13,28.43,28.49,-0.06,-0.21,915678.86,2596461.484
601229.SH,20161123,28.45,28.99,28.17,28.28,28.43,-0.15,-0.53,1012828.31,2897466.274
601229.SH,20161124,28.1,28.12,27.23,27.28,28.28,-1.0,-3.54,991050.19,2727105.215
601229.SH,20161125,27.21,27.68,27.01,27.39,27.28,0.11,0.4,495814.67,1353382.51
601229.SH,20161128,27.45,27.69,27.25,27.31,27.39,-0.08,-0.29,488966.08,1342214.431
601229.SH,20161129,27.22,27.22,26.45,26.53,27.31,-0.78,-2.86,708720.35,1895133.957
601229.SH,20161130,26.49,26.49,26.04,26.2,26.53,-0.33,-1.24,394784.66,1032798.201
601229.SH,20161201,26.17,26.46,26.13,26.3,26.2,0.1,0.38,297381.0,781716.338
601229.SH,20161202,26.27,26.27,25.72,25.74,26.3,-0.56,-2.13,391027.65,1014259.099
601229.SH,20161205,25.58,25.9,25.47,25.8,25.74,0.06,0.23,232139.46,596716.848
601229.SH,20161206,25.76,26.09,25.7,25.87,25.8,0.07,0.27,248513.16,644333.401
601229.SH,20161207,25.79,26.01,25.63,25.99,25.87,0.12,0.46,215623.93,556258.274
601229.SH,20161208,25.98,26.48,25.93,26.25,25.99,0.26,1.0,468987.78,1232205.311
601229.SH,20161209,26.15,26.45,25.99,26.2,26.25,-0.05,-0.19,442880.49,1164178.744
601229.SH,20161212,26.08,26.34,24.95,24.98,26.2,-1.22,-4.66,501748.72,1281228.688
601229.SH,20161213,24.97,24.98,24.31,24.55,24.98,-0.43,-1.72,317777.92,781193.674
601229.SH,20161214,24.5,24.85,24.45,24.53,24.55,-0.02,-0.08,219216.76,539646.829
601229.SH,20161215,24.46,24.63,24.32,24.44,24.53,-0.09,-0.37,243571.69,595863.129
601229.SH,20161216,24.36,24.48,24.21,24.31,24.44,-0.13,-0.53,237449.91,578022.984
601229.SH,20161219,24.28,24.29,23.75,23.8,24.31,-0.51,-2.1,278154.01,666679.285
601229.SH,20161220,23.74,23.93,23.65,23.8,23.8,0.0,0.0,189094.35,449385.949
601229.SH,20161221,23.85,24.43,23.77,24.23,23.8,0.43,1.81,309519.82,745611.279
601229.SH,20161222,24.03,24.15,23.89,24.01,24.23,-0.22,-0.91,175379.27,420802.512
601229.SH,20161223,23.99,23.99,23.53,23.54,24.01,-0.47,-1.96,205289.49,486712.79
601229.SH,20161226,23.39,23.65,23.09,23.6,23.54,0.06,0.25,197613.36,460557.464
601229.SH,20161227,23.5,23.57,23.35,23.38,23.6,-0.22,-0.93,128798.7,301868.895
601229.SH,20161228,23.41,23.45,23.15,23.19,23.38,-0.19,-0.81,125454.7,291990.553
601229.SH,20161229,23.21,23.48,23.2,23.24,23.19,0.05,0.22,149147.78,347759.067
601229.SH,20161230,23.25,23.38,23.23,23.28,23.24,0.04,0.17,109938.94,256020.561
601229.SH,20170103,23.33,23.78,23.31,23.59,23.28,0.31,1.33,206449.85,487160.268
601229.SH,20170104,23.59,23.8,23.55,23.72,23.59,0.13,0.55,177302.03,420003.571
601229.SH,20170105,23.74,23.76,23.47,23.5,23.72,-0.22,-0.93,179996.21,424105.637
601229.SH,20170106,23.45,23.56,23.12,23.16,23.5,-0.34,-1.45,209388.54,487582.611
601229.SH,20170109,23.12,23.3,23.08,23.24,23.16,0.08,0.35,121813.3,282702.131
601229.SH,20170110,23.23,23.23,22.96,22.98,23.24,-0.26,-1.12,172796.54,398376.716
601229.SH,20170111,22.91,22.94,22.45,22.54,22.98,-0.44,-1.91,257520.5,584142.777
601229.SH,20170112,22.48,22.61,22.28,22.29,22.54,-0.25,-1.11,158480.49,356016.996
601229.SH,20170113,22.25,22.3,21.9,22.04,22.29,-0.25,-1.12,230619.66,509384.097
601229.SH,20170116,22.05,22.64,21.88,22.42,22.04,0.38,1.72,403416.35,897626.851
