ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
601238.SH,20150105,8.71,9.09,8.71,9.01,8.68,0.33,3.8,347881.87,311177.083
601238.SH,20150106,8.95,9.45,8.9,9.14,9.01,0.13,1.44,513064.29,473864.622
601238.SH,20150107,9.1,9.13,8.91,9.08,9.14,-0.06,-0.66,199489.88,179937.845
601238.SH,20150108,9.1,9.15,8.85,8.91,9.08,-0.17,-1.87,154953.77,138903.282
601238.SH,20150109,8.88,9.0,8.66,8.67,8.91,-0.24,-2.69,244207.79,216872.602
601238.SH,20150112,8.62,8.63,8.36,8.46,8.67,-0.21,-2.42,153962.85,130718.377
601238.SH,20150113,8.51,8.56,8.43,8.53,8.46,0.07,0.83,77542.21,65911.863
601238.SH,20150114,8.5,8.58,8.39,8.42,8.53,-0.11,-1.29,87646.48,74588.884
601238.SH,20150115,8.42,8.57,8.42,8.56,8.42,0.14,1.66,76071.62,64839.336
601238.SH,20150116,8.55,8.63,8.5,8.55,8.56,-0.01,-0.12,137421.0,117695.123
601238.SH,20150119,8.36,8.36,7.8,8.01,8.55,-0.54,-6.32,168952.47,138527.469
601238.SH,20150120,8.05,8.23,8.03,8.21,8.01,0.2,2.5,91013.1,74116.172
601238.SH,20150121,8.21,8.4,8.17,8.38,8.21,0.17,2.07,127134.66,105489.991
601238.SH,20150122,8.38,8.42,8.3,8.39,8.38,0.01,0.12,113828.24,95185.054
601238.SH,20150123,8.4,8.43,8.28,8.33,8.39,-0.06,-0.72,88422.47,73889.733
601238.SH,20150126,8.32,8.44,8.3,8.43,8.33,0.1,1.2,85813.99,71877.545
601238.SH,20150127,8.42,8.67,8.42,8.55,8.43,0.12,1.42,158313.69,135316.533
601238.SH,20150128,8.52,8.52,8.38,8.44,8.55,-0.11,-1.29,81223.9,68560.322
601238.SH,20150129,8.38,8.42,8.29,8.32,8.44,-0.12,-1.42,61765.9,51539.896
601238.SH,20150130,8.35,8.44,8.3,8.33,8.32,0.01,0.12,68458.23,57320.744
601238.SH,20150202,8.28,8.29,8.2,8.23,8.33,-0.1,-1.2,62301.0,51339.834
