ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
601399.SH,20200608,6.0,9.59,6.0,6.15,3.32,2.83,85.241,1438772.32,1031993.025
601399.SH,20200609,5.84,5.84,5.84,5.84,6.15,-0.31,-5.0407,38282.0,22356.688
601399.SH,20200610,5.55,5.55,5.55,5.55,5.84,-0.29,-4.9658,7415.0,4115.325
601399.SH,20200611,5.27,5.27,5.27,5.27,5.55,-0.28,-5.045,5642.0,2973.334
601399.SH,20200612,5.01,5.01,5.01,5.01,5.27,-0.26,-4.9336,15245.0,7637.745
601399.SH,20200615,4.76,5.0,4.76,4.76,5.01,-0.25,-4.99,806145.5,386646.43
601399.SH,20200616,4.6,4.64,4.52,4.52,4.76,-0.24,-5.042,599246.35,272363.218
601399.SH,20200617,4.54,4.67,4.5,4.56,4.52,0.04,0.885,421150.1,193165.944
601399.SH,20200618,4.45,4.48,4.34,4.35,4.56,-0.21,-4.6053,441993.24,194069.207
601399.SH,20200619,4.37,4.57,4.33,4.57,4.35,0.22,5.0575,326686.23,145175.882
601399.SH,20200622,4.78,4.78,4.49,4.49,4.57,-0.08,-1.7505,514625.09,238488.245
601399.SH,20200623,4.36,4.71,4.36,4.66,4.49,0.17,3.7862,507974.32,233660.802
601399.SH,20200624,4.59,4.74,4.57,4.6,4.66,-0.06,-1.2876,287463.0,133481.519
601399.SH,20200629,4.56,4.71,4.44,4.63,4.6,0.03,0.6522,249579.81,114624.516
601399.SH,20200630,4.64,4.86,4.59,4.86,4.63,0.23,4.9676,365525.55,176036.587
601399.SH,20200701,4.94,5.1,4.88,5.1,4.86,0.24,4.9383,185981.21,93787.662
601399.SH,20200702,5.31,5.36,5.25,5.36,5.1,0.26,5.098,108642.34,57757.396
601399.SH,20200703,5.58,5.63,5.09,5.18,5.36,-0.18,-3.3582,687889.43,362509.2
601399.SH,20200706,5.18,5.38,5.07,5.19,5.18,0.01,0.1931,441114.41,229763.595
601399.SH,20200707,5.2,5.22,5.05,5.1,5.19,-0.09,-1.7341,385777.84,197206.568
601399.SH,20200708,5.1,5.36,5.06,5.36,5.1,0.26,5.098,272583.78,143283.306
601399.SH,20200709,5.5,5.58,5.28,5.39,5.36,0.03,0.5597,478911.48,259362.969
601399.SH,20200710,5.38,5.45,5.29,5.34,5.39,-0.05,-0.9276,236377.75,126652.335
601399.SH,20200713,5.35,5.6,5.35,5.5,5.34,0.16,2.9963,300398.67,165016.89
601399.SH,20200714,5.5,5.78,5.42,5.78,5.5,0.28,5.0909,433799.16,244966.261
601399.SH,20200715,5.81,6.07,5.68,5.7,5.78,-0.08,-1.3841,539087.13,318914.078
601399.SH,20200716,5.61,5.65,5.42,5.42,5.7,-0.28,-4.9123,328383.02,180371.985
601399.SH,20200717,5.33,5.36,5.16,5.22,5.42,-0.2,-3.69,248400.37,130414.132
601399.SH,20200720,5.26,5.38,5.22,5.37,5.22,0.15,2.8736,182099.37,96796.271
601399.SH,20200721,5.35,5.38,5.23,5.25,5.37,-0.12,-2.2346,181059.47,95600.941
601399.SH,20200722,5.22,5.3,5.19,5.21,5.25,-0.04,-0.7619,165380.36,86709.76
601399.SH,20200723,5.15,5.18,4.95,5.01,5.21,-0.2,-3.8388,271161.28,136488.788
601399.SH,20200724,4.97,5.13,4.81,4.87,5.01,-0.14,-2.7944,210552.3,104839.459
601399.SH,20200727,4.88,5.11,4.83,5.11,4.87,0.24,4.9281,157977.85,78694.575
601399.SH,20200728,5.18,5.32,5.09,5.23,5.11,0.12,2.3483,241496.45,125516.512
601399.SH,20200729,5.17,5.27,5.14,5.25,5.23,0.02,0.3824,148996.96,77841.159
601399.SH,20200730,5.26,5.4,5.19,5.19,5.25,-0.06,-1.1429,172977.07,91524.946
601399.SH,20200731,5.12,5.23,5.07,5.15,5.19,-0.04,-0.7707,173484.01,89220.542
601399.SH,20200803,5.14,5.24,5.13,5.19,5.15,0.04,0.7767,149936.36,77683.241
601399.SH,20200804,5.2,5.22,5.08,5.09,5.19,-0.1,-1.9268,151000.23,77428.648
601399.SH,20200805,5.05,5.3,5.03,5.19,5.09,0.1,1.9646,180847.87,93433.703
601399.SH,20200806,5.15,5.18,5.09,5.13,5.19,-0.06,-1.1561,115420.87,59130.006
601399.SH,20200807,5.13,5.16,5.03,5.07,5.13,-0.06,-1.1696,111232.41,56478.108
601399.SH,20200810,5.07,5.21,5.03,5.11,5.07,0.04,0.789,111018.68,56936.439
601399.SH,20200811,5.12,5.29,5.09,5.19,5.11,0.08,1.5656,190102.53,98453.958
601399.SH,20200812,5.13,5.45,5.11,5.45,5.19,0.26,5.0096,344367.93,182952.631
601399.SH,20200813,5.37,5.46,5.27,5.3,5.45,-0.15,-2.7523,243173.73,130706.979
601399.SH,20200814,5.32,5.48,5.27,5.38,5.3,0.08,1.5094,170916.41,91640.836
601399.SH,20200817,5.33,5.46,5.33,5.38,5.38,0.0,0.0,171947.08,92487.014
601399.SH,20200818,5.39,5.44,5.3,5.32,5.38,-0.06,-1.1152,146171.27,78280.863
601399.SH,20200819,5.3,5.3,5.16,5.17,5.32,-0.15,-2.8195,163356.76,85292.27
601399.SH,20200820,5.12,5.21,5.11,5.14,5.17,-0.03,-0.5803,90856.6,46821.316
601399.SH,20200821,5.14,5.2,5.14,5.16,5.14,0.02,0.3891,73115.34,37788.395
601399.SH,20200824,5.19,5.37,5.15,5.25,5.16,0.09,1.7442,131080.73,68923.07
601399.SH,20200825,5.24,5.29,5.16,5.18,5.25,-0.07,-1.3333,118268.42,61540.485
601399.SH,20200826,4.96,5.09,4.92,4.92,5.18,-0.26,-5.0193,241947.39,119993.334
601399.SH,20200827,4.88,4.88,4.67,4.7,4.92,-0.22,-4.4715,200699.32,95065.289
601399.SH,20200828,4.68,4.81,4.67,4.77,4.7,0.07,1.4894,108259.19,51288.971
601399.SH,20200831,4.77,4.79,4.73,4.74,4.77,-0.03,-0.6289,85603.26,40724.899
601399.SH,20200901,4.74,4.74,4.56,4.62,4.74,-0.12,-2.5316,138974.54,64428.725
601399.SH,20200902,4.63,4.64,4.49,4.51,4.62,-0.11,-2.381,159364.46,72299.541
601399.SH,20200903,4.52,4.64,4.48,4.6,4.51,0.09,1.9956,124443.96,56877.57
601399.SH,20200904,4.52,4.58,4.5,4.58,4.6,-0.02,-0.4348,79646.03,36180.402
601399.SH,20200907,4.56,4.76,4.53,4.64,4.58,0.06,1.31,127490.19,59168.478
601399.SH,20200908,4.63,4.65,4.56,4.61,4.64,-0.03,-0.6466,88704.29,40825.772
601399.SH,20200909,4.56,4.59,4.46,4.48,4.61,-0.13,-2.82,114718.41,51800.385
601399.SH,20200910,4.5,4.53,4.36,4.4,4.48,-0.08,-1.7857,105192.31,46705.561
601399.SH,20200911,4.36,4.47,4.34,4.44,4.4,0.04,0.9091,79160.83,34895.766
601399.SH,20200914,4.45,4.47,4.4,4.41,4.44,-0.03,-0.6757,65741.88,29135.159
601399.SH,20200915,4.41,4.47,4.41,4.42,4.41,0.01,0.2268,55598.57,24637.946
601399.SH,20200916,4.42,4.53,4.41,4.49,4.42,0.07,1.5837,97508.53,43717.474
601399.SH,20200917,4.49,4.52,4.46,4.48,4.49,-0.01,-0.2227,65890.43,29499.961
601399.SH,20200918,4.49,4.5,4.45,4.49,4.48,0.01,0.2232,56795.92,25445.183
601399.SH,20200921,4.5,4.5,4.43,4.44,4.49,-0.05,-1.1136,68553.47,30590.732
601399.SH,20200922,4.41,4.41,4.34,4.35,4.44,-0.09,-2.027,76706.2,33556.687
601399.SH,20200923,4.37,4.37,4.34,4.36,4.35,0.01,0.2299,42625.35,18572.563
601399.SH,20200924,4.34,4.34,4.14,4.14,4.36,-0.22,-5.0459,171966.64,72101.761
601399.SH,20200925,4.12,4.17,3.98,3.99,4.14,-0.15,-3.6232,139851.08,56395.332
601399.SH,20200928,4.01,4.01,3.8,3.82,3.99,-0.17,-4.2607,112840.93,43906.126
601399.SH,20200929,3.8,3.93,3.79,3.85,3.82,0.03,0.7853,79421.54,30588.618
601399.SH,20200930,3.85,3.86,3.81,3.82,3.85,-0.03,-0.7792,47294.28,18132.37
601399.SH,20201009,3.84,3.93,3.84,3.91,3.82,0.09,2.356,52834.94,20575.852
601399.SH,20201012,3.92,3.98,3.89,3.95,3.91,0.04,1.023,79076.25,31187.712
601399.SH,20201013,3.95,3.95,3.89,3.91,3.95,-0.04,-1.0127,66180.0,25897.421
601399.SH,20201014,3.91,4.04,3.91,3.96,3.91,0.05,1.2788,82490.69,32846.516
601399.SH,20201015,3.95,3.96,3.89,3.91,3.96,-0.05,-1.2626,56885.09,22271.993
601399.SH,20201016,3.9,3.94,3.87,3.9,3.91,-0.01,-0.2558,38841.8,15156.338
601399.SH,20201019,3.91,3.95,3.9,3.93,3.9,0.03,0.7692,50468.21,19795.43
601399.SH,20201020,3.91,3.93,3.89,3.92,3.93,-0.01,-0.2545,41899.52,16370.115
601399.SH,20201021,3.92,3.93,3.84,3.85,3.92,-0.07,-1.7857,51810.61,20068.855
601399.SH,20201022,3.84,3.84,3.8,3.81,3.85,-0.04,-1.039,53187.69,20260.253
601399.SH,20201023,3.81,3.85,3.79,3.82,3.81,0.01,0.2625,50677.77,19349.211
601399.SH,20201026,3.85,4.01,3.82,4.01,3.82,0.19,4.9738,91084.92,36239.584
601399.SH,20201027,4.05,4.14,3.94,3.94,4.01,-0.07,-1.7456,176916.74,71463.041
601399.SH,20201028,3.96,4.09,3.94,4.01,3.94,0.07,1.7766,141189.84,56588.024
601399.SH,20201029,3.96,3.97,3.91,3.93,4.01,-0.08,-1.995,84681.23,33298.655
601399.SH,20201030,3.93,3.98,3.88,3.91,3.93,-0.02,-0.5089,87351.41,34228.867
601399.SH,20201102,3.9,3.96,3.84,3.85,3.91,-0.06,-1.5345,69100.4,26810.406
601399.SH,20201103,3.87,3.92,3.82,3.92,3.85,0.07,1.8182,61205.36,23720.156
601399.SH,20201104,3.92,3.97,3.87,3.9,3.92,-0.02,-0.5102,55503.23,21714.205
601399.SH,20201105,3.93,4.06,3.93,4.0,3.9,0.1,2.5641,134473.04,53673.589
601399.SH,20201106,3.97,4.09,3.96,4.0,4.0,0.0,0.0,149297.62,60001.242
601399.SH,20201109,4.0,4.08,4.0,4.02,4.0,0.02,0.5,161366.41,65018.006
601399.SH,20201110,4.02,4.03,3.97,3.98,4.02,-0.04,-0.995,101339.8,40459.677
601399.SH,20201111,3.97,4.02,3.94,3.99,3.98,0.01,0.2513,92444.0,36721.249
601399.SH,20201112,4.01,4.17,3.98,4.09,3.99,0.1,2.5063,267476.29,109415.582
601399.SH,20201113,4.07,4.27,4.06,4.18,4.09,0.09,2.2005,261699.5,108966.837
601399.SH,20201116,4.18,4.28,4.14,4.16,4.18,-0.02,-0.4785,191792.56,80451.983
601399.SH,20201117,4.14,4.15,4.04,4.07,4.16,-0.09,-2.1635,169610.17,69228.825
601399.SH,20201118,4.06,4.15,4.03,4.1,4.07,0.03,0.7371,111335.02,45577.416
601399.SH,20201119,4.12,4.12,4.06,4.06,4.1,-0.04,-0.9756,96291.82,39263.029
601399.SH,20201120,4.08,4.08,4.02,4.07,4.06,0.01,0.2463,92651.0,37504.256
601399.SH,20201123,4.07,4.11,4.04,4.09,4.07,0.02,0.4914,100817.93,41094.312
601399.SH,20201124,4.08,4.11,4.06,4.06,4.09,-0.03,-0.7335,76322.4,31071.255
601399.SH,20201125,4.07,4.08,4.02,4.03,4.06,-0.03,-0.7389,85749.4,34683.364
601399.SH,20201126,4.02,4.11,4.0,4.07,4.03,0.04,0.9926,99414.4,40214.015
601399.SH,20201127,4.06,4.09,4.03,4.07,4.07,0.0,0.0,73738.52,29946.561
601399.SH,20201130,4.07,4.15,4.07,4.1,4.07,0.03,0.7371,124129.2,51039.488
601399.SH,20201201,4.09,4.13,4.08,4.1,4.1,0.0,0.0,100552.22,41264.839
601399.SH,20201202,4.1,4.13,4.07,4.11,4.1,0.01,0.2439,99802.02,40887.477
601399.SH,20201203,4.11,4.11,4.05,4.06,4.11,-0.05,-1.2165,84820.8,34643.733
601399.SH,20201204,4.05,4.09,4.04,4.05,4.06,-0.01,-0.2463,78201.0,31752.722
601399.SH,20201207,4.05,4.05,3.97,3.97,4.05,-0.08,-1.9753,123313.02,49459.76
601399.SH,20201208,3.97,4.0,3.95,3.97,3.97,0.0,0.0,60728.0,24105.749
601399.SH,20201209,3.99,4.02,3.94,3.95,3.97,-0.02,-0.5038,67326.29,26800.535
601399.SH,20201210,3.95,3.95,3.89,3.91,3.95,-0.04,-1.0127,67498.61,26416.009
601399.SH,20201211,3.91,3.95,3.81,3.86,3.91,-0.05,-1.2788,98291.66,38042.382
601399.SH,20201214,3.86,3.89,3.83,3.87,3.86,0.01,0.2591,50933.58,19665.455
601399.SH,20201215,3.88,3.99,3.86,3.92,3.87,0.05,1.292,82193.73,32277.841
601399.SH,20201216,3.9,3.92,3.81,3.83,3.92,-0.09,-2.2959,83315.99,32121.275
601399.SH,20201217,3.82,3.84,3.64,3.73,3.83,-0.1,-2.611,151120.21,56015.779
601399.SH,20201218,3.73,3.82,3.72,3.76,3.73,0.03,0.8043,64513.22,24292.378
601399.SH,20201221,3.75,3.8,3.73,3.78,3.76,0.02,0.5319,54438.81,20525.144
601399.SH,20201222,3.76,3.83,3.74,3.76,3.78,-0.02,-0.5291,70960.39,26821.87
601399.SH,20201223,3.74,3.79,3.74,3.76,3.76,0.0,0.0,51124.4,19199.255
601399.SH,20201224,3.76,3.77,3.7,3.7,3.76,-0.06,-1.5957,68784.48,25646.035
601399.SH,20201225,3.77,3.89,3.76,3.89,3.7,0.19,5.1351,58069.15,22363.126
601399.SH,20201228,3.95,3.99,3.85,3.86,3.89,-0.03,-0.7712,140199.97,54782.745
601399.SH,20201229,3.84,3.87,3.8,3.82,3.86,-0.04,-1.0363,82989.61,31709.874
601399.SH,20201230,3.81,3.84,3.8,3.8,3.82,-0.02,-0.5236,52462.03,20010.422
601399.SH,20201231,3.81,3.99,3.81,3.99,3.8,0.19,5.0,200398.55,79239.721
601399.SH,20210104,3.91,4.01,3.9,3.96,3.99,-0.03,-0.7519,176033.76,69660.922
601399.SH,20210105,3.94,4.0,3.89,3.89,3.96,-0.07,-1.7677,131013.88,51600.855
601399.SH,20210106,3.89,3.95,3.86,3.91,3.89,0.02,0.5141,93997.13,36670.89
601399.SH,20210107,3.9,3.91,3.72,3.76,3.91,-0.15,-3.8363,145213.85,55314.645
601399.SH,20210108,3.78,3.86,3.65,3.81,3.76,0.05,1.3298,87289.26,32749.143
601399.SH,20210111,3.81,3.84,3.7,3.72,3.81,-0.09,-2.3622,77582.89,29241.434
601399.SH,20210112,3.72,3.76,3.7,3.75,3.72,0.03,0.8065,45889.45,17108.99
