ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
601668.SH,20150105,7.38,7.57,7.19,7.34,7.28,0.06,0.82,11453479.77,8477409.016
601668.SH,20150106,7.19,7.28,6.92,7.07,7.34,-0.27,-3.68,11650559.39,8261142.049
601668.SH,20150107,7.08,7.2,7.03,7.1,7.07,0.03,0.42,6776836.58,4815422.821
601668.SH,20150108,7.04,7.08,6.62,6.66,7.1,-0.44,-6.2,8796063.34,5963859.976
601668.SH,20150109,6.65,6.99,6.53,6.65,6.66,-0.01,-0.15,8995626.96,6092542.914
601668.SH,20150112,6.58,6.6,6.3,6.36,6.65,-0.29,-4.36,6354708.96,4090993.783
601668.SH,20150113,6.31,6.44,6.28,6.32,6.36,-0.04,-0.63,3994551.88,2535445.638
601668.SH,20150114,6.39,6.44,6.24,6.32,6.32,0.0,0.0,3823359.93,2426713.857
601668.SH,20150115,6.35,6.66,6.27,6.65,6.32,0.33,5.22,6270009.76,4067816.61
601668.SH,20150116,6.65,6.87,6.6,6.68,6.65,0.03,0.45,5907853.65,3973755.67
601668.SH,20150119,6.2,6.38,6.01,6.01,6.68,-0.67,-10.03,7567303.75,4649268.019
601668.SH,20150120,5.95,6.17,5.92,6.02,6.01,0.01,0.17,6693907.26,4044815.492
601668.SH,20150121,6.04,6.32,5.93,6.28,6.02,0.26,4.32,7891696.91,4837722.767
601668.SH,20150122,6.27,6.3,6.13,6.22,6.28,-0.06,-0.96,4800158.29,2982591.429
601668.SH,20150123,6.23,6.39,6.18,6.23,6.22,0.01,0.16,5834028.45,3666946.572
601668.SH,20150126,6.23,6.24,6.12,6.21,6.23,-0.02,-0.32,3124551.08,1928397.484
601668.SH,20150127,6.27,6.44,6.2,6.39,6.21,0.18,2.9,7858720.86,4970932.554
601668.SH,20150128,6.3,6.37,6.2,6.22,6.39,-0.17,-2.66,4565679.57,2863663.827
601668.SH,20150129,6.12,6.2,6.05,6.1,6.22,-0.12,-1.93,3444868.84,2106488.214
601668.SH,20150130,6.12,6.17,5.86,5.88,6.1,-0.22,-3.61,4791890.52,2866029.705
601668.SH,20150202,5.69,5.69,5.52,5.53,5.88,-0.35,-5.95,4615250.61,2587513.383
601668.SH,20150203,5.6,5.98,5.53,5.9,5.53,0.37,6.69,5518525.16,3155719.386
601668.SH,20150204,5.87,6.0,5.81,5.84,5.9,-0.06,-1.02,4294557.58,2529956.944
601668.SH,20150205,6.0,6.06,5.61,5.62,5.84,-0.22,-3.77,4180965.46,2445147.929
601668.SH,20150206,5.6,5.73,5.45,5.53,5.62,-0.09,-1.6,3587552.29,2008446.717
601668.SH,20150209,5.52,5.74,5.5,5.62,5.53,0.09,1.63,3429847.56,1926704.76
601668.SH,20150210,5.6,5.83,5.55,5.8,5.62,0.18,3.2,3557870.24,2041841.851
601668.SH,20150211,5.8,5.95,5.78,5.8,5.8,0.0,0.0,2379892.11,1393266.454
601668.SH,20150212,5.8,5.9,5.74,5.85,5.8,0.05,0.86,2350701.92,1371847.413
601668.SH,20150213,5.9,6.02,5.79,5.91,5.85,0.06,1.03,4012682.36,2384716.272
601668.SH,20150216,5.94,6.07,5.89,6.02,5.91,0.11,1.86,3289578.52,1975779.059
601668.SH,20150217,6.04,6.05,5.97,6.0,6.02,-0.02,-0.33,2698702.78,1621888.88
