ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
601678.SH,20150105,10.4,10.83,10.31,10.72,10.39,0.33,3.18,256842.53,272754.585
601678.SH,20150106,10.65,11.06,10.53,11.0,10.72,0.28,2.61,270642.48,293536.72
601678.SH,20150107,10.89,10.99,10.65,10.9,11.0,-0.1,-0.91,201192.57,217418.634
601678.SH,20150108,10.81,11.08,10.6,10.61,10.9,-0.29,-2.66,192517.47,208318.078
601678.SH,20150109,10.58,10.76,10.4,10.43,10.61,-0.18,-1.7,154457.7,163703.467
601678.SH,20150112,10.34,10.34,9.89,9.99,10.43,-0.44,-4.22,184718.65,186306.625
601678.SH,20150113,9.89,10.1,9.87,10.02,9.99,0.03,0.3,84692.82,84689.987
601678.SH,20150114,10.0,10.15,9.85,9.92,10.02,-0.1,-1.0,89945.91,90056.666
601678.SH,20150115,9.96,10.18,9.96,10.16,9.92,0.24,2.42,96680.5,97613.397
601678.SH,20150116,10.17,10.27,10.09,10.16,10.16,0.0,0.0,93735.17,95343.997
601678.SH,20150119,9.82,10.0,9.37,9.52,10.16,-0.64,-6.3,172358.45,168254.893
601678.SH,20150120,9.55,9.83,9.55,9.83,9.52,0.31,3.26,119733.42,116267.327
601678.SH,20150121,9.86,10.13,9.85,10.09,9.83,0.26,2.65,118268.81,118672.978
601678.SH,20150122,10.1,10.26,10.06,10.22,10.09,0.13,1.29,98538.01,100028.071
601678.SH,20150123,10.23,10.26,10.03,10.12,10.22,-0.1,-0.98,91795.57,92857.545
601678.SH,20150126,10.08,10.45,10.07,10.42,10.12,0.3,2.96,133954.05,137858.736
601678.SH,20150127,10.4,10.55,10.25,10.43,10.42,0.01,0.1,155611.15,161850.888
601678.SH,20150128,10.37,10.65,10.32,10.45,10.43,0.02,0.19,148384.47,155758.214
601678.SH,20150129,10.38,10.51,10.3,10.37,10.45,-0.08,-0.77,99827.26,103696.398
601678.SH,20150130,10.36,10.7,10.36,10.41,10.37,0.04,0.39,172169.57,181425.128
601678.SH,20150202,10.31,10.65,9.98,10.6,10.41,0.19,1.83,138913.2,144463.482
601678.SH,20150203,10.58,10.73,10.49,10.64,10.6,0.04,0.38,114271.42,121229.199
601678.SH,20150204,10.62,10.65,10.34,10.34,10.64,-0.3,-2.82,114571.97,120028.23
601678.SH,20150205,10.45,10.55,10.31,10.32,10.34,-0.02,-0.19,108806.0,113325.479
601678.SH,20150206,10.32,10.4,9.95,10.02,10.32,-0.3,-2.91,128382.18,130227.488
601678.SH,20150209,10.02,10.13,9.99,10.04,10.02,0.02,0.2,61060.79,61412.353
601678.SH,20150210,10.05,10.13,10.01,10.13,10.04,0.09,0.9,67028.64,67542.377
601678.SH,20150211,10.13,10.17,10.05,10.13,10.13,0.0,0.0,57433.22,58110.91
601678.SH,20150212,10.15,10.48,10.11,10.46,10.13,0.33,3.26,107675.51,111182.018
601678.SH,20150213,10.52,10.8,10.43,10.77,10.46,0.31,2.96,162686.64,171918.207
601678.SH,20150216,10.79,10.97,10.72,10.92,10.77,0.15,1.39,209361.28,227842.832
601678.SH,20150217,11.19,11.27,10.71,10.75,10.92,-0.17,-1.56,228511.14,250394.733
601678.SH,20150225,10.79,11.06,10.67,10.92,10.75,0.17,1.58,155823.56,169893.071
601678.SH,20150226,11.01,11.5,11.0,11.47,10.92,0.55,5.04,281384.01,319296.688
601678.SH,20150227,11.43,11.73,11.3,11.39,11.47,-0.08,-0.7,221619.53,255504.225
601678.SH,20150302,11.4,11.58,11.34,11.54,11.39,0.15,1.32,156271.9,179137.653
601678.SH,20150303,11.54,11.69,11.35,11.45,11.54,-0.09,-0.78,166967.27,192054.209
601678.SH,20150304,11.43,11.52,11.24,11.37,11.45,-0.08,-0.7,141328.23,160425.464
601678.SH,20150305,11.37,11.52,11.2,11.5,11.37,0.13,1.14,120947.0,136959.705
601678.SH,20150306,11.52,11.62,11.31,11.38,11.5,-0.12,-1.04,99183.6,113422.333
601678.SH,20150309,11.37,11.5,11.26,11.5,11.38,0.12,1.05,128885.36,147133.384
601678.SH,20150310,11.65,12.29,11.65,12.08,11.5,0.58,5.04,295059.73,355839.557
601678.SH,20150311,11.96,12.18,11.85,11.98,12.08,-0.1,-0.83,147316.05,176757.625
601678.SH,20150312,11.98,12.22,11.9,12.1,11.98,0.12,1.0,114405.33,137613.761
601678.SH,20150313,12.12,12.2,11.95,12.09,12.1,-0.01,-0.08,100962.77,121696.942
601678.SH,20150316,12.14,12.47,12.02,12.39,12.09,0.3,2.48,204728.84,251507.4
601678.SH,20150317,12.52,12.58,12.27,12.35,12.39,-0.04,-0.32,215243.4,266837.072
601678.SH,20150318,12.36,12.45,12.15,12.44,12.35,0.09,0.73,246845.23,304021.902
601678.SH,20150319,12.44,12.64,12.31,12.58,12.44,0.14,1.13,183289.2,228843.049
601678.SH,20150320,12.55,12.6,12.41,12.5,12.58,-0.08,-0.64,139150.23,173836.167
601678.SH,20150323,12.57,12.93,12.49,12.88,12.5,0.38,3.04,211632.35,269797.7
601678.SH,20150324,12.87,13.12,12.37,12.81,12.88,-0.07,-0.54,250767.56,320458.652
601678.SH,20150325,12.79,12.84,12.52,12.68,12.81,-0.13,-1.01,187614.06,237385.788
601678.SH,20150326,12.63,12.88,12.52,12.7,12.68,0.02,0.16,153778.56,195282.313
601678.SH,20150327,12.7,12.85,12.61,12.8,12.7,0.1,0.79,115256.68,146700.581
601678.SH,20150330,12.81,13.15,12.8,12.98,12.8,0.18,1.41,187855.32,243780.003
601678.SH,20150331,13.02,13.47,12.9,13.26,12.98,0.28,2.16,246911.41,325080.178
601678.SH,20150401,13.27,14.02,13.27,13.92,13.26,0.66,4.98,262834.76,359858.89
601678.SH,20150402,13.96,14.09,13.64,13.9,13.92,-0.02,-0.14,226501.3,313167.748
601678.SH,20150403,13.78,14.97,13.72,14.86,13.9,0.96,6.91,335132.69,482767.126
601678.SH,20150407,14.86,15.45,14.82,15.36,14.86,0.5,3.36,298487.41,453693.964
601678.SH,20150408,15.81,16.2,15.3,15.51,15.36,0.15,0.98,442038.95,693079.803
601678.SH,20150409,15.51,15.54,14.0,14.92,15.51,-0.59,-3.8,334753.8,495261.21
601678.SH,20150410,14.7,15.79,14.62,15.78,14.92,0.86,5.76,249016.86,383351.089
601678.SH,20150413,16.06,16.2,15.64,15.8,15.78,0.02,0.13,286520.83,455804.869
601678.SH,20150414,15.74,15.75,15.25,15.47,15.8,-0.33,-2.09,250930.93,388570.791
601678.SH,20150415,10.32,10.78,9.97,10.07,10.2,-0.13,-1.27,235088.8,243200.97
601678.SH,20150416,9.3,9.98,9.2,9.81,10.07,-0.26,-2.58,346748.69,333708.682
601678.SH,20150417,9.85,9.92,9.51,9.62,9.81,-0.19,-1.94,362282.7,350416.036
601678.SH,20150420,9.5,9.52,9.0,9.04,9.62,-0.58,-6.03,444066.95,413404.417
601678.SH,20150421,9.0,9.41,8.99,9.4,9.04,0.36,3.98,276326.66,255199.989
601678.SH,20150422,9.44,9.77,9.44,9.7,9.4,0.3,3.19,370431.73,356687.54
601678.SH,20150423,9.77,9.94,9.45,9.93,9.7,0.23,2.37,453237.49,438085.946
601678.SH,20150424,9.79,9.94,9.63,9.83,9.93,-0.1,-1.01,337614.34,330761.727
601678.SH,20150427,9.86,9.92,9.72,9.79,9.83,-0.04,-0.41,318889.52,312713.876
601678.SH,20150428,9.8,9.8,9.2,9.29,9.79,-0.5,-5.11,384712.09,363181.501
601678.SH,20150429,9.23,9.41,9.14,9.4,9.29,0.11,1.18,210062.92,195849.177
601678.SH,20150430,9.41,9.44,9.25,9.26,9.4,-0.14,-1.49,220286.02,205132.97
601678.SH,20150504,9.28,9.35,9.17,9.3,9.26,0.04,0.43,189764.35,175770.911
601678.SH,20150505,9.3,9.32,8.81,8.82,9.3,-0.48,-5.16,263920.48,239776.229
601678.SH,20150506,8.84,9.03,8.64,8.72,8.82,-0.1,-1.13,195664.78,173793.665
601678.SH,20150507,8.66,8.74,8.52,8.54,8.72,-0.18,-2.06,164875.45,142173.72
601678.SH,20150508,8.62,8.84,8.62,8.83,8.54,0.29,3.4,186491.44,162687.615
601678.SH,20150511,8.92,9.27,8.84,9.26,8.83,0.43,4.87,264983.47,240368.532
601678.SH,20150512,9.3,9.36,9.16,9.27,9.26,0.01,0.11,250543.79,231764.287
601678.SH,20150513,9.23,9.43,9.16,9.33,9.27,0.06,0.65,278080.02,258447.054
601678.SH,20150514,9.33,9.35,9.19,9.24,9.33,-0.09,-0.96,201119.14,186144.433
601678.SH,20150515,9.24,9.24,8.91,8.98,9.24,-0.26,-2.81,210020.83,189695.973
601678.SH,20150518,8.86,9.04,8.83,8.98,8.98,0.0,0.0,159522.31,142981.382
601678.SH,20150519,8.98,9.33,8.98,9.29,8.98,0.31,3.45,270605.15,249691.169
601678.SH,20150520,9.34,9.6,9.29,9.39,9.29,0.1,1.08,397764.91,376430.727
601678.SH,20150521,9.37,9.87,9.35,9.82,9.39,0.43,4.58,482394.07,463366.265
601678.SH,20150522,9.85,10.18,9.61,10.09,9.82,0.27,2.75,726686.45,718245.285
601678.SH,20150525,10.04,10.58,9.95,10.5,10.09,0.41,4.06,707898.48,729246.835
601678.SH,20150526,10.55,10.77,10.32,10.66,10.5,0.16,1.52,764750.45,809167.127
601678.SH,20150527,10.61,10.7,10.34,10.59,10.66,-0.07,-0.66,560405.45,589275.523
601678.SH,20150528,10.53,10.95,9.7,9.82,10.59,-0.77,-7.27,663705.05,696050.296
601678.SH,20150529,9.74,9.99,9.28,9.76,9.82,-0.06,-0.61,386787.72,375587.055
601678.SH,20150601,9.76,10.42,9.69,10.4,9.76,0.64,6.56,392167.73,394957.924
601678.SH,20150602,10.35,10.77,10.28,10.76,10.4,0.36,3.46,581771.82,612068.371
601678.SH,20150603,10.78,11.19,10.55,11.05,10.76,0.29,2.7,674823.65,734534.323
601678.SH,20150604,11.08,11.17,10.08,10.85,11.05,-0.2,-1.81,581625.18,626000.877
601678.SH,20150605,10.92,11.6,10.88,11.59,10.85,0.74,6.82,866387.43,977294.68
601678.SH,20150608,11.63,11.98,11.3,11.55,11.59,-0.04,-0.35,740421.55,858193.114
601678.SH,20150609,11.48,11.49,11.17,11.39,11.55,-0.16,-1.39,432254.49,489043.245
601678.SH,20150610,11.35,11.6,11.15,11.47,11.39,0.08,0.7,418245.18,478355.472
601678.SH,20150611,11.43,11.96,11.21,11.92,11.47,0.45,3.92,496083.24,571346.033
601678.SH,20150612,12.08,12.28,11.82,11.96,11.92,0.04,0.34,608889.64,733332.696
601678.SH,20150615,11.95,11.99,11.48,11.58,11.96,-0.38,-3.18,523207.76,614355.313
601678.SH,20150616,11.5,11.5,10.9,11.04,11.58,-0.54,-4.66,465355.2,519315.618
601678.SH,20150617,11.03,11.67,10.81,11.52,11.04,0.48,4.35,391392.28,437150.892
601678.SH,20150618,11.34,11.6,11.05,11.07,11.52,-0.45,-3.91,351563.17,400356.873
601678.SH,20150619,10.82,10.92,9.96,9.96,11.07,-1.11,-10.03,400032.53,417045.086
601678.SH,20150623,9.9,10.23,9.12,10.17,9.96,0.21,2.11,319999.28,315848.848
601678.SH,20150624,10.25,10.41,10.08,10.38,10.17,0.21,2.06,333814.02,343397.532
601678.SH,20150625,10.33,10.38,9.6,9.91,10.38,-0.47,-4.53,319396.72,322523.375
601678.SH,20150626,9.6,9.74,8.92,8.92,9.91,-0.99,-9.99,349944.17,323870.673
601678.SH,20150629,9.19,9.25,8.03,8.23,8.92,-0.69,-7.74,418287.75,358070.788
601678.SH,20150630,8.25,9.05,7.66,8.97,8.23,0.74,8.99,415758.37,348489.873
601678.SH,20150701,8.81,9.14,8.15,8.19,8.97,-0.78,-8.7,341005.4,301075.309
601678.SH,20150702,8.32,8.49,7.68,8.0,8.19,-0.19,-2.32,319017.06,259659.969
601678.SH,20150703,7.8,8.26,7.23,7.62,8.0,-0.38,-4.75,342128.86,265067.309
601678.SH,20150706,8.38,8.38,7.16,7.96,7.62,0.34,4.46,416782.04,325552.786
601678.SH,20150707,7.78,7.78,7.16,7.16,7.96,-0.8,-10.05,349940.27,256263.897
601678.SH,20150708,6.44,7.0,6.44,6.55,7.16,-0.61,-8.52,849816.4,569970.186
601678.SH,20150709,6.44,7.21,6.44,7.21,6.55,0.66,10.08,245148.32,172182.771
601678.SH,20150710,7.29,7.93,7.25,7.93,7.21,0.72,9.99,278053.26,217837.406
601678.SH,20150713,8.35,8.72,8.15,8.72,7.93,0.79,9.96,531286.8,452367.703
601678.SH,20150714,8.5,9.0,8.32,8.46,8.72,-0.26,-2.98,505366.88,436042.06
601678.SH,20150715,8.26,8.37,7.61,7.61,8.46,-0.85,-10.05,350719.9,276542.665
601678.SH,20150716,7.61,8.07,7.2,7.92,7.61,0.31,4.07,282514.79,218360.71
601678.SH,20150717,7.95,8.57,7.93,8.49,7.92,0.57,7.2,273904.86,226247.659
601678.SH,20150720,8.43,8.66,8.32,8.45,8.49,-0.04,-0.47,283139.7,240350.157
601678.SH,20150721,8.3,8.8,8.21,8.54,8.45,0.09,1.07,261273.14,222586.392
601678.SH,20150722,8.48,8.65,8.25,8.49,8.54,-0.05,-0.59,206258.07,174656.95
601678.SH,20150723,8.5,8.82,8.48,8.75,8.49,0.26,3.06,384242.16,332999.278
601678.SH,20150724,8.79,8.84,8.51,8.66,8.75,-0.09,-1.03,391273.09,340650.179
601678.SH,20150727,8.59,8.7,7.79,7.79,8.66,-0.87,-10.05,361882.48,302922.383
601678.SH,20150728,7.63,7.87,7.09,7.76,7.79,-0.03,-0.39,318083.95,240614.801
601678.SH,20150729,7.83,8.2,7.56,8.18,7.76,0.42,5.41,206577.85,162050.252
601678.SH,20150730,8.12,8.29,7.88,7.92,8.18,-0.26,-3.18,194387.07,158329.135
601678.SH,20150731,7.92,7.97,7.75,7.83,7.92,-0.09,-1.14,163003.47,127286.542
601678.SH,20150803,7.69,8.11,7.62,8.08,7.83,0.25,3.19,224797.99,173909.973
601678.SH,20150804,8.02,8.44,8.01,8.43,8.08,0.35,4.33,228534.42,188100.269
601678.SH,20150805,8.37,8.58,8.22,8.54,8.43,0.11,1.3,283902.14,238520.228
601678.SH,20150806,8.32,8.62,8.29,8.45,8.54,-0.09,-1.05,245468.99,207267.963
601678.SH,20150807,8.48,8.64,8.42,8.56,8.45,0.11,1.3,253592.6,216586.147
601678.SH,20150810,8.6,8.96,8.49,8.87,8.56,0.31,3.62,378255.73,330833.613
601678.SH,20150811,8.81,8.88,8.7,8.75,8.87,-0.12,-1.35,320126.88,281117.318
601678.SH,20150812,8.69,8.8,8.49,8.5,8.75,-0.25,-2.86,210399.19,182073.754
601678.SH,20150813,8.46,8.73,8.4,8.72,8.5,0.22,2.59,199901.58,171444.639
601678.SH,20150814,8.78,9.02,8.75,8.9,8.72,0.18,2.06,407628.48,362681.311
601678.SH,20150817,9.05,9.47,8.83,9.41,8.9,0.51,5.73,525106.49,479711.144
601678.SH,20150818,9.35,9.39,8.47,8.47,9.41,-0.94,-9.99,396534.61,357759.83
601678.SH,20150819,8.12,8.7,7.89,8.6,8.47,0.13,1.53,271770.67,225325.966
601678.SH,20150820,8.51,8.96,8.46,8.56,8.6,-0.04,-0.47,274357.15,239210.132
601678.SH,20150821,8.39,8.49,7.8,7.87,8.56,-0.69,-8.06,262534.45,213768.823
601678.SH,20150824,7.5,7.7,7.08,7.08,7.87,-0.79,-10.04,208096.69,149366.916
601678.SH,20150825,6.47,6.75,6.37,6.37,7.08,-0.71,-10.03,340317.64,218829.484
601678.SH,20150826,6.5,6.77,6.19,6.35,6.37,-0.02,-0.31,216611.78,140654.472
601678.SH,20150827,6.4,6.72,6.32,6.7,6.35,0.35,5.51,175717.6,115017.502
601678.SH,20150828,6.82,7.12,6.72,7.11,6.7,0.41,6.12,234199.23,161457.245
601678.SH,20150831,7.02,7.02,6.8,6.84,7.11,-0.27,-3.8,147434.16,101426.938
601678.SH,20150901,6.82,6.85,6.3,6.54,6.84,-0.3,-4.39,161202.85,105396.491
601678.SH,20150902,6.36,6.99,6.28,6.86,6.54,0.32,4.89,282936.99,189527.058
601678.SH,20150907,6.86,7.19,6.6,6.7,6.86,-0.16,-2.33,281834.0,195233.106
601678.SH,20150908,6.67,7.05,6.57,7.03,6.7,0.33,4.93,155876.28,106312.723
601678.SH,20150909,7.02,7.33,7.02,7.23,7.03,0.2,2.85,295240.73,211668.752
601678.SH,20150910,7.08,7.17,7.01,7.03,7.23,-0.2,-2.77,126948.74,90017.216
601678.SH,20150911,7.05,7.13,6.87,7.01,7.03,-0.02,-0.28,102801.69,71967.343
601678.SH,20150914,7.05,7.09,6.31,6.32,7.01,-0.69,-9.84,193471.92,127874.841
601678.SH,20150915,6.3,6.47,6.06,6.09,6.32,-0.23,-3.64,139555.07,87540.926
601678.SH,20150916,6.16,6.7,6.06,6.6,6.09,0.51,8.37,176200.72,112026.103
601678.SH,20150917,6.52,6.74,6.35,6.39,6.6,-0.21,-3.18,186799.81,122187.883
601678.SH,20150918,6.46,6.5,6.33,6.41,6.39,0.02,0.31,90547.88,58027.653
601678.SH,20150921,6.35,6.57,6.28,6.56,6.41,0.15,2.34,107250.44,69421.964
601678.SH,20150922,6.55,6.77,6.52,6.65,6.56,0.09,1.37,148794.19,98911.258
601678.SH,20150923,6.56,6.64,6.44,6.46,6.65,-0.19,-2.86,104408.0,68075.131
601678.SH,20150924,6.49,6.64,6.49,6.6,6.46,0.14,2.17,72010.45,47341.005
601678.SH,20150925,6.57,6.65,6.33,6.38,6.6,-0.22,-3.33,88264.75,57046.233
601678.SH,20150928,6.4,6.56,6.32,6.53,6.38,0.15,2.35,66166.49,42727.448
601678.SH,20150929,6.45,6.48,6.3,6.36,6.53,-0.17,-2.6,57735.61,36809.415
601678.SH,20150930,6.41,6.46,6.37,6.41,6.36,0.05,0.79,45341.03,29087.474
601678.SH,20151008,6.63,6.7,6.6,6.68,6.41,0.27,4.21,121395.8,80770.898
601678.SH,20151009,6.7,6.87,6.65,6.82,6.68,0.14,2.1,164277.71,111548.241
601678.SH,20151012,6.92,7.38,6.92,7.28,6.82,0.46,6.74,317875.52,230034.089
601678.SH,20151013,7.24,7.37,7.18,7.32,7.28,0.04,0.55,198783.74,144682.268
601678.SH,20151014,7.26,7.52,7.21,7.37,7.32,0.05,0.68,235431.5,174552.768
601678.SH,20151015,7.45,7.93,7.35,7.89,7.37,0.52,7.06,279822.77,214852.849
601678.SH,20151016,7.88,7.88,7.55,7.77,7.89,-0.12,-1.52,428784.07,329891.77
601678.SH,20151019,7.67,7.82,7.59,7.7,7.77,-0.07,-0.9,244114.15,188006.139
601678.SH,20151020,7.7,7.85,7.63,7.8,7.7,0.1,1.3,212604.22,164774.821
601678.SH,20151021,7.75,7.81,7.15,7.18,7.8,-0.62,-7.95,286968.19,215937.783
601678.SH,20151022,7.2,7.41,7.19,7.41,7.18,0.23,3.2,154287.31,112760.984
601678.SH,20151023,7.44,7.67,7.44,7.64,7.41,0.23,3.1,176985.61,133739.378
601678.SH,20151026,7.75,7.78,7.62,7.69,7.64,0.05,0.65,172100.55,132409.682
601678.SH,20151027,7.65,7.65,7.3,7.58,7.69,-0.11,-1.43,160604.28,120394.693
601678.SH,20151028,7.5,7.64,7.41,7.43,7.58,-0.15,-1.98,137910.1,103708.808
601678.SH,20151029,7.5,7.58,7.36,7.52,7.43,0.09,1.21,119544.61,89528.587
601678.SH,20151030,7.52,7.65,7.38,7.53,7.52,0.01,0.13,101824.45,76635.715
601678.SH,20151102,7.46,7.67,7.39,7.57,7.53,0.04,0.53,123903.02,93729.022
601678.SH,20151103,7.57,7.84,7.55,7.8,7.57,0.23,3.04,229850.54,177722.594
601678.SH,20151104,7.81,8.1,7.74,8.09,7.8,0.29,3.72,308353.62,244322.652
601678.SH,20151105,8.05,8.14,7.84,7.9,8.09,-0.19,-2.35,458036.87,363934.002
601678.SH,20151106,7.9,8.16,7.88,8.02,7.9,0.12,1.52,223565.13,179243.231
601678.SH,20151109,7.92,8.05,7.87,7.9,8.02,-0.12,-1.5,345039.58,274128.996
601678.SH,20151110,7.94,8.05,7.91,7.98,7.9,0.08,1.01,278840.42,222619.492
601678.SH,20151111,8.0,8.01,7.89,8.0,7.98,0.02,0.25,196614.24,156437.14
601678.SH,20151112,7.98,8.14,7.91,8.1,8.0,0.1,1.25,298712.43,239249.83
601678.SH,20151113,8.02,8.08,7.86,7.88,8.1,-0.22,-2.72,224401.83,178586.548
601678.SH,20151116,7.7,7.96,7.66,7.95,7.88,0.07,0.89,131296.65,102558.177
601678.SH,20151117,7.99,8.05,7.92,7.93,7.95,-0.02,-0.25,214252.53,171306.838
601678.SH,20151118,7.94,8.07,7.85,7.9,7.93,-0.03,-0.38,157841.98,125995.241
601678.SH,20151119,7.93,8.01,7.86,8.0,7.9,0.1,1.27,140552.92,111591.07
601678.SH,20151120,7.98,8.13,7.97,8.05,8.0,0.05,0.63,199614.31,160845.694
601678.SH,20151123,8.06,8.14,7.94,7.97,8.05,-0.08,-0.99,201474.48,162320.668
601678.SH,20151124,7.93,7.97,7.82,7.97,7.97,0.0,0.0,142382.56,112475.676
601678.SH,20151125,7.96,8.04,7.9,8.02,7.97,0.05,0.63,146703.41,117063.039
601678.SH,20151126,8.02,8.23,8.02,8.11,8.02,0.09,1.12,316537.18,257232.333
601678.SH,20151127,8.07,8.16,7.41,7.48,8.11,-0.63,-7.77,283658.47,221750.198
601678.SH,20151130,7.51,7.64,7.27,7.58,7.48,0.1,1.34,160333.3,120022.327
601678.SH,20151201,7.58,7.81,7.48,7.72,7.58,0.14,1.85,152561.4,117348.657
601678.SH,20151202,7.73,7.82,7.6,7.8,7.72,0.08,1.04,127839.68,98690.174
601678.SH,20151203,7.79,7.91,7.76,7.9,7.8,0.1,1.28,121236.41,94981.633
601678.SH,20151204,7.9,7.9,7.73,7.77,7.9,-0.13,-1.65,116716.09,91193.523
601678.SH,20151207,7.78,8.05,7.77,8.04,7.77,0.27,3.47,204277.06,161584.128
601678.SH,20151208,7.96,8.0,7.67,7.69,8.04,-0.35,-4.35,221606.97,172977.995
601678.SH,20151209,7.66,7.78,7.55,7.63,7.69,-0.06,-0.78,103340.09,79172.209
601678.SH,20151210,7.59,7.7,7.58,7.65,7.63,0.02,0.26,74194.2,56832.157
601678.SH,20151211,7.65,7.77,7.56,7.71,7.65,0.06,0.78,105135.52,80812.478
601678.SH,20151214,7.66,7.84,7.63,7.83,7.71,0.12,1.56,121674.01,94262.644
601678.SH,20151215,7.82,8.02,7.82,7.98,7.83,0.15,1.92,203314.34,161354.663
601678.SH,20151216,8.03,8.05,7.9,7.94,7.98,-0.04,-0.5,136781.92,108760.213
601678.SH,20151217,7.94,8.1,7.94,8.09,7.94,0.15,1.89,282235.86,226575.076
601678.SH,20151218,8.06,8.09,7.96,7.99,8.09,-0.1,-1.24,146139.72,117055.03
601678.SH,20151221,7.94,8.12,7.91,8.05,7.99,0.06,0.75,225513.6,180800.389
601678.SH,20151222,8.08,8.37,8.01,8.36,8.05,0.31,3.85,333637.84,273947.654
601678.SH,20151223,8.36,8.45,8.23,8.24,8.36,-0.12,-1.44,264793.94,220944.365
601678.SH,20151224,8.24,8.38,8.05,8.17,8.24,-0.07,-0.85,203837.03,166729.93
601678.SH,20151225,8.2,8.25,8.15,8.24,8.17,0.07,0.86,130804.83,107334.788
601678.SH,20151228,8.22,8.32,7.91,7.94,8.24,-0.3,-3.64,201606.43,164477.053
601678.SH,20151229,7.93,8.04,7.87,7.98,7.94,0.04,0.5,137145.93,108976.564
601678.SH,20151230,7.98,8.06,7.91,8.02,7.98,0.04,0.5,122633.42,98258.996
601678.SH,20160105,7.22,7.4,7.22,7.22,8.02,-0.8,-9.98,533453.52,386245.977
601678.SH,20160106,7.05,7.25,6.98,7.22,7.22,0.0,0.0,342734.85,243147.212
601678.SH,20160107,7.08,7.08,6.5,6.5,7.22,-0.72,-9.97,78426.0,53317.73
601678.SH,20160108,6.71,6.75,6.31,6.61,6.5,0.11,1.69,249986.67,163934.831
601678.SH,20160111,6.53,6.53,6.02,6.1,6.61,-0.51,-7.72,181971.03,115268.258
601678.SH,20160112,6.1,6.24,6.05,6.19,6.1,0.09,1.48,113601.12,69918.296
601678.SH,20160113,6.21,6.28,6.0,6.02,6.19,-0.17,-2.75,122665.8,75610.341
601678.SH,20160114,5.9,6.18,5.85,6.17,6.02,0.15,2.49,127247.5,76743.552
601678.SH,20160115,6.17,6.21,5.87,5.94,6.17,-0.23,-3.73,125330.5,75964.726
601678.SH,20160118,5.84,6.07,5.8,5.99,5.94,0.05,0.84,83786.48,50032.563
601678.SH,20160119,6.0,6.24,5.92,6.19,5.99,0.2,3.34,125564.73,76616.686
601678.SH,20160120,6.15,6.2,6.01,6.1,6.19,-0.09,-1.45,116751.04,71369.156
601678.SH,20160121,6.0,6.18,5.98,5.99,6.1,-0.11,-1.8,107312.51,65234.419
