ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
601778.SH,20200519,5.24,6.29,5.24,6.29,4.37,1.92,43.9359,34197.68,21432.956
601778.SH,20200520,6.92,6.92,6.92,6.92,6.29,0.63,10.0159,11697.45,8094.635
601778.SH,20200521,7.61,7.61,7.61,7.61,6.92,0.69,9.9711,12855.24,9782.838
601778.SH,20200522,8.37,8.37,8.37,8.37,7.61,0.76,9.9869,174961.5,146442.776
601778.SH,20200525,8.2,9.01,7.53,8.8,8.37,0.43,5.1374,3612986.03,2893414.778
601778.SH,20200526,8.3,9.47,8.07,8.9,8.8,0.1,1.1364,2914555.58,2562939.148
601778.SH,20200527,8.8,9.79,8.73,9.79,8.9,0.89,10.0,1942580.75,1836445.605
601778.SH,20200528,10.11,10.56,9.51,10.1,9.79,0.31,3.1665,3424859.72,3443244.007
601778.SH,20200529,9.93,10.45,9.66,9.9,10.1,-0.2,-1.9802,2350880.38,2365916.617
601778.SH,20200601,9.61,9.9,9.0,9.53,9.9,-0.37,-3.7374,2083265.67,1968042.088
601778.SH,20200602,9.44,10.08,9.43,9.65,9.53,0.12,1.2592,1776308.69,1728854.504
601778.SH,20200603,9.46,9.57,9.2,9.28,9.65,-0.37,-3.8342,1478872.06,1378042.04
601778.SH,20200604,9.35,9.4,8.68,8.73,9.28,-0.55,-5.9267,1553755.57,1386042.938
601778.SH,20200605,8.6,8.65,8.26,8.34,8.73,-0.39,-4.4674,1229819.11,1031527.341
601778.SH,20200608,8.27,8.56,8.15,8.45,8.34,0.11,1.3189,942102.49,786743.939
601778.SH,20200609,8.38,8.8,8.32,8.67,8.45,0.22,2.6036,993980.72,859405.068
601778.SH,20200610,8.6,8.6,8.25,8.3,8.67,-0.37,-4.2676,763433.06,637732.577
601778.SH,20200611,8.28,8.46,8.15,8.35,8.3,0.05,0.6024,569758.98,473053.488
601778.SH,20200612,8.14,8.35,8.0,8.25,8.35,-0.1,-1.1976,539465.02,442661.934
601778.SH,20200615,8.15,8.35,8.01,8.08,8.25,-0.17,-2.0606,678278.59,553067.335
601778.SH,20200616,8.12,8.15,7.96,8.03,8.08,-0.05,-0.6188,634410.83,508976.947
601778.SH,20200617,8.05,8.1,7.94,8.0,8.03,-0.03,-0.3736,442557.86,354902.339
601778.SH,20200618,7.99,7.99,7.68,7.74,8.0,-0.26,-3.25,749309.23,582923.611
601778.SH,20200619,7.72,7.81,7.65,7.71,7.74,-0.03,-0.3876,399978.26,308763.443
601778.SH,20200622,7.73,7.76,7.62,7.65,7.71,-0.06,-0.7782,412418.19,316053.775
601778.SH,20200623,7.63,7.72,7.6,7.66,7.65,0.01,0.1307,345290.22,264660.81
601778.SH,20200624,7.68,7.72,7.56,7.56,7.66,-0.1,-1.3055,350836.45,267183.545
601778.SH,20200629,7.56,8.06,7.52,7.94,7.56,0.38,5.0265,870359.53,685643.102
601778.SH,20200630,7.86,7.94,7.74,7.86,7.94,-0.08,-1.0076,527407.63,412508.349
601778.SH,20200701,7.82,7.87,7.66,7.7,7.86,-0.16,-2.0356,485474.67,375690.407
601778.SH,20200702,7.7,7.76,7.64,7.75,7.7,0.05,0.6494,447133.68,344344.015
601778.SH,20200703,7.75,8.04,7.67,7.92,7.75,0.17,2.1935,691257.99,542532.92
601778.SH,20200706,7.99,8.33,7.94,8.32,7.92,0.4,5.0505,1129808.4,923376.11
601778.SH,20200707,8.52,8.79,8.22,8.23,8.32,-0.09,-1.0817,1184237.78,999821.822
601778.SH,20200708,8.21,8.35,8.13,8.31,8.23,0.08,0.9721,757798.8,625318.51
601778.SH,20200709,8.36,8.99,8.25,8.87,8.31,0.56,6.7389,1467514.05,1258187.037
601778.SH,20200710,8.88,9.16,8.65,8.98,8.87,0.11,1.2401,1298847.4,1160774.441
601778.SH,20200713,8.93,9.08,8.8,9.0,8.98,0.02,0.2227,1035836.6,926106.993
601778.SH,20200714,9.01,9.05,8.4,8.56,9.0,-0.44,-4.8889,958160.98,832991.268
