ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
601808.SH,20150105,20.85,22.54,20.76,22.15,20.77,1.38,6.64,711654.94,1544870.995
601808.SH,20150106,21.67,21.88,21.15,21.43,22.15,-0.72,-3.25,453951.35,976109.554
601808.SH,20150107,21.22,21.68,20.88,21.58,21.43,0.15,0.7,359414.09,766337.55
601808.SH,20150108,21.6,21.85,20.87,20.94,21.58,-0.64,-2.97,315362.3,670985.896
601808.SH,20150109,20.83,21.57,20.48,20.5,20.94,-0.44,-2.1,368133.31,772562.502
601808.SH,20150112,20.3,20.46,19.51,19.72,20.5,-0.78,-3.8,274601.79,547808.914
601808.SH,20150113,19.59,19.96,19.51,19.68,19.72,-0.04,-0.2,153651.17,303124.153
601808.SH,20150114,19.7,19.89,19.07,19.27,19.68,-0.41,-2.08,189800.38,369924.607
601808.SH,20150115,19.5,20.0,19.33,19.99,19.27,0.72,3.74,231329.91,455161.341
601808.SH,20150116,19.8,20.25,19.68,19.98,19.99,-0.01,-0.05,258176.58,515142.75
601808.SH,20150119,19.11,19.5,18.02,18.39,19.98,-1.59,-7.96,349781.57,662541.733
601808.SH,20150120,18.3,18.86,18.3,18.71,18.39,0.32,1.74,219524.71,409408.746
601808.SH,20150121,18.69,19.37,18.58,19.31,18.71,0.6,3.21,270917.27,515723.837
601808.SH,20150122,19.25,19.64,19.13,19.47,19.31,0.16,0.83,240939.44,466655.197
601808.SH,20150123,19.44,19.65,19.19,19.29,19.47,-0.18,-0.92,208966.11,405704.037
601808.SH,20150126,19.24,19.48,19.0,19.45,19.29,0.16,0.83,212079.84,408424.657
601808.SH,20150127,19.45,19.55,19.07,19.44,19.45,-0.01,-0.05,204356.67,395831.698
601808.SH,20150128,19.39,19.54,19.2,19.31,19.44,-0.13,-0.67,174236.12,338154.423
601808.SH,20150129,19.01,19.33,18.93,19.28,19.31,-0.03,-0.16,144142.11,275733.624
601808.SH,20150130,19.2,19.42,18.9,18.96,19.28,-0.32,-1.66,135629.11,259515.808
601808.SH,20150202,19.08,19.2,18.59,18.65,18.96,-0.31,-1.64,165604.02,313720.62
601808.SH,20150203,18.92,19.07,18.7,19.04,18.65,0.39,2.09,155685.8,294063.325
601808.SH,20150204,19.25,19.35,18.78,18.8,19.04,-0.24,-1.26,224727.79,429926.732
601808.SH,20150205,18.99,19.05,18.34,18.36,18.8,-0.44,-2.34,240572.19,447939.567
601808.SH,20150206,18.36,18.52,17.74,17.95,18.36,-0.41,-2.23,176961.08,319949.49
601808.SH,20150209,17.88,18.2,17.8,18.01,17.95,0.06,0.33,112890.89,203618.015
601808.SH,20150210,18.03,18.24,17.98,18.18,18.01,0.17,0.94,113750.78,206292.47
601808.SH,20150211,18.29,18.33,18.08,18.1,18.18,-0.08,-0.44,103175.82,187564.85
601808.SH,20150212,18.12,18.15,17.75,18.13,18.1,0.03,0.17,172351.94,308826.283
601808.SH,20150213,18.25,18.56,18.2,18.43,18.13,0.3,1.65,199799.68,367979.35
601808.SH,20150216,18.46,18.64,18.4,18.57,18.43,0.14,0.76,129965.87,241070.852
601808.SH,20150217,18.57,18.83,18.56,18.74,18.57,0.17,0.92,146437.29,273922.168
601808.SH,20150225,18.95,19.19,18.83,18.97,18.74,0.23,1.23,240611.54,457474.79
601808.SH,20150226,18.99,19.14,18.72,19.11,18.97,0.14,0.74,188480.53,357438.495
601808.SH,20150227,19.0,19.37,18.91,19.2,19.11,0.09,0.47,220782.68,422758.501
601808.SH,20150302,19.2,19.23,19.0,19.19,19.2,-0.01,-0.05,200732.36,384091.0
601808.SH,20150303,19.17,19.22,18.9,18.92,19.19,-0.27,-1.41,239531.85,456888.467
601808.SH,20150304,18.93,19.44,18.91,19.35,18.92,0.43,2.27,221907.03,427291.431
601808.SH,20150305,19.3,19.35,19.1,19.25,19.35,-0.1,-0.52,154148.6,295771.063
601808.SH,20150306,19.24,19.29,19.1,19.13,19.25,-0.12,-0.62,141909.04,272558.692
601808.SH,20150309,19.01,19.26,18.7,19.2,19.13,0.07,0.37,192919.79,365580.033
601808.SH,20150310,19.17,19.3,19.11,19.16,19.2,-0.04,-0.21,161602.92,310485.33
601808.SH,20150311,19.1,19.3,18.92,18.98,19.16,-0.18,-0.94,158545.57,303257.15
601808.SH,20150312,19.05,19.3,18.82,19.27,18.98,0.29,1.53,196404.59,375567.784
601808.SH,20150313,19.3,19.42,19.2,19.29,19.27,0.02,0.1,192815.92,372417.92
601808.SH,20150316,19.3,19.69,19.23,19.68,19.29,0.39,2.02,284936.78,556345.34
601808.SH,20150317,19.69,20.11,19.58,20.1,19.68,0.42,2.13,362163.64,718533.233
601808.SH,20150318,20.14,20.42,19.95,20.28,20.1,0.18,0.9,325122.26,656513.235
601808.SH,20150319,20.27,20.48,20.04,20.14,20.28,-0.14,-0.69,329277.34,666743.348
601808.SH,20150320,20.13,20.4,20.06,20.28,20.14,0.14,0.7,383609.91,773192.01
601808.SH,20150323,20.39,20.59,20.28,20.49,20.28,0.21,1.04,344131.77,703235.1
601808.SH,20150324,20.49,20.49,19.86,20.09,20.49,-0.4,-1.95,352882.03,710266.025
601808.SH,20150325,20.0,21.1,19.95,20.92,20.09,0.83,4.13,508853.69,1045089.719
601808.SH,20150326,20.8,23.01,20.68,22.86,20.92,1.94,9.27,1017065.1,2257014.783
601808.SH,20150327,23.05,23.25,22.05,22.07,22.86,-0.79,-3.46,669163.22,1506574.486
601808.SH,20150330,22.15,23.95,21.88,22.95,22.07,0.88,3.99,664529.53,1517176.273
601808.SH,20150331,22.9,22.95,22.12,22.21,22.95,-0.74,-3.22,496320.19,1114901.023
601808.SH,20150401,22.21,22.5,22.0,22.33,22.21,0.12,0.54,313563.72,698661.189
601808.SH,20150402,22.38,22.7,22.11,22.55,22.33,0.22,0.99,373864.85,837886.274
601808.SH,20150403,22.4,22.5,22.17,22.43,22.55,-0.12,-0.53,311778.43,695512.949
601808.SH,20150407,22.65,23.26,22.65,22.88,22.43,0.45,2.01,449237.59,1028778.196
601808.SH,20150408,22.99,23.73,22.78,23.49,22.88,0.61,2.67,635174.45,1479260.205
601808.SH,20150409,23.23,23.35,21.99,22.48,23.49,-1.01,-4.3,457424.86,1035415.271
601808.SH,20150410,22.3,22.98,22.28,22.78,22.48,0.3,1.33,324676.72,738304.069
601808.SH,20150413,22.98,23.99,22.83,23.61,22.78,0.83,3.64,437901.3,1030139.675
601808.SH,20150414,23.61,24.56,23.37,23.91,23.61,0.3,1.27,504017.26,1203812.345
601808.SH,20150415,23.84,23.84,22.8,23.2,23.91,-0.71,-2.97,439507.92,1023817.053
601808.SH,20150416,23.13,25.19,23.11,24.71,23.2,1.51,6.51,661296.0,1609430.214
601808.SH,20150417,25.0,27.18,24.8,27.18,24.71,2.47,10.0,1153361.42,3049804.113
601808.SH,20150420,27.17,29.08,26.62,27.19,27.18,0.01,0.04,1228392.89,3421896.462
601808.SH,20150421,27.19,28.19,26.5,27.6,27.19,0.41,1.51,622673.88,1695000.965
601808.SH,20150422,27.66,28.58,27.42,27.88,27.6,0.28,1.01,621045.87,1736274.419
601808.SH,20150423,27.88,28.35,27.28,27.46,27.88,-0.42,-1.51,561444.94,1555661.077
601808.SH,20150424,26.9,28.12,26.6,27.22,27.46,-0.24,-0.87,540119.5,1474296.176
601808.SH,20150427,27.18,29.94,27.18,29.94,27.22,2.72,9.99,909387.18,2637942.482
601808.SH,20150428,28.96,29.6,27.28,27.7,29.94,-2.24,-7.48,805215.43,2305726.722
601808.SH,20150429,27.8,28.35,26.7,27.5,27.7,-0.2,-0.72,450311.37,1238352.532
601808.SH,20150430,27.57,27.75,26.63,26.71,27.5,-0.79,-2.87,431374.51,1164490.065
601808.SH,20150504,26.7,27.52,26.63,27.02,26.71,0.31,1.16,333685.82,901540.728
601808.SH,20150505,28.0,29.72,28.0,28.69,27.02,1.67,6.18,1288042.91,3785472.874
601808.SH,20150506,29.23,29.59,26.7,27.47,28.69,-1.22,-4.25,890514.24,2493794.361
601808.SH,20150507,26.71,27.16,25.0,25.02,27.47,-2.45,-8.92,556835.63,1437166.06
601808.SH,20150508,25.25,25.59,24.58,25.56,25.02,0.54,2.16,449290.64,1131446.962
